"L","B","F","T","H","U","EXC"
39.6,30,76.7,114.5,74.7,69.8,0
39.1,29.4,77.7,116,79.7,68,0
38,28.7,75.8,115.5,76.2,70,0
38.3,30,"NA",115.5,74,69.2,0
36.8,27.3,73.3,109,70.3,65.7,0
"NA",28.7,73.4,"NA",69.7,63.8,0
36.6,28.3,73.4,108.5,70.1,64.3,0
38.1,29.2,76,113,71.3,65.8,0
39.6,30.8,82.4,121,79,73.3,0
39.6,29.9,80.2,118.5,77.4,71.7,0
39.2,29.2,77.2,115,74.5,69.3,0
39.3,29.4,75.7,113.5,73.4,68.3,0
37.1,"NA",79,114.5,75.7,70.3,0
37.3,29.4,75.3,112,72.5,67.6,0
37.8,29.5,74.6,113,71.7,66.8,0
39,28.7,"NA",112.5,75.8,68.4,0
39.4,30.4,"NA",116.5,77.3,70,0
"NA","NA",79.5,122,77.7,71.7,0
37.5,28.8,73.2,110,69.8,66.4,0
36.5,29.8,78.6,117,76.6,72.1,0
36.5,"NA",74.1,109,69.8,64,0
36.7,27.1,74.2,108.5,71,66.4,0
36.3,29.4,73,108,70,65.9,0
37,28.6,79.7,113,73.2,69.5,0
39.2,29.7,82.8,126.5,78,73.4,0
38.2,29.1,78.8,116.5,74.8,69.7,0
36.3,28,74.6,109,70.7,65.1,0
37.1,29,"NA",106.5,68.8,62.9,0
38.3,29.6,77.2,114,71.9,65.2,0
37.7,29.9,80.3,117,75.8,69.5,0
37.3,28.6,72,106.5,69.4,62.7,0
37.3,29.1,76.2,115,73.6,68.5,0
38.3,29.5,76.1,118.5,73.5,67.8,0
41.4,30.5,82.3,123,78.7,71.5,0
40.9,30.6,77.2,114.5,76.2,69.6,0
37.6,30.5,81.1,122,77.2,70.7,0
37.6,29.7,77,113,"NA","NA",0
39.3,30.1,"NA",120,77,71.3,0
39.3,30.6,78.4,118,76.4,71.4,0
37.9,30.1,82.5,121.5,75.7,72.5,0
39.7,"NA",82.5,123,78.4,73,0
38.7,"NA",78.5,117,74.7,68.4,0
38.3,28.8,78.6,112,72.6,67.2,0
40.3,29.8,80.7,124,78.2,72.8,0
40.3,30.4,76.4,115,73.9,69.5,0
38.7,29.7,81.5,117.5,"NA","NA",0
37.9,29.5,74.9,111.5,71.8,66.7,0
35.9,27.9,76.4,110,72.2,67.4,0
"NA","NA",83.2,125,78.2,71.7,0
37.4,29.7,75.5,111,"NA",67.3,0
38.5,28.7,77.4,117,74.6,69.3,0
37.8,29.7,"NA",113.5,73.2,67.7,0
"NA",27.9,73.2,107.5,69.9,64.6,0
38.6,30,80.3,118,77.2,72.4,0
40,30.5,84.9,127,79.1,73.9,0
39.9,31.4,75.5,116.5,73.8,69.3,0
39.7,30,87.3,128.5,81.5,75.8,0
38.7,29.7,"NA",122,76.9,72.4,0
38.5,"NA",79.3,117.5,75.5,71.5,0
38.5,28.9,77.1,113.5,73,67.3,0
38.1,30.8,76.6,"NA",74.9,69.3,0
37.3,29.2,76.9,115.5,72.9,67.9,0
37.8,28.9,79.2,118,74.7,70.5,0
39.1,30.4,83.2,123,79,73,0
37.8,29.8,"NA",114,73.8,68.7,0
39.9,28.2,82.7,124,79.6,75,0
39.5,29.5,80.8,120,76.1,71.4,0
38.3,30.7,81.3,119,77.8,70.5,0
40.3,30.3,84.5,125.5,79.3,73.6,0
39.4,30,78,112.5,74.4,68.6,0
"NA","NA",85.1,128,79.8,74.8,0
40.2,29.7,77.8,116.5,75.3,69.6,0
39.5,30.2,"NA",116.5,74.3,68.2,0
38.7,28.7,79.9,117,74.9,68.8,0
39.6,31.1,78.6,116.5,75.5,69.6,0
38.4,29.6,74,109,71.9,66.4,0
39.1,29.3,75.7,115,73.4,69.1,0
38.8,28.5,76.8,113.5,74,69,0
37.4,28.9,73.3,109.5,70.4,66.1,0
38.6,29,75.1,114,73.4,67.7,0
39.4,30,75.8,112,73.3,68.2,0
37,"NA",75.6,111.5,71.6,65.9,0
38.6,29.3,75.3,113.5,75.2,69.3,0
37.7,28,"NA",111,70.4,64.8,0
37.9,31.3,81.4,121,78.3,72.8,0
39.2,30,79,117,77.3,72,0
40.4,30.2,84.3,123,80.6,74.8,0
38.3,29.3,77.1,113,75.2,68.8,0
38.3,29.8,75.1,112.5,71.5,66.1,0
37.2,29.2,77.8,115.5,71.8,67.6,0
38.7,"NA",71.7,108.5,69.4,64.6,0
39.8,31.1,78.9,116,76.9,69.6,0
38.5,31,82.7,120,77.8,71.2,0
37.5,31.5,76.2,114.5,74.5,68.7,0
39.7,30.1,75.4,112,73.4,68.3,0
36.4,27.5,68.4,102,66.5,61,0
37.8,30.3,74.9,111,74.8,66.8,0
37.6,29.6,79.6,120,74.9,70.1,0
39.9,30.2,77.1,114.5,75.5,69.5,0
37.8,29.8,75.1,114,74.9,68.8,0
38.9,29.2,76.8,115,74.9,68.8,0
38.1,30.3,"NA","NA","NA","NA",0
38.3,29.9,75.1,111.5,73.8,67.8,0
37.5,27.4,75.3,113,73.3,67.4,0
37.2,29.2,"NA",113,72.7,66.1,0
37.4,29.3,72,108.5,68.7,63.8,0
38.2,29.9,72.8,110.5,71,65.7,0
37.8,30.2,80,117,75.1,67.8,0
38.7,29.2,76.2,115,73.5,68.2,0
37.4,30.1,71.8,107,"NA",64.1,0
40.5,30.4,83.8,125.5,80.2,74.9,0
40.1,30.4,76.5,115.5,73.7,69.2,0
38.9,28.8,74.3,113,73.8,70,0
38.3,29.9,75.7,115.5,73.3,68.4,0
39.2,31.3,"NA","NA","NA","NA",0
40,30.1,80,119,76.2,69.9,0
36.6,28.9,72.3,107,68.8,66.8,0
38.6,29.7,74.2,112,73.9,68.6,0
39.4,29.5,78.2,115,75.1,68.8,0
35.8,28.6,71.9,108,70.2,64.9,0
37.2,28.9,73.9,107,71.5,66.2,0
38.3,28.9,76,113,74.5,68.1,0
37.3,29.8,74.8,111,71.8,66.3,0
35.6,29.9,"NA",113,74.2,67.7,0
36.8,27.4,70.9,103.5,68,62.8,0
37.7,29.8,74.2,111,72.4,66.1,0
40.6,29.5,77.2,114.5,74.9,69.1,0
40.2,30.1,78,114.5,76.4,69.4,"EXCLUDE"
40.8,29.9,81.2,117.5,75.7,68.6,0
39.4,29.9,76.5,111,71.8,66,0
39.7,31.2,78.9,119,77.3,72.5,0
39.2,29,79.4,115.5,74.4,69.3,0
38,29.3,76.2,114.5,72.3,67,0
42,31,85.1,125,81.4,74.8,0
40.6,30.2,82.9,121,78.7,71.9,0
40.1,30.9,81,120,77.8,72.2,0
39.8,29.2,78.5,119,75.5,69.2,0
40.6,29.6,78.5,118,74.2,68.9,0
39.1,30.5,77.4,114.7,73.6,67.2,"EXCLUDE"
39.1,30.1,79.3,116.5,74.8,68.7,0
38.1,29,72.3,107,71.8,65.3,0
40.3,30.6,81,119.5,77,73.2,0
39.5,29.7,78.6,116,75.5,68.9,0
38.4,30.6,75.9,115.5,74.4,66.3,0
39.7,30.8,77.3,116.5,74.5,68.5,0
39.5,30,81,118,76.9,70.5,0
39.1,30.8,79.2,117.5,76.6,69.6,0
39.7,30.4,81.2,122.5,78.5,72.3,0
39.2,30.5,79.7,119,77.8,70.5,0
38.9,31.2,78.3,116.5,75.7,68.4,0
39,30.3,76.9,115,76.8,70.5,0
40.6,32.5,85.3,126,82.2,74.8,0
40.8,30.2,81.9,121.2,78.4,72.9,"EXCLUDE"
38,29,72.6,108,68.7,63.2,0
37.6,30.8,78.3,115,72.1,67.1,0
40.7,32.2,78.7,117,75.5,68.7,0
41,31,77.4,119,74.7,70.8,0
40.5,30.5,77,114,73.6,68.5,0
38.8,30.1,78.4,115.5,75,68.7,0
39.6,30.1,77.7,113.5,75.1,68,0
39.3,30.8,73.9,110,72.9,65.4,0
38.4,29.1,76.6,114.5,72.8,67.8,0
39.5,30.7,74.6,110.5,73.5,67.9,0
38.6,28.9,74.7,109,71.5,65.8,0
40.2,30.5,80.5,119.5,76.7,70.7,0
38.6,29.9,80.5,121.5,77.5,71.9,0
39.8,28.6,71.6,105,69.9,64.1,0
37.6,28.3,74.6,111,"NA",66.1,0
40.1,29.3,78.8,117,75,68.9,0
38.8,29.4,77,113.5,74,66.6,0
41.6,29.8,80.1,118.5,75.5,69.9,0
35.9,28.9,72.4,105.5,70.3,64.2,0
38.5,28.9,80.1,118,75.2,68.9,0
38.7,31.1,81,121,76.8,70.2,0
37.8,29.1,74.6,111,74.4,68.5,0
37.5,30,78.8,117.5,75.9,69.5,0
37.7,29.8,76.1,112,73.2,66.7,0
36.3,28.9,72.5,107,72.8,66,0
37.2,28.3,76.4,111,71.4,65.8,0
40.1,32,81.5,123.5,79.5,72.8,0
38.4,30.3,76.6,112,72.8,65.7,0
40.5,29.3,76.7,113.5,74.7,68.2,0
39.7,31.4,77.7,115,75.5,68.2,0
40.4,28.8,78.6,118.5,76.7,71.2,0
39.2,31.2,78.1,116.5,74.5,68.7,0
37.4,28.3,65,97.5,64.5,57.6,0
40,31.5,80.3,119.5,78.6,72.3,0
41.1,30,79.5,117.5,76.3,70,0
38.7,30,74.2,110.5,71.6,65,0
39.4,29.6,78.6,116.5,75.5,70.2,0
37.3,30.1,76.6,112.5,73.6,66.5,0
39.3,29.7,79.4,120.5,76,70.4,0
37.8,28.5,70.8,105,69.1,64.7,0
37.6,28.1,73.1,108,70.2,64.1,0
38.8,29.5,73.4,106.5,72.2,66.7,0
40.1,29.3,76.6,113,72.3,66.8,0
37.3,29.9,74.6,109,72.9,64.3,0
41.1,31.6,83.3,122,79.8,73.4,"EXCLUDE"
39.9,29.5,77.8,116,75.4,69.8,0
39.6,30.2,74.7,110,73.6,67.7,0
38.9,29.4,74.3,110,72.1,66.4,0
40.9,31.2,82,121,77.6,72.5,0
37.5,29.4,76,111,72.1,65.3,0
39.8,30.6,75.8,113.9,72.6,67.2,"EXCLUDE"
39.4,30,77.8,119,75.8,69.9,0
39.5,29.4,75,110.5,68.9,65.8,0
38.5,29.2,75.1,113.5,72.2,67.1,0
38.6,31.4,78.4,115.5,75.8,68.4,0
38.2,29.2,75.6,112,72.7,67.8,0
40.7,29.9,78.9,115.5,74.2,68.7,0
37.3,28.9,74.7,108.5,69.5,63.9,0
39,28.4,76.4,114,73.7,68.3,0
40.3,32.2,79.6,120.5,77.6,72.4,0
38.5,30.4,69.9,118,76.2,70,"EXCLUDE"
36.6,28.1,73.8,109.5,72.3,66.6,0
39.4,30.7,77.5,114.5,75.5,68.1,0
38.9,29.2,73.7,107.5,71.5,64.8,0
39.1,30.7,75.7,114,76,69.2,0
39.7,30.1,77.2,115.5,74.2,68,0
38.1,29.6,77.6,111.5,75.8,69,0
39.4,30.8,80.4,118.5,77.7,70.9,0
