Site097,Silene_acaulis,sample,cushion.open,Agrostis_borealis,Agrostis_scabra,Androsace_chamaejasme,Antennaria_alpina,Astragalus_kentrophyta,Carex_podocarpa,Cerastrium_nutans,Chrysosplenium_tetrandum,Cirsium_tweedyi,Claytonia_megarhiza,Deschampsia_caespitosa,Draba_longipes,Erigeron_aureus,Festuca_brachyphylla,Hedysarum_alpinum,Oxyria_digyna,Phleum_commutatum,Poa_alpina,Polemonium_viscosum,Polygonum_viviparum,Salix_arctica,Salix_reticulata,Saussurea_weberi,Saxifraga_lyallii,Saxifraga_oppositifolia,Sedum_roseum,Senecio_canus,Senecio_fremontii,Smelowskia_calycina,Stellaria_borealis,Taraxacum_officinale
,,98,cushion,13,,,,,,,,,,,,,,,,,12,,11,,,,,47,,,,6,,
,,99,cushion,6,,,,,,,,,,,,,,,,,8,,,,,,1,,,2,,4,,
,,1,open,,,,,,,,,,,,,,2,,,,,,5,13,,,,1,,,,,,
,,2,open,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
,,3,open,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
,,4,open,,,,,,,,,,,,,,1,,1,,,,,1,,,,,1,,,,,
,,5,open,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,4,,
,,6,open,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,
,,7,open,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
,,8,open,,1,,,,,,,,,,,,7,,,,,,5,17,,,,1,,,,,,
,,9,open,,4,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,
,,10,open,,11,,,,,,,,,,,,,,,,,,,2,,,,,,,,1,,1
,,11,open,,,,,,,,,,,,,,1,,,,,,,,,,,,,3,,1,,
,,12,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,13,open,,,,,,,,,,,,,,9,,,,2,,,,,,,,4,,,,,
,,14,open,,,,,,,,,,,,,,2,,,,,,,28,,,,,,,,11,,
,,15,open,,1,,,,,,,,,,,,,,1,,,,,28,,,,,,,,,,
,,16,open,,,2,,,,,,,,,,,1,,,,,,,30,,,,,,,,,,
,,17,open,,,,,,,,,,,,,,,,,,,,,25,,,,3,,,,,,
,,18,open,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,1
,,19,open,,,,,,1,,,,,,,,4,,,,,2,,,,,,,,,,,,
,,20,open,6,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,
,,21,open,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,6,,
,,22,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,23,open,,,,,2,,,,,,,,,,,,,2,,,,,,,,,,,,,
,,24,open,,1,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,
,,25,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,26,open,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
,,27,open,3,,,,,,,,,,,,,2,,,,,,,,,,,,,,,14,,
,,28,open,7,,,,,,,,,,,,,,,,,1,,,,,,,,,,,4,,
,,29,open,,,,,,,,,,,,,,,7,,,,,,35,,,,,,,,,,
,,30,open,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,4,,
,,31,open,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
,,32,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,33,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,34,open,,,,,,,,,,,,,,11,,,,,,,,,,,,,,,2,,2
,,35,open,,,,,,2,,,,,,,,7,,,,,,,,,,,,,,,,,
,,36,open,,,,,,1,,,,,,,,,4,,,,,,,,,,,,,,,,1
,,37,open,,,,,,3,,,,,,,,,,,,,,,,1,2,,,,,,9,,1
,,38,open,,,,,,2,,,,,,,,3,,,,,,,,,,,,,,,,,1
,,39,open,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,6,,
,,40,open,,,,,,7,,,,,,,,,,,,,,,,,2,,,,,,7,,
,,41,open,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
,,42,open,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,
,,43,open,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,3,,
,,44,open,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,
,,45,open,,,,,,,,,,,,,,,,,,,,2,,,2,,,,,,,,
,,46,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,47,open,,,,,,10,,,,,,,,,,,,1,,,,,,,,,,,1,,
,,48,open,,,,,,,,,,,,,,,,,,2,,,,,,,,,4,,,,
,,49,open,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,2
,,50,open,,,1,,,9,,,,,,,,,,,,,,,,,,,,,2,,5,,
,,51,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,
,,52,open,,1,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,2
,,53,open,,2,,,,,,,,,,,,,,,,,,,,,,,,,2,,1,1,
,,54,open,,,,,,,,,,,,,,,,,,3,,2,,,,,,,,,,,3
,,55,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,
,,56,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
,,57,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,58,open,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,2,,
,,59,open,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,5,,
,,60,open,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,
,,61,open,,3,1,,,5,,,,,,,,,,,,1,,,,,,,,,,,,,
,,62,open,,,1,,,2,,,,,,,,,,,,3,,,,,,,,,,,2,,
,,63,open,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,1,,
,,64,open,,,,2,,5,,,,,,,,,,,,,,,,,,,,,,,11,,
,,65,open,,,1,,,1,,,,,,1,,,,,,1,,,,,,,,,,,,,
,,66,open,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,
,,67,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,
,,68,open,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
,,69,open,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,
,,70,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,71,open,,,,2,,,,,,,,,,1,,,,,,,,,,,,,,,1,,
,,72,open,,,,,,5,1,,,,,,,,,,,,,,,,,,,,1,,4,,
,,73,open,,6,,,,2,,,,,,,,,,,,,,,,,1,,4,,,,,,
,,74,open,,2,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,
,,75,open,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,
,,76,open,2,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,
,,77,open,7,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,
,,78,open,8,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,
,,79,open,8,,,,,,,,,,,,,,,,,3,,,,,,,,,1,,1,,1
,,80,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,81,open,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
,,82,open,6,,,,,,,,,,,,,,,,,,,,28,,,,,,,,,,
,,83,open,3,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,
,,84,open,5,,,,,,,,,,,,,,,,,2,,,50,,,,,,,,,,
,,85,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,86,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,87,open,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
,,88,open,6,,,,,,,,,,,,,,,,,2,,,,,,,,,,,1,,
,,89,open,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
,,90,open,7,,,,,,,,,,,,,,,,,,,,,3,,,,,,,1,,1
,,91,open,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,
,,92,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,93,open,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,3,,1
,,94,open,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
,,95,open,2,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
,,96,open,2,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,
,,97,open,6,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,
,,98,open,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,3,,
,,99,open,,,,,,,,,,,,,,,,,,3,,,1,,,,,,,,1,,
