Site098,Silene_acaulis,sample,cushion.open,Achillea_millefolium,Agoseris_villosa,Agrostis_sp4,Agrostis_sp5,Anenome_parviflora,Antennaria_lanata,Aquilegia_caerulea,Arenaria_rossii,Arnica_alpina,Artemisia_frigida,Astragalus_bourgovii,Astragalus_kentrophyta,Besseya_wyomingensis,Bromus_sp1,Bupleurum_americanum,Carex_geyeri,Carex_parryana,Cerastium_alpinum,Cerastrium_vulgare,Claytonia_megarhiza,Dodecatheon_pulchellum,Draba_oligosperma,Erigeron_lanatus,Eriogonum_subalpinum,Festuca_idahoensis,Fritillaria_pudica,Galium_boreale,Geum_rossii,Gnaphalium_decurrens,Hedysarum_alpinum,Heuchera_parviflora,Linum_lewisii,Lupinus_sericeus,Mertensia_lanceolata,Minuartia_obtusiloba,Myosotis_sylvatica,Oxyria_digyna,Oxytropis_campestris,Pedicularis_bracteosa,Penstemon_lyallii,Phacelia_sericea,Plantago_tweedyi,Poa_alpina,Poa_sandbergii,Polemonium_boreale,Polygonum_viviparum,Potentilla_diversifolia,Dasiphora_fruticosa,Saussurea_weberi,Saxifraga_ascendens,Saxifraga_bronchialis,Saxifraga_lyallii,Saxifraga_occidentalis,Saxifraga_rhomboidea,Sedum_lanceolatum,Sedum_roseum,Senecio_canus,Senecio_triangularis,Smelowskia_calycina,Stenanthium_occidentale,Synthris_pinnatifia,Taraxacum_vulgare,Tofieldia_glutinosa
,,106,cushion,,,,,,,,,,,,,,1,,6,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,3,,,,,,,,,,,,1,,,,
,,107,cushion,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,5,,,,,,,,,,,,
,,108,cushion,,,,,,,,,,,,,,,,,4,,,,,,,,1,5,3,,,,,,,,,,,,,,,,,,,,3,,,,2,,,,,,,,,,,,
,,109,cushion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,
,,110,cushion,,,,,,,,,,,,,1,,,2,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,2,,1,,,,,,,,,,1,,3,,,,1
,,111,cushion,,,2,,,,,,1,,,,2,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,1,,,,,,,,,,,,,,3,
,,112,cushion,,,2,,,,,,,,,,,,,,,,,,,,,,3,1,,,,,,,,4,,,,,,,,,,,,,2,,,,,,,,,,1,,1,,,1,
,,113,cushion,,,3,,,,,,,,1,,,,1,,,,,,,,1,,7,4,,,,,,,,2,,1,,,,,,,,,,1,,,,,,,,,,,,,4,,,,
,,114,cushion,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,1,,3,,,,
,,1,open,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2,open,,,,,,1,,,,,,,2,,1,,,,5,,,,,,2,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
,,3,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,4,open,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,8,,,,1,,,,,,,,,,,,3,,,,,,,,,,,,
,,5,open,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,2,,,,
,,6,open,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,2,,,,,
,,7,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,8,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
,,9,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,10,open,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,1,,,,
,,11,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
