Site100,Minuartia_sedoides,sample,cushion.open,Androsace_chamaejasme,Arenaria_ciliata,Artemisia_eriantha,Astragalus_frigidus,Bartsia_alpina,Campanula_alpina,Campanula_cochleariifolia,Campanula_tatrae,Carex_atrata,Carex_capillaris,Carex_firma,Carex_fuliginosa,Carex_sempervirens,Cerastium_lanatum,Chamorchis_alpina,Comastoma_tenellum,Crepis_jacquinii,Delphinium_oxysepalum,Doronicum_clusii,Draba_aizoides,Draba_tomentosa,Dryas_octopetala,Erigeron_alpinus,Erigeron_uniflorus,Euphrasia_salisburgensis,Euphrasia_tatrae,Festuca_versicolor,Galium_anisophyllon,Gentianella_lutescens,Hedysarum_hedysaroides,Helianthemum_alpestre,Helianthemum_grandiflorum,Ligusticum_mutellinoides,Lloydia_serotina,Luzula_spicata,Minuartia_gerardii,Myosotis_alpestris,Oxytropis_campestris,Oxytropis_carpatica,Oxytropis_halleri,Parnassia_palustris,Pedicularis_oederi,Pedicularis_verticillata,Persicaria_bistorta,Persicaria_vivipara,Phyteuma_orbiculare,Poa_alpina,Pseudorchis_albida,Ranunculus_alpestris,Ranunculus_breyninus,Ranunculus_pseudomontanus,Rhodiola_rosea,Salix_alpina,Salix_herbacea,Salix_reticulata,Salix_retusa,Saussurea_alpina,Saxifraga_aizoides,Saxifraga_paniculata,Scabiosa_lucida,Sedum_atratum,Sesleria_tatrae,Silene_acaulis,Thymus_alpestris,Trisetum_alpestre,Trisetum_flavescens
,,5,open,4,,,,,,,,,,,,,,,,4,,,,,,,,,,140,,,,1,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,
,,6,open,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,10,,,1,,,,,1,,,,,,3,,,,,,,,,,,,,,6,,,,,21,,
,,7,open,,,,,,,,,,,,,,,,,,,,,,,,,3,,21,,,,,,,,,,,,,,,,2,,,,,,,1,,,,,,,,6,,,,,,2,,
,,8,open,,,,,,,,,,,30,,,,,,2,,,,,,,,,,110,,,,7,,,,,,,,1,,,,,,2,,,,,1,,,,,,,,,,,,,,,,
,,9,open,3,,,,,,,,,,4,,,,,,,,,,,,,,,,40,,,,7,,,3,,,,,1,,,,2,,6,,,,,1,,,,,,,,,,,,,,,,
,,10,open,,8,,,,,,,,,,,1,,,,,,,,,,,,,,7,,,,12,,,4,,,,,1,,,,,,,,,,,,,,,,,,,,4,,,4,,,,
,,11,open,,,,,,,,,5,,,,,4,,,,,,,,,,,,,21,14,,,4,,,,,,,,1,,2,,2,,,,,,,,,,,,,,,,,5,,,,16,,
,,12,open,,,,,,,,,,,,,,,2,,,,,,,,,5,,,10,3,,,,,,,,,,,4,,6,,1,,,,,,,1,,,,,,,,,,,,1,,23,,
,,13,open,,1,,,,,,,,,,,,,,1,,,,,,,,,,,5,10,,,,,,,,2,,,4,,,,,,7,,,,,1,,,,,,1,,,6,,,,,8,,
,,14,open,3,11,,,,,,,,,,,6,,,,1,,,,,,,,,,20,,,,6,,,,,,,,1,,,,,,,,,,,1,,,,,,,,3,10,,,1,,8,,
,,15,open,,,,,,,,,,,,,,,,,,,,,,,,,,,50,2,,,,,,,,,,,4,,,,1,,4,,,,,,,,,,,,,,,,,,,,,
,,16,open,7,3,,,,,,,,,,2,,,,,4,,,,,,,,5,,5,,,,1,,,,,,,,2,,,,,,4,,,,,3,,2,,,,,,,,,,,,5,,
,,17,open,19,,,,,,,,,,,,,,,,,,,,,,,,,,75,,,,4,,,5,,,,,,,,,3,,7,,,,,,,3,,,,,,,,,,,,4,,
,,18,open,,,,,,,,,2,,,,,,,,2,,,,,,,,,,24,,,,,,,,,,,,3,,,12,,,14,,,,,,,,13,,,,,2,,,,,,1,,
,,19,open,8,,,,,,,,,,,5,,,,,11,,,,,,,,,,,,,,2,,,4,,,,,9,,,4,,,4,,,,,1,,,,,,,,,,,,,,,,
,,20,open,12,1,,,,,,,,,10,,,1,1,,5,,,,,,,,3,,178,3,,,9,,,,,,,,5,,,,,,23,,,,,4,,,,,,,,,6,,,,,,,
,,21,open,2,2,,,,,,,,,8,1,,,,,8,,,,,,,,,,12,10,,,,,,2,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,
,,22,open,,,,,,,,,,,43,,,1,,,,,,,,,,,,,14,,,,3,,,3,,,,,5,,,,,,2,,,,,,,2,,,,,,,,,,,,,,
,,23,open,,,,,,,,,,,,,,,,,9,,,,,,,,,,246,,,,,,,,,,,,2,,,,,,5,,,,,2,,7,,,,,,,3,,,,,,,
,,24,open,4,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,1,,,,,,,,,,,,,5,,4,,,,,1,,,,,,,,,,,,6,,,,
,,25,open,,3,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,1,,,,,,2,,,,,,,1,,,,,,,1,,,1,,,,
,,26,open,11,4,,,,,,,,,,,,,,,6,,,,,,,,1,,21,,,,7,,,,,,,,8,,,,,,25,,,,,2,,,,,,,,,1,,,,,,,
,,27,open,2,,,,,,,,,,,,,,,,,,,,,,,,,,17,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,
,,28,open,,7,,,,,,,,,,,,2,,1,,,,,,,,,,,3,13,,,,,,,,,,,4,,,,1,,2,,,,,1,,1,,,,,,,1,,,,,13,,
,,29,open,3,3,,,,,,1,,,,,9,2,,,,,,,,,,,,,37,,,,7,,,,,,,,1,,4,,,,9,,,,,1,,,,,,,,,,,,12,,17,,
,,30,open,,,,,,,,,,,,,,,,1,,,,,,,,,2,,3,,,,,,1,6,,,,,,,4,,1,,7,,,,,3,,1,,,,,,,,,,2,,,,
,,31,open,4,,,,,,,,,,,,,,,,,,,,,,,,,,23,1,,,,,,,,,,,1,,,,2,,6,,,,,1,,,,,,,,,,,,3,,7,,
,,32,open,11,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,4,,,,2,,9,,,,,2,,,,,,,,,,,,,,,,
