Site069,Silene_acaulis,sample,cushion.open,Anenome_occidentalis,Antennaria_alpina,Arctostaphylos_uvaursi,Anemone_sp,Bistorta_vivipara,Draba_oligosperma,Dryas_octopetala,Erigeron_sp4,PoaUnk3_sp,Lupinus_arcticus,Myosotis_alpestris,Pedicularis_sp,Polemonium_pulcherrimum,Potentilla_sp,Salix_cascadensis,Salix_sp,Saxifraga_bronchialis,Saxifraga_nivalis,Saxifraga_serpyllifolia,Sedum_sp,Gentiana_sp1
,,20,open,,,,,,,,,3,,,,,,,,,,,4,
,,21,open,,,,,,,,,1,,,,,2,,,,,,3,
,,22,open,,,,,,,,,10,,,,3,,,,,,,,
,,23,open,,,,,,,,,3,,,,,,,,,,,,1
,,24,open,,,,,,,,,,,,,,,,,,,,,
,,25,open,,,,,,,,,3,,,,,,,,,,,1,
,,26,open,,,,,,,,,1,,2,,1,,2,,,,,,
,,27,open,3,,,,,,,,2,,,,,,,,,,,2,
,,28,open,2,,,,,,,,7,,,,,,2,,,,,,
,,29,open,,,,,,,,,2,,,,,,,,,,,,
,,30,open,5,,,,,,,,,,,,,,2,1,,,,,
,,31,open,,,,,,,,,4,,,,,,,,,,,,
,,32,open,,,,,,,,,,,,,,,,,,,,,
,,33,open,,,,,,,,,2,,,,,,,,,,,,
,,34,open,,,,,,,1,,,,,,1,,,,,,,,
,,35,open,,,,,,,,,,,,,,,,,,,,,
,,36,open,,,,,,,,,1,,,,,,,,,,,,
,,37,open,1,,,,,,,,2,,1,,1,,1,,,,,,
,,38,open,,,,,,,,,1,,,,,,,,,,,,
,,39,open,,,,,,,,,,,,,,,,,,,,,
,,40,open,,,,,,,,,1,,,,,,,,,,,,
,,41,open,,,,,,,,,,,,,,,,,2,,,,
,,42,open,,3,,,,,,,3,,,,,2,4,,,,,,
,,43,open,1,11,,,,,,,8,,,,3,4,1,,,,,,
,,44,open,,,,,,,,,5,,,,,,,,,,,,
,,45,open,2,,,,,,,,2,,,,,,,,,,,,
,,46,open,,,,,,,,,,,,,,,,,,,1,,
,,47,open,1,,,,,,,,,,,,,,,,,,,,
,,48,open,,,,,,,,,,,,,,,,,,,,,
,,49,open,,,,,,,,,3,,,,,,,,,,,,
,,50,open,4,,,,,,,,,,,,,,,,,,,1,
,,51,open,,,,,,,,,,,,,,,,,6,,,,
,,52,open,,,,,,,,,,,,,,,3,,,,,,
,,53,open,,3,,,2,,,,14,,,,,3,,,,,,,
,,54,open,,,,,,,,,4,,,,,,,,,,,,
,,55,open,,,,,,,3,,2,,,,,2,,,,,1,,
,,56,open,,,,,,,,,6,,,,,2,2,,,,,,
,,57,open,,,,,,,,,,,,,,,,,,,,,
,,58,open,,,,,,,,,,,,,,,,,,,,,
,,59,open,,,,,,,,,21,,,,,,,,,,,,
,,60,open,,,,,,,,,,,1,,,,,1,,,,,
,,61,open,,,,,,,,,,,,,,,,,,,,,
,,62,open,,,,,,,,,1,,,,,,,,,,,3,
,,63,open,,,,,,,,1,,,,,,,,,,,,3,
,,64,open,2,,,,2,,,,,,,,,1,,,,,,,
,,65,open,,,,,3,,,,7,,,,,1,,,,,,,
,,66,open,3,,,,,,,,2,,2,,,,,,,,,,
,,67,open,,,,,,,,,19,,,,,1,7,,,,,,
,,68,open,,,,,,,,,3,,,,,,,,,,,3,
,,69,open,,,,,,,,,,,,,,,,,,,,,
,,70,open,,,,,,,,,4,,1,,,,,,4,,,,
,,71,open,1,,,,,,,,3,,,,,2,,,,,,,
,,72,open,,,,,,,1,,5,,,,2,2,,,,,,,
,,73,open,,,,,,,,,2,,,,,,,,,,,,
