Site009,Adesmia_subterranea,sample,cushion.open,Adesmia_echinus,Adesmia_sp,Azorella_madreporica,Calandrinia_sp,Chaetanthera_pentacaenoides,BrasUnk_sp,Gayophytum_micranthum,Hordeum_comosum,Nassauvia_cumingii,Poa_holciformis,Trisetum_oreophilum,Viola_philippii
,,41,open,,,,,,,,,,,,
,,42,open,,,,,,,,,,2,,
,,43,open,,,,,1,,,,,,,1
,,44,open,,,,,,,,,,,,
,,45,open,,,,,,,,,,,,
,,46,open,,,,,,,,,,,,
,,47,open,,,,,1,,,,,1,,
,,48,open,,,,,2,,,,,,,
,,49,open,,,,,,,,,,,,
,,50,open,,,,,1,,,,,,,
,,51,open,,,,,1,,,,,,,
,,52,open,,,,,,,,,,,,
,,53,open,,,,,,,,,,1,,
,,54,open,,,,,,,,,,1,,
,,55,open,,,,,,,,,,,,
,,56,open,,,,,,,,,,,,
,,57,open,,,,,,,,,,2,,
,,58,open,,,,,,,,,,1,,
,,59,open,,,,,,,,,,,,
,,60,open,,,,,,,,,1,,,
,,61,open,,,,,,,,,,1,,
,,62,open,,,,,,,,,,,,
,,63,open,,,,,1,,,1,,1,,
,,64,open,,,,,,,,,1,1,,
,,65,open,,,,,1,,,,,3,,
,,66,open,,,,,,,,,,,,
,,67,open,,,,,,,,,,,,
,,68,open,,,,,1,,,,,,,1
,,69,open,,,,,2,,,,,,,
,,70,open,,,,,1,,,,,,,
,,71,open,,,,,,,,,,1,,
,,72,open,,,,,,,,,,,,
,,73,open,,,,,1,,,,,,,
,,74,open,,,,,,,,,,1,,
,,75,open,,,,,1,,,,,,,
,,76,open,,,,,1,,,,,,,
,,77,open,,,,,,,,,,2,,
,,78,open,,,,,,,,1,,2,,
,,79,open,,,,,,,,,,4,,
,,80,open,,,,,3,,,,,,,
,,81,open,,,,,,,,,,1,,
,,82,open,,,,,,,,,,1,,
,,83,open,,,,,,,,,,,,
,,84,open,,,,,,,,,,,,
,,85,open,,,,,,,,,,1,,
,,86,open,,,,,,,,,,1,,
,,87,open,,,,,1,,,,,1,1,
,,88,open,,,,,1,,,,,,,
,,89,open,,,,,,,,2,,,,
,,90,open,,,,,,,,,,,,
,,91,open,,,,,,,,,,1,,
,,92,open,,,,,,,,,,,,
,,93,open,,,,,1,,,1,,1,,
,,94,open,,,,,,,,,1,1,,
,,95,open,,,,,1,,,,,3,,
,,96,open,,,,,,,,,,,,
,,97,open,,,,,,,,,,,,
,,98,open,,,,,1,,,,,,,1
,,99,open,,,,,2,,,,,,,
,,100,open,,,,,1,,,,,,,
