Site063,Townsendia_leptotes,sample,cushion.open,Arenaria_sp,Astragalus_purshii,Carex_sp6,CaryUnk2_sp,Koeleria_sp1,Cryptantha_nubigena,Draba_oligosperma,Erigeron_sp2,Eriogonum_sp,Leontodon_sp1,Linum_sp,Phlox_sp,Poa_sp1,Potentilla_morefieldii,Saxifraga_sp2
,,20,open,1,,,,4,,,,,,,3,,,
,,21,open,,,,,,,,,,,,1,,,
,,22,open,,,,,,,,,,,,,,,
,,23,open,1,,,,,,,,,,,4,,,
,,24,open,1,,,,,,,,,,,1,,,
,,25,open,,,,1,,,,,,,,,,,
,,26,open,,,,,,,,,,,,,,,
,,27,open,,,,1,1,,1,,,,,,,,
,,28,open,,,,,,2,,1,,,,5,,,
,,29,open,,,,,,,,,,,,4,,,
,,30,open,,1,,,,,,,,,,5,,,
,,31,open,,1,,,,,,,,,,3,,,
,,32,open,,,,,,1,,,,,,3,,,
,,33,open,,,,,,1,,,,,,2,,,
,,34,open,,,,,,,,,,,,2,,,
,,35,open,,,,,,,,,,,,1,,,
,,36,open,,,,,1,,,,,,,,,,
,,37,open,,,,,,,,,,,,,,,
,,38,open,,,,,,,,,,,,2,,,
,,39,open,,,,,,,,,,,,2,,,
,,40,open,3,1,,,,,1,,,,,2,,,
,,41,open,1,,,,,,,,,,,,,,
,,42,open,1,,,,,,,,,,,1,,,
,,43,open,1,,,,,,,1,,,,1,,,
,,44,open,,,,,,2,,1,,,,5,,,
,,45,open,,,,,,1,,,,,,5,,,
,,46,open,,,,,,1,,,,,,3,,,
,,47,open,,,,,,,,,,,,,,,
,,48,open,,,,,,,,,,,,,,,
,,49,open,,,,,,,,,,,,,,,
,,50,open,1,,,,,,,1,,,,,,,
,,51,open,,,,,,,,,,,,1,5,1,
,,52,open,,,,,2,,,3,,,,,,,
,,53,open,,,,,,,,,,,,1,,1,
,,54,open,,,,,,,,,,,,,,,
,,55,open,,,,,,,,,,,,,,,
,,56,open,,,,,,,,1,,,,1,,,
,,57,open,,,,,,,,,,,,1,,,
,,58,open,,,,,,,,,,,,,,,
,,59,open,,,,,,,,,,,,2,,,
,,60,open,,,,,,,,,,,,1,3,,
,,61,open,,1,,,,,,,,,,1,,,
,,62,open,,,,,1,,,,,,,,,,
,,63,open,,,,,,,,,,,,,,1,
,,64,open,,,,,,,,,,,,,,,
,,65,open,1,1,,1,,,,,,,,,,,
,,66,open,,,,,,,,,,,,,,4,
,,67,open,,,,,,,,,,,,,,,
,,68,open,,,,,,,,,,,,1,,,
,,69,open,,,,,,1,,,,,,,,1,
,,70,open,,,,,,,,,,1,,1,,,
,,71,open,,,,,,,,,,3,,,,1,
,,72,open,,,,,,1,,,,,,,,1,
,,73,open,1,,,,,,,,,,,3,,1,
,,74,open,,1,,,,,,,,,,,,,
,,75,open,,2,,,,,,,,,,,,2,
,,76,open,,,,,,,,,,,,,,,
,,77,open,,,,,,,,,,,,2,1,3,
,,78,open,,1,,,,,,,,,,,,,
,,79,open,,,,,,,,,,,,2,,,
,,80,open,1,,,,,,,,,,,,,1,
,,81,open,,,,,,1,,,,,,4,,,
,,82,open,,,,,,,,,,,,,,,
,,83,open,,,,,2,,,,,,,1,,,
,,84,open,,,,,1,,,,,,,2,,,
,,85,open,,,,,,,,1,,,,2,,,
,,86,open,,,,,,,,,,,,2,,,
,,87,open,,,,,,,,,,,,,,,
,,88,open,,,,,,,,,,,,,,,
,,89,open,,,,,,,,,,,,,,,
,,90,open,,,,,,,,1,,,,3,,,
,,91,open,,,,,,,,,,,,1,,,
,,92,open,,1,,,,,,,,,,3,,,
,,93,open,,,,,,,,3,,,,,,2,
,,94,open,,,1,,,,,,,,,1,,,
,,95,open,1,,,,,,,,,,,2,,,
,,96,open,,,,,,,,,,,,,1,3,
,,97,open,,,,,,,,,,,,,,1,
,,98,open,1,,,,,,,,,,,,,,
,,99,open,,1,,,,,,1,,,,4,1,,
,,100,open,1,1,,,,,,1,1,,,4,,,
