Site023,Azorella_monantha,sample,cushion.open,Acaena_antarctica,Acaena_magellanica,Acaena_pinnatifida,Adesmia_lotoides,Adesmia_parviflora,Adesmia_pumila,Arjona_patagonica,Astragalus_nivicola,Azorella_coespitosa,Azorella_fuegiana,Berberis_buxifolia,Berberis_empetrifolia,Calceolaria_uniflora,Cerastium_sp,Colobanthus_subulatus,Draba_funiculosa,Draba_magellanica,Elymus_sp,Empetrum_rubrum,Erigeron_sp,Festuca_magellanica,Hamadryas_sp,Hypochaeris_incana,Leucheria_candidissima,Leucheria_leontopodioides,Luzula_sp,Luzula_sp1,Nassauvia_aculeata,Nassauvia_pygmaea,Nassauvia_revoluta,Oreobolus_sp,Oxalis_enneaphylla,Perezia_pilifera,Pernettya_mucronata,Phaiophleps_biflora,Phleum_sp,Plantago_sp,Poa_alopecurus,Poa_fuegiana,Poa_pratensis,Poa_pusilla,Ribes_cucullatum,Saxifraga_sp,Senecio_magellanicus,Trisetum_sp,Vicia_bijuga,Vicia_magellanica
,,21,cushion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,22,cushion,,,,,,,,,,,,,,1,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,1,,
,,23,cushion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,24,cushion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
,,25,cushion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,26,cushion,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
,,27,cushion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,28,cushion,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
,,29,cushion,,,,,,,,,,,,,1,,,,,,,,1,,1,,,,,1,,,,,,,,,,,,,,,,,,,
,,30,cushion,,,,,,,,,,,,,1,1,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,
,,31,cushion,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
,,32,cushion,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,
,,33,cushion,,,,,,,,,,1,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,1,,
,,34,cushion,,,1,,,,,,,1,,,1,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,
,,35,cushion,,,,,,,,,,,,,,1,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,1,,1,,
,,36,cushion,,,,,,,,,,,,1,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
,,37,cushion,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,38,cushion,1,1,,,,1,,,,,,,,,,,,,,,1,,,,1,,,1,,,,,,,,,,,,,,,,,1,,
,,39,cushion,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,40,cushion,,1,,,,,,,,1,,,,,,,,,,,1,,1,,1,,,,,,,,,,1,,,,,1,,,,,1,,1
,,41,cushion,,1,,,,,,,,,,,1,,,,,,,,1,,,,1,,,,,,,,,,,,,,,1,,,1,,,,
,,42,cushion,,1,,,,,,,,,,,,1,,,1,1,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,
,,43,cushion,1,,,,,,,,,,1,,1,,,,,,,,,,1,,,,,1,,,,,,,1,,,,,,,,,,,,
,,44,cushion,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,
,,45,cushion,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,
,,46,cushion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,47,cushion,,,,,,1,1,,,,,,,,,,,,,,1,,,,1,,,1,,,,,,,,,,,,,,,,,1,,
,,1,open,,1,,,,,,,,,,,,,,,,,,,1,,1,,,,,1,,,,,,,,,,,,,1,,,,,1,
,,2,open,,,,,,,,,,1,,,,,,,,,,1,1,,1,,1,,,,,,,,,,,,,,,,1,,1,,,,1
,,3,open,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,1,,,,,,
,,4,open,,1,,,,,,,,,,,,1,,,,,,,1,,,,1,,1,,,,,,,,,,,,,,1,,,,,,
,,5,open,,,,,,,,,,,,,1,1,,,,,,,1,,,,,,,1,,,,,,,,,,,,,1,,,,,,
,,6,open,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
,,7,open,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,1,,,,,,,,1,,,,,,,,,,,
,,8,open,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
,,9,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,10,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,11,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,12,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,13,open,,1,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,14,open,,1,,,,,,,,,1,,,,,,1,,,1,,,,,,,,,,,,,,,,,1,,,,,,1,,1,,
,,15,open,,1,,,,,,,,,,,,1,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
,,16,open,,,,,,,,,,,,,1,,,,,1,,,1,,,,,,1,,,,,,,,,,,,,,,,1,,,,
,,17,open,,1,,,,,,,,,1,,1,1,,,,,,1,,,1,,1,,,,,,,,,,,1,1,,,1,,,,,,,1
,,18,open,,1,,,,,,,,1,1,,1,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,1
,,19,open,,1,,,,,,,,,,,,,,,,,,1,1,,,,1,,1,1,,,,,,,,,1,,,,,,,,,,
,,20,open,,1,,,,,,,,,1,,,,,,,,,1,,,1,,1,,,1,,,,,,1,,,,,,,,1,,,,,1
,,21,open,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,22,open,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
,,23,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,24,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,25,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,26,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,27,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,28,open,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
,,29,open,,,,,,,,,,,,,1,,,,,,,,1,,1,,,,,,,,,,,,,1,,,,,,1,,,,,
,,30,open,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
,,31,open,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,32,open,,1,,,,,1,,,,,,1,,,,1,,,1,,,,,1,,1,,,,,,,,,,,,1,1,,,1,,,,
,,33,open,,1,1,,,,,,1,1,,,1,,,,,1,,1,1,,1,,,,1,,,,,,,,,,,,1,,,,,,,,1
,,34,open,,,1,,,,,,,,,,1,1,,,1,,,1,,,,,,,1,,,,,,,,,,,,,1,,,1,,1,,
,,35,open,,,,,,,,,,,,,1,1,,,,1,,,1,,,,,,1,1,,,,,,,,,,,,1,,,1,,,,
,,36,open,,,,,,,,,,,,,1,,,,,,,,1,,1,,,,,,,,,,,,1,,,,,,,1,1,,,,
,,37,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
,,38,open,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,39,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,40,open,,1,,,,,,,1,1,1,,,1,,,,1,,1,1,,,,,,,,,,,,,,,,,,1,1,,,,,,,
,,41,open,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,1,,,,1
,,42,open,,1,1,,,,,,1,,,,1,1,,,,1,,,1,,,,1,,,1,,,,,,1,,,,,,,,,1,,,,
,,43,open,,,,,,,,,,,1,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
,,44,open,1,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,
,,45,open,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
,,46,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,47,open,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
