Site064,Azorella_monantha,sample,cushion.open,Acaena_sp,Acaena_sp1,Adesmia_sp5,AstUnk2_sp,Azorella_licopodioidis,Calceolarea_sp,Empetrum_sp,Epilobium_sp,Erigeron_sp3,Festuca_sp3,Haplopappus_sp,Lathyrus_sp,Lotus_sp,Luzula_sp3,Nassauvia_sp,Nassauvia_sp1,Nassauvia_sp2,Oxalis_sp1,Perezia_sp,Saxifraga_sp3,Saxifraga_sp4,Senecio_sp5,Thlaspi_sp,Trisetum_sp1
,,83,cushion,,,,,1,,,,,,,,,,1,,,,,,,,,1
,,84,cushion,,,,,,,,,,,,,,,,,,,,,,,,
,,85,cushion,,,,,,,,,,1,,,,,1,,1,,,,,,,
,,86,cushion,,,,,,,,,,,,,,,,1,,,,,,,,
,,87,cushion,,,,,,,,,,2,,,,,,,,,,,,,1,
,,88,cushion,1,,,,,1,,,,8,,,,,,,6,2,,,,,,
,,89,cushion,,,,,,,,,,,,,,,,,,,,,,,,
,,90,cushion,,,,,,,,,,,,,,,1,,,1,,,,,,
,,91,cushion,,,,,,,,,,2,,,,,,,,4,,,,,,
,,92,cushion,,,,,,,,,,1,,,,,2,,,8,3,,,,,
,,93,cushion,,,,,,1,,,,9,,,,,,1,,,11,,,,,
,,94,cushion,,,,,,,,,,1,,,,,,,,,,,,,,
,,95,cushion,,,,,,,,,,,,,,,,,,,,,,,,
,,96,cushion,,,,,,,,,,2,,,,,,1,,,4,,,,,
,,97,cushion,,,,,,,,,,,,,,,,1,,,1,,,,,1
,,98,cushion,,,,,,,,,,,,,1,,,1,1,1,3,,,,,1
,,99,cushion,,,,,,,,,,1,,,,,,3,,5,7,,,,,
,,100,cushion,,,,,,,,,,,,,,,,,,2,,,,,,
,,101,cushion,,,,,,,,,,1,,,,,1,,,1,1,,,,,
,,102,cushion,3,,,,,,,,,1,,,,,,,6,,,,,,,2
,,103,cushion,,,,,,,,,,,,,,,,,,,,,,,,1
,,1,open,1,,,,,,,1,,1,,,,,1,,,1,,,,1,,
,,2,open,,,,,,,,,,1,,,,,1,,,1,,,,,,
,,3,open,,,,,,4,3,,,,,,,,,,,,4,,,,,
,,4,open,5,,,,1,,,,,,,,,,,,,7,,,,,,
,,5,open,,,,,,,,,,,,,,,,,,1,,,,,,
,,6,open,,,,,,,,,,,,,,,,,,,,,,,,
,,7,open,,,,,,,,,,,,,,,,1,,2,5,,,,,
,,8,open,,,,,,,,,,,,,,,,,,,,,,,,
,,9,open,1,,,,,,,,,,,,,,,,,,,,,,,
,,10,open,,,,,,,,,,,,,,,,,,,,,,,,
,,11,open,,,,,,,,,,,,,,,,,,,,,,,,
,,12,open,,,,,,,,,,,,,,,,,,,,,,,,
,,13,open,,,,,,,,,,,,,,,,,,,,,,,,
,,14,open,,,,,,,,,,,,,,,,,,4,,,,,,
,,15,open,,,,,,2,,,,,,,,,,,,,,,,1,,
,,16,open,,,,,,,,,,,,,,,,1,3,5,,,,,,
,,17,open,,,,,,,,,,,,,,,,,,,,,,,,
,,18,open,,,,,,,,,,,,,,,,,,3,,,,,,
,,19,open,,,,,,,,,,,,,1,,,,,,1,,,,,
,,20,open,,,,,,,,,,,,,,,,,,,,,,,,
,,21,open,,,,,,,,,,,,,,,,,,3,,,,,,
,,22,open,,,,,,,,,,,,,,,,,,,,,,,,
,,23,open,,,,,,,,,,,,,,,,,,2,2,,,,,
,,24,open,,,,,,,,,,,,,,,,,,1,1,,,,,
,,25,open,,,,,,,,,,,,,,,,,,2,,,,,,
,,26,open,,,,,,,,,,,,,,,,,,,,,,,,
,,27,open,,,,,,,,,,,,,,,,,,1,,,,,,
,,28,open,,,1,,,,,,,,,,,,,,,3,1,,,,,
,,29,open,,,,,,,,,,,,,,,,,,,1,,,,,
,,30,open,,,,,,,,,,,,,,,,,,,,,,,,
,,31,open,,,,,,,,,,,,,,,,,,1,,,,,,
,,32,open,,,,,,,,,,,,,1,,,1,1,5,16,,,,,
,,33,open,,,,,,,,,,,,,,,1,,,1,,,,,,
,,34,open,,,,,,,,,,,,,,,1,,,,,,,,,
,,35,open,2,,,,,,,,,,,,,,2,,,2,,,,,,
,,36,open,1,,,,,,,,,1,1,,,,,,,,,,,,1,
,,37,open,1,,,,,1,,,,,,,,,,,,,2,,,,,
,,38,open,,,,,1,3,,,,,,1,,,,,,1,17,,,,,
,,39,open,,,,,,,,,,,1,,,,,,,3,4,,,,,
,,40,open,,,,,,,,,,,,,,,,,,,,,,,,
,,41,open,1,,,,,,,,,2,1,,,,1,,,3,5,,,,,
,,42,open,,,,,,,,,,,,,,,,,,,,,,,,
,,43,open,1,,,,,,,,,,,,,,1,,,,14,,,,,
,,44,open,,,,,,,2,,,1,,,,,,,,2,,,,,,
,,45,open,,,,,,,,,,,1,,,,,,,3,4,,,,,
,,46,open,,,,,,,2,,,,,,,,2,,,1,,,,,,
,,47,open,,,,,,,,,,,,,,,2,,,3,1,,,,,
,,48,open,,,,,,,,,,,,,,,,,,2,1,,,,,
,,49,open,,,,,,,,,,,,,,,3,,,,2,,,,,
,,50,open,,,,,,,,,,,,,,,,,,,,,,,,
,,51,open,,,,,,,,,,,,,,,1,,,,,,,,,
,,52,open,,1,,,,,,,,,,,2,,8,,,,,,,,,
,,53,open,,,,,,,,,,,,,,,,,,,,,,,,
,,54,open,,,,,,,,,,,,,,,,,,,,,,,,
,,55,open,,,,,,,,,,,,,,,,,,1,,,,,,
,,56,open,,,,,,2,,,,,,,,,,1,,3,10,,,,,
,,57,open,,,,,,,,,,,,,,,,,,,,,,,,
,,58,open,,,,,,,,,,,,,1,,,,,5,1,,,,,
,,59,open,,,,,,,,,,,,,2,,,,,3,,,,,,
,,60,open,,,,,,,,,,,,,,,,,,,,,,,,
,,61,open,,,,,,,,,,,,,,,,,1,2,1,,,,,
,,62,open,,,,,,,,,,,,,,,,,,,,,,,,
,,63,open,,,,,,,,,,,,,,,,,,1,,,,,,
,,64,open,,,,,,,,,,,,,,,,,,,,,,,,
,,65,open,,,,,,,,,,,,,1,,,,,,,,,,,
,,66,open,,,,,,,,,,,,,,,,,,,,,,,,
,,67,open,,,,,,,,,,,,,,,,,,,,,,,,
,,68,open,,,,,,,,,,,,,,,2,,,,4,,,,,
,,69,open,,,,,,,,,,,,,,,,,,,,,,,,
,,70,open,,,,,,,,,,,,,,,,,,,,,,,,
,,71,open,,,,,,,,,,,,,,,,,,,,,,,,
,,72,open,,,,,,,,,,,,,,,1,,,1,,,,,,
,,73,open,,,,,,,,,,,,,,,,,,2,2,,,,,
,,74,open,,,,,,,,,,,,,,,,,,,,,,,,
,,75,open,,,,,,,,,,,,,,,,,,,,,,,,
,,76,open,,,,,,,,,,,,,,,2,,,,,,,,,
,,77,open,,,1,,,,,,,,,,,,1,,,1,,,,,,
,,78,open,,,,,,,,,,,,,,,,,,,,,,,,
,,79,open,,,,,,,,,,,,,,,,,,3,,,,,,
,,80,open,,,,,,,,,,,,,2,,,,,,,,,,,
,,81,open,,,,,,,,,,,,,,,,,3,9,9,,,,,1
,,82,open,,,,,,,,,,,,,1,,,,,,,,,,,
,,83,open,,,,,,,,,,,,,,,,,,1,,,,,,
,,84,open,,,,,,,,,,,,,,,,,,2,11,,,,,
,,85,open,,,,,,,,,,3,,,,,,,,,,,,,,
,,86,open,,,,,,,,,,,,,,,,,,,,,,,,
,,87,open,,,,,,,,,,,,,,,,,,1,,,,,,
,,88,open,,,,,,,,,,,,,1,,,,,,,,,,,
,,89,open,,,,,,,,,,,,,,,,,,,,,,,,
,,90,open,,,,,,,,,,,,,,,,,,,,,,,,
,,91,open,,,,,,,,,,,,,,,,,,1,,,,,,
,,92,open,,,,,,,,,,,,1,,,,,,4,,,,,,
,,93,open,,,,,,,,,,,,,1,,,,,,,,,,,
,,94,open,,,,,,,,,,2,,,,,,,,2,,,,,,
,,95,open,,,,,,,,,,,,,,,,1,,1,,,,,,
,,96,open,,,,,,,,,,,,,1,,,,,,,,,,,
,,97,open,,,,,,,,,,,,,,,,,,,,,,,,
,,98,open,,,,,,,,,,,,,,,,,,,,,,,,
,,99,open,,,,,,,,,,,,,,,,,,,,,,,,
,,100,open,,,,,,,,,,,,,,,,,,,,,,,,
,,101,open,,,,,,,,,,,,,,,,,,,,,,,,
,,102,open,,,,,,,,,,,,,,,,,,,,,,,,
,,103,open,,,,,,,,,,,,,,,1,,2,,,,,,,
