Site031,Silene_acaulis,sample,cushion.open,Arenaria_obtusifolia,Artemisia_scopulorum,Aster_alpigenus,Bupleurum_americanum,Carex_phaeocephala,Castilleja_pallescens,Cerastium_arvense,Douglasia_montana,Draba_paysonii,Draba_praealta,Erigeron_caespitosum,Erigeron_rydbergii,Eritrichium_nanum,Festuca_ovina,Gentiana_algida,Geum_rossii,Koeleria_crassipes,Lupinus_argenteus,Luzula_spicata,Phlox_pulvinata,Poa_alpina,Polemonium_viscosum,Polygonum_bistortioides,Potentilla_diversifolia,Sedum_lanceolatum,Senecio_canus,Smelowskia_calycina,Trifolium_nanum
,,21,open,,,,,,,,,,,,2,,,,5,,,,,,,,2,,5,,
,,22,open,,10,,1,3,,,,,,,1,,,,5,,,,,,,,,,,,
,,23,open,2,6,,1,10,,,,,,,1,,2,,2,,,,1,,,,1,1,,,
,,24,open,1,5,,,8,,,,,,,,,1,,4,,,,,,,,1,,,,
,,25,open,3,1,,,6,,,,,,,1,1,,,2,,,,,,,,,2,,,
,,26,open,,9,,,6,,,,,,,,,3,,3,,,,,,,,,1,,,
,,27,open,2,2,,,,,,,,,,,,,,4,,1,,,,,,1,2,,,
,,28,open,,5,,,4,,,,,,,1,,3,,7,,,,,,1,,,1,,,
,,29,open,,6,,,3,,,,,,,,,3,,2,,1,,,,,,,1,,,
,,30,open,,3,,,4,,,,,,,1,,,,5,,,,,,,,2,,,,
,,31,open,,6,,,12,,,,,,,,1,,,2,,,,1,,,,,1,,,
,,32,open,1,,,,,,,,,,,,,1,,4,,,,,,,5,,,,,
,,33,open,2,,,,2,,,,,,,,,8,,2,,,,1,,,,,,,,
,,34,open,3,,,,7,,,,,,,,,3,,8,,,,,,,,2,,,,
,,35,open,1,1,,,,,,,,,,,,,,4,,,,,,,,,,,,
,,36,open,2,,,,,,,,,,,3,,5,,1,,,,,,,4,,,,,
,,37,open,2,4,,,,,,,,,,1,1,1,,4,,,,,,,,,1,,,
,,38,open,4,,,,5,,,,,,,,,1,,13,,,,,,,,,1,,,
,,39,open,,,,,13,,,,,,,2,,,,15,2,,2,4,,,,,,,,
,,40,open,3,,,,7,,,,,,,,,3,,20,,,,1,,,,5,,,,
,,41,open,,,,,13,,,,,,,7,,,,13,,,1,1,,,,,,,2,
,,42,open,2,,,,4,,,,,,,1,,8,,8,,,1,1,,,,,,,,1
,,43,open,3,,,,12,,,,,,,,,,,15,,,,,,,,,1,,,
,,44,open,,2,,,2,,,,1,,,,,3,,3,,,,,,,,,1,,,
,,45,open,4,3,,,,,,,,,,,,4,,10,,,3,,,,,2,,,,
,,46,open,,3,,,10,,,,,,,,1,2,,8,,,,,,,,,,,,
,,47,open,6,3,,,,,,,,,,,,2,,14,,,,,,,,3,4,,,
,,48,open,1,,,,8,,,,,,,,,,,1,,,,,,,,,,,,
,,49,open,1,2,,,6,,,,,,,,1,,,2,,,,,,,,,,,,
,,50,open,3,,,,5,,,,,,,,,,,5,,,,1,,,,1,,,,
,,51,open,2,,,,19,,,,,,,,1,,,2,,,,,,,,,,,,
,,52,open,,3,,,3,,,,,,,,1,,,2,,,,,,,,,,,,
,,53,open,1,5,,,8,,,,,,,,,,,2,,,,,,,,,,,,
,,54,open,,7,,,3,,,,,,,,,,,,,,,,,,,,,,,1
,,55,open,,4,,,14,,,,,,,,,,,1,,,,,,,,4,,,,
,,56,open,2,8,,,2,,,,,,,,1,,,10,,,,,,,,,,,,
,,57,open,4,2,,,1,,,,,,,,,,,1,,,,,,,,,,,,1
,,58,open,2,3,,,,,,,,,,,,,,,,,,1,,,,,,,,
,,59,open,,6,,,6,,,,,,,,,,,5,,,,,,,,,,,,7
,,60,open,,4,,,1,,,,,,,,1,,,4,,,,,,,,,,,,
,,61,open,,6,,,,,,,,,,5,,,,9,,,,2,,,,3,,,,2
,,62,open,1,2,,,3,,,,,,,,,,,1,,,,,,,,,,,,
,,63,open,4,5,,,,,,,,,,,,,,2,,,,,,,,,,,2,
,,64,open,,1,,,10,,,,,,,2,4,,,,,,,2,,,,,,,,1
,,65,open,3,,,,,,,,,,,3,,,,3,,,,1,,,,,,,,
,,66,open,1,,,,,,,,,,,,1,,,4,,,,1,,,,,,,,1
,,67,open,,3,,,2,,,,,,,,,,,5,,,,,,,,,,,,
,,68,open,,9,,,10,,,,,,,,,,,10,,,,1,,,,2,,,,
,,69,open,1,,,,5,,,,,,,,,2,,12,,,,,,,,,,,,
,,70,open,,2,,,12,,,,,,,8,,,,10,,,,1,,,,,,,4,
,,71,open,1,,,,10,,,,1,,,1,,,,7,,,,1,,,,,,,8,
,,72,open,1,,,,12,,,,,,,,,2,,6,,,,1,,,,,,,8,
