Site080,Arenaria_tetraquetra_amabilis,sample,cushion.open,Biscutella_glacialis,Chaenorhinum_glareosum,Erigeron_frigidus,Eryngium_glaciale,Euphrasia_willkommii,Festuca_clementei,Galium_pyrenaicum,Herniaria_boissieri,Hormathophylla_spinosa,Jasione_amethystina,Leontodon_boryi,Nevadensia_purpurea,Trisetum_glaciale
,,19,open,,,,,,,,,,,,1,
,,20,open,,,,,,,,,,,,,
,,21,open,,,,,,,,,,,,1,
,,22,open,,,,,,,3,,,3,,2,
,,23,open,,,,,,,,,,,,,
,,24,open,,,,,,,,,,1,,,
,,25,open,,,,,,,,,,,,,
,,26,open,,,,,,,,,,,,,
,,27,open,,,,,,,,,,,,1,
,,28,open,,,,,,,3,,,,,1,
,,29,open,,,,,,,,,,,,,
,,30,open,,,,,,,,,,,,,
,,31,open,,,,,,,,,,,1,,
,,32,open,,,,,,,,,,,,,
,,33,open,,,,,,,,,,,,,
,,34,open,,,,,,,,,,,,,
,,35,open,,,,,,,,,,,,,
,,36,open,,,,,,,,,,1,,,
,,37,open,,,,,,,,,,,,,
,,38,open,,,,,,,,,,,,,
,,39,open,,,,,,,,,,,,,
,,40,open,,,,,,,,,,,,,
,,41,open,,,,,,,,,,,,,
,,42,open,,,,,,,,,,,,,
,,43,open,,,,,,,1,,,1,,,
,,44,open,,,,,,,,,,,,,
,,45,open,,,,,,,,,,,,,
,,46,open,,,,,,,,,,,,,
,,47,open,,,,,,,,,,,,,1
,,48,open,,,,,,,,,,,,,
,,49,open,,,,,,,,,,,,,
,,50,open,,,,,,,,,,,,,
,,51,open,,,,,,,4,,,3,,,
,,52,open,,,,,,,,,,,,,
,,53,open,,,,,,,,,,,,,
,,54,open,,,,,,,8,,,,,,
,,55,open,,,,,,,,,,,,,
,,56,open,,,,,,,,,,,,,
,,57,open,,,,,,,,,1,,,,
,,58,open,,,,,,,,,,,,,
,,59,open,,,,,,,,,,,,,
,,60,open,,,,,,,,,,1,,,
,,61,open,,,,,,,,,,,,,
,,62,open,,,,,,,,,,,,,
,,63,open,,,,,,,,,,,,,
,,64,open,,,,,,,,,,2,,,
,,65,open,,,,,,,,,,,,2,
,,66,open,,,,,,,,,,1,,,
,,67,open,,,,,,,,1,,1,,,
,,68,open,,,,,,,,,,,,,
,,69,open,2,,,,,,,,,,,,
,,70,open,,,,,,,,2,,,,,
,,71,open,,,,,,,,,,,,,
,,72,open,,,,,,,,,,,,,
,,73,open,,3,,,,,1,,,,,,
,,74,open,,,,,,,9,,,,,,
,,75,open,,,,,,,,,,,,,
,,76,open,,,,,,,6,,,,,,
,,77,open,,,,,,,,,,,,,
,,78,open,,,,,,,,,,,,,
,,79,open,,,,,,,,,,,,,
,,80,open,,,,,,1,4,,,,,,
,,81,open,,,,,,,,,,,,,
,,82,open,,,,,,,,,,,,,
,,83,open,,,,,,,,,,,,1,
,,84,open,,,,,,,,,,,,,
,,85,open,,,,,,,,,,,,,
,,86,open,,,,,,,,,,1,,,
,,87,open,,,,,,,,,,,,,
,,88,open,,,,,,,,,,,,1,
,,89,open,,,,,,,,,,,,,
,,90,open,,,,,,1,,,,,,,
,,91,open,,,,,,1,,,,2,,,
,,92,open,,,,,,,,,,1,,,
,,93,open,,,,,,,,,,,,,
,,94,open,,3,,,,,1,,,5,,,
,,95,open,,,,,,,,,,2,,,
,,96,open,,,,,,,,,,,,,
,,97,open,,,,,,,,,,,,,
,,98,open,,,,,,,,,,,,,
,,99,open,,,,,,,,,,,,,
,,100,open,,,,,,,,,,1,,,
