Site075,Silene_acaulis,sample,cushion.open,Achillea_sp,Agrostis_sp2,Antennaria_alpina,Antennaria_sp,Arnica_sp,Carex_nardina,Carex_sp10,Carex_sp11,CaryUnk4_sp,Doronicum_sp,Draba_sp2,Erigeron_sp7,Festuca_sp5,Festuca_sp6,Koeleria_sp3,Luetkea_sp,Luzula_sp4,Luzula_glabra,Penstemon_sp,Phlox_sp1,Phyllodoce_glandulosa,Poa_alpina,Potentilla_heptaphylla,Potentilla_villosa,Sibbaldia_sp,Solidago_sp1,Saxifraga_bronchialis,Taraxacum_sp1
,,74,cushion,,,,,,1,,,,,1,,1,,,,,,,,,,,,,5,,
,,75,cushion,,,,,,,,,,,,,,,,,,,,,,,,,,4,,
,,76,cushion,,,,,2,,,,1,,,,1,,,,,,,,,,,,,1,,
,,77,cushion,,,,,,,,,,,,,1,,,,3,,,,,1,,,2,1,,
,,78,cushion,,,,,3,,,,1,,,,,,,,,,,,,2,,,,2,,
,,79,cushion,,,,,,,3,,,,,,2,,,,,,,,,2,,,4,4,,
,,80,cushion,,,,,,4,,,,,1,,5,,2,,,,,,,5,,,3,10,,
,,81,cushion,,,,,1,3,,,,,,2,,,3,,,,,,,4,,,,5,,
,,82,cushion,,,,,3,5,,,,,,,3,,,,,,,,,,,,,1,,
,,83,cushion,,,,3,3,,,,,,,,,,,,,,,1,,,,,,,,1
,,84,cushion,,,,,,,3,,,,,,2,,1,,2,,,3,,,,,,,,
,,85,cushion,,,,,5,,1,,,,,,1,,1,,,,,,,1,,,,,,
,,86,cushion,,,,4,1,,6,,,,,,1,,,,1,,,,,2,,,,12,,
,,87,cushion,,,3,,2,,,,,,,,1,,,,2,,,,,,,,,1,,
,,88,cushion,,,2,1,3,,,,,,,,5,,,,,,,,,,,,5,1,,
,,89,cushion,,,4,,,4,,,,,,,2,,,,,,,,,,,1,,,,
,,90,cushion,,,,2,,,1,,,,,,4,,,,,,,,,,2,,1,4,,
,,91,cushion,,,,,,1,1,2,,,,,1,,,,,,,,,2,,,2,8,,
,,92,cushion,,,,,,,,,,,,,3,,1,,,,,,,2,1,,3,,,1
,,93,cushion,,,,,10,,5,,,,2,,2,,,,,,,,,,,,,,,
,,94,cushion,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
,,95,cushion,,,3,1,3,,1,,,,,,7,,,,,,,,,,1,,,6,,
,,96,cushion,,,,,,,,,,,,,,,,,,,,,,,,,3,,,
,,97,cushion,,,,,2,,2,,,,,,1,,,,,,,,,,1,,,1,,
,,98,cushion,,,,,8,2,,,,,,,,,5,,,,,,,,3,,,3,,
,,99,cushion,,,,,8,,10,,,,,,1,,,,,,,,,3,,,1,18,,
,,100,cushion,,,,,,3,,,1,,,5,2,,6,,,,,,,3,,,,8,,
,,1,open,,,,,,,,,,,,,1,,2,,,,,,,,,,,,,
,,2,open,,,1,,8,3,,,,,,,3,,,,,,,,,,,,1,,,
