"Site073","Saponaria_caespitosa","sample","cushion.open","Agrostis_sp1","Alchemilla_sp","Anthyllis_sp","Arenaria_sp1","Carex_sp8","Carex_sp9","CaryUnk3_sp","Cerastium_sp2","Cirsium_sp2","Crepis_sp","Daphne_sp","Draba_sp1","Dryas_octopetala","Erigeron_sp5","Erigeron_sp6","Festuca_sp4","Gentiana_sp2","Gentiana_sp3","Gentiana_sp4","Globularia_sp","Helianthemum_sp","Hieracium_sp","Hieracium_sp1","Koeleria_sp2","LamUnk_sp","Leontodon_sp2","Leucanthemum_sp","Linaria_sp1","Oreochloa_sp","Polygala_sp","Saxifraga_sp5","Saxifraga_sp6","Saxifraga_oppositifolia","Teucrium_sp","Veronica_sp"
,,68,"open",,,,,,,,,,,,,,,,,,,,,3,,,2,,,,1,,,,,,,
,,69,"open",,,2,,2,,,,,,,,,,,,,,,,2,,,1,,,,,1,,,1,,,
,,70,"open",,,,,4,,,,,,,1,,,,,,,,,1,,,,,,,,1,,,,,,
,,71,"open",,,1,,,,,,,,,1,,,,,,,,,1,,,,,,,,1,,1,,,,
,,72,"open",,,2,,,,,,,,,,,,,,,,,,6,,,3,,,,,4,,,,1,,
,,73,"open",,,1,,7,,1,,,,,,,,,,,,,,3,,,,,,,2,,,,,,,2
,,74,"open",,,3,,8,,,,,,,,,,,,2,,,,1,,,5,,,,,,,,,,,
,,75,"open",,,3,,13,,,,,,,,,,,,,,,,3,,,,,,,,4,,,,,,
,,76,"open",,,,,10,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,
,,77,"open",,,,,6,,,,,,1,,,,,,,,,,6,,,,,,,,,,,,,,
,,78,"open",,,1,,13,,,,,,,1,,6,,,,,4,,12,,,,1,,,2,,,,,,,
,,79,"open",,,1,,9,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,
,,80,"open",,,1,,5,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
,,81,"open",,,2,,20,,,,,,,,,,,,,,,,4,,,1,,,,,,,,,,,
,,82,"open",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,83,"open",,,,,3,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
,,84,"open",,,1,,8,,,,,,,3,,,,,,,,,4,,,1,,,,,,,,,,,
,,85,"open",,,1,,16,,1,,,,,,,,,,,,,,4,,,1,,,,2,5,,3,,,,
,,86,"open",,,,,7,,,,,,,,,,,,,,,,,,,1,1,,,1,,,,,,,
,,87,"open",,,2,,8,,,,,,,,,4,,,,,,,2,,,,,,,,,,,,,,
,,88,"open",,,2,,5,,,,,,,,,,,,,,,,2,,,,,,,,1,,,,,,
,,89,"open",,,,,6,,,,,,,,,,,,,,,,1,,,,1,,,,1,,,,,,
,,90,"open",,,,,4,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,
,,91,"open",,,,,6,,1,,,,,1,,,,,,,,,3,,,1,,,,2,,,,,,,
,,92,"open",,,4,,12,,,,,,,,,,,,,,,,8,,,3,,,,,,,1,,,,
,,93,"open",,,1,,5,,2,,,,,,,1,,,,,,,2,,,,,,1,,,,,,,,
