Site087,Silene_acaulis,sample,cushion.open,Agoseris_glauca,Androsace_chamaejasme,Antennaria_lanata,Arenaria_rossii,Astragalus_alpinus,Carex_geyeri,Cerastium_arvense,Claytonia_megarhiza,Erigeron_canus,Erigeron_compositus,Festuca_idahoensis,Geum_rossii,Hulsea_algida,Oxytropis_campestris,Phacelia_sericea,Polemonium_viscosum,Potentilla_nivea,Saxifraga_bronchialis,Saxifraga_oppositifolia,Sedum_lanceolatum,Sedum_roseum,Smelowskia_calycina,Solidago_multiradiata,Stellaria_americana
,,80,cushion,,,2,,,,,,,4,,,,,,,,,,,,1,,
,,1,open,,,,,,,,,,4,,,,,,,,,,,,,,
,,2,open,,,,,,,,,,,,,,,,,,,,,,,,
,,3,open,,,1,,,,,1,,,,1,,,,,3,,,,,1,,
,,4,open,,,,,,,,,,,,,,,,,,,,,,,,
,,5,open,,,,,,,,,,,,,,,,,,,,,,,,
,,6,open,,,,,,,,,,,,,,,,,,,,,,,,
,,7,open,,,,,,,,,,,,,,,,,,,1,,,,,
,,8,open,,,,,,,,,,,,,,,,,,,,,,,,
,,9,open,,,1,,,,,,,4,,1,,,,1,,,,,,1,,
,,10,open,,,,,,,,,,,,,,,,,,,,,,,,
,,11,open,,,1,,,,,,,,,,,,,,,,,,,2,,1
,,12,open,,,,,,,,,,,,,,,,,,,,,,,,
,,13,open,,,1,,,,,,,,,,,,,,,,,,,,,
,,14,open,,,,,,,,,,1,,,,,,,,,1,,,,,
,,15,open,,,,,,,,,,1,,,,,,,,,,,,,,
,,16,open,,,,,,,,,,,,,,,,,,,,,,,,
,,17,open,,,,,,,,,,,,,,,,,,,,,,,,
,,18,open,,,,,,,,,,1,,,,,,,,,,,,,,
,,19,open,,,,,,,,,,,,,,,,,,,,,,,,
,,20,open,,,,,,,,,,6,,1,,,,,,,,,,1,,
,,21,open,,,,,,1,,,,,,,,,,,,,,,7,1,,
,,22,open,,,,,,,,,,,,,,,,,,,,,,,,
,,23,open,,,,,,,,,,,,,,,,,,,,,,,,1
,,24,open,,,,,,,,,,,,,,,,,,,,,,,,
,,25,open,,,,2,,,,,,,,,,,,,1,,,,,2,,
,,26,open,,,,,,,,,,,,,,,,,,,,,,,,2
,,27,open,,,,,,,,,,,,,,,,,,,,,,,,
,,28,open,,,,,,,,,,,,,,,,,,,,,,,,
,,29,open,,,,,,,,,,,,2,,5,,,,,,,,,,
,,30,open,,,,,,,,,,,,,,,,,,,,,,,,
,,31,open,,,,,,,,,,,,,,,,,,,,,,2,,
,,32,open,,,,,,,,,,,,,,,,,,,,,,,,
,,33,open,,,,,,,,,,,,,,,,,,,,,,,,1
,,34,open,,,,,,,,,,,,,,,,,,,,,,,,
,,35,open,,,,,,,,,,,2,,,,,,8,,,,,2,1,1
,,36,open,,,,,,,,,,,,,,,,,,,,,,1,,
,,37,open,,,,,,,,,,3,,,,,,,,,,,,,,
