Site013,Laretia_acaulis,sample,cushion.open,Adesmia_sp2,Adesmia_sp3,Adesmia_sp4,Anarthrophyllum_gayanum,Barneoudia_major,Berberis_empetrifolia,Bromus_catharticus,Bromus_setifolius,Calandrinia_caespitosa,Chaetanthera_euphrasioides,Chaetanthera_pusilla,Chuquiraga_oppositifolia,Erigeron_andicola,Euphorbia_collina,Haplopappus_scrobiculatus,Hordeum_comosum,Montiopsis_gayana,Nassauvia_axillaris,Nassauvia_uniflora,Nastanthus_agglomeratus,Oxalis_squamata,Perezia_carthamoides,Perezia_pilifera,Phacelia_secunda,Poa_alopecurus,Polygala_salasiana,Quinchamalium_chilense,Rhodophiala_uniflora,Senecio_bustillosianus,Senecio_polygaloides,Taraxacum_officinale,Thlaspi_magellanicum
,,63,cushion,,,,,4,,,,,,,2,,1,,,,,,,,,,,6,,,,,1,,
,,64,cushion,1,,,,,,,8,,,,,,,,,,,1,,,,,,,,,,,,,
,,65,cushion,,,,,,,,,1,,,2,,,,,,,,,,,,,3,1,,,,1,,
,,66,cushion,,,,,,,,5,,,,,,,,,,,1,,,,,,,1,,,,,1,
,,67,cushion,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,1,,
,,68,cushion,,,,,2,,3,6,1,,,4,,2,,1,1,,,,,,,,5,,,1,,1,,
,,69,cushion,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,2,,
,,70,cushion,,,,,,,,4,,,,,,3,,,,,1,,,,,,,,,,,2,,
,,71,cushion,1,,,,,,,5,,,,,,,,2,1,,2,,,,6,,3,1,,2,,,3,1
,,72,cushion,,,,,,,,1,,,,,,,,,,,,,,,12,,1,,,,,1,,
,,73,cushion,,,,,,,,7,,,,,,,,1,,,,,1,1,,,,1,2,,1,,,
,,74,cushion,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,2,
,,75,cushion,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
,,76,cushion,,,,,,,,2,,,,,,,,,,,1,,,,,,,,,,,,,
,,77,cushion,,,,,,,,8,,,,1,,,,,1,,,,,,,,8,,,,,1,,
,,78,cushion,,,,,,,,9,,,,,,,,,,,2,,,,3,,,,,,,1,,
,,79,cushion,,,,,,,,,1,,,,,,,,,,,,,,4,,4,,,2,,1,,
