Site024,Bolax_gummifera,sample,cushion.open,Abrotanella_sp,Acaena_antarctica,Acaena_diminuta,Acaena_magellanica,Acaena_pinnatifida,Adesmia_lotoides,Adesmia_parviflora,Adesmia_pumila,Adesmia_salicornioides,Astragalus_nivicola,Azorella_coespitosa,Azorella_fuegiana,Azorella_licopodioidis,Calceolaria_uniflora,Cerastium_sp,Colobanthus_subulatus,Colobanthus_lycopodioides,Draba_funiculosa,Draba_magellanica,Elymus_sp,Empetrum_rubrum,Erigeron_sp,Eudema_sp,Festuca_magellanica,Hamadryas_sp,Hypochaeris_incana,Leucheria_candidissima,Luzula_sp,Luzula_sp1,Nassauvia_aculeata,Nassauvia_revoluta,Oxalis_enneaphylla,Oxalis_patagonica,Perezia_magellanica,Perezia_pilifera,Pernettya_mucronata,Pernettya_pumila,Phleum_sp,Plantago_sp,Poa_alopecurus,Poa_fuegiana,Poa_pratensis,Poa_pusilla,Senecio_magellanicus,Trisetum_sp,Vicia_bijuga
,,1,cushion,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,1,
,,2,cushion,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,1,,,1,
,,3,cushion,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,1,
,,4,cushion,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,1,,1,,,,,1,,,,
,,5,cushion,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,
,,6,cushion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,
,,7,cushion,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
,,8,cushion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,
,,9,cushion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,
,,10,cushion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,1,,,,,,,
,,11,cushion,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,1,,,,1,,,,
,,12,cushion,,,,,,,,1,,1,,,1,,,,,,1,,,,,,,,,,,,,,,,1,,1,,,,,,,,1,
,,13,cushion,,,,,1,,,,,,,,,,,,,,,,,1,,1,,,,,1,,,,,,,,1,,1,,,,,,,
