Site074,Silene_acaulis,sample,cushion.open,Agrostis_sp,Alchemilla_sp,Anthyllis_sp,Arenaria_sp1,Carex_sp8,Carex_sp9,CaryUnk3_sp,Cerastium_sp2,Cirsium_sp2,Daphne_sp,Draba_sp1,Erigeron_sp5,Festuca_sp4,Gentiana_sp2,Gentiana_sp3,Gentiana_sp4,Globularia_sp,Gnaphalium_sp,Gregoria_vitaliana,Helianthemum_sp,Hieracium_sp,Hieracium_sp1,Koeleria_sp2,LamUnk_sp,Leontodon_sp2,Linaria_sp1,Oreochloa_sp,Oxytropis_sp,Plantago_sp1,Poa_sp2,Potentilla_sp1,Pritzelago_alpina,Saponaria_caespitosa,Saxifraga_sp5,Saxifraga_sp6,Sedum_sp1,Stellaria_sp,Taraxacum_sp,Teucrium_sp
,,54,cushion,1,,3,,57,,,1,,,1,,,,,,1,,,,8,,2,,,,2,2,,,,,,,,,,,
,,55,cushion,,,5,,23,,,,,,,,,,,,2,,,,5,,,,,,,,,,,,,,,,,,
,,56,cushion,,,,,,,,,,,,,,,,,,,,,12,,21,,,,,,,,,,,,,,,,
,,57,cushion,,,,,,,,,,,,,,,,,1,,,,10,,21,,,1,,5,,,,,,,,,,,
,,58,cushion,,,2,,4,,,,,,,,,,,,,,,12,,,16,,,,,,,,,,,,,,,,
,,59,cushion,,,4,,21,,,,,,,,,,,,,,,12,2,,,,,,,,,,,,,,,,,,
,,60,cushion,,,1,,,,,,,,,,,,,,,,,8,1,,3,,,,,,,1,,,,,,,,,
,,61,cushion,5,,4,,,,,,,,,,,,,,,,,6,,,3,,,,,,,6,,,,,,,3,,
,,62,cushion,,,3,,25,,5,,1,,,,,,,,2,,,20,,,,,,,5,,,,,,,,,,,,
,,63,cushion,2,,6,,14,,,,,1,,,,,,,,,,10,,,,2,,1,12,,,,,,,,,,,,
,,64,cushion,,,2,,8,,,,,1,,,,,,,1,,,12,,,,,,,,,,,,,,,,,,,
,,65,cushion,,,,,1,,,,,,,,,,,,,,,3,,,,,,,1,,,,,,,,,,,,
,,66,cushion,,,3,,11,,,,1,,,,2,,,,3,,,10,,,,,,6,,,,,,,,,,,,,
,,67,cushion,,,3,,15,,1,,1,,,,3,,,1,,,,11,,,,1,,,,,,,,,,,,,,,
,,68,cushion,1,,1,,2,,,,,,,,2,,,,,1,,21,,,1,,,7,10,,,,,,,,,,,1,
,,69,cushion,,,1,,12,,,,,,,1,,,,,2,,,,,,,,,1,8,,,,,,,,,,,,
,,70,cushion,,,2,,17,,,,,,,,,,,,,,,9,,,3,,,3,,,,,,,,,,,,1,
,,71,cushion,,,,,26,,,,,,,2,3,,,,4,,,6,,,,,,4,,,,,,,,,,,,,
,,72,cushion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,73,cushion,,,,,5,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,
,,74,cushion,,,3,,8,,,,,,,,,,,,1,,,5,,,4,,,,,,,,,,,,,,,,
,,75,cushion,,,2,,10,,,,,,,3,,,,,,,,2,,,1,,,,,,,,,,,,,,,,
,,76,cushion,1,,3,,5,,,,,,,2,,,,,,,,1,,,1,,,,3,,,,,,,,,,,3,
,,77,cushion,,,,,,,,,,,,,,,,,1,,,3,,,,,,,,,,,,,,,,,,,
,,78,cushion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,79,cushion,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,
,,80,cushion,1,,,,5,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
,,81,cushion,,,,,,,3,,,,,,,,,,1,,,3,,,,,,,,,,,,,,,,,,,
,,82,cushion,,,,,,,,,,,,,,,,,,,,4,,,,,,3,,,,,,,,,,,,,
,,83,cushion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,84,cushion,,,,,,,,,,,1,1,,,,,,,,2,,,,,,,1,,,,3,,,,,,,,
,,85,cushion,7,,,,,,2,,,,,,,,,,,,,1,,,,,,,,,,,4,,,,,,,,
,,1,open,,,,,29,,,,,,,,,,,,3,,,5,,,,,,,,,,,,,,,,,,,
,,2,open,,,1,,11,,,,,2,,,,,,,2,,,5,,,,,,,,,,,,,,,,,,,
,,3,open,,,2,,18,,,,,,,,,,,,,,,5,,,,,,,,,,,,,1,,,,,,
,,4,open,,,,,4,,,,,,,,,,,,,,,3,2,,,,,,,,,,,,,,,,,,
,,5,open,,,1,,13,,,,,,,,,,,,1,,,5,,,,,,,,,,,,,,,,,,,
,,6,open,,,,,10,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,
,,7,open,,,4,1,58,,,,,,1,,,,,,,,,15,,1,,,,,3,1,,,,,,,,,,,
,,8,open,,,1,,14,,,,,,,,,,,,,,,4,,,,,,,,,,,,1,1,,,,,,
,,9,open,,,,,4,,,,,,1,,,,,,,,,2,,,,,,,,,,,,,,,,,,,
,,10,open,,,,,9,,,,,,,,,1,,,,,,3,,,,,,,,,,,,,,2,,,,,
,,11,open,,,,,4,,,,,,,,,,,,,,,3,,,,,,,1,,,,,,,,,,,,
,,12,open,,,,,10,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
