Site052,Silene_acaulis,sample,cushion.open,Agrostis_alpina,Antennaria_carpatica,Arenaria_ciliata,Aster_alpinus,Bartsia_alpina,Carex_capillaris,Carex_curvula,Carex_ericetorum,Carex_parviflora,Campanula_scheuchzeri,Dyras_octopetala,Erigeron_uniflorus,Euphrasia_minima,Festuca_quadriflora,Gentiana_brachyphylla,Gentiana_nivalis,Hedysarum_hedysaroides,Leontodon_helveticus,Leucanthemopsis_alpina,Ligusticum_mutellinoides,Linaria_alpina,Loiseleuria_procumbens,Luzula_lutea,Minuartia_sedoides,Minuartia_verna,Oxytropis_jacquinii,Polygonum_viviparum,Primula_integrifolia,Salix_herbacea,Salix_reticulata,Sesleria_caerulea,Thymus_pulegioides,Vaccinium_uliginosum,Viola_calcarata
,,47,cushion,7,,,,,,,,1,6,,,8,7,1,,,,,1,,,,,2,,5,,,,4,1,,2
,,48,cushion,3,,,,,,,,,11,,,6,,7,,,,,,,,,,4,,,,,,1,1,,2
,,49,cushion,1,,6,,,,,,,10,,,7,,,,,2,,1,,,,,1,,,,,,1,7,,2
,,50,cushion,9,,,,,2,,,,15,,,15,12,8,,,4,,7,,,,5,2,,,1,,,3,2,,12
,,51,cushion,,,,,,,,,,8,,,3,4,,,,,,,,,,,10,,2,,,,3,,,10
,,52,cushion,2,,,,,4,,,,3,,,1,2,3,,,2,,,,,,,,,2,3,,,,,,
,,53,cushion,,,,,,,,,,3,,,3,,1,,,,,1,,,,,,,6,,,,3,1,,5
,,54,cushion,11,,,,,,,11,,1,1,,5,3,,,,3,,,,,,,,,2,35,,,2,1,,
,,55,cushion,10,,1,,,,,,2,5,1,,9,4,1,,,,,3,,,,,1,,7,,,,4,,,2
,,56,cushion,8,,,,,,,,2,15,,,9,,,,,,,1,,,,,,,1,,,,3,,,
,,57,cushion,,,,,,3,,,1,7,,,17,2,,,,2,,1,,,,2,2,,9,,2,,6,,,1
,,58,cushion,,,,,,,,,2,,1,,4,,1,,,,,,,,,,1,,3,,,,6,,,
,,59,cushion,,,,,,,,,,3,,,,1,,,,2,,,,,,,2,,4,,,,4,,,
,,60,cushion,,,2,,,,1,,3,23,,,13,8,4,,,2,,2,,,,,3,,,,,,5,,,7
,,61,cushion,8,,,,,2,,,3,34,,,7,3,4,,,8,,5,,,,2,2,,,,,,5,1,,10
,,62,cushion,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,3
,,63,cushion,,,1,,,,,,,2,,,2,,2,,,2,,2,,,,1,,,1,,,,2,,,1
,,64,cushion,,,,,,,,,,5,,,1,1,,,,,,1,,,,,1,,1,,,,9,2,,8
,,65,cushion,1,,,,,,,,,17,,,4,4,3,,,1,,3,,1,,,3,,1,1,,,9,,,8
,,66,cushion,,,,,,,,,,2,,,,2,,,,,,1,,,,2,,,2,2,,,3,2,,2
,,67,cushion,,,,,,,,,,1,2,,,1,1,,,,,,,,,,,,2,,,,4,,,1
,,68,cushion,3,,1,,,,,3,,18,3,,,5,2,,,,,2,,,,1,2,1,,2,,,3,,,3
,,69,cushion,,,,,,,,,,4,1,,3,2,,,,,,1,,,,,1,,2,,,,3,1,,
,,70,cushion,11,,,,,,,,1,16,3,,5,3,2,,,,,2,,,,,2,,2,,,,4,,,2
,,71,cushion,,,,,,,,5,,6,1,1,5,3,,,7,,,,,,,,,,1,,,,10,,,
,,72,cushion,15,,,,,,,4,,3,7,,4,1,2,,,2,,1,,,,,,,2,,,,6,5,,
,,73,cushion,,,,,,,,,,3,,,,2,,,,,,,,,,,,,,,,,2,1,,1
,,74,cushion,4,,,2,,,,2,,1,3,,1,1,,,,,,,,,,,,,3,,,,,,,
,,75,cushion,1,,,,,,,,2,,1,,3,2,1,,,,,2,,,,,,,2,,,,3,,,
,,1,open,,,,,,,,,,5,,,25,3,1,,,,,3,,,,2,3,,5,,,,,,,
,,2,open,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,
,,3,open,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1
,,4,open,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,
,,5,open,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,1
,,6,open,2,,,,,,,,,,,,4,1,,,,,,,,,,,,,1,,,,2,,,
,,7,open,,,,,,,,,,,,,,1,,,,,,3,,,,1,4,,1,,,,1,,,1
,,8,open,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,
,,9,open,,,1,,,,,,,1,,,13,2,,,,,,2,,,,,3,,1,,,,1,,,
,,10,open,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,2,,
,,11,open,,,,,,,,,,1,,,11,2,,,,,,,,,,,,,,,,,,,,
,,12,open,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,3,,2
,,13,open,1,,,,,,,,,,,,5,,1,,,,,,,,,,3,,2,,,,3,,,
,,14,open,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,
,,15,open,,,,,,,,,,,,,11,1,,,,,,,,,,,,,,,,,,,,
,,16,open,3,,,,,,,,,1,2,,22,,,,,2,,2,,,1,,,,1,,,,,,,
,,17,open,,,,,,,,,,,,,8,2,1,,,,,,,,,,,,,,,,,1,,
,,18,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,2,,,
