Site043,Phyllacne_colensoi,sample,cushion.open,Aciphyllum_congestum,Agrostis_muelleriana,Anisotome_imbricata,Anisotome_capillifolia,Anisotome_haastii,Brachyglottis_bellidioides,Celmisia_bondplanii,Celmisia_glandulosa,Celmisia_laricifolia,Celmisia_sessiliflora,Celmisia_viscosa,Chianochloa_sp,Chianohebe_ciliata,Colobanthus_buchannii,Dracophyllum_muscoides,Epilobium_sp,Euphrasia_sp,Gaultheria_nubicola,Gentiana_divisa,Geum_uniflorum,Haastia_sinclarii,Hebe_hectorii,Hectorella_caespitosa,Hectorella_sp,Koeleria_croizatii,Koeleria_dieffenbachii,Leptinella_goyenii,Leptinella_pectinata,Luzula_crinita,Luzula_pumilia,Marsippospermum_gracile,Myosotis_pulvinasris,Ourisia_glandulosa,Poa_colensoi,Raoulia_grandiflora,Raoulia_hectorii
,,70,cushion,,,1,,,11,,,8,,,,2,,6,,,10,1,3,,,,,4,,,,,,,,13,7,,
,,71,cushion,,,,,,4,,,12,,,3,,,4,,,10,,,,2,,,3,,,,,,,,,11,2,8
,,72,cushion,1,,,,,7,,,90,,,1,,,,,,10,,1,,1,,2,,3,,,,,,,13,14,,
,,73,cushion,1,,,,,5,,,1,,,,1,,5,,,10,,,,,,,,,,,,,,,1,14,3,1
,,74,cushion,2,,1,,,1,,,10,,,,,,6,,,10,,,,,,1,3,,1,,2,,,,13,4,4,
,,75,cushion,1,3,,,,9,,,,,3,2,,,1,,,10,7,,,1,,,6,,2,,13,,,,19,28,1,
,,76,cushion,,1,1,,,,,,22,2,2,1,,,1,,,10,,,,,,,,,,,,,,,15,7,1,
,,77,cushion,,,,,,2,,,,,,,,,,,,7,,,,,,,,,,,,,,,,4,,
,,78,cushion,,,2,,,,,,6,2,,,1,,2,,,10,,,,,,,2,,,,,,,,1,9,,
,,79,cushion,,,,,,2,,,8,6,,1,,,,,,10,1,,,,,,,,,,,,,,16,9,,
,,1,open,,2,1,,,1,,,,,,,2,,,,,,,,,,,,,,6,,,3,,,,,2,2
,,2,open,,,,,,,,,,,,,3,,,,,4,,,,,,,,1,4,,,8,,,,4,,
,,3,open,,6,,,,,,,,,,,1,,3,,,,,,,,,,,,8,,,6,,,,,,
,,4,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
,,5,open,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
,,6,open,,1,,,,,,,,,,,,,1,,,4,,,,,,,,,,,2,2,,,,,,
,,7,open,1,,1,,,3,,,,,,,1,,1,,1,4,,,,,,,,,3,,1,,,,,2,1,
,,8,open,2,3,2,,,1,,,,,1,,2,,2,,,3,,,,,,,,,,,4,,,,,,,
,,9,open,,,1,,,2,,,,,,1,,,3,,,,,,,,,,,1,,,2,,2,,,,,
,,10,open,,,5,,,,,,,,,,5,6,,,,,,,2,,,,,6,2,,5,,,,,5,,
,,11,open,,,3,,,1,,,5,,,,2,,1,,,,,,3,,,,,1,3,,6,,,,,3,,
,,12,open,,,1,1,,,,,,,,,2,3,2,,,,,,1,,,,,4,2,,2,,,,,,,
,,13,open,,,5,,,,,1,1,,,,3,,2,,,,,,1,,,,,,2,,2,,,,,,,
,,14,open,,1,,,,,,,1,,,,,,,,,,,,,,,1,,,3,,,,,,,,1,
,,15,open,,1,,,,,,,,,,,1,,,,,10,,,,,,,,2,,,,1,,,,2,,
,,16,open,,5,,,,,,,,,,,1,,,,,,,,,,,,,,,,,2,,,,1,,
,,17,open,,,,,,,,,1,,,,3,2,,,,,,,,,,,,,,,,1,,,,2,1,1
,,18,open,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,2,,
,,19,open,,,,,,4,,,1,,,,,1,,,,,,2,,,,,,,,,,2,,,,,1,
,,20,open,,,,,,1,,,,,,2,,2,,,,,,,,,,1,2,,3,,,4,,,,2,3,1
,,21,open,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,1,
,,22,open,,,,,,2,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,1,2,
,,23,open,,,,,,,,,,,,,,,,,,2,,,,,,,,1,,,1,,,,,,,
,,24,open,,,1,,,,,,,,,,,,,,,10,,,,,,,,1,1,,,,,,,,,
,,25,open,,,,,,1,,,1,,,,2,1,,,,,,,,,,,,,1,,,1,,,,1,2,
,,26,open,,,,,,1,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,
,,27,open,,,,,,1,,,,,,,,,,,,5,,,,,,,,,4,,3,,,,,1,3,
,,28,open,,,1,,,,,,,,,,,2,,,,,,,3,,,,,,,1,4,,,,,,,
,,29,open,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,3,,
,,30,open,,,,,,,,,,,,,3,,,,,,,,,,,,,1,3,,,5,,,,,1,3
,,31,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,2,,
,,32,open,,,,,,2,,,,,,,4,,3,,,,,,,,,,,,6,,,,,,,,,1
,,33,open,,,1,,,,,,,,,,2,,1,,,,,,,,,,,1,1,,1,,,,,,,
,,34,open,,,,,,,,,,,,,1,,,,,,,1,,,,,2,,10,,,5,,,,2,,
,,35,open,,,2,,,,,,,,,,2,,,,1,,,,,2,,,,,4,,,6,,,,,3,1
,,36,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,37,open,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
,,38,open,,,,,,1,,,,,1,,1,,3,,,,,,,,,,,,2,,,,,,,3,1,
,,39,open,,,,,,,,,,,,,,,1,,,,,,,,,,,1,5,,,2,,,,,,
,,40,open,,,,,,,,,2,,,,,,1,,,,,,,,,,,4,1,,,,,,,,,
,,41,open,,,,,,4,,,1,,,,3,,5,,10,,,4,,1,,,,,2,,,,,,,,,1
,,42,open,,,,,,,,,,,,,1,,1,,,10,,,,,,,,,,,,,3,,,,,
,,43,open,,,,,,6,,,4,,,,1,,1,,,6,,,,,,,,1,1,,,,,,,,,
,,44,open,,,,,,4,,,5,,,,1,,1,,,,,,,,,,,,3,,,1,3,,,,,1
,,45,open,,,,,,,,,,,,,,,2,,,2,,,,,,,,,3,,,,,,,1,,
,,46,open,,,,,,,,,,,,,1,,,,,,,,,,,,,,4,,,1,,,,,,
,,47,open,,,1,,,,,,,,,,1,,5,,,,,,,,,,,2,3,,,,,,,,,
,,48,open,,,,,,,,,,,,,1,,,,,,,,,,,,,2,5,,,3,,,,,,
,,49,open,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,1
,,50,open,,,,,,,,,,,,,,,1,,,1,,,,,,,,1,,,,,,,,,,
,,51,open,,,1,,,,,,,,,,1,1,2,,,,,,,,,,,,10,,,6,,,,,1,
,,52,open,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,3,,,,,,
,,53,open,,1,,,,,,,,,,,2,,,,,,,,,,,,,,4,,,,3,,,,,
,,54,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,
,,55,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,56,open,,,,,,1,,,3,,,,,,,,,1,,,,,,,,,,,1,,,,,1,,
,,57,open,,1,1,,,2,,,,,,,,,1,,,10,,,,,,,,,,,,3,,,,4,,
,,58,open,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,
,,59,open,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,2,,,,,,
,,60,open,,1,1,,,,,,,,,,,,1,,,10,,,,,,4,1,,,,,3,,,,2,,
,,61,open,,,1,,,,,,,1,,,,,,,,10,,,,,,,4,,4,,,,,,,,,
,,62,open,,,,,,,,,,,,,,,,,,10,,,,,,,,,3,,,6,,,,6,,
,,63,open,,,,,,,,,,,,,1,,,,,,,,,,,,,,3,,,3,,,,6,,
,,64,open,,,,,,,,,,,,,1,,,,,10,,,,,,,,,,,,8,,,,7,,
,,65,open,,,,,,,,,,,,,1,,1,,,10,,,,,,,,3,,,,,,,,7,1,
,,66,open,,,2,,,,,,,,,,1,,1,,,10,,,,,,,,,4,,2,7,,,,8,,2
,,67,open,,,,,,,,,,,,,2,,,,,10,,,,,,,,,,,,12,,,,12,2,
,,68,open,,,,,,,,,,,,,3,1,1,,,10,,,,,,,1,,3,,,21,,,,2,,
,,69,open,,,,,,2,,,,,,,,,,,,10,,,,,,,,,,,,2,,,,6,2,
,,70,open,,,,,,,,,,,,,2,2,,,,10,,,,,,,2,,6,,,22,,,,2,,
,,71,open,,,,,,,,,1,,,,5,1,,,,10,,,,,,,1,,3,,,41,,,,10,,
,,72,open,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,6,,,,1,,
,,73,open,,,,,,,,,1,,,,3,,,,,10,,,,,,,1,,4,,1,18,,,,6,3,
,,74,open,1,,,,,,,,1,,,,,,3,,,10,,,,,,,,,6,,1,9,,,,9,6,
,,75,open,1,,1,,,,,,,,,,2,,,,,10,,,,,,1,1,,,,,18,,,,4,5,
,,76,open,,,,,,,,,,,,,4,,,,,10,,,,,,,,,4,,,9,,,,5,1,
,,77,open,,,,,,,,,,,,,1,,,,,3,,,,,,,,,,,,1,,,,1,,
,,78,open,,,,,,,,,,,,,,,,,,10,,,,,,,1,,,,,3,,,,,1,
,,79,open,,,,,,,,,,,,,1,,,,,10,,,,,,,,,,,,5,,,,,1,
