Site025,Azorella_monantha,sample,cushion.open,Acaena_antarctica,Acaena_magellanica,Acaena_pinnatifida,Adesmia_lotoides,Adesmia_parviflora,Adesmia_pumila,Arjona_patagonica,Astragalus_nivicola,Azorella_coespitosa,Azorella_fuegiana,Berberis_buxifolia,Berberis_empetrifolia,Calceolaria_uniflora,Cerastium_sp,Colobanthus_subulatus,Draba_funiculosa,Draba_magellanica,Elymus_sp,Empetrum_rubrum,Erigeron_sp,Festuca_magellanica,Hamadryas_sp,Hypochaeris_incana,Leucheria_candidissima,Leucheria_leontopodioides,Luzula_sp,Luzula_sp1,Nassauvia_aculeata,Nassauvia_pygmaea,Nassauvia_revoluta,Oreobolus_sp,Oxalis_enneaphylla,Perezia_pilifera,Pernettya_mucronata,Phaiophleps_biflora,Phleum_sp,Plantago_sp,Poa_alopecurus,Poa_fuegiana,Poa_pratensis,Poa_pusilla,Ribes_cucullatum,Saxifraga_sp,Senecio_magellanicus,Trisetum_sp,Vicia_bijuga,Vicia_magellanica
,,29,cushion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
,,30,cushion,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
,,31,cushion,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,
,,32,cushion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,1,1,,
,,33,cushion,,,1,,,,,,,,,,1,,,,,,,,1,,,,,,,,,1,1,,1,,,,,,,,1,,,,,,
,,34,cushion,,,1,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,1,,,,,,
,,35,cushion,,,,,,,,,,,,,1,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,1,,
,,36,cushion,1,,1,,1,,,,,,,,1,,,,,,,,1,,,,,,1,,,,1,,,,,,,,,,,,,,1,,
,,37,cushion,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,1,,,,,,1,,,
,,38,cushion,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,1,,,,,,,,,,,1,,,,,1,
,,39,cushion,,,,,1,,,,,1,,,1,,,,,,,,1,,,,,,1,,,,1,,1,,,,,,,,,,,1,1,1,
,,40,cushion,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,1,,1,,,,,,,,,,,1,1,,
,,41,cushion,,,,,,,,,,,,,1,1,,,1,,,1,1,,,,,,1,,,,,,1,,,,,,,1,,,,,1,,
,,42,cushion,,,,,,,,,,1,,,,,,,,,,1,,,,1,,,1,1,,,1,,,,,,,,,,1,,,,,,
,,43,cushion,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,1,,
,,44,cushion,,,,,,,,,,,,,,,,,,,1,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,
,,45,cushion,,,1,,,,1,,,,,,,,1,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,
,,46,cushion,,,,,,,,,,,,,1,1,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,
,,47,cushion,,,,,,1,,,,,,,1,,,,,,,1,1,,,,,,,1,,,,,1,,,,,,,,1,,,1,,,
,,48,cushion,,,,,,,,,,,,,1,,,,1,,,,1,1,,,,1,1,,,,,,1,,,,,,,,,,,,1,,
,,49,cushion,,,,,1,,,,,1,1,,1,1,,,,,,,1,,,,,1,1,,,,,,1,,,,,,,,,,,,1,,
,,50,cushion,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,1,,,,,1,,,,,,,,1,,,,,,
,,51,cushion,,,,,,,,,,1,,,1,1,,,,,1,,1,,,,,1,,,,,,,,,,,,,,,,,,,1,,
,,52,cushion,,,,,1,,,,,1,1,,1,,1,1,1,1,,,1,,,1,,,1,,,,,,1,,,,,,,,,,,1,1,,
,,53,cushion,,,,,,,,,,,,,1,,,,1,,,1,1,,,,,,1,,1,,,,1,,,,,,,,1,,,1,,,
,,1,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
,,2,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3,open,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
,,4,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5,open,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,
,,6,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
,,7,open,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
,,8,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,9,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,10,open,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
,,11,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,12,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,13,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,14,open,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
,,15,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,16,open,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,17,open,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
,,18,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,19,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,20,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,21,open,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,22,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,23,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,24,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,25,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,26,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
,,27,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,28,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,29,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,30,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
,,31,open,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
,,32,open,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,1,,,,,,,,1,,,,,1,
,,33,open,,,,,,,,,,,,,,1,,,,,,,1,1,,,,,,,1,,,1,,,,,,,,,,,,1,,,
,,34,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
,,35,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,36,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,37,open,,,,,,,,,,,,,,1,,,,,,,,1,,1,,,,,,,,,,,,,,,,,1,,,,,,
,,38,open,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,
,,39,open,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
,,40,open,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,1,
,,41,open,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,
,,42,open,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
,,43,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,
,,44,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
,,45,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,46,open,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,1,1,,1,,,,,,,,,1,,,,,1,
,,47,open,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,
,,48,open,,,1,,,,,,,,,,1,,,,,,,1,1,,,,,,,1,1,,,1,,,,,,,,,,,,1,,,
,,49,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,1,,,,,,,,,,,,,,,
,,50,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,51,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,52,open,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
,,53,open,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,
