Site060,Azorella_madreporica,sample,cushion.open,Adesmia_echinus,Adesmia_sp1,Adesmia_subterranea,Azorella_madreporica,Calandrinia_caespitosa,Calandrinia_sp,Carex_sp,Cerastium_arvense,Chaetanthera_lycopodioides,Chaetanthera_pentacaenoides,BrasUnk_sp,Erigeron_andicola,Gayophytum_micranthum,Hordeum_comosum,Jarava_chrysophylla,Kurzamra_pulchella,Menonvillea_sp,Montiopsis_copiapina,Nassauvia_cumingii,Olsynium_junceum,Oxalis_sp,Phacelia_secunda,Poa_holciformis,Senecio_sp,Trisetum_oreophilum,Viola_montagnei,Viola_philippii
,,77,cushion,,,,,1,,,,,,,3,,,,1,,,4,,,,3,,,,
,,78,cushion,,,,,1,,1,,,,1,3,,1,,1,,,3,,,,1,,,,
,,79,cushion,,,,,,,2,,,,1,,,,,,,,,,,,,,,,
,,80,cushion,,,,,,,1,,,,2,,,,,,,,,,,,,,1,,
,,81,cushion,,,,,,,5,,,,1,,,1,,,,,1,,,,1,,,,
,,82,cushion,,,,,,,,2,,,,,,,,1,,,,,,,,,,,
,,83,cushion,,,,,,,,,,,,,,,,,,,1,,,,,,3,,
,,84,cushion,,,,,,,,,,,,,,1,,,,,4,,,,,,4,,
,,85,cushion,,,,,,,,,,,1,,,,,,,,2,,,,,,,,
,,86,cushion,,,,,,,,3,,,,1,,,,,,,,,,,,,,,
,,87,cushion,,,,,,,1,1,,,,4,,1,,1,,,3,,,,2,,,,
,,88,cushion,,,,,,,,,,,1,,,,,,,,,,,,,,,,
,,89,cushion,,,,,,,1,,,,,,,,,,,,,,,,,,,,
,,90,cushion,,,1,,,,,,,,,,,,,,,,,,,,1,,,,
,,91,cushion,,,,,,,1,,,,1,,,,,,,,,,,,,,1,,
,,92,cushion,,,1,,,,,,,,1,,,1,,1,,,,,,,7,,,,
,,93,cushion,,,,,,,,,,,,,,1,,,,,,,,,2,,,,
,,94,cushion,,,1,,,,,,,,2,,,,,,,,,,,,,,,,
,,95,cushion,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,96,cushion,,,,,,,,,,,,,,,,,,,,,,,2,,,,
,,97,cushion,,,,,,,,,,1,,,,,,,,,,,,,1,,,,
,,98,cushion,1,,,,,,,,,8,,1,,1,,,,,,,,,2,,,,
,,99,cushion,,,1,,,,1,,,,1,,,,,,,,,,,,2,,,,
,,100,cushion,,,,,,,,,,,1,,,,,,,,,,,,4,,,,
,,1,open,,,,,,,,,,2,,,,,,,,,1,,,,,,,,
,,2,open,,,,,,,,,,,,,,,,,,,,,,,,,1,,
,,3,open,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,4,open,,,,,,,,,,,,,,1,,,,,1,,,,,,1,,
,,5,open,,,,,,,,,,,,,,,,,,,,,,,1,,,,
,,6,open,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,7,open,,,,,,,,,,,,,,,,,,,,,,,,,,,1
,,8,open,,,,,,,,,,,,,,,,,,,,,,,1,,,,
,,9,open,,,,,,,,,,,,,,,,,,,1,,,,,,,,1
,,10,open,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,11,open,,,,,,,,,,,,,,,,,,,,,,,,,,,1
,,12,open,,,,,,,,,,,,,,,,,,,,,,,1,,,,
,,13,open,,,,,,,,,,,,,,,,,,,,,,,1,,,,
,,14,open,,,,,,,,,,9,,,,,,,,,,,,,,,,,
,,15,open,,,,,,,,,,,,,,,,,,,,,,,2,,,,
,,16,open,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,17,open,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,18,open,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,19,open,,,,,,,,,,3,,,,,,,,,,,,,1,,,,
,,20,open,,,,,,,,,,,,,,,,,,,,,,,2,,,,
,,21,open,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,22,open,,,,,,,,,,,,,,1,,,,,,,,,,,,,
,,23,open,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,24,open,,,,,,,,,,,,,,,,,,,,,,,1,,,,
,,25,open,,,,,,,,,,,,,,,,,,,,,,,2,,,,
,,26,open,,,,,,,,,,2,,,,,,,,,1,,,,,,,,
,,27,open,,,,,,,,,,,,,,,,,,,1,,,,,,,,
,,28,open,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,29,open,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,30,open,,,,,,,,,,,,,,,,,,,1,,,,,,,,
,,31,open,,,,,,,,,,3,,,,,,,,,,,,,,,,,
,,32,open,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,33,open,,,,,,,,,,,,,,,,,,,1,,,,1,,,,
,,34,open,,,,,,,,,,,,,,1,,,,,,,,,,,,,
,,35,open,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,36,open,,,,,,,,,,,,,,,,,,,1,,,,1,,,,
,,37,open,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,38,open,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,39,open,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,40,open,,,,,,,,,,,,,,,,,,,,,,,1,,,,
,,41,open,,,,,,,,,,5,,,,,,,,,,,,,,,,,
,,42,open,,,,,,,,,,,,,,,,,,,,,,,2,,,,1
,,43,open,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,44,open,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,45,open,,,,,,,,,,,,,,1,,,,,,,,,,,,,
,,46,open,,,,,,,,,,1,,,,,,,,,,,,,,,,,
,,47,open,,,,,,,,,,2,,,,,,,,,,,,,,,,,
,,48,open,,,,,,,,,,,,,,,,,,,,,,,1,,,,
,,49,open,,,,,,,,,,,,,,,,,,,,,,,1,,,,
,,50,open,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,51,open,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,52,open,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,53,open,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,54,open,,,,,,,,,,,,,,,,,,,,,,,1,,,,
,,55,open,,,,,,,,,,1,,,,,,,,,,,,,5,,,,
,,56,open,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,57,open,,,,,,,,,,2,,,,,,,,,,,,,4,,,,
,,58,open,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,59,open,,,,,,,,,,1,,,,,,,,,,,,,1,,,,
,,60,open,,,,,,,,,,,,,,,,,,,,,,,3,,,,
,,61,open,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,62,open,,,,,,,,,,,,,,,,,,,,,,,,,,,1
,,63,open,,,,,,,,,,,,,,,,,,,,,,,1,,,,
,,64,open,,,,,,,,,,,,,,,,,,,,,,,1,,,,
,,65,open,,,,,,,,,,9,,,,,,,,,,,,,,,,,
,,66,open,,,,,,,,,,,,,,,,,,,,,,,2,,,,
,,67,open,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,68,open,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,69,open,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,70,open,,,,,,,,,,3,,,,,,,,,,,,,1,,,,
