"Site","Cushion species","cushion/open","Flower #","Flower gender","Diam 1 cm)","Diam 2 (cm)","Sphagnum spp (y= yes)","Moss (y= yes)","Pedicularis (Lousewort)","Notes","Sample","Bistorta vivipara","Cetraria cuc","Aconitum delphinifolium","Brown lichen","Carex spp","Cladonia spp","Cordalis possiflora","Dryas octapedala","Gentiana prostrata","Grass spp","Green brown lichen","Lupinus arcticus","Peltigera spp","Polytrichum spp","Rock lichen","Salix spp","Saxifraga tricuspidata","Thamnolia spp (worm lichen)","Woody potentilla","dataset code"
"Pink Mountains 1","Silene acaulis",,,,,16.9,,,,,9,3,,2,,1,,,,,1,,,,,,,,,,70
"Pink Mountains 1","Silene acaulis",,,,,,,,10,,9,10,10,,,,,3,5,3,,,,2,,,,,,,70
"Pink Mountains 1","Silene acaulis",,,,,18,,,,,10,8,,11,,,,,,,1,,,,,,13,,,,70
"Pink Mountains 1","Silene acaulis",,,,,16.5,,,,,11,2,,,,,,,14,,4,,,,,1,6,,,,70
"Pink Mountains 1","Silene acaulis",,,,,16,,,,,12,1,,,,,,,,,2,,,,,,5,,,,70
"Pink Mountains 1","Silene acaulis",,,,,,,,,,13,3,3,6,,,,,,,,,,,,,,,,7,70
"Pink Mountains 1","Silene acaulis",,,,,15.1,,,,,15,3,,,,4,,,,,3,,2,,,,2,,,,70
"Pink Mountains 1","Silene acaulis",,,,,26.9,,,,,16,5,,,,,,,15,,2,,1,,,,,,,,70
"Pink Mountains 1","Silene acaulis",,,,,,,,,,16,2,,4,,,,,40,,,,5,,,,,,,,70
"Pink Mountains 1","Silene acaulis",,,,,8.5,,,,,17,,,,,,,,3,,,,,,,,,,,,70
"Pink Mountains 1","Silene acaulis",,,,,,,,,,17,,,1,,,,,2,,,,3,,,,,,,,70
"Pink Mountains 1","Silene acaulis",,,,,9,,,,,18,2,,,,3,,,4,,2,,,,,,,,,,70
"Pink Mountains 1","Silene acaulis",,,,,,,,,,18,,3,2,,,,,5,,,,,,,,,,,,70
"Pink Mountains 1","Silene acaulis",,,,,8.5,,,,,19,3,,,,,,,,1,,,1,,,,,,,,70
"Pink Mountains 1","Silene acaulis",,,,,,,,,,19,,4,,,,,,4,,,,1,,,,3,,,,70
"Pink Mountains 1","Silene acaulis",,,,,13.2,,,,,20,7,,3,,,,,,,9,,3,,,,2,,,,70
"Pink Mountains 1","Silene acaulis",,,,,,,,10,,20,,10,,,,,,4,,,,,,,,,,,,70
"Pink Mountains 1","Silene acaulis",,,,,21.1,,,,,21,5,,3,,,,,5,,4,,,,,,,,,,70
"Pink Mountains 1","Silene acaulis",,,,,24.5,,,,,23,9,,2,,,,,,,,,,,,,,,,,70
"Pink Mountains 1","Silene acaulis",,,,,,,,5,,24,,5,2,,,,1,,,,,,,,,,,,,70
"Pink Mountains 1","Silene acaulis",,,,,,,,,,26,5,,,,,,,,,2,,,,,,,,,,70
"Pink Mountains 1","Silene acaulis",,"cushion","1",0,15.5,,,,,28,3,,,,,,,,,,,,,4,,,,,3,70
"Pink Mountains 1","Silene acaulis",,,,,,,,,,28,,5,,,,,,10,,,,,,,,,,,,70
"Pink Mountains 1","Silene acaulis",,,,,17.6,,,,,29,7,,,,,,,,1,,,,,,,,,,,70
"Pink Mountains 1","Silene acaulis",,,,,,,,,,29,2,4,,,,,,10,,,,,,,,,,,,70
"Pink Mountains 1","Silene acaulis",,,,,24.3,,,,,30,11,,,,,,,16,,,,,,,,2,,,,70
"Pink Mountains 1","Silene acaulis",,,,,,,,,,30,5,5,1,,,,,4,,,,1,,,,,,,,70
"Pink Mountains 1","Silene acaulis",,,,,22,,,,,31,4,,,,,,,10,,,,,,,,,,,,70
"Pink Mountains 1","Silene acaulis",,,,,,,,4,,31,6,4,,,,,,5,,,,,,3,4,,,,,70
"Pink Mountains 1","Silene acaulis",,,,,,,,,,33,4,10,,,,10,,10,,,,3,,,3,,,,,70
"Pink Mountains 1","Silene acaulis",,,,,7,"���",,,,35,3,,,,3,,,,,,,,,,,,,,,70
"Pink Mountains 1","Silene acaulis",,,,,,,,,,36,,5,,,,,,,,,,,,,4,,,,,70
"Pink Mountains 1","Silene acaulis",,,,,13.2,,,,,38,2,,,,,,,,,,,,,,,,,,,70
"Pink Mountains 1","Silene acaulis",,,,,,,,,,39,2,,,,,1,,,,,,,,,,2,,,,70
"Pink Mountains 1","Silene acaulis",,,,,33,"ﾚﾙﾙ1",,,,40,,1,1,,3,,,,,7,,,,,,20,,,,70
"Pink Mountains 1","Silene acaulis",,,,,,,,,,40,5,,2,,,,,20,,,,,,,,5,,,,70
"Pink Mountains 1","Silene acaulis",,,,,16.3,,,,,41,3,,,,,,,,,,,,,,,1,,,,70
"Pink Mountains 1","Silene acaulis",,,,,,,,,,41,3,5,,2,1,,,3,,9,,,,,,4,,,,70
"Pink Mountains 1","Silene acaulis",,,,,,,,,,42,2,,1,,,,,,,,,,,,,3,,,,70
"Pink Mountains 1","Silene acaulis",,,,,,,,,,44,4,10,,,15,,,20,,,,,,2,,,,4,,70
"Pink Mountains 1","Silene acaulis",,,,,12,,,,,46,6,,,,,,,,,,,,,,,9,,,,70
"Pink Mountains 1","Silene acaulis",,,,,14.4,,,,,47,13,,,,,,,,,,,,,,,2,,,,70
"Pink Mountains 1","Silene acaulis",,,,,,,,,,47,,,,,,5,,,,,,,,4,4,3,,,,70
"Pink Mountains 1","Silene acaulis",,,,,12.4,,,,,48,7,,,,,,,14,,,,,,,,,,,,70
"Pink Mountains 1","Silene acaulis",,,,,,,,,,48,,5,,,2,,,10,,,1,,,4,,,,,,70
"Pink Mountains 1","Silene acaulis",,,,,19.4,,,,,49,11,,,,2,,,12,,,,,,,,,,,,70
"Pink Mountains 1","Silene acaulis",,,,,,,,,,49,2,7,,,,,,11,,,,,,,,,,,,70
"Pink Mountains 1","Silene acaulis",,,,,26.5,,,,,50,7,,,,,,,25,,,,,,,,4,,,,70
"Pink Mountains 1","Silene acaulis",,,,,,,,,,50,12,,,,,,,10,,,,2,,,,6,,,,70
"Pink Mountains 1","Silene acaulis",,,,,27.5,,,,,51,5,,,,,,,20,,,,,,,,4,,,,70
"Pink Mountains 1","Silene acaulis",,,,,,,,,,51,1,3,1,,,,,,,,,,3,,,,,,,70
"Pink Mountains 1","Silene acaulis",,,,,12.5,,,,,52,4,,,,,,,,,,,,,,,,,,,70
"Pink Mountains 1","Silene acaulis",,,,,12.2,,,,,53,4,,,,4,,,,,,,,,,,,,,,70
"Pink Mountains 1","Silene acaulis",,,,,,,,,,53,2,3,,,,,,,,,,4,,,,,,,,70
"Pink Mountains 1","Silene acaulis",,,,,16.9,,,,,54,6,,,,,,,,,,,,,,,,,,,70
"Pink Mountains 1","Silene acaulis",,,,,,,,,,54,7,5,,,,,,,,,,,,,,,,5,,70
"Pink Mountains 1","Silene acaulis",,,,,28.2,,,,,55,2,,3,,6,,,,,2,,,,,,,,,,70
"Pink Mountains 1","Silene acaulis",,,,,,,,,,55,,10,,,5,,,,,3,,,,,,,,,7,70
"Pink Mountains 1","Silene acaulis",,,,,37.5,,,,,56,11,,,,,,,40,,,,,,,,,,,,70
"Pink Mountains 1","Silene acaulis",,,,,,,,,,56,17,10,,,,,,,,2,,,2,,,,,,,70
"Pink Mountains 1","Silene acaulis",,,,,6.4,,,,,57,1,,,,4,,,6,,,,,,,,3,,,,70
"Pink Mountains 1","Silene acaulis",,,,,,,,,,57,3,,,,,,,,,,,,,10,,,,,,70
"Pink Mountains 1","Silene acaulis",,,,,18.6,"���,",,,,58,6,,,,5,,,2,,1,,,,,,,,,,70
"Pink Mountains 1","Silene acaulis",,,,,,,,,,58,10,,3,,,,,2,,,,,,,,,,,,70
"Pink Mountains 1","Silene acaulis",,,,,15.2,,,,,59,5,,,,3,,,,,,,,,,,8,,,,70
"Pink Mountains 1","Silene acaulis",,,,,,,,,,59,10,,,,,,,4,,,,,,10,,,,,,70
"Pink Mountains 1","Silene acaulis",,,,,10.5,,,,,60,8,,,,,,,7,,2,,,,,,,,,,70
"Pink Mountains 1","Silene acaulis",,,,,,,,,,60,5,5,,,,,,,,,,,,,,,,,2,70
"Pink Mountains 1","Silene acaulis",,,,,10.1,,,,,61,5,,,,2,,,,,,,,,,,3,,,,70
"Pink Mountains 1","Silene acaulis",,,,,,,,,,61,4,,1,,,,,,,,,,,,,,,1,,70
"Pink Mountains 1","Silene acaulis",,,,,15,,,,,62,,,1,,,,,6,,,,,,,,1,,,,70
"Pink Mountains 1","Silene acaulis",,,,,,,,,,62,1,,,,,,,10,,,,,,,,,,4,,70
