site,cushion species,sample,cushion/open,diam1 (cm),diam2 (cm),Acaena leptacantha,Acaena pinnatifida,Adesmia sp4,Barneoudia major,Bromus catharticus,Bromus setifoluis,Calandrinia affinis,Calandrinia caespitosa,Calandrinia sp,Carex sp 1,Carex sp 2,Cerastium arvense,Chaetanthera apiculata,Chaetanthera euphrasioides,Chaetanthera lycopodioides,Chaetanthera pentacaenoides,Chaetanthera planiseta,Chaetanthera pusilla,Draba sp 2,Erigeron andicola,Festuca magellanica,Galium gilliesii,Gayophytum humile,Geranium sessiliflorum,Haplopappus scrobiculatus,Hordeum comosum,Hypochaeris tenuifolia,Jaborosa caulescens,Junellia uniflora,Loasa sigmoidea,Microsteris gracilis,Montiopsis potentilloides,Nassauvia lagascae,Nassauvia pyramidalis,Nastanthus agglomeratus,Olsynium scirpoideum,Oreopolus glacialis,Oxalis compacta,Perezia carthamoides,Perezia pilifera,Phacelia secunda,Poa alopecurus,Poa pratensis,Pozoa coriacea,Quinchamalium chilense,Rhodophiala uniflora,Rytidosperma violaceum,Sanicula graveolens,Senecio bustillosianus,Senecio looseri,Senecio polygaloides,Taraxacum officinale,Thlaspi magellanicum,Trisetum preslei,Tropaeolum polyphyllum,Viola philippii,dataset code
"Valle Nevado","Azorella madreporica",85,"cushion","","",,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,57
"Valle Nevado","Azorella madreporica",86,"cushion","","",,,,,,,,,,,,14,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,1,,,57
"Valle Nevado","Azorella madreporica",87,"cushion","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,1,,,,,,,,,,,,,,,3,,,,,,,,,,57
"Valle Nevado","Azorella madreporica",88,"cushion","","",,,,,,,,,,,,64,,,,,,,,,,,,,,4,,,,,54,4,,,,1,,,,,,,,,,,,,,,,5,1,,,,57
"Valle Nevado","Azorella madreporica",97,"cushion","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,2,,,57
"Valle Nevado","Azorella madreporica",98,"cushion","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,57
"Valle Nevado","Azorella madreporica",99,"cushion","","",,,1,,,,,,,,,72,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,5,,1,,,57
"Valle Nevado","Azorella madreporica",100,"cushion","","",,1,,,,,,,,,,36,,1,,,,,,2,1,,,,,8,1,,,3,,1,,,4,,,,,1,,,1,,2,,2,,,1,,7,11,6,,,57
"Valle Nevado","Azorella madreporica",1,"open","","",,,,,,,,,,,,,,5,,,4,,,,2,,,,,2,,,,,32,6,,,,1,,,,,,,,,1,,,,,,,3,,,,,57
"Valle Nevado","Azorella madreporica",2,"open","","",,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,57
"Valle Nevado","Azorella madreporica",3,"open","","",,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,36,5,,,,1,,,,3,1,,,,,,,,,1,,1,,,,,57
"Valle Nevado","Azorella madreporica",9,"open","","",,,,,,,,,6,,,1,,4,,,,,,,,,,,,2,,,,,4,5,,,,,,,,,,,,,,,,,,,,2,,2,,,57
"Valle Nevado","Azorella madreporica",10,"open","","",,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,17,1,,,,2,,,,,,,,,,,,,,,,1,,,,,57
"Valle Nevado","Azorella madreporica",11,"open","","",,,,,,,,,1,,,,,,9,,,,,,,,,,,,,,,1,17,6,,,,,,,,,1,,,,,,,,,,,,,,,,57
"Valle Nevado","Azorella madreporica",12,"open","","",,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,57
"Valle Nevado","Azorella madreporica",13,"open","","",,,,,,,,,2,,,,,3,,,,,,1,,,,,,1,,,,1,,3,,,,,,,,,,,,1,,,,,,,,,1,,,,57
"Valle Nevado","Azorella madreporica",14,"open","","",,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,11,8,,,,,,,,,1,,,,,,,,,,,,,,,,57
"Valle Nevado","Azorella madreporica",15,"open","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,5,,,,,,,,,,,,,,,,,,1,,,1,,,,57
"Valle Nevado","Azorella madreporica",16,"open","","",,,,,,,,,,,1,,,,2,,,,,,,,,,,,,,,,,2,,,,1,,,,,,,,,,,,,,,,,,,,,57
"Valle Nevado","Azorella madreporica",21,"open","","",,,,,,,,1,9,,,3,,1,,1,,,,,,,,,,2,1,,1,,1,6,,,2,,1,1,1,,1,2,,,,,,1,,,,4,,,,1,57
"Valle Nevado","Azorella madreporica",22,"open","","",,,,2,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,57
"Valle Nevado","Azorella madreporica",23,"open","","",,,,,,,,,,,,,,2,3,,,,,,,,,,,,,,,,,2,,,,,,,1,,,,,,,,,,,,,,1,,,,57
"Valle Nevado","Azorella madreporica",24,"open","","",,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,13,4,,,,,,,,,,,,,,,,,,,,,,,,,57
"Valle Nevado","Azorella madreporica",25,"open","","",,,,,,,,,,,,5,,,,,,,,1,,,,,,,,,,2,12,6,,,,,,,,,,,,,,,,,,,,,,,,,57
"Valle Nevado","Azorella madreporica",26,"open","","",,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,4,2,,,,,,,,,,,,,,,,,,,,,,2,,,57
"Valle Nevado","Azorella madreporica",27,"open","","",,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,3,9,,,,,,,,1,,,,,,,,,,,,,,,,,57
"Valle Nevado","Azorella madreporica",28,"open","","",,,,,,1,,,,,,,,,1,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,3,,,57
"Valle Nevado","Azorella madreporica",33,"open","","",,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,57
