site,cushion species,sample,cushion/open,diam1 (cm),diam2 (cm),Acaena leptacantha,Acaena pinnatifida,Adesmia sp4,Barneoudia major,Bromus catharticus,Bromus setifoluis,Calandrinia affinis,Calandrinia caespitosa,Calandrinia sp,Carex sp 1,Carex sp 2,Cerastium arvense,Chaetanthera apiculata,Chaetanthera euphrasioides,Chaetanthera lycopodioides,Chaetanthera pentacaenoides,Chaetanthera planiseta,Chaetanthera pusilla,Draba sp 2,Erigeron andicola,Festuca magellanica,Galium gilliesii,Gayophytum humile,Geranium sessiliflorum,Haplopappus scrobiculatus,Hordeum comosum,Hypochaeris tenuifolia,Jaborosa caulescens,Junellia uniflora,Loasa sigmoidea,Microsteris gracilis,Montiopsis potentilloides,Nassauvia lagascae,Nassauvia pyramidalis,Nastanthus agglomeratus,Olsynium scirpoideum,Oreopolus glacialis,Oxalis compacta,Perezia carthamoides,Perezia pilifera,Phacelia secunda,Poa alopecurus,Poa pratensis,Pozoa coriacea,Quinchamalium chilense,Rhodophiala uniflora,Rytidosperma violaceum,Sanicula graveolens,Senecio bustillosianus,Senecio looseri,Senecio polygaloides,Taraxacum officinale,Thlaspi magellanicum,Trisetum preslei,Tropaeolum polyphyllum,Viola philippii,dataset code
"Valle Nevado","Azorella madreporica",17,"cushion","","",,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57
"Valle Nevado","Azorella madreporica",18,"cushion","","",,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,57
"Valle Nevado","Azorella madreporica",19,"cushion","","",,,,,,,,,,,,,,,,,,,,,,,,,,34,,,,,,2,,,,,,,,,2,,,,,,,,,,,2,,,,,57
"Valle Nevado","Azorella madreporica",20,"cushion","","",,,,,,,,,,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,,,,,,,,,,,,,2,,,57
"Valle Nevado","Azorella madreporica",21,"cushion","","",,,,,,,,,,,,151,,,,,,,,,2,,,,,,,,,,9,4,,,2,,,,,,,,,,,,1,,,,,4,5,6,,,57
"Valle Nevado","Azorella madreporica",22,"cushion","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,,,,,,,,2,,,,,,,,,,,,1,,2,,,57
"Valle Nevado","Azorella madreporica",23,"cushion","","",,,,,,,,,,,,2,,,,,,,,,2,,,,,,,,,,6,,,,,,,,,,1,,1,,,,,,,,,,,1,,,57
"Valle Nevado","Azorella madreporica",24,"cushion","","",,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,57
"Valle Nevado","Azorella madreporica",29,"cushion","","",,,,,,,,,,,,42,,,,,,,,,1,,,,,2,,,,,,4,,,,,,,,,1,,,,1,,,,,1,,2,1,4,,,57
"Valle Nevado","Azorella madreporica",30,"cushion","","",,,,,,,,,,,,26,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,57
"Valle Nevado","Azorella madreporica",31,"cushion","","",,,,,,,,,,,,13,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,1,,,57
"Valle Nevado","Azorella madreporica",32,"cushion","","",,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,57
"Valle Nevado","Azorella madreporica",33,"cushion","","",,,,,,,,,,,,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,57
"Valle Nevado","Azorella madreporica",34,"cushion","","",,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,1,,,,,57
"Valle Nevado","Azorella madreporica",35,"cushion","","",,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,57
"Valle Nevado","Azorella madreporica",36,"cushion","","",,,,,,,,,,,,14,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,1,,1,,,57
"Valle Nevado","Azorella madreporica",41,"cushion","","",,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,4,,,,,3,,,,,,,1,,2,,,57
"Valle Nevado","Azorella madreporica",42,"cushion","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,57
"Valle Nevado","Azorella madreporica",43,"cushion","","",,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,2,,,57
"Valle Nevado","Azorella madreporica",44,"cushion","","",,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,57
"Valle Nevado","Azorella madreporica",45,"cushion","","",,,,,,,,,,,,1,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57
"Valle Nevado","Azorella madreporica",46,"cushion","","",,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,57
"Valle Nevado","Azorella madreporica",47,"cushion","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,2,,,57
"Valle Nevado","Azorella madreporica",48,"cushion","","",,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,57
"Valle Nevado","Azorella madreporica",53,"cushion","","",,,,,,,,,,,,15,,,,,,,,,,,,,,,,,,1,25,2,,,,,,,,,,2,,,,,2,,,,,6,,,,,57
"Valle Nevado","Azorella madreporica",54,"cushion","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,1,,,,,1,,,,,1,,,,,57
"Valle Nevado","Azorella madreporica",55,"cushion","","",,,,,,,,,,,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,1,,,,57
"Valle Nevado","Azorella madreporica",56,"cushion","","",,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,57
"Valle Nevado","Azorella madreporica",57,"cushion","","",,,,,,,,,,,,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,57
"Valle Nevado","Azorella madreporica",58,"cushion","","",,,,,,,,,,,,165,,,,,,,,2,11,,,,,5,,,,,17,4,,,,2,,,,3,,3,,,,,,,,,,9,4,2,,,57
"Valle Nevado","Azorella madreporica",59,"cushion","","",,,,,,,,,,,,11,,1,,,,,,,,,,,,1,,,,,54,1,,,,,,,,,,,,1,,,2,,,,,3,,4,,,57
"Valle Nevado","Azorella madreporica",60,"cushion","","",,,,,,,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,1,,3,,,57
"Valle Nevado","Azorella madreporica",65,"cushion","","",,,,,,,,,,,,24,,,,,,,,,,,,,,,,,,,8,1,,,,,,,,,,,,,,,,,,,,2,,2,,,57
"Valle Nevado","Azorella madreporica",66,"cushion","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,1,,,,,,,1,,,,,,,,,,57
"Valle Nevado","Azorella madreporica",67,"cushion","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,57
"Valle Nevado","Azorella madreporica",68,"cushion","","",,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,57
"Valle Nevado","Azorella madreporica",69,"cushion","","",,,,,,,,,,,,,,,,,,,,,,,,,,34,,,,,,2,,,,,,,,,,,,,,,,,,,,2,,,,,57
"Valle Nevado","Azorella madreporica",70,"cushion","","",,,,,,,,,,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,4,,,57
"Valle Nevado","Azorella madreporica",71,"cushion","","",,,,,,,,,,,,151,,,,,,,,,2,,,,,,,,,,9,4,,,2,,,,,1,,,,,,,1,,,,,4,5,4,,,57
"Valle Nevado","Azorella madreporica",72,"cushion","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,,,,,,,,2,,,,,,,,,,,,1,,2,,,57
"Valle Nevado","Azorella madreporica",77,"cushion","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,1,,,,,,,,2,,,,,,,,,,,,1,,5,,,57
"Valle Nevado","Azorella madreporica",78,"cushion","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,57
"Valle Nevado","Azorella madreporica",79,"cushion","","",,,,,,,,,,,,42,,,,,,,,,1,,,,,2,,,,,,4,,,,,,,,,,,,,,,,,,,,2,1,4,,,57
"Valle Nevado","Azorella madreporica",80,"cushion","","",,,,,,,,,,,,26,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,57
"Valle Nevado","Azorella madreporica",81,"cushion","","",,,,,,,,,,,,13,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,1,,,57
"Valle Nevado","Azorella madreporica",82,"cushion","","",,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,57
"Valle Nevado","Azorella madreporica",83,"cushion","","",,,,,,,,,,,,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,57
"Valle Nevado","Azorella madreporica",84,"cushion","","",,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,1,,,,,57
"Valle Nevado","Azorella madreporica",89,"cushion","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,57
"Valle Nevado","Azorella madreporica",90,"cushion","","",,,,,,,,,,,,46,,,,,,,,2,,,,,,4,,,,,,,,,2,,,,,,,,,,,,,,,,,2,1,4,,,57
"Valle Nevado","Azorella madreporica",91,"cushion","","",,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,2,,,,,,,,,1,1,,1,,2,,,57
"Valle Nevado","Azorella madreporica",92,"cushion","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,57
"Valle Nevado","Azorella madreporica",93,"cushion","","",,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,1,,,,,,,,,,,,,,,,,,,,,,2,,,57
"Valle Nevado","Azorella madreporica",94,"cushion","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,2,,,,57
"Valle Nevado","Azorella madreporica",95,"cushion","","",,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57
"Valle Nevado","Azorella madreporica",96,"cushion","","",,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,57
"Valle Nevado","Azorella madreporica",4,"open","","",,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,1,,,,,,,,,1,1,,,,,,,,,,,,,,,57
"Valle Nevado","Azorella madreporica",5,"open","","",,,1,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,57
"Valle Nevado","Azorella madreporica",6,"open","","",,,,,,,,,,,,2,,,,,,,,,,,,,,1,,,,,2,2,,,,1,,,,,1,4,,,,,,,,,,3,,,,,57
"Valle Nevado","Azorella madreporica",7,"open","","",,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,57
"Valle Nevado","Azorella madreporica",8,"open","","",,,,,,,,,5,2,,,,2,,,,,,,,,,1,,,,,,,21,15,5,,,,,1,,,1,2,,,,1,1,2,,,,1,,,,,57
"Valle Nevado","Azorella madreporica",17,"open","","",,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57
"Valle Nevado","Azorella madreporica",18,"open","","",,,,,,,,,,,,,,,,,8,,,,,,4,,,,,,,,,1,,,,,,,,,2,,,,,,,,,,,,,,,,57
"Valle Nevado","Azorella madreporica",19,"open","","",,,,,,,2,,,,,,,,,,22,,,,,,12,,,,,,,,,,,,,,,2,,,2,,,,,,,,,,,,,,,,57
"Valle Nevado","Azorella madreporica",20,"open","","",,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,57
"Valle Nevado","Azorella madreporica",29,"open","","",,,,,,,,,,1,,,,,,,,,,,,,1,1,,1,1,,,,,1,4,,,,,,,,1,1,,1,,,,,,,,2,,,,1,57
"Valle Nevado","Azorella madreporica",30,"open","","",,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,57
"Valle Nevado","Azorella madreporica",31,"open","","",1,,,,,,,,,,,,,,,,11,,,,,,1,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,57
"Valle Nevado","Azorella madreporica",32,"open","","",,,,,,,,,,,,,,,,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57
"Valle Nevado","Azorella madreporica",41,"open","","",,,,,,,,2,,,,,,19,,,2,,,,,,,,,,,,,,7,6,,,,,,,,1,,,,1,,,,,1,,,2,,,,,57
"Valle Nevado","Azorella madreporica",42,"open","","",,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,57
"Valle Nevado","Azorella madreporica",43,"open","","",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,1,,,,,,,,,1,,,,57
"Valle Nevado","Azorella madreporica",44,"open","","",,,,,,,,,,,,,,,3,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,57
"Valle Nevado","Azorella madreporica",53,"open","","",,,,,,,,1,,,,,,,,,3,,,,,,,,,,,,,,36,5,,,,2,,,,3,2,,,,,,,,,1,,1,,,,,57
"Valle Nevado","Azorella madreporica",54,"open","","",,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,1,,,,,,,,,,,,,,,57
"Valle Nevado","Azorella madreporica",55,"open","","",,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57
"Valle Nevado","Azorella madreporica",56,"open","","",,,,,,,,,,,,2,,,,,,,,,,,,,,1,,,,,2,2,,,,1,,,,,1,4,,,,,,,,,,3,,,,,57
"Valle Nevado","Azorella madreporica",65,"open","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,5,,,,,,,,,,,,,,,,,,1,,,,,,,57
"Valle Nevado","Azorella madreporica",66,"open","","",,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,2,,,,1,,,,,,,,,,,,,,,,,,,,,57
"Valle Nevado","Azorella madreporica",67,"open","","",,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57
"Valle Nevado","Azorella madreporica",68,"open","","",,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,57
"Valle Nevado","Azorella madreporica",77,"open","","",,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,3,9,,,,,,,,,,,,,,,,,,,,,,,,,57
"Valle Nevado","Azorella madreporica",78,"open","","",,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,3,,,57
"Valle Nevado","Azorella madreporica",79,"open","","",,,,,,,,,,1,,,,,,,,,,,,,,1,,1,,,,,,1,4,,,,,,,1,2,1,,,1,,,,1,,1,3,,,,,57
"Valle Nevado","Azorella madreporica",80,"open","","",,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,57
"Valle Nevado","Azorella madreporica",89,"open","","",,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,4,,,,,,,,1,,,,,,,,,,,,,,,,,57
"Valle Nevado","Azorella madreporica",90,"open","","",,,,,,,2,,,,,2,,,1,,,,,,,,2,,,,,1,,,,,,,,,,1,1,,5,1,,,3,,,1,1,,,1,,2,,,57
"Valle Nevado","Azorella madreporica",91,"open","","",,,,,,,,2,,,,,,19,,,5,,,,,,,,,,,,,,7,6,,,,,,,1,,,,,,,,,,,,,2,,,,1,57
"Valle Nevado","Azorella madreporica",92,"open","","",,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,57
