"site","cushion","code","sample","cushion.open","diam1","diam2","area","Acaena antarctica","Acaena magellanica","Acaena pinnatifida","Adesmia lotoides","Adesmia parviflora","Adesmia pumila","Arjona patagonica","Astragalus nivicola","Azorella coespitosa","Azorella fuegiana","Berberis buxifolia","Berberis empetrifolia","Calceolaria uniflora","Cerastium sp","Colobanthus subulatus","Draba funiculosa","Draba magellanica","Elymus sp","Empetrum rubrum","Erigeron sp","Festuca magellanica","Hamadryas sp","Hypochaeris incana","Leucheria candidissima","Leucheria leontopodioides","Luzula sp 1","Luzula sp 2","Nassauvia aculeata","Nassauvia pygmaea","Nassauvia revoluta","Oreobolus sp","Oxalis enneaphylla","Perezia pilifera","Pernettya mucronata","Phaiophleps biflora","Phleum sp","Plantago sp","Poa alopecurus","Poa fuegiana","Poa pratensis","Poa pusilla","Ribes cucullatum","Saxifraga sp","Senecio magellanicus","Trisetum sp","Vicia bijuga","Vicia magellanica"
"Torres del Paine Azorella monantha 900","Azorella monantha",25,4,"open",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Torres del Paine Azorella monantha 900","Azorella monantha",25,5,"open",,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,
"Torres del Paine Azorella monantha 900","Azorella monantha",25,16,"open",,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Torres del Paine Azorella monantha 900","Azorella monantha",25,17,"open",,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
"Torres del Paine Azorella monantha 900","Azorella monantha",25,28,"open",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Torres del Paine Azorella monantha 900","Azorella monantha",25,29,"open",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Torres del Paine Azorella monantha 900","Azorella monantha",25,40,"open",,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,1,
"Torres del Paine Azorella monantha 900","Azorella monantha",25,41,"open",,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,
"Torres del Paine Azorella monantha 900","Azorella monantha",25,52,"open",,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
"Torres del Paine Azorella monantha 900","Azorella monantha",25,53,"open",,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,
"Torres del Paine Azorella monantha 900","Azorella monantha",25,45,"cushion",,,,,,1,,,,1,,,,,,,,1,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,
"Torres del Paine Azorella monantha 900","Azorella monantha",25,46,"cushion",,,,,,,,,,,,,,,,1,1,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,
"Torres del Paine Azorella monantha 900","Azorella monantha",25,47,"cushion",,,,,,,,,1,,,,,,,1,,,,,,,1,1,,,,,,,1,,,,,1,,,,,,,,1,,,1,,,
"Torres del Paine Azorella monantha 900","Azorella monantha",25,48,"cushion",,,,,,,,,,,,,,,,1,,,,1,,,,1,1,,,,1,1,,,,,,1,,,,,,,,,,,,1,,
"Torres del Paine Azorella monantha 900","Azorella monantha",25,49,"cushion",,,,,,,,1,,,,,1,1,,1,1,,,,,,,1,,,,,1,1,,,,,,1,,,,,,,,,,,,1,,
"Torres del Paine Azorella monantha 900","Azorella monantha",25,50,"cushion",,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,1,,,,,1,,,,,,,,1,,,,,,
"Torres del Paine Azorella monantha 900","Azorella monantha",25,51,"cushion",,,,,,,,,,,,,1,,,1,1,,,,,1,,1,,,,,1,,,,,,,,,,,,,,,,,,,1,,
"Torres del Paine Azorella monantha 900","Azorella monantha",25,52,"cushion",,,,,,,,1,,,,,1,1,,1,,1,1,1,1,,,1,,,1,,,1,,,,,,1,,,,,,,,,,,1,1,,
"Torres del Paine Azorella monantha 900","Azorella monantha",25,53,"cushion",,,,,,,,,,,,,,,,1,,,,1,,,1,1,,,,,,1,,1,,,,1,,,,,,,,1,,,1,,,
"Torres del Paine Azorella monantha 900","Azorella monantha",25,1,"open",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
"Torres del Paine Azorella monantha 900","Azorella monantha",25,2,"open",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Torres del Paine Azorella monantha 900","Azorella monantha",25,3,"open",,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
"Torres del Paine Azorella monantha 900","Azorella monantha",25,6,"open",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
"Torres del Paine Azorella monantha 900","Azorella monantha",25,7,"open",,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
"Torres del Paine Azorella monantha 900","Azorella monantha",25,8,"open",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Torres del Paine Azorella monantha 900","Azorella monantha",25,9,"open",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Torres del Paine Azorella monantha 900","Azorella monantha",25,10,"open",,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
"Torres del Paine Azorella monantha 900","Azorella monantha",25,11,"open",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Torres del Paine Azorella monantha 900","Azorella monantha",25,12,"open",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Torres del Paine Azorella monantha 900","Azorella monantha",25,13,"open",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Torres del Paine Azorella monantha 900","Azorella monantha",25,14,"open",,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
"Torres del Paine Azorella monantha 900","Azorella monantha",25,15,"open",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Torres del Paine Azorella monantha 900","Azorella monantha",25,18,"open",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Torres del Paine Azorella monantha 900","Azorella monantha",25,19,"open",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Torres del Paine Azorella monantha 900","Azorella monantha",25,20,"open",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Torres del Paine Azorella monantha 900","Azorella monantha",25,21,"open",,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Torres del Paine Azorella monantha 900","Azorella monantha",25,22,"open",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Torres del Paine Azorella monantha 900","Azorella monantha",25,23,"open",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Torres del Paine Azorella monantha 900","Azorella monantha",25,24,"open",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Torres del Paine Azorella monantha 900","Azorella monantha",25,25,"open",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Torres del Paine Azorella monantha 900","Azorella monantha",25,26,"open",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
"Torres del Paine Azorella monantha 900","Azorella monantha",25,27,"open",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Torres del Paine Azorella monantha 900","Azorella monantha",25,30,"open",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
"Torres del Paine Azorella monantha 900","Azorella monantha",25,31,"open",,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
"Torres del Paine Azorella monantha 900","Azorella monantha",25,32,"open",,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,1,,,,,,,,1,,,,,1,
"Torres del Paine Azorella monantha 900","Azorella monantha",25,33,"open",,,,,,,,,,,,,,,,,1,,,,,,,1,1,,,,,,,1,,,1,,,,,,,,,,,,1,,,
"Torres del Paine Azorella monantha 900","Azorella monantha",25,34,"open",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
"Torres del Paine Azorella monantha 900","Azorella monantha",25,35,"open",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Torres del Paine Azorella monantha 900","Azorella monantha",25,36,"open",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Torres del Paine Azorella monantha 900","Azorella monantha",25,37,"open",,,,,,,,,,,,,,,,,1,,,,,,,,1,,1,,,,,,,,,,,,,,,,,1,,,,,,
"Torres del Paine Azorella monantha 900","Azorella monantha",25,38,"open",,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,
"Torres del Paine Azorella monantha 900","Azorella monantha",25,39,"open",,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
"Torres del Paine Azorella monantha 900","Azorella monantha",25,42,"open",,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
"Torres del Paine Azorella monantha 900","Azorella monantha",25,43,"open",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,
"Torres del Paine Azorella monantha 900","Azorella monantha",25,44,"open",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
"Torres del Paine Azorella monantha 900","Azorella monantha",25,45,"open",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Torres del Paine Azorella monantha 900","Azorella monantha",25,46,"open",,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,1,1,,1,,,,,,,,,1,,,,,1,
"Torres del Paine Azorella monantha 900","Azorella monantha",25,47,"open",,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,
"Torres del Paine Azorella monantha 900","Azorella monantha",25,48,"open",,,,,,1,,,,,,,,,,1,,,,,,,1,1,,,,,,,1,1,,,1,,,,,,,,,,,,1,,,
"Torres del Paine Azorella monantha 900","Azorella monantha",25,49,"open",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,1,,,,,,,,,,,,,,,
"Torres del Paine Azorella monantha 900","Azorella monantha",25,50,"open",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Torres del Paine Azorella monantha 900","Azorella monantha",25,51,"open",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
