site,cushion species,sample,cushion/open,diam1 (cm),diam2 (cm),Agrostis castellana,Agrostis truncatula,Armeria caespitosa,Avenella iberica,Euphrasia willkommii,Festuca curvifolia,Festuca iberica,Hieracium myriadenum,Jasione crispa,Jurinea humilis,Luzula hispanica,Minuartia recurva,Nardus stricta,Paronychia polygonifolia,Plantago alpina,Polytrichum juniperinum,Polytrichum piliferum,Sedum brevifolium,Sedum candollei,Silene ciliata,dataset code
"Cabezas de Hierro","Minuartia_recurva",25,"cushion",18,14.5,,1,,,,,,,3,,,,,,,,,,,1,56
"Cabezas de Hierro","Minuartia_recurva",26,"cushion",10.5,9.5,,3,,,,,5,,1,,,,,,,,,6,,,56
"Cabezas de Hierro","Minuartia_recurva",27,"cushion",13.3,13,2,3,1,,,,,,,,,,,,,,,2,1,,56
"Cabezas de Hierro","Minuartia_recurva",28,"cushion",12.5,11.5,3,3,,,,,3,,,,,,,,,,,1,,2,56
"Cabezas de Hierro","Minuartia_recurva",29,"cushion",13.5,8,,,,,,,1,,1,,,,,,,,,1,,,56
"Cabezas de Hierro","Minuartia_recurva",30,"cushion",16.5,15.5,3,,,,,,10,,2,,,,,,,,,,2,,56
"Cabezas de Hierro","Minuartia_recurva",31,"cushion",23.5,13.5,4,,1,,,,,,3,,,,,,,,,1,,2,56
"Cabezas de Hierro","Minuartia_recurva",32,"cushion",26,12,12,2,,,,,2,,,,,,,,,,,,5,2,56
"Cabezas de Hierro","Minuartia_recurva",33,"cushion",16,15,2,4,,,,,,,,,,,10,,,,,,,2,56
"Cabezas de Hierro","Minuartia_recurva",34,"cushion",20.5,20,,6,,,,,34,,1,,,,,,,,,,,2,56
"Cabezas de Hierro","Minuartia_recurva",35,"cushion",24,14,7,2,,,,9,14,,3,,,,,,,,,3,,3,56
"Cabezas de Hierro","Minuartia_recurva",36,"cushion",26,20,8,,,,,,34,,4,,,,,,,,,1,,2,56
"Cabezas de Hierro","Minuartia_recurva",37,"cushion",12,11.5,8,4,,,,,,,,,,,,,,,,3,,1,56
"Cabezas de Hierro","Minuartia_recurva",38,"cushion",16.5,13.5,8,,,,,,,,1,,,,,,,,,2,,2,56
"Cabezas de Hierro","Minuartia_recurva",39,"cushion",13,11,,7,,,,8,3,,2,,,,,,,,,3,,2,56
"Cabezas de Hierro","Minuartia_recurva",40,"cushion",22,16,10,,,,,1,,,1,,,,,,,,,,,,56
"Cabezas de Hierro","Minuartia_recurva",44,"cushion",14.5,12,5,,,,,,,,,,,,,,,,,,,1,56
"Cabezas de Hierro","Minuartia_recurva",45,"cushion",16,13,,,,,,,,,1,,,,,,,,,2,,2,56
"Cabezas de Hierro","Minuartia_recurva",46,"cushion",18,12.5,3,,,,,6,,,,,,,,,,,,3,1,,56
"Cabezas de Hierro","Minuartia_recurva",47,"cushion",19,16,10,1,,,,,12,,1,,,,,,,,,4,2,,56
"Cabezas de Hierro","Minuartia_recurva",48,"cushion",25,17,4,,1,,,,18,,,,,,,,,,,2,4,,56
"Cabezas de Hierro","Minuartia_recurva",50,"cushion",18,17.5,,4,,,,,,,,,7,,,,,,,,,,56
"Cabezas de Hierro","Minuartia_recurva",51,"cushion",17.5,15,,2,,,,,15,,,,,,,,,,,,,,56
"Cabezas de Hierro","Minuartia_recurva",52,"cushion",20,18.5,,12,,,,,,,,,,,,,,,,,3,,56
"Cabezas de Hierro","Minuartia_recurva",53,"cushion",21,17,,,,,,12,,,,,3,,,,,,,6,,,56
"Cabezas de Hierro","Minuartia_recurva",57,"cushion",17,16,,,,,,14,,,1,,,,,,,,,4,,,56
"Cabezas de Hierro","Minuartia_recurva",67,"cushion",19,14,,,,,,22,,,,,,,,,,,,7,,,56
"Cabezas de Hierro","Minuartia_recurva",68,"cushion",20,18,,,,,,,,,,,,,,,,,,,,,56
"Cabezas de Hierro","Minuartia_recurva",70,"cushion",18,15,,5,,,,8,,,,,7,,,,,,,,,,56
"Cabezas de Hierro","Minuartia_recurva",72,"cushion",18,13,,2,,,,3,,,3,,,,,,,,,,2,,56
"Cabezas de Hierro","Minuartia_recurva",73,"cushion",20,10,,13,,,,13,,,1,,,,,,,,,,1,,56
"Cabezas de Hierro","Minuartia_recurva",74,"cushion",9.5,9.5,,4,,,,3,,,,,,,,,,,,1,3,,56
"Cabezas de Hierro","Minuartia_recurva",75,"cushion",14.5,12.5,,4,,,,1,,,,,,,,,,,,,,,56
"Cabezas de Hierro","Minuartia_recurva",76,"cushion",14.5,10,,5,,,,5,,,,,,,,,,,,,,,56
"Cabezas de Hierro","Minuartia_recurva",77,"cushion",27,15,,,,,,5,,,2,,8,,,,,,,,4,1,56
"Cabezas de Hierro","Minuartia_recurva",79,"cushion",13,11,,,1,,,14,,,,,,,,,,,,,,,56
"Cabezas de Hierro","Minuartia_recurva",80,"cushion",20,19,,,,,,,,,,,,,,,,,,,,,56
"Cabezas de Hierro","Minuartia_recurva",84,"cushion",24,21,,,1,,,18,,,2,,4,,,,2,,,,1,,56
"Cabezas de Hierro","Minuartia_recurva",85,"cushion",21,17.5,,,2,,,10,,,1,,4,,,,2,,,,,,56
"Cabezas de Hierro","Minuartia_recurva",86,"cushion",21,18,,3,,,7,15,,,2,,,,,,,,,,,1,56
"Cabezas de Hierro","Minuartia_recurva",87,"cushion",26,19,,,,,,,27,,3,,,,,,2,,,,,,56
"Cabezas de Hierro","Minuartia_recurva",89,"cushion",21,19,,,,,,8,,,3,,,,,,,,,,,2,56
"Cabezas de Hierro","Minuartia_recurva",90,"cushion",18,12,,2,1,,,11,,,3,,4,,,,4,,,,1,,56
"Cabezas de Hierro","Minuartia_recurva",92,"cushion",10.5,10,,1,2,,,,,,,,3,,,,,,,,1,,56
"Cabezas de Hierro","Minuartia_recurva",93,"cushion",14.5,13.5,,3,,,,,,,2,,7,,,,,,,,2,,56
"Cabezas de Hierro","Minuartia_recurva",96,"cushion",14.5,14,,,,,,13,,,,5,5,,,,,,,,1,,56
"Cabezas de Hierro","Minuartia_recurva",97,"cushion",10,9.5,,4,,,,1,,,,,2,,,,,,,,1,,56
"Cabezas de Hierro","Minuartia_recurva",98,"cushion",16,12.5,,,,,,7,,,,,2,,,,,,,,1,,56
"Cabezas de Hierro","Minuartia_recurva",100,"cushion",12.5,10,,,1,,,,,,3,,2,,,,,,,,,,56
"Cabezas de Hierro","Minuartia_recurva",101,"cushion",15.5,10.5,,,,,,5,,,2,,,,,,,,,2,,,56
"Cabezas de Hierro","Minuartia_recurva",1,"open",22,15,,8,,,,,,,,,,4,,,,,,2,,2,56
"Cabezas de Hierro","Minuartia_recurva",2,"open",20,15,18,2,,,,,,,,,,2,,,,22,,6,1,,56
"Cabezas de Hierro","Minuartia_recurva",3,"open",12,9,3,1,,,,,,,,,,1,,,,,,,,1,56
"Cabezas de Hierro","Minuartia_recurva",4,"open",15,13,7,4,,,,1,,,,,,4,,,,,,1,,,56
"Cabezas de Hierro","Minuartia_recurva",5,"open",17,15,18,,,,,,,,,,,1,,,,,,2,1,,56
"Cabezas de Hierro","Minuartia_recurva",6,"open",11,10.5,,,,,,,,,,,,1,,,,50,,3,,,56
"Cabezas de Hierro","Minuartia_recurva",8,"open",11.5,9,,1,,,,,,,,,,,,,,,15,6,,,56
"Cabezas de Hierro","Minuartia_recurva",9,"open",11,9.5,,3,,,,,,,,,,2,,,,,,5,,,56
"Cabezas de Hierro","Minuartia_recurva",10,"open",10,10,,5,,,,,,,,,,5,,,,,,1,,,56
"Cabezas de Hierro","Minuartia_recurva",11,"open",30,18,7,9,,,,,,,,,,3,,,,45,,3,1,,56
"Cabezas de Hierro","Minuartia_recurva",12,"open",12,11,5,,,,,,,,1,,,,,,,,15,6,,,56
"Cabezas de Hierro","Minuartia_recurva",13,"open",22,17,4,4,,,,,,,,,,4,,,,,,4,1,,56
"Cabezas de Hierro","Minuartia_recurva",14,"open",8,8,,3,,,,,1,,,,,,,,,,,1,,1,56
"Cabezas de Hierro","Minuartia_recurva",15,"open",12.5,12,,,,,,1,1,,,,,1,,1,,,,2,,,56
"Cabezas de Hierro","Minuartia_recurva",16,"open",20.5,15,4,1,1,,,,,,,,,5,,,,,15,5,,,56
"Cabezas de Hierro","Minuartia_recurva",17,"open",11.5,9,12,2,1,,,,,,1,,,1,,,,,,3,,,56
"Cabezas de Hierro","Minuartia_recurva",18,"open",21,15,3,,1,,,,,,,,,5,,,,,,9,,,56
"Cabezas de Hierro","Minuartia_recurva",19,"open",27.5,19,,5,,,,1,1,,,,,1,,,,25,,,,1,56
"Cabezas de Hierro","Minuartia_recurva",20,"open",9.5,8,,2,,,,,,,,,,,,,,,,,,1,56
"Cabezas de Hierro","Minuartia_recurva",21,"open",11,6.5,,1,,,,,1,,,,,,,,,,,1,,,56
"Cabezas de Hierro","Minuartia_recurva",22,"open",13,12,,,,,,,,,,,,2,,,,,,3,,,56
"Cabezas de Hierro","Minuartia_recurva",23,"open",21.5,19,,,,,,,,,,,,2,,,,,20,12,,,56
"Cabezas de Hierro","Minuartia_recurva",24,"open",21,17.5,,14,,,,,,,,,,2,,1,,,,6,1,,56
"Cabezas de Hierro","Minuartia_recurva",25,"open",18,14.5,,,,,,,,,,,,4,,,,,,,,,56
"Cabezas de Hierro","Minuartia_recurva",26,"open",10.5,9.5,,3,,,,,,,,,,1,,,,,,3,,,56
"Cabezas de Hierro","Minuartia_recurva",27,"open",13.3,13,6,,,,,,,,,,,8,,,,,,3,,,56
"Cabezas de Hierro","Minuartia_recurva",28,"open",12.5,11.5,3,4,,,,1,,,,,,,,,,,,1,,,56
"Cabezas de Hierro","Minuartia_recurva",29,"open",13.5,8,1,1,,,,,,,,,,1,,,,,,,,,56
"Cabezas de Hierro","Minuartia_recurva",30,"open",16.5,15.5,3,4,,,,,,,2,,,4,,,,,,1,1,,56
"Cabezas de Hierro","Minuartia_recurva",31,"open",23.5,13.5,6,1,,,,,,,,,,1,,,,,,1,4,,56
"Cabezas de Hierro","Minuartia_recurva",33,"open",16,15,6,,,,,,,,,,,2,,,,,,,1,,56
"Cabezas de Hierro","Minuartia_recurva",34,"open",20.5,20,7,3,,,,,,,,,,1,,,,,15,3,,1,56
"Cabezas de Hierro","Minuartia_recurva",35,"open",24,14,10,,,,,,,,,,,2,,,,,,,,,56
