Dataset code,site name,cushion species,sample,cushion/open,diam 1 (cm),diam 2 (cm),Area cm2,Acronema sp,Anaphalis contorta,Androsaceae sermentosa,Arasaema jaqmontii,Artimisia gmelinii,Aster himailacus,Avena fatua,Bistorta vivipara,Calamogrostis pseudophragmites,Carex sp,Cortia depressa,Cyananthus himalaicus,Cyananthus microphyllus,Cyperus sp,Deyeuxia scabrescens,Dubyaea hispida,Elsholtzia eriostachya,Ephedra gerardiana,Epilobium cylindricum,Eritrichium nanum,Euphorbia stracheyi,Gentiana depressa,Gentiana ornata,Gentianella falcata,Geranium donianum,Grebera nivea,Herminium macrophyllum,Juncus thomsonii,Lentopodium jocacianum,Morane nepalensis,Neottianthe calcicola,Nepeta lamiopsis,Parnesia nubicola,Pedicularis roylei,Pedicularis siphonantha,Polygonatum sp,Potentilla microphylla,Potentilla multifida,Potentilla sp,Rhodiola fastigiata,Saxifraga brachypoda,Saxifraga moorcroftiana,Sedum sp,Silene gonosperma ssp himalayensis,Stellaria patens,Swertia ciliata,Thallictrum alpinum,Themeda trianda,Veronica ciliata,Veronica himailaica,Veronica sp,Viola biflora,Botrychium lunaria,Paraceterach marantae,Pteridophyte
85,"Langtang-Kyanngjing Valley","Astragalus sp.",25,"Cushion",75,33,2574,,,11,,,,3,,48,,,,,16,39,,,,,,,28,,,,6,7,,28,,3,,,,,,,5,,,,,,,,,,,,,,,,,
85,"Langtang-Kyanngjing Valley","Astragalus sp.",25,"Open",,,2587.69,,,,,,,,,3,,,5,,54,21,,,,,,,10,,,,2,,,46,,,,,,,,,2,,,4,7,,,,,,,,,,,,,
85,"Langtang-Kyanngjing Valley","Astragalus sp.",26,"Cushion",67,39,2613,,21,,,,,4,,25,,,,,18,21,,,,,,,98,,,,1,,,,,,,5,,,,,7,,,,28,4,,,,,,,,,,,,2
85,"Langtang-Kyanngjing Valley","Astragalus sp.",26,"Open",,,2623.88,,30,,,,,,,,,,,,42,14,,,,,,,,,,,,,,,,,,,,,,,1,,,,17,,,,,,,,,,,,,1
85,"Langtang-Kyanngjing Valley","Astragalus sp.",27,"Cushion",81,76,6156,,32,9,,,20,,,42,1,,,,7,49,,,,,,,40,,,,3,,,5,,,,,8,,,,3,,,,21,,,,,,,,,,,,,
85,"Langtang-Kyanngjing Valley","Astragalus sp.",27,"Open",,,6165.34,,42,22,,,12,,,20,,,,,15,21,,,,,,,73,,,,1,,,,,,,,18,,,,,,,,36,,,,,,,,,1,,,,
85,"Langtang-Kyanngjing Valley","Astragalus sp.",28,"Cushion",120,60,7200,2,25,25,,2,6,5,,25,17,,,,29,59,3,,,,,,,,,,,,,,,,,,1,,,,,,,,11,,,,,,,2,,,,,5,
85,"Langtang-Kyanngjing Valley","Astragalus sp.",28,"Open",,,7208,,53,14,,,5,4,,27,,,,,11,22,,,,,8,,73,,,,,,,,,,,,,34,,,,,,,59,2,,,,,,,,8,,,4,
85,"Langtang-Kyanngjing Valley","Astragalus sp.",29,"Cushion",47,47,1734.94,,70,11,,,,,,95,,,,,21,10,,,,,2,,30,,,,,5,,,,1,,,3,1,,,,,,,10,,2,,,2,17,,,,,,,
85,"Langtang-Kyanngjing Valley","Astragalus sp.",29,"Open",,,1734.94,,42,3,,,6,,,14,,,2,,9,6,,,,,5,,,,,,,,,5,,,,6,2,,,,,,,,10,,,,,,7,,,,,,,
85,"Langtang-Kyanngjing Valley","Astragalus sp.",30,"Cushion",74,47,3478,4,24,36,,,,9,,45,,,,,13,41,,,,,,,175,,,,,,,,,,,,,,3,,2,,,,21,,2,,,,8,,,,,,2,
85,"Langtang-Kyanngjing Valley","Astragalus sp.",30,"Open",,,3483.68,,20,9,,4,,,,20,,,,,,8,,,,,7,,,,,,,,,12,,,,,10,,,,,,,,3,,,,,,17,,,,,,,
85,"Langtang-Kyanngjing Valley","Astragalus sp.",31,"Cushion",95,67.5,6412.5,,7,65,,,,12,,45,,,,,,46,,,,,,,,,,,2,,5,,,,,,,,,,,,,,19,,,,,,,,,,,,17,
85,"Langtang-Kyanngjing Valley","Astragalus sp.",31,"Open",,,6418.399,,,,,,,,,13,,,,,,,,35,,,4,,,,,,,,,,,,,,,,,,,,,33,10,8,14,,,,,,,,,,,
85,"Langtang-Kyanngjing Valley","Astragalus sp.",32,"Cushion",54,35,1890,,51,19,,,5,13,,17,,,,,47,41,,,,,,,,,,,2,,,30,,,,,,,,,1,,,,,1,,,,,13,,,,,,,
85,"Langtang-Kyanngjing Valley","Astragalus sp.",32,"Open",,,1901.16,,2,13,,,,,,24,,,,,22,31,,,,,8,,,,,,1,,,31,,,,14,,,,,1,,,,19,,,,,,3,,,,,,,
85,"Langtang-Kyanngjing Valley","Astragalus sp.",33,"Cushion",134,56,7504,,66,66,,,12,4,,92,5,,,,11,41,,,,,7,,5,,,,,,,9,,,,,,,,,,,,,15,,,,2,,23,,3,,,,,
85,"Langtang-Kyanngjing Valley","Astragalus sp.",33,"Open",,,7512.2,,11,2,,5,,,,20,,,66,,27,16,,,,,4,,,,,,,,,39,,,,,6,,,,,,,4,24,,3,,,,9,,,,,,,
85,"Langtang-Kyanngjing Valley","Astragalus sp.",34,"Cushion",60,41,2460,1,15,6,,,,1,,25,1,,,,12,37,,9,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,10,,,,,,,
85,"Langtang-Kyanngjing Valley","Astragalus sp.",34,"Open",,,2463.01,,37,,,,,,,15,,,,,5,,,8,,,17,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,
85,"Langtang-Kyanngjing Valley","Astragalus sp.",35,"Cushion",59,54,3186,,31,11,,,2,,,15,25,,2,,22,29,,,,,3,,,,,,3,,,,,,,,11,,,,,,,,11,,2,,,,30,,,,,,,
85,"Langtang-Kyanngjing Valley","Astragalus sp.",35,"Open",,,3196.916,,38,39,,,,,,23,,,1,,19,19,,,,,14,,,,,,,,,22,,,,,3,,,,,,,,26,,,,1,,25,,,,,,,
85,"Langtang-Kyanngjing Valley","Astragalus sp.",36,"Cushion",48,48,1809.55,,31,10,,,,,,12,,,,,2,55,,,,,,,22,,,,,,,,,,,,2,,,,,,,23,2,,1,,4,,,,,,,,,
85,"Langtang-Kyanngjing Valley","Astragalus sp.",36,"Open",,,1809.55,,10,5,,,,,,6,,,,,14,25,,,,,,,,,,,,,,22,,,,,18,,,,,,,,4,,,,,,,,,1,,,,
85,"Langtang-Kyanngjing Valley","Astragalus sp.",37,"Cushion",47,40,1880,5,,,,,,,,25,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,4,,,,6,,,,3,,18,,,,,,,
85,"Langtang-Kyanngjing Valley","Astragalus sp.",37,"Open",,,1885.74,,,3,,,,,,23,,,,,,,,,,,12,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,"Langtang-Kyanngjing Valley","Astragalus sp.",38,"Cushion",44,38,1672,,16,12,,,,,,30,,,6,,3,3,,,,,3,,,,,,,,,,,,,,1,,,,,,,,5,1,,,1,,,,1,,,,,
85,"Langtang-Kyanngjing Valley","Astragalus sp.",38,"Open",,,1676.38,,30,10,,,,,,26,,,,,3,8,,,,,9,,,,1,,1,,,,,,,,,,,,,,,,4,,,,1,,,,,,,,,
85,"Langtang-Kyanngjing Valley","Astragalus sp.",39,"Cushion",44,35,1540,,26,13,,,,,,51,,,,,,35,,,,,5,,,,,,1,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,
85,"Langtang-Kyanngjing Valley","Astragalus sp.",39,"Open",,,1548.3,,21,33,,,,,,18,,,,,3,14,,27,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,
85,"Langtang-Kyanngjing Valley","Astragalus sp.",40,"Cushion",85,40,3400,,45,57,,,,,,26,,,,2,9,16,,,,,4,,,,,,2,,,6,,,,,5,,,,1,,,2,16,,,11,,,,,1,,,,,
85,"Langtang-Kyanngjing Valley","Astragalus sp.",40,"Open",,,3400.49,,25,8,,,,,,8,,,,19,20,19,,,,,9,,,,,,2,15,,,,,,,2,,,,1,,,3,7,,,,1,,7,,,,,,,
85,"Langtang-Kyanngjing Valley","Astragalus sp.",41,"Cushion",36,36,1017.876,,18,19,,,,,,26,,,7,8,5,4,,,,,12,,,,,,,7,,,,,,,3,,,,,,,,5,1,,,,,3,,,,,,,
85,"Langtang-Kyanngjing Valley","Astragalus sp.",41,"Open",,,1017.876,,,20,,,,,,7,,,,,31,4,,,,,,,,,,,3,12,,,,,,7,2,,,,,,,,9,,,,,,,,,,,,,
85,"Langtang-Kyanngjing Valley","Astragalus sp.",42,"Cushion",34,30,1020,,,29,,,,,,20,,,,19,23,8,,,,,,,,,,,1,,,21,,,,3,,,,,,,,4,12,,,,,,9,,1,,,,,
85,"Langtang-Kyanngjing Valley","Astragalus sp.",42,"Open",,,1029.22,,,11,,,,,,8,,,,,13,17,,,,,,,,,,,1,,,,,,,9,,,,,,,,,22,1,,,,,,,,5,,,,
85,"Langtang-Kyanngjing Valley","Astragalus sp.",43,"Cushion",73,61,4453,3,3,14,,3,,,,10,,,,,7,24,,38,,,27,,,,,,,,,,,,,,,,,,,,10,,19,5,2,,,,5,,,,,,,
85,"Langtang-Kyanngjing Valley","Astragalus sp.",43,"Open",,,4465.11,,,9,,3,,,,12,,,,,3,19,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,6,,,,,,,
85,"Langtang-Kyanngjing Valley","Astragalus sp.",44,"Cushion",103,30,3090,,13,21,,,3,,,35,,,,,42,12,,,,,,,45,,,,2,,,,,,,,,,,,3,,,,6,4,2,26,,,17,1,2,,,,,
85,"Langtang-Kyanngjing Valley","Astragalus sp.",44,"Open",,,3097.48,,28,6,,,,,,15,,,,,,11,,,,,14,,,,,,,,,1,,,,,4,,,,,,,,1,,3,,1,,9,2,2,,,,,
85,"Langtang-Kyanngjing Valley","Astragalus sp.",45,"Cushion",60,38,2280,,,15,,,3,,,21,,,3,,5,18,,,,,,,3,,,,,,,,,,,,,,,,1,,,,,2,,,,,,,,,,,,
85,"Langtang-Kyanngjing Valley","Astragalus sp.",45,"Open",,,2290.22,,,,,,,,,,,,,,,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,"Langtang-Kyanngjing Valley","Astragalus sp.",46,"Cushion",88,32.5,2860,,16,,,,11,,,3,,,,,8,13,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,3,,,,6,,,,,,,
85,"Langtang-Kyanngjing Valley","Astragalus sp.",46,"Open",,,2860,,,,,,,,,1,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,,,,,,,,,,,
85,"Langtang-Kyanngjing Valley","Astragalus sp.",47,"Cushion",75,38,2850,,3,21,,,5,,,28,,,,,12,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,4,,
85,"Langtang-Kyanngjing Valley","Astragalus sp.",47,"Open",,,2865.25,,13,,,,,,,,,,,,19,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,"Langtang-Kyanngjing Valley","Astragalus sp.",48,"Cushion",66,47,3102,,106,39,,,,,,22,,,,,9,16,14,,,,,,,,,,2,,,,,,,,,,,,,,,,9,,3,,,,8,4,,,,,,
85,"Langtang-Kyanngjing Valley","Astragalus sp.",48,"Open",,,3117.245,,,13,,,,,,16,,,,31,17,,5,,,,,,,,,,,,,38,,,,14,,,,,1,,,,18,,,,,,,11,,,,,,
85,"Langtang-Kyanngjing Valley","Astragalus sp.",49,"Cushion",50,60,3000,,15,7,,,,,,27,,,,2,21,9,,,,,4,,,,,,,,,25,,,,2,2,,,,,,,2,7,,1,,2,,4,2,,,,,,
85,"Langtang-Kyanngjing Valley","Astragalus sp.",49,"Open",,,3000,,24,22,,,,,,25,,,,8,35,11,4,,,,3,,,,,,,,,11,,,,16,2,,,,1,,,1,15,,6,,,,4,,,2,,,,
85,"Langtang-Kyanngjing Valley","Astragalus sp.",50,"Cushion",90,28,2520,2,26,6,,,1,2,,25,,,,10,13,36,,,,,,,,,,,,,1,,,,,5,,,,,1,,,6,14,,1,,,,1,5,,,,,,
85,"Langtang-Kyanngjing Valley","Astragalus sp.",50,"Open",,,2533.88,,8,32,,,,,,17,,,,,13,15,,,,,9,,,,,,,,,19,,,,47,,,,,,,,7,13,,,,,,5,,1,1,,,,
85,"Langtang-Kyanngjing Valley","Astragalus sp.",51,"Cushion",54,25,1350,,6,11,,,,,,48,,,,,14,40,2,,,,,,,,,,,,,43,,,,4,,,,,,,,3,7,7,,,,,11,1,,,,,,
85,"Langtang-Kyanngjing Valley","Astragalus sp.",51,"Open",,,1359.178,,,6,,,,,,32,,,,28,21,9,,,,,,,,,,,,,,13,,,,17,,,,,,,,1,7,,,,1,,3,,,,,,,
85,"Langtang-Kyanngjing Valley","Astragalus sp.",52,"Cushion",69,75,5175,,47,22,,,,5,,16,,,,,30,15,14,,,,,,,,,,,,,19,,,,,,,,,2,,,,18,,1,,,,11,5,,,,,,
85,"Langtang-Kyanngjing Valley","Astragalus sp.",52,"Open",,,5178.475,,,5,,,,,,19,,,,,25,19,11,,,1,,,2,,,,,,,68,,,,,1,,,,,,,,18,,3,,,,,1,,,,,,
85,"Langtang-Kyanngjing Valley","Astragalus sp.",53,"Cushion",50,27,1350,1,38,11,,,,,,58,,,,,,15,3,,,,2,,,,,,,,,3,,,,,,,,,2,,,,11,,3,,,,2,6,,,,,,
85,"Langtang-Kyanngjing Valley","Astragalus sp.",53,"Open",,,1359.18,,,6,,,,,,22,5,,,,,22,,,,,4,,,,,,,,4,11,,,,,,,,,,,,,,,,,,,,,,,,,,
85,"Langtang-Kyanngjing Valley","Astragalus sp.",54,"Cushion",57,35,1995,,8,27,,,,,,47,,,,,7,35,,,,,4,,18,,2,,,12,,,,,,,,,5,,,,,7,11,4,,,3,,,,,,,,,
85,"Langtang-Kyanngjing Valley","Astragalus sp.",54,"Open",,,1995.037,,10,5,,,,,,23,,,,10,5,13,3,,,,,,29,,,,,,,16,,,,6,,,,,,,,,5,3,,,,,,,,,,,,
85,"Langtang-Kyanngjing Valley","Astragalus sp.",55,"Cushion",96,65,6240,,22,23,,,,,,41,,,,2,25,36,3,,,,,,97,,,,2,15,7,5,,,,9,,,,,1,,,,19,,3,,,,4,,,,,,,
85,"Langtang-Kyanngjing Valley","Astragalus sp.",55,"Open",,,6249.13,,23,23,,,,,,44,,,,6,18,26,,,,,,,106,,,,6,4,23,77,,,,29,,,,,5,,,16,43,,,,1,,6,,,,,,,
85,"Langtang-Kyanngjing Valley","Astragalus sp.",56,"Cushion",120,76,9120,,24,37,,,,9,,12,18,,10,,67,101,27,,,,,,45,,,,7,,,36,,1,,28,,,3,,,,,,9,2,5,,,,,3,,,,,,
