"site","cushion","code","sample","cushion.open","diam1","diam2","area","Agrostis foliata","Azorella aretioides","Azorella pedunculata-corymbosa","Baccharis caespitosa","Bartsia stricta","Castilleja nubigena","Cerastium floccosum","Chuqiragua jussieui","Draba aretioides","Ephedra americana","Erigeron ecuadoriensis","Gentiana sedifolia","Huperzia crassa","Hypochaeris sessiliflora","Lucilia kunthiana","Lupinus microphyllus","Luzula racemosa","Moss","Myrosmodes sp","Nototriche hartwegii","Oreomyrrhis andicola","Pernettya prostrata","Poaceae spp","Ranunculus peruvianus","Senecio canescens","Senecio nivalis","Valeriana alypifolia","Valeriana rigida","Werneria nubigena","Werneria pumila","Xenophyllum rigidum (infrasp Level)"
"Ecuador Xenophyllum","Xenophyllum rigidum",2,40,"open",,,62,1,,,25,,,2,,,,,1,12,5,,,,,,,,,15,,,,,,,,
"Ecuador Xenophyllum","Xenophyllum rigidum",2,41,"open",,,23,,,,3,,,,,,,,,,,,,1,,,,,,1,,,,,,,,
"Ecuador Xenophyllum","Xenophyllum rigidum",2,42,"open",,,24,4,,,1,,,,,,,1,,,1,,,,,,,,,,,,,,,,,
"Ecuador Xenophyllum","Xenophyllum rigidum",2,43,"open",,,31,2,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,
"Ecuador Xenophyllum","Xenophyllum rigidum",2,44,"open",,,49,8,,,12,,,,,1,,,,,,,,,,,,,,,,,,,,,,
"Ecuador Xenophyllum","Xenophyllum rigidum",2,45,"open",,,32,,,,8,,,,,,,,,,,,,,,,,,,2,,,,,,,,
"Ecuador Xenophyllum","Xenophyllum rigidum",2,46,"open",,,40,4,,,4,,,,,1,,,,,,,,,,,,,,9,,,,,,,,
"Ecuador Xenophyllum","Xenophyllum rigidum",2,47,"open",,,25,,,,5,,,,,,,1,,,,,,,,,,,,1,,,,,,,,
"Ecuador Xenophyllum","Xenophyllum rigidum",2,48,"open",,,43,1,,,2,,,2,,,,,,,3,,,,,,,,,5,,,,,,,,
"Ecuador Xenophyllum","Xenophyllum rigidum",2,49,"open",,,79,3,,,17,,,3,,1,,1,,9,1,,,,,5,,,,7,,,,,,,,
"Ecuador Xenophyllum","Xenophyllum rigidum",2,50,"open",,,18,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ecuador Xenophyllum","Xenophyllum rigidum",2,51,"open",,,40,4,,,7,,,,,1,,1,,2,,,,,,,,,,4,,,,,,,,
"Ecuador Xenophyllum","Xenophyllum rigidum",2,52,"open",,,44,3,,,3,,,,,,,,,,,,,,,4,,,,6,,,,,,,,
"Ecuador Xenophyllum","Xenophyllum rigidum",2,53,"open",,,26,,,,2,,,,,,,,,,,,,,,,,,,1,,,,,,,,
"Ecuador Xenophyllum","Xenophyllum rigidum",2,54,"open",,,37,,,,22,,,1,,,,,,,,,,,,,,,,7,,,,,,,,
"Ecuador Xenophyllum","Xenophyllum rigidum",2,55,"open",,,73,3,,,8,,,2,,,,,,,,,,,,3,,,,2,,,,,,,,
"Ecuador Xenophyllum","Xenophyllum rigidum",2,56,"open",,,37,,,,12,,,,,,,,,5,,,,,,,,,,1,,,,,,,,
"Ecuador Xenophyllum","Xenophyllum rigidum",2,57,"open",,,47,3,,,11,,,,,,,,,5,1,,,,,,,,,4,,,,,,,,
"Ecuador Xenophyllum","Xenophyllum rigidum",2,58,"open",,,46,3,,,21,,,,,,,,,,1,,,,,,,,,4,,,,,,,,
"Ecuador Xenophyllum","Xenophyllum rigidum",2,59,"open",,,28,1,,,9,,,,,,,5,,,,,,,,,,,,1,,,,,,,,
"Ecuador Xenophyllum","Xenophyllum rigidum",2,60,"open",,,36,,,,11,,,2,,,,,,,4,,,,,,,,,13,,,,,,,,
"Ecuador Xenophyllum","Xenophyllum rigidum",2,61,"open",,,48,,,,7,,,,,,,,,,2,,,,,2,,,,7,,,,,,,,
"Ecuador Xenophyllum","Xenophyllum rigidum",2,62,"open",,,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ecuador Xenophyllum","Xenophyllum rigidum",2,63,"open",,,32,,,,1,,,,,,,,,,1,,,,,,,,,,3,,,,,,,
"Ecuador Xenophyllum","Xenophyllum rigidum",2,64,"open",,,22,,,,,,,,,,,,,,1,,,,,,,,,2,,,,,,,,
"Ecuador Xenophyllum","Xenophyllum rigidum",2,65,"open",,,37,,,,2,,,1,,,,,,,,,,,,,,,,2,,,,,,,,
"Ecuador Xenophyllum","Xenophyllum rigidum",2,66,"open",,,43,,,,4,,,,,1,,,,,2,,,,,,,,,2,,,,,,,1,
"Ecuador Xenophyllum","Xenophyllum rigidum",2,67,"open",,,47,3,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,
"Ecuador Xenophyllum","Xenophyllum rigidum",2,68,"open",,,24,,,,7,,,,,,,,,,,,,,,,,,,1,,,,,,,,
"Ecuador Xenophyllum","Xenophyllum rigidum",2,69,"open",,,45,,,,16,,,,,1,,,,4,,,,,,,,,,3,,,,,,,,
"Ecuador Xenophyllum","Xenophyllum rigidum",2,70,"open",,,27,2,,,15,,1,,,,,2,,,7,,,,,,,,,,,,,,,,,
"Ecuador Xenophyllum","Xenophyllum rigidum",2,71,"open",,,34,,,,13,,,,,1,,,,,,,,,,,,,,5,,,,,,,,
"Ecuador Xenophyllum","Xenophyllum rigidum",2,72,"open",,,59,,,,4,,,1,,,,,,,1,,,,,,,,,2,,,1,,,,,
"Ecuador Xenophyllum","Xenophyllum rigidum",2,73,"open",,,35,2,,,9,,,,,,,1,,,,,,,,,,,,4,,,,,,,,
"Ecuador Xenophyllum","Xenophyllum rigidum",2,74,"open",,,56,,,,11,,,,,2,,,,,3,,,,,,,,,9,,,,,1,,,
"Ecuador Xenophyllum","Xenophyllum rigidum",2,75,"open",,,46,,,,7,,1,,,1,,1,,,,,,,,1,,,,7,,,,,,,,
"Ecuador Xenophyllum","Xenophyllum rigidum",2,76,"open",,,50,1,,,17,,1,,,1,,10,,,,,,,,,,,7,5,,,9,,,,,
"Ecuador Xenophyllum","Xenophyllum rigidum",2,77,"open",,,65,1,,,5,,,2,,,,,,,1,,,,,,,,,,,,,,,,,
"Ecuador Xenophyllum","Xenophyllum rigidum",2,78,"open",,,40,,,,12,,,,,,,,,,1,,,,,1,,,,3,,,,,,,,
"Ecuador Xenophyllum","Xenophyllum rigidum",2,79,"open",,,34,,,,2,,,,,3,,,,,,,,,,,2,,,2,,,,,,,,
"Ecuador Xenophyllum","Xenophyllum rigidum",2,80,"open",,,44,,,,3,,1,,,4,,1,,,2,,,,,,1,,,3,,,,,,,,
"Ecuador Xenophyllum","Xenophyllum rigidum",2,81,"open",,,35,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ecuador Xenophyllum","Xenophyllum rigidum",2,82,"open",,,41,,,,8,,,1,,,,2,,,5,,,,,,,,,2,,,,,,,,
"Ecuador Xenophyllum","Xenophyllum rigidum",2,83,"open",,,29,,,,8,,1,2,,,,,,,2,,,,,,,,,8,,,,,,,,
"Ecuador Xenophyllum","Xenophyllum rigidum",2,84,"open",,,25,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,
"Ecuador Xenophyllum","Xenophyllum rigidum",2,85,"open",,,37,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,
"Ecuador Xenophyllum","Xenophyllum rigidum",2,1,"cushion",,,62,,,3,,,,,,,,,,,,,,,,,4,,,,,,,,,,,
"Ecuador Xenophyllum","Xenophyllum rigidum",2,2,"cushion",,,46,,,4,,,,,,,,,,,,,,,,,2,2,,,,,,,1,,,
"Ecuador Xenophyllum","Xenophyllum rigidum",2,3,"cushion",,,33,,,4,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
"Ecuador Xenophyllum","Xenophyllum rigidum",2,4,"cushion",,,19,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
"Ecuador Xenophyllum","Xenophyllum rigidum",2,5,"cushion",,,56,,,12,,,,,,,,,,,,,,,,,,3,,,,,,,,,,
"Ecuador Xenophyllum","Xenophyllum rigidum",2,6,"cushion",,,30,,,3,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,
"Ecuador Xenophyllum","Xenophyllum rigidum",2,7,"cushion",,,46,,,2,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,
"Ecuador Xenophyllum","Xenophyllum rigidum",2,8,"cushion",,,28,,,4,,,,,,,,,,,,,,,,,1,2,1,,,,,,,,,
"Ecuador Xenophyllum","Xenophyllum rigidum",2,9,"cushion",,,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ecuador Xenophyllum","Xenophyllum rigidum",2,10,"cushion",,,45,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,
"Ecuador Xenophyllum","Xenophyllum rigidum",2,11,"cushion",,,55,,,2,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
"Ecuador Xenophyllum","Xenophyllum rigidum",2,12,"cushion",,,48,,,4,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
"Ecuador Xenophyllum","Xenophyllum rigidum",2,13,"cushion",,,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ecuador Xenophyllum","Xenophyllum rigidum",2,14,"cushion",,,79,,,3,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
"Ecuador Xenophyllum","Xenophyllum rigidum",2,15,"cushion",,,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ecuador Xenophyllum","Xenophyllum rigidum",2,16,"cushion",,,27,,,,,,,,,,,,,,,,,,,,1,,,,,,,,2,,,
"Ecuador Xenophyllum","Xenophyllum rigidum",2,17,"cushion",,,35,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
"Ecuador Xenophyllum","Xenophyllum rigidum",2,18,"cushion",,,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ecuador Xenophyllum","Xenophyllum rigidum",2,19,"cushion",,,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ecuador Xenophyllum","Xenophyllum rigidum",2,20,"cushion",,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ecuador Xenophyllum","Xenophyllum rigidum",2,21,"cushion",,,52,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
"Ecuador Xenophyllum","Xenophyllum rigidum",2,22,"cushion",,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ecuador Xenophyllum","Xenophyllum rigidum",2,23,"cushion",,,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ecuador Xenophyllum","Xenophyllum rigidum",2,24,"cushion",,,39,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ecuador Xenophyllum","Xenophyllum rigidum",2,25,"cushion",,,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ecuador Xenophyllum","Xenophyllum rigidum",2,26,"cushion",,,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ecuador Xenophyllum","Xenophyllum rigidum",2,27,"cushion",,,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ecuador Xenophyllum","Xenophyllum rigidum",2,28,"cushion",,,66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ecuador Xenophyllum","Xenophyllum rigidum",2,29,"cushion",,,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ecuador Xenophyllum","Xenophyllum rigidum",2,30,"cushion",,,61,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ecuador Xenophyllum","Xenophyllum rigidum",2,31,"cushion",,,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ecuador Xenophyllum","Xenophyllum rigidum",2,32,"cushion",,,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ecuador Xenophyllum","Xenophyllum rigidum",2,33,"cushion",,,38,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ecuador Xenophyllum","Xenophyllum rigidum",2,34,"cushion",,,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ecuador Xenophyllum","Xenophyllum rigidum",2,35,"cushion",,,56,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
"Ecuador Xenophyllum","Xenophyllum rigidum",2,36,"cushion",,,38,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
"Ecuador Xenophyllum","Xenophyllum rigidum",2,37,"cushion",,,33,,,,,,1,,1,,,,,,,,,,,,,3,,,,,,,,1,,
"Ecuador Xenophyllum","Xenophyllum rigidum",2,38,"cushion",,,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ecuador Xenophyllum","Xenophyllum rigidum",2,39,"cushion",,,49,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ecuador Xenophyllum","Xenophyllum rigidum",2,40,"cushion",,,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ecuador Xenophyllum","Xenophyllum rigidum",2,41,"cushion",,,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ecuador Xenophyllum","Xenophyllum rigidum",2,42,"cushion",,,24,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,
"Ecuador Xenophyllum","Xenophyllum rigidum",2,43,"cushion",,,31,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ecuador Xenophyllum","Xenophyllum rigidum",2,44,"cushion",,,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ecuador Xenophyllum","Xenophyllum rigidum",2,45,"cushion",,,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ecuador Xenophyllum","Xenophyllum rigidum",2,46,"cushion",,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ecuador Xenophyllum","Xenophyllum rigidum",2,47,"cushion",,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ecuador Xenophyllum","Xenophyllum rigidum",2,48,"cushion",,,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ecuador Xenophyllum","Xenophyllum rigidum",2,49,"cushion",,,79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
"Ecuador Xenophyllum","Xenophyllum rigidum",2,50,"cushion",,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ecuador Xenophyllum","Xenophyllum rigidum",2,51,"cushion",,,40,,,4,,,,,,,,,,,,,,,,,1,,,,,,,,3,,,
"Ecuador Xenophyllum","Xenophyllum rigidum",2,52,"cushion",,,44,,,7,,,,,,,,,,,,,,,,,3,1,,,,,,,1,,,
"Ecuador Xenophyllum","Xenophyllum rigidum",2,53,"cushion",,,26,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ecuador Xenophyllum","Xenophyllum rigidum",2,54,"cushion",,,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ecuador Xenophyllum","Xenophyllum rigidum",2,55,"cushion",,,73,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,
"Ecuador Xenophyllum","Xenophyllum rigidum",2,56,"cushion",,,37,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ecuador Xenophyllum","Xenophyllum rigidum",2,57,"cushion",,,47,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,
"Ecuador Xenophyllum","Xenophyllum rigidum",2,58,"cushion",,,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ecuador Xenophyllum","Xenophyllum rigidum",2,59,"cushion",,,28,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
"Ecuador Xenophyllum","Xenophyllum rigidum",2,60,"cushion",,,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ecuador Xenophyllum","Xenophyllum rigidum",2,61,"cushion",,,48,,,1,,,,,,,,,,,,,,,,,3,,,,,,,,1,,,
"Ecuador Xenophyllum","Xenophyllum rigidum",2,62,"cushion",,,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ecuador Xenophyllum","Xenophyllum rigidum",2,63,"cushion",,,32,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ecuador Xenophyllum","Xenophyllum rigidum",2,64,"cushion",,,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ecuador Xenophyllum","Xenophyllum rigidum",2,65,"cushion",,,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ecuador Xenophyllum","Xenophyllum rigidum",2,66,"cushion",,,43,,,2,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,
"Ecuador Xenophyllum","Xenophyllum rigidum",2,67,"cushion",,,47,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
"Ecuador Xenophyllum","Xenophyllum rigidum",2,68,"cushion",,,24,,,4,,,,,,,,,,,,,,,,,,,1,,,,,,,,,
"Ecuador Xenophyllum","Xenophyllum rigidum",2,69,"cushion",,,45,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ecuador Xenophyllum","Xenophyllum rigidum",2,70,"cushion",,,27,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ecuador Xenophyllum","Xenophyllum rigidum",2,71,"cushion",,,34,,,4,,,,,,,,,,,,,1,,,,,5,,,,,,,,,,
"Ecuador Xenophyllum","Xenophyllum rigidum",2,72,"cushion",,,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ecuador Xenophyllum","Xenophyllum rigidum",2,73,"cushion",,,35,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
"Ecuador Xenophyllum","Xenophyllum rigidum",2,74,"cushion",,,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ecuador Xenophyllum","Xenophyllum rigidum",2,75,"cushion",,,46,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ecuador Xenophyllum","Xenophyllum rigidum",2,76,"cushion",,,50,,,7,,,3,,5,,,,,,,3,,,,,8,,5,,,,,,,,,
"Ecuador Xenophyllum","Xenophyllum rigidum",2,77,"cushion",,,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ecuador Xenophyllum","Xenophyllum rigidum",2,78,"cushion",,,40,,,4,,,1,,,,,,,,,2,,,,,3,,,,,,,,,,,
"Ecuador Xenophyllum","Xenophyllum rigidum",2,79,"cushion",,,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ecuador Xenophyllum","Xenophyllum rigidum",2,80,"cushion",,,44,,,8,1,,1,,,,,,,1,,,,,,,2,,,,,,,,,,,
"Ecuador Xenophyllum","Xenophyllum rigidum",2,81,"cushion",,,35,,,7,,,,,,,,,,,,1,,,,,1,,1,,,,,,,,,
"Ecuador Xenophyllum","Xenophyllum rigidum",2,82,"cushion",,,41,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ecuador Xenophyllum","Xenophyllum rigidum",2,83,"cushion",,,29,,,3,,,,,,,,,,,,,,,,,3,,,,,,,,,,,
"Ecuador Xenophyllum","Xenophyllum rigidum",2,84,"cushion",,,25,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
"Ecuador Xenophyllum","Xenophyllum rigidum",2,85,"cushion",,,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
