"site","cushion","code","sample","cushion.open","diam1","diam2","area","Azorella trifurcata","Calamagrostis curvula","Calamagrostis sp","Festuca sp","Moschopsis monocephala","Nototriche aruicoma","Parastrephia lepidophylla","Perezia atacamensis","Senecio puchii","Unknown","Werneria glaberrima"
"Atacama","Pycnophyllum bryoides",5,23,"cushion",,,,,,,3,,1,,,,,
"Atacama","Pycnophyllum bryoides",5,24,"cushion",,,,,1,,,,,,,,,
"Atacama","Pycnophyllum bryoides",5,25,"cushion",,,,,,,1,,,,,,,
"Atacama","Pycnophyllum bryoides",5,26,"cushion",,,,,,,,,,,,,2,
"Atacama","Pycnophyllum bryoides",5,27,"cushion",,,,,,,3,,,,,,,
"Atacama","Pycnophyllum bryoides",5,28,"cushion",,,,1,,,,,,,,,,
"Atacama","Pycnophyllum bryoides",5,29,"cushion",,,,,1,,,,,,,,,
"Atacama","Pycnophyllum bryoides",5,33,"cushion",,,,,,,,1,,,,,,
"Atacama","Pycnophyllum bryoides",5,34,"cushion",,,,,,3,1,,,,,,1,1
"Atacama","Pycnophyllum bryoides",5,35,"cushion",,,,,,,,,1,,,,,
"Atacama","Pycnophyllum bryoides",5,36,"cushion",,,,,,1,,,,,,,,
"Atacama","Pycnophyllum bryoides",5,37,"cushion",,,,,,,,,1,,,,,
"Atacama","Pycnophyllum bryoides",5,38,"cushion",,,,,1,,,,,,,,,
"Atacama","Pycnophyllum bryoides",5,39,"cushion",,,,,1,2,,,,1,,,,
"Atacama","Pycnophyllum bryoides",5,40,"cushion",,,,,,,,,,1,,,1,
"Atacama","Pycnophyllum bryoides",5,41,"cushion",,,,,,,,,,,,1,,
"Atacama","Pycnophyllum bryoides",5,42,"cushion",,,,,,1,,,2,,,,1,
"Atacama","Pycnophyllum bryoides",5,43,"cushion",,,,,,,,,,,,,,1
"Atacama","Pycnophyllum bryoides",5,44,"cushion",,,,,,,,,,,,1,2,
"Atacama","Pycnophyllum bryoides",5,45,"cushion",,,,,,1,,,1,,,,,
"Atacama","Pycnophyllum bryoides",5,46,"cushion",,,,,1,,1,,,,,,,
"Atacama","Pycnophyllum bryoides",5,47,"cushion",,,,,1,,,,,,,,1,
"Atacama","Pycnophyllum bryoides",5,48,"cushion",,,,,,,4,,,,,,,
"Atacama","Pycnophyllum bryoides",5,49,"cushion",,,,1,,2,,,,,,,1,
"Atacama","Pycnophyllum bryoides",5,50,"cushion",,,,,,,,1,,,,,,
"Atacama","Pycnophyllum bryoides",5,51,"cushion",,,,,,,2,,,,,,,
"Atacama","Pycnophyllum bryoides",5,52,"cushion",,,,,,,,,,,,1,,1
"Atacama","Pycnophyllum bryoides",5,53,"cushion",,,,,,,1,,,,,,,
"Atacama","Pycnophyllum bryoides",5,54,"cushion",,,,,,,,,,,,,,
"Atacama","Pycnophyllum bryoides",5,55,"cushion",,,,,,,1,,,,,,,
"Atacama","Pycnophyllum bryoides",5,56,"cushion",,,,,,,,,,1,,,,
"Atacama","Pycnophyllum bryoides",5,57,"cushion",,,,,,,,,,1,,,,
"Atacama","Pycnophyllum bryoides",5,58,"cushion",,,,,,,4,,,,,,,
"Atacama","Pycnophyllum bryoides",5,62,"cushion",,,,1,,,,,,1,,,,
"Atacama","Pycnophyllum bryoides",5,63,"cushion",,,,,,,,,,,,,1,
"Atacama","Pycnophyllum bryoides",5,64,"cushion",,,,,,,1,,,,,,,
"Atacama","Pycnophyllum bryoides",5,65,"cushion",,,,,,,2,,,,,,,
"Atacama","Pycnophyllum bryoides",5,66,"cushion",,,,,2,,,,,,,,,
"Atacama","Pycnophyllum bryoides",5,67,"cushion",,,,,,1,,,,,,,,
"Atacama","Pycnophyllum bryoides",5,68,"cushion",,,,,,,,,,1,,,,
"Atacama","Pycnophyllum bryoides",5,69,"cushion",,,,1,,,,1,,,,,,
"Atacama","Pycnophyllum bryoides",5,70,"cushion",,,,,,,1,,,,,,,
"Atacama","Pycnophyllum bryoides",5,71,"cushion",,,,,,2,,,1,1,,,,
"Atacama","Pycnophyllum bryoides",5,72,"cushion",,,,,,,1,,,,,,,
"Atacama","Pycnophyllum bryoides",5,73,"cushion",,,,,,,3,,1,,,,,
"Atacama","Pycnophyllum bryoides",5,74,"cushion",,,,,1,,,,,,,,,
"Atacama","Pycnophyllum bryoides",5,75,"cushion",,,,,,,1,,,,,,,
"Atacama","Pycnophyllum bryoides",5,76,"cushion",,,,,,,,,,,,,2,
"Atacama","Pycnophyllum bryoides",5,77,"cushion",,,,,,,3,,,,,,,
"Atacama","Pycnophyllum bryoides",5,78,"cushion",,,,1,,,,,,,,,,
"Atacama","Pycnophyllum bryoides",5,79,"cushion",,,,,1,,,,,,,,,
"Atacama","Pycnophyllum bryoides",5,80,"cushion",,,,,,,1,,,,,,,
"Atacama","Pycnophyllum bryoides",5,81,"cushion",,,,,,,,1,,,,,,
"Atacama","Pycnophyllum bryoides",5,82,"cushion",,,,1,,,,,,,,,,
"Atacama","Pycnophyllum bryoides",5,83,"cushion",,,,,,,,1,,,,,,
"Atacama","Pycnophyllum bryoides",5,84,"cushion",,,,,,3,1,,,,,1,1,
"Atacama","Pycnophyllum bryoides",5,85,"cushion",,,,,,,,,1,,,,,
"Atacama","Pycnophyllum bryoides",5,86,"cushion",,,,,,1,,,,,,,,
"Atacama","Pycnophyllum bryoides",5,87,"cushion",,,,,,,,,1,,,,,
"Atacama","Pycnophyllum bryoides",5,88,"cushion",,,,,1,,,,,,,,,
"Atacama","Pycnophyllum bryoides",5,89,"cushion",,,,,1,2,,,,1,,,,
"Atacama","Pycnophyllum bryoides",5,90,"cushion",,,,,,,,,,1,,,1,
"Atacama","Pycnophyllum bryoides",5,91,"cushion",,,,,,,,,,,,1,,1
"Atacama","Pycnophyllum bryoides",5,92,"cushion",,,,,,1,,,2,,,,1,1
"Atacama","Pycnophyllum bryoides",5,93,"cushion",,,,,,,,,,,,,,1
"Atacama","Pycnophyllum bryoides",5,94,"cushion",,,,,,,,,,,,1,2,
"Atacama","Pycnophyllum bryoides",5,95,"cushion",,,,,,1,,,1,,,1,,
"Atacama","Pycnophyllum bryoides",5,96,"cushion",,,,,1,,1,,,,,,,
"Atacama","Pycnophyllum bryoides",5,97,"cushion",,,,,1,,,,,,,,1,
"Atacama","Pycnophyllum bryoides",5,98,"cushion",,,,,,,4,,,,,,,
"Atacama","Pycnophyllum bryoides",5,99,"cushion",,,,1,,2,,,,,,,1,1
