Dataset code,site name,cushion species,sample,cushion/open,diam 1 (cm),diam 2 (cm),no flowers,no species,no plants,aster,carex,caryo,draba,draba (yellow),festuca,Koeleria macrantha,penstemon heterodoxus,phlox,plantago,trifolium andersonii
101,"White Mountains","Eriogonum sp.",54,"in open",21,19,,,,,,,1,,,5,,,1,10
101,"White Mountains","Eriogonum sp.",55,"on cushion",14,20,30,,,,,,,,,6,4,,1,3
101,"White Mountains","Eriogonum sp.",55,"in open",14,20,,,,,,,,,,5,1,,,7
101,"White Mountains","Eriogonum sp.",56,"on cushion",30,20,40,,,2,,,,,2,1,2,,2,5
101,"White Mountains","Eriogonum sp.",56,"in open",30,20,,,,,,,,,1,6,6,3,1,
101,"White Mountains","Eriogonum sp.",57,"on cushion",13,13,28,,,,,,,,,6,,,,6
101,"White Mountains","Eriogonum sp.",57,"in open",13,13,,,,,,,,1,,1,,,,4
101,"White Mountains","Eriogonum sp.",58,"on cushion",18,18,60,,,,,,,,,11,,,3,4
101,"White Mountains","Eriogonum sp.",58,"in open",18,18,,,,,,,,,,2,,,3,8
101,"White Mountains","Eriogonum sp.",59,"on cushion",13,16,9,,,,,,,,,8,,,,3
101,"White Mountains","Eriogonum sp.",59,"in open",13,16,,,,,,,,,,10,,,,5
101,"White Mountains","Eriogonum sp.",60,"on cushion",13,17,22,,,,,,1,,,8,,,4,7
101,"White Mountains","Eriogonum sp.",60,"in open",13,17,,,,,,2,,,,10,,2,1,4
101,"White Mountains","Eriogonum sp.",61,"on cushion",28,18,51,,,1,,,,,14,1,,,,5
101,"White Mountains","Eriogonum sp.",61,"in open",28,18,,,,,,,,,,,,,6,4
101,"White Mountains","Eriogonum sp.",62,"on cushion",27,13,49,,,,,,,,,7,,,1,3
101,"White Mountains","Eriogonum sp.",62,"in open",27,13,,,,,,,1,,,3,,,1,6
101,"White Mountains","Eriogonum sp.",63,"on cushion",27,21,8,,,,,,,,6,,,,4,1
101,"White Mountains","Eriogonum sp.",63,"in open",27,21,,,,,,,,,6,,,,1,1
101,"White Mountains","Eriogonum sp.",64,"on cushion",32,29,72,,,,,,,,,,,,3,5
101,"White Mountains","Eriogonum sp.",64,"in open",32,29,,,,,,,,,,15,,,5,3
101,"White Mountains","Eriogonum sp.",65,"on cushion",13,11,26,,,5,,,,,2,1,,,,6
101,"White Mountains","Eriogonum sp.",65,"in open",13,11,,,,,2,,,,,,,,,1
101,"White Mountains","Eriogonum sp.",66,"on cushion",24,20,18,,,,,,,,,,,,1,1
101,"White Mountains","Eriogonum sp.",66,"in open",24,20,,,,,8,,,,,,,2,2,3
101,"White Mountains","Eriogonum sp.",67,"on cushion",17,18,0,,,,1,,,,,6,,,6,5
101,"White Mountains","Eriogonum sp.",67,"in open",17,18,,,,,,,,,,,,,,8
101,"White Mountains","Eriogonum sp.",68,"on cushion",13,12,0,,,,1,,,,6,,,,,5
101,"White Mountains","Eriogonum sp.",68,"in open",13,12,,,,,2,,,1,5,,,4,,4
101,"White Mountains","Eriogonum sp.",69,"on cushion",15,14,0,,,,,,1,,3,,,1,,4
101,"White Mountains","Eriogonum sp.",69,"in open",15,14,,,,,3,,3,,,,,,,5
101,"White Mountains","Eriogonum sp.",70,"on cushion",19,15,0,,,1,16,,3,,,2,,,,4
101,"White Mountains","Eriogonum sp.",70,"in open",19,15,,,,,4,,1,,,6,,,,2
101,"White Mountains","Eriogonum sp.",71,"on cushion",9,9,0,,,,,,,,2,,,,,3
101,"White Mountains","Eriogonum sp.",71,"in open",9,9,,,,,,,,,,,2,,,2
101,"White Mountains","Eriogonum sp.",72,"on cushion",18,17,0,,,,1,,,,5,,,,3,8
101,"White Mountains","Eriogonum sp.",72,"in open",18,17,,,,,1,,,,,1,,,1,1
101,"White Mountains","Eriogonum sp.",73,"on cushion",23,23,0,,,1,5,,,,2,,,2,1,2
101,"White Mountains","Eriogonum sp.",73,"in open",23,23,0,,,,4,,,,2,,,,1,5
101,"White Mountains","Eriogonum sp.",74,"on cushion",15,14,0,,,,,,,,,,,,,3
101,"White Mountains","Eriogonum sp.",74,"in open",15,14,0,,,5,,,,,1,,,,1,7
101,"White Mountains","Eriogonum sp.",75,"on cushion",28,23,0,,,,4,,,,2,4,,,4,4
101,"White Mountains","Eriogonum sp.",75,"in open",28,23,0,,,1,,,,,4,,2,1,1,9
101,"White Mountains","Eriogonum sp.",76,"on cushion",17,16,0,,,3,2,,,,6,,,,3,
101,"White Mountains","Eriogonum sp.",76,"in open",17,16,0,,,,2,,,,1,,,,4,5
101,"White Mountains","Eriogonum sp.",77,"on cushion",17,20,0,,,,,,1,,,,,,2,2
101,"White Mountains","Eriogonum sp.",77,"in open",17,20,0,,,,,,,,,,,,8,3
101,"White Mountains","Eriogonum sp.",78,"on cushion",17,16,0,,,,,,,,,8,,,2,7
101,"White Mountains","Eriogonum sp.",78,"in open",17,16,0,,,2,,,,,,1,,,3,10
101,"White Mountains","Eriogonum sp.",79,"on cushion",11,12,0,,,,,,,,,3,,,1,3
101,"White Mountains","Eriogonum sp.",79,"in open",11,12,0,,,,,,1,,,,,,4,6
101,"White Mountains","Eriogonum sp.",80,"on cushion",12,13,0,,,,,,,,3,2,,,3,2
101,"White Mountains","Eriogonum sp.",80,"in open",12,13,0,,,1,,,1,,,,,,5,10
