Dataset code,site name,cushion species,sample,cushion/open,diam 1 (cm),diam 2 (cm),Achillea millefolium alpicola,Agoseris villosa,Agrostis spp1,Agrostis spp2,Anenome parviflora,Antenaria lanata,Aquilegia caerula,Aquilegia caerulea,Arenaria rossii,Arnica alpina,Artemisia frigida,Astrag bourgovii,Astragalus kentrophyta,Bessyea wyomingensis,Bromus spp,Bupleurum americanum,Carex geyeri,Carex parryana,Cerastium alpinum,Cerastrium vulgare,Claytonia megarhriza,Dodecatheon pulchellum,Draba oligosperma,Erigeron lanatus,Erigonum subalpinum,Festuca idahoensis,Fritillaria pudica,Galium boreale,Geum rossii,Gnaphalium decurrens,Hedysarum alpinum,Heuchera parviflora,Linum lewisii,Lupinus sericeus,Mertensia lanceolata,Minuartia obtusiloba,Myosotis sylvatica alpestris,Oxyria digyna,Oxytropis campestris,Pedicularis bracteosa,Penstemon lyallii,Phacelia sericea,Plantago tweedyi,Poa alpina,Poa sandbergii,Polemonium boreale,Polygonum viviparum,Potentila diversifolia,Potentilla fruiticosa,Saussarea weberi,Saxifraga occidentalis,Saxifraga bronchialis,Saxifraga ascendens,Saxifraga lyallii,Saxifraga rhomboidea,Sedum lanceolata,Sedum roseum,Senecio canus,Senecio triangularis,Smelowskia calycina,Stenanthium occidentale,Synthris pinnatifia,Taraxacum vulgare,Tofieldia glutinosa,UNK1,UNK2,UNK fuzzy
98,"Windy Pass 2","Silene acaulis",26,"cushion",21,17,1,,,,,,,,,,,,,1,,,,,,,,,,,,4,,,,,,,,,,,,1,,,,,,2,,,,3,,2,,,,,,,,,,5,,,2,2,,,
98,"Windy Pass 2","Silene acaulis",26,"open",21,17,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,"Windy Pass 2","Silene acaulis",27,"cushion",47,16,,,1,,,,,,,,,,3,1,,5,2,,,,,,,,,,,,,,,,,,,,,8,,,,1,,1,2,,,8,,,,4,,,,,,,,7,,,,,,,
98,"Windy Pass 2","Silene acaulis",27,"open",47,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,,,
98,"Windy Pass 2","Silene acaulis",28,"cushion",24,18,,,1,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,3,,,,,,,4,,,,,,,,9,,,,,,,,,,,,,,
98,"Windy Pass 2","Silene acaulis",28,"open",24,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,"Windy Pass 2","Silene acaulis",29,"cushion",73,21,1,,11,,,,,,,,,,9,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,2,,,,,1,4,,4,,,,,,,
98,"Windy Pass 2","Silene acaulis",29,"open",73,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,"Windy Pass 2","Silene acaulis",30,"cushion",53,28,,,13,,,,,,,,,,6,,,,4,,1,,,,,8,,3,,,,,,,3,,,,,,,,,,,4,,,,,,,,,,,,1,6,,,10,,,,,,,
98,"Windy Pass 2","Silene acaulis",30,"open",53,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
98,"Windy Pass 2","Silene acaulis",31,"cushion",30,32,4,,,,,,,,,,,,4,,,,3,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,3,,,,,,,,,,4,,,3,,,,
98,"Windy Pass 2","Silene acaulis",31,"open",30,32,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,"Windy Pass 2","Silene acaulis",32,"cushion",20,18,7,,8,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,6,,,,,,,
98,"Windy Pass 2","Silene acaulis",32,"open",20,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,"Windy Pass 2","Silene acaulis",33,"cushion",16,12,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,"Windy Pass 2","Silene acaulis",33,"open",16,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,"Windy Pass 2","Silene acaulis",34,"cushion",20,11,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,
98,"Windy Pass 2","Silene acaulis",34,"open",20,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
98,"Windy Pass 2","Silene acaulis",35,"cushion",30,23,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,8,,,,1,,,
98,"Windy Pass 2","Silene acaulis",35,"open",30,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,"Windy Pass 2","Silene acaulis",36,"cushion",23,24,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,1,,,,,,17,,,,,,,,,,3,,,,,,,1,,,1,,1,,,,1,,,
98,"Windy Pass 2","Silene acaulis",36,"open",23,24,,,,,,1,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,6,,1,,,,,,,,,,,,,,,,,,,
98,"Windy Pass 2","Silene acaulis",37,"cushion",27,15,,,,,,,1,,2,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,2,,,,,,,,1,,,,1,,,
98,"Windy Pass 2","Silene acaulis",37,"open",27,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,"Windy Pass 2","Silene acaulis",38,"cushion",42,30,25,,4,,,,,,,,,,10,2,,,6,,,,,,,3,,,,,,,,,,,,,9,11,,,,,,,,,,3,,,2,,,,,,2,,,,,,,2,,,
98,"Windy Pass 2","Silene acaulis",38,"open",42,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,"Windy Pass 2","Silene acaulis",39,"cushion",27,19,,,2,,,,,,,,,,2,,,,2,,,,,,,,,,,1,,,,,,,,,,2,,,,,,,,,,1,,,1,,,,,,,,,4,,,,,,,
98,"Windy Pass 2","Silene acaulis",39,"open",27,19,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
98,"Windy Pass 2","Silene acaulis",40,"cushion",29,23,3,,5,,,,,,,,,,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,2,,3,,,,4,,,
98,"Windy Pass 2","Silene acaulis",40,"open",29,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,
98,"Windy Pass 2","Silene acaulis",41,"cushion",12,20,3,,,,,,,,8,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,2,5,,2,,,,,,,
98,"Windy Pass 2","Silene acaulis",41,"open",12,20,2,,,,,,,,,,,,,3,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,5,,,,,,,,,
98,"Windy Pass 2","Silene acaulis",42,"cushion",20,20,,,7,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,3,,,,,,,,,,,,,,,,3,,,,,,,,,,2,,,,,,1,,,
98,"Windy Pass 2","Silene acaulis",42,"open",20,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,"Windy Pass 2","Silene acaulis",43,"cushion",25,23,2,,,,,,,,,,,,,,,,1,,,,,,,,,9,,,,,,,,,,1,,,,,,,,5,,,,,1,,,,1,,,,10,1,,,,,,,,,
98,"Windy Pass 2","Silene acaulis",43,"open",25,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,"Windy Pass 2","Silene acaulis",44,"cushion",23,18,,2,,,,,,,,,,,2,,,,,,,,,,,,,,1,,,,,,,,2,3,,1,,,,,,,,,,2,,,,,,,1,,,,,1,,,,,,,
98,"Windy Pass 2","Silene acaulis",44,"open",23,18,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,9,,1,,,,,,,,3,,,,,,,,,,
98,"Windy Pass 2","Silene acaulis",45,"cushion",22,19,,,7,,,,,,,,,,,2,,2,3,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,2,,,2,,,,,,,
98,"Windy Pass 2","Silene acaulis",45,"open",22,19,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,"Windy Pass 2","Silene acaulis",46,"cushion",31,27,,,,,7,,,,,,,,,1,,,1,,,,,,,2,,,,,,,,,,,,,,,3,,,,,9,,,,2,,,,,,,,,,,,,,,,,,,
98,"Windy Pass 2","Silene acaulis",46,"open",31,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,"Windy Pass 2","Silene acaulis",47,"cushion",48,42,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,11,,,,2,6,,,,,,,,,,,10,,,,,,,
98,"Windy Pass 2","Silene acaulis",47,"open",48,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,"Windy Pass 2","Silene acaulis",48,"cushion",31,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,1,,,1,,2,,,,,,,,,,,2,,,,,,,
98,"Windy Pass 2","Silene acaulis",48,"open",31,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,
98,"Windy Pass 2","Silene acaulis",49,"cushion",31,19,,,6,,1,,,,,,,,2,2,,,,,,,,,,,,,,,,,,2,,,3,,,,7,,,,,13,,,4,,,,1,,,,,,,,,2,,,,,,,
98,"Windy Pass 2","Silene acaulis",49,"open",31,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,"Windy Pass 2","Silene acaulis",50,"cushion",16,13,3,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,2,,,,,2,,,,,,1,,2,,,,,,,
98,"Windy Pass 2","Silene acaulis",50,"open",16,13,,,4,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,2,,2,,,,,,,,,,,2,,,,,,,
98,"Windy Pass 2","Silene acaulis",51,"cushion",21,15,2,,,,,,,,,,,,1,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,
98,"Windy Pass 2","Silene acaulis",51,"open",21,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,"Windy Pass 2","Silene acaulis",52,"cushion",24,11,,,2,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,2,,,,2,,,,,,,,3,,1,,,,,
98,"Windy Pass 2","Silene acaulis",52,"open",24,11,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,
98,"Windy Pass 2","Silene acaulis",53,"cushion",24,15,,,,,,,,,,,,,1,1,,,,,,,,,,1,,,2,,,,,,,,,,,,,,,,,,,,,2,1,,,,,,,,,,,2,,,,,,,
98,"Windy Pass 2","Silene acaulis",53,"open",24,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,"Windy Pass 2","Silene acaulis",54,"cushion",33,24,2,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,
98,"Windy Pass 2","Silene acaulis",54,"open",33,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,"Windy Pass 2","Silene acaulis",55,"cushion",21,18,3,,,,,,,,,,,,1,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,3,,,,,,,1
98,"Windy Pass 2","Silene acaulis",55,"open",21,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,"Windy Pass 2","Silene acaulis",56,"cushion",32,30,,,1,,,,,,,,,,3,1,,,2,,,,,,,1,,,,,,,,,,,,,,,6,,,,,5,,,1,1,,,,,,,,,,,,7,,,,,,,
98,"Windy Pass 2","Silene acaulis",56,"open",32,30,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,,,,,,,,,,,,,,,,,,,
98,"Windy Pass 2","Silene acaulis",57,"cushion",23,20,,,,,,,,,,,,,,1,,1,1,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,1,,,,,,,
98,"Windy Pass 2","Silene acaulis",57,"open",23,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,"Windy Pass 2","Silene acaulis",58,"cushion",19,19,2,,,,,,,,,,,,,,,,5,,,,,,1,,,,,,,,,,,,,,,,3,,,,,10,,,2,,3,,,,,,,3,,1,,,,,,1,,,
98,"Windy Pass 2","Silene acaulis",58,"open",19,19,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,1,,,,,,,,,,11,,,,,,,,,,,,3,3,,,,,,,,,,
98,"Windy Pass 2","Silene acaulis",59,"cushion",19,15,,,,,,,,,,,,,,12,,,1,,,,,,,,,,1,13,,,,,,,,,,,,,,,,6,,,1,,,,,,,,,,,,,4,,,,,,,
