Site,site name,Hemisphere,Gams winter,TMAX JUNE,TMIN Jan,P/TSUMMER,June Soil Temp,EVAP SUMMER,NDVI SUMMER,RH SUMMER,SOIL WETNESS SUMMER
50,"Ny-Ålesund","N",68.4687522641256,5.59222220000004,-24.237778,12.2008788209601,-4.278889,33.8062962933333,0.517955555333333,90.3478148133333,842.314444433333
23,"Torres del Paine","S",45.3767133393605,15.9366667,-7.641111,18.9606737563394,4.20888890000003,73.4072963,0.643077778,85.7437407433333,678.2566667
64,"Torres del Paine","S",44.0415649476128,18.1444444,-5.744444,18.7529589857358,6.12,81.09225926,0.456714814666667,85.7807777766667,674.067777766667
24,"Torres del Paine","S",45.5659392019084,15.9366667,-7.641111,18.9606737563394,4.20888890000003,73.4072963,0.643077778,85.7437407433333,678.2566667
25,"Torres del Paine","S",46.1008379189146,15.9366667,-7.641111,18.9606737563394,4.20888890000003,73.4072963,0.643077778,85.7437407433333,678.2566667
26,"Torres del Paine","S",46.7618171858522,15.9366667,-7.641111,18.9606737563394,4.20888890000003,73.4072963,0.643077778,85.7437407433333,678.2566667
89,"Latnja","N",50.5209114655698,16.3722222,-26.392222,12.8111102116457,-0.376667,34.5242222233333,0.2245,84.8224074066667,644.767037066667
34,"Waterworks","N",77.0023443035275,30.5977778,-22.451111,2.187161192467,4.96333330000004,63.9814074066667,0.496562962666667,54.70962963,258.715925933333
36,"Mt. Jumbo","N",78.1797964204933,30.5977778,-22.451111,2.187161192467,4.96333330000004,63.9814074066667,0.496562962666667,54.70962963,258.715925933333
16,"Antuco","S",35.9091915492123,23.9055556,-12.504444,3.83926818722333,3.94888890000004,94.5827777766667,0.540314814666667,60.1132222233333,442.2114815
43,"Mt. Burns","S",45.1019267515022,17.0266667,-3.64,28.2903419306564,8.03222220000004,81.64037037,0.747925925666667,86.4468148166667,578.376666666667
41,"Mt. Hutt","S",57.1990943214071,22.2566667,-3.576667,12.4968145591131,8.46666670000002,97.4387407266667,0.557851852,79.6301851866667,514.349999966667
42,"Old Man Range","S",59.9360330461269,16.9933333,-10.257778,15.7797850355015,2.20555560000003,70.26288889,0.466929629666667,84.8130370366667,565.557037033333
17,"Bariloche","S",46.5629393307206,22.0433333,-11.022222,6.46119197437564,2.26555560000003,89.4564814833333,0.2976,71.2475185166667,596.588148133333
18,"Bariloche","S",46.5629393307206,22.0433333,-11.022222,6.46119197437564,2.26555560000003,89.4564814833333,0.2976,71.2475185166667,596.588148133333
19,"Bariloche","S",46.5629393307206,22.0433333,-11.022222,6.46119197437564,2.26555560000003,89.4564814833333,0.2976,71.2475185166667,596.588148133333
70,"Pink Mountains 1","N",79.2574806328442,23.0233333,-34.383333,8.34890334588521,-1.104444,93.18781482,0.676229629666667,69.20025926,536.817777766667
72,"Pink Mountains 3","N",79.26528230523,23.0233333,-34.383333,8.34890334588521,-1.104444,93.18781482,0.676229629666667,69.20025926,536.817777766667
71,"Pink Mountains 2","N",79.2686069715052,23.0233333,-34.383333,8.34890334588521,-1.104444,93.18781482,0.676229629666667,69.20025926,536.817777766667
33,"Rogers Pass","N",85.4379263677337,29.0077778,-22.983333,3.40422731962109,3.72222220000003,62.46937037,0.662918518333333,53.9319259233333,257.613703733333
47,"Slovakia Silene acaulis","N",68.46465129967,22.0211111,-20.662222,21.7576317297467,3.94777780000004,116.141518533333,0.634922222333333,78.8426666666667,572.663333333333
100,"Slovakia Minuartia sedoides","N",68.46465129967,22.0211111,-20.662222,21.7576317297467,3.94777780000004,116.141518533333,0.634922222333333,78.8426666666667,572.663333333333
82,"Kitanuma ","N",54.5847951086443,21.5777778,-31.814444,18.3187182164854,1.72000000000003,92.3791851866667,0.720881481666667,84.5674814833333,599.9888889
15,"Antuco","S",47.5764398768847,22.7255556,-14.636667,3.28483233068977,3.13,79.85392593,0.436303703666667,58.2856666666667,434.196666666667
75,"Whistler North","N",42.00394575166,23.4766667,-20.886667,7.04671506751983,1.43666670000005,87.11466667,0.707107407666667,76.33851852,522.671111133333
76,"Whistler South","N",42.00394575166,23.4766667,-20.886667,7.04671506751983,1.43666670000005,87.11466667,0.707107407666667,76.33851852,522.671111133333
95,"Piegan Pass 2010","N",80.1156566438598,25.5333333,-27.367778,4.92900941389269,-0.542222,94.75829631,0.354222222333333,56.5532962966667,360.8277778
69,"Red Mountain","N",74.4478294063195,19.3044444,-29.252222,5.8589083320888,-0.761111,70.87025926,0.596277777666667,72.50685185,547.825555533333
90,"Dolomites 1","N",73.0596631157312,20.0077778,-21.962222,17.8006026851265,0.393333299999995,98.42362963,0.632992592666667,82.0786666666667,553.277777766667
45,"Lebanon","N",49.2151971350705,29.7611111000001,-4.483333,0.364261474624863,13.4055556,32.7091740733333,0.266318518666667,58.731,492.574074066667
88,"Windy Pass 1","N",80.9478489695606,26.0833333,-25.966667,4.72156549796859,0.312222200000008,84.9572592766667,0.426070370666667,56.39659259,332.345925933333
86,"Swiftcurrent Low","N",79.3813474127106,25.6,-29.011111,5.68400988837724,-0.692222,101.458666676667,0.556640741,58.0731481466667,412.817037033333
98,"Windy Pass 2","N",80.9709137811701,26.0833333,-25.966667,4.72156549796859,0.312222200000008,84.9572592766667,0.426070370666667,56.39659259,332.345925933333
65,"Two Medicine Glacier","N",80.9767017536063,26.0833333,-25.966667,4.72156549796859,0.312222200000008,84.9572592766667,0.426070370666667,56.39659259,332.345925933333
54,"Gemmi","N",64.6109364712767,21.2477778,-23.485556,21.9229148768542,3.30444440000002,87.5866666666667,0.366470370666667,83.7017037033333,581.323703666667
