Dataset code,site name,cushion species,sample,cushion/open,diam 1 (cm),diam 2 (cm),Agrostis nevadensis,Alyssum nevadense,Asperula aristata ssp scabra,Biscutella glacialis,Cytisus galianoi,Erigeron frigidus,Erophila verna,Eryngium glaciale,Euphorbia nevadensis ssp nevadensis,Euphrasia willkommii,Festuca indigesta,Galium pyrenaicum,Herniaria boissieri ssp boissieri,Jasione amethystina,Jurinea humulis,Leontodon boryi,Leucanthemopsis pectinata,Linaria aeruginea ssp nevadensis,Nevadensia purpurea,Pilosella sp,Poa ligulata,Ranunculus demissus,Rumex angiocarpus,Senecio boissieri,Thymus serpylloides ssp serpylloides
77,"Sierra Nevada1","Arenaria_tetraquetra_amabilis",72,"open",14,14,,,,,,,,,,,,,,,,,,,,,11,,,,
77,"Sierra Nevada1","Arenaria_tetraquetra_amabilis",73,"cushion",31,26,11,,,,2,,,,,,,,,,,,,,,,8,,,,
77,"Sierra Nevada1","Arenaria_tetraquetra_amabilis",73,"open",31,26,2,,,,1,,,,,,,,,,,,,,,,15,,,,
77,"Sierra Nevada1","Arenaria_tetraquetra_amabilis",74,"cushion",21,19,12,,,,1,,,,,,,,,,,,,,,,1,,,,
77,"Sierra Nevada1","Arenaria_tetraquetra_amabilis",74,"open",21,19,9,,,,,,3,,,,,,,,,,,,,,7,,,,
77,"Sierra Nevada1","Arenaria_tetraquetra_amabilis",75,"cushion",17,18,,,,,,,,,,,2,,,,,,,,,,4,,,,
77,"Sierra Nevada1","Arenaria_tetraquetra_amabilis",75,"open",17,18,4,,,,,,,,,,2,,,,,,,,,,6,,,,
77,"Sierra Nevada1","Arenaria_tetraquetra_amabilis",76,"cushion",27,17,2,,,,,,,,,,3,,,,,,,,,2,9,,,,
77,"Sierra Nevada1","Arenaria_tetraquetra_amabilis",76,"open",27,17,1,,,,,,,,,,4,,,,,,,,,,11,,,,
77,"Sierra Nevada1","Arenaria_tetraquetra_amabilis",77,"cushion",13,13,,,,,,,,,,,,,,,,,,,,,5,,,,
77,"Sierra Nevada1","Arenaria_tetraquetra_amabilis",77,"open",13,13,,,,,,,,,,,2,,,,,,,,,,3,,,,
77,"Sierra Nevada1","Arenaria_tetraquetra_amabilis",78,"cushion",26,25,5,,,,1,,,,,,5,,,,,,,,,,11,,,,1
77,"Sierra Nevada1","Arenaria_tetraquetra_amabilis",78,"open",26,25,4,,,,,,,,,,7,,,,,,,,,,12,,,,
77,"Sierra Nevada1","Arenaria_tetraquetra_amabilis",79,"cushion",17,16,,,,,,,,,,,3,,,,,,,,,3,1,,,,
77,"Sierra Nevada1","Arenaria_tetraquetra_amabilis",79,"open",17,16,1,,,,,,,,,,,,,,,,,,,2,4,,,,
77,"Sierra Nevada1","Arenaria_tetraquetra_amabilis",80,"cushion",32,28,13,,,,1,,,,,,3,,,,,,,,,,5,,,,
77,"Sierra Nevada1","Arenaria_tetraquetra_amabilis",80,"open",32,28,1,,,,,,,,,,2,,,,,,,,,,16,,,,
77,"Sierra Nevada1","Arenaria_tetraquetra_amabilis",81,"cushion",10,10,,,,,,,1,,,,1,,,,,,,,,,5,,,,
77,"Sierra Nevada1","Arenaria_tetraquetra_amabilis",81,"open",10,10,,,,,,,,,,,1,,,,,,,,,,7,,,,
77,"Sierra Nevada1","Arenaria_tetraquetra_amabilis",82,"cushion",18,17,1,,,,,,,,,,2,,,,,,,,,8,2,,,,
77,"Sierra Nevada1","Arenaria_tetraquetra_amabilis",82,"open",18,17,1,,,,,,,,,,,,,,,,,,,,11,,,,
77,"Sierra Nevada1","Arenaria_tetraquetra_amabilis",83,"cushion",18,17,1,,,,,,,,,,2,,,,,,,,,,3,,,,
77,"Sierra Nevada1","Arenaria_tetraquetra_amabilis",83,"open",18,17,,,,,,,,,,,1,,,,,,,,,,6,,,,
77,"Sierra Nevada1","Arenaria_tetraquetra_amabilis",84,"cushion",16,15,2,,,,,,,,,,2,,,,,,,,,,7,,,,
77,"Sierra Nevada1","Arenaria_tetraquetra_amabilis",84,"open",16,15,,,,,,,,,,5,3,,1,,,,,,,,7,,,,
77,"Sierra Nevada1","Arenaria_tetraquetra_amabilis",85,"cushion",16,16,2,,,,,,,,,,1,,,,,,,,,,4,,,,
77,"Sierra Nevada1","Arenaria_tetraquetra_amabilis",85,"open",16,16,,,,,,,,,,,,,,,,,,,,,6,,,,
77,"Sierra Nevada1","Arenaria_tetraquetra_amabilis",86,"cushion",15,17,1,,,,,,,,,,1,,,,,,,,,,7,,,,
77,"Sierra Nevada1","Arenaria_tetraquetra_amabilis",86,"open",15,17,2,,,,,,,,,,,,,,,,,,,,8,,,,
77,"Sierra Nevada1","Arenaria_tetraquetra_amabilis",87,"cushion",25,23,3,,,,1,,,,,,,,,,,,,,,,9,,,,
77,"Sierra Nevada1","Arenaria_tetraquetra_amabilis",87,"open",25,23,,,,,,,1,,,,,,,,1,,,,,,9,,,,
77,"Sierra Nevada1","Arenaria_tetraquetra_amabilis",88,"cushion",19,18,1,,,,1,,,,,,2,,,,,,,,,,,,,,
77,"Sierra Nevada1","Arenaria_tetraquetra_amabilis",88,"open",19,18,,,,,,,,,,,3,,,,,,,,,,12,,,,
77,"Sierra Nevada1","Arenaria_tetraquetra_amabilis",89,"cushion",19,17,1,,,,,,,,,,1,,,,,,,,,,2,,,,
77,"Sierra Nevada1","Arenaria_tetraquetra_amabilis",89,"open",19,17,,,,,,,,,,,1,,,,,,,,,,9,,,,
77,"Sierra Nevada1","Arenaria_tetraquetra_amabilis",90,"cushion",18,17,3,,,,,,,,,,,,,,,,,,,,4,,,,
77,"Sierra Nevada1","Arenaria_tetraquetra_amabilis",90,"open",18,17,,,,,,,,,,,,,,,,,,,,,7,,,,
77,"Sierra Nevada1","Arenaria_tetraquetra_amabilis",91,"cushion",15,16,4,,,,,,,,,,1,,,,,,,,,,1,,,,
77,"Sierra Nevada1","Arenaria_tetraquetra_amabilis",91,"open",15,16,1,,,,,,,,,,1,,,,,,,,,,7,,,,
77,"Sierra Nevada1","Arenaria_tetraquetra_amabilis",92,"cushion",20,18,8,,,,,,,,,,2,,,,,,,,,,5,,,,
77,"Sierra Nevada1","Arenaria_tetraquetra_amabilis",92,"open",20,18,1,,,,,,,,,,,,,,,,,,,,10,,,,
77,"Sierra Nevada1","Arenaria_tetraquetra_amabilis",93,"cushion",20,19,5,,,,,,,,,,2,,,,,1,,,,,5,,,,
77,"Sierra Nevada1","Arenaria_tetraquetra_amabilis",93,"open",20,19,2,,,,,,,,,,,,,,,,,,,,7,,,,
77,"Sierra Nevada1","Arenaria_tetraquetra_amabilis",94,"cushion",16,15,,,,,,,,,,,1,,,,,,,,,,7,,,,
77,"Sierra Nevada1","Arenaria_tetraquetra_amabilis",94,"open",16,15,,,,,,,,,,,,,,,,,,,,,9,,,,
