dataset code,site name,cushion species,sample,cushion/open,diam 1 (cm),diam 2 (cm),Alchemilla,Arabis hischuta,Arenaria,Botrychium,Campanula,Carex firma,Cerastium,Draba,Festuca,Galium,Helianthemum,Leont,Ligusticum,Linnaria,Oxytrop,Poa,Polygonum viviparum,Pritzelago,Ranunculus,Salix restrata,Salix serpyllfolia,Seslaria,Silene,Thlaspi,Thlaspi 2,Viola
94,"Dolomites 5","Silene acaulis",39,"cushion",40,41,,,,,,,,,9,3,2,,,,2,,,,,,,,,,,
94,"Dolomites 5","Silene acaulis",39,"open",40,41,,,,,,,,,3,,,,,,2,,,,,,,,,1,,
94,"Dolomites 5","Silene acaulis",40,"cushion",67,39,,,,,,,,,42,9,27,1,,,10,,,,,,2,,,,,
94,"Dolomites 5","Silene acaulis",40,"open",67,39,,,,,,,,,,,,1,,,,7,,,,,4,,,,,
94,"Dolomites 5","Silene acaulis",41,"cushion",35,30,,,,,,,,,,,,,,,3,,1,,,,,,,,,
94,"Dolomites 5","Silene acaulis",41,"open",35,30,,,,,,,,,5,,,,,,,,2,,,,,,,,,
94,"Dolomites 5","Silene acaulis",42,"cushion",47,15,,,,,,1,,,25,2,,,,,,,,,,,1,,,,,
94,"Dolomites 5","Silene acaulis",42,"open",47,15,,,,,,,,,2,,,,,,1,,,,,,,,,1,,
94,"Dolomites 5","Silene acaulis",43,"cushion",45,57,,,,,,,,,34,2,56,1,,,1,,,,,,3,,,,,
94,"Dolomites 5","Silene acaulis",43,"open",45,57,,,,,,,,,,,1,,,,2,,,,,,,,,,,
94,"Dolomites 5","Silene acaulis",44,"cushion",37,26,,,,,,,,,20,,,,,,1,,,,,,4,25,,,,
94,"Dolomites 5","Silene acaulis",44,"open",37,26,,,,,,,,,,,,,,,,,,,,,1,,,1,,
94,"Dolomites 5","Silene acaulis",45,"cushion",63,66,,,,,,,,,,,,,,,1,,,,,,,4,,,,
94,"Dolomites 5","Silene acaulis",45,"open",63,66,,,,,,,,,,,,,,,1,,,,,,,1,,6,,1
94,"Dolomites 5","Silene acaulis",46,"cushion",23,15,,,,,2,,,,,,,,,,,7,,,,,,3,,,,
94,"Dolomites 5","Silene acaulis",46,"open",23,15,,,,,,,,,,,,2,,,,4,,,,,,,,,,
94,"Dolomites 5","Silene acaulis",47,"cushion",66,36,,,,,2,,,,2,,,2,,,,21,,,,,,9,,,5,
94,"Dolomites 5","Silene acaulis",47,"open",66,36,,,,,6,,,,1,,,,,,,6,,,,,,,,,,
94,"Dolomites 5","Silene acaulis",48,"cushion",72,50,,1,,,1,,,,7,,,1,,3,,29,,,,,,7,,2,,
94,"Dolomites 5","Silene acaulis",48,"open",72,50,,,,,,,,,1,,,5,,,,4,,,,,,,,,,
94,"Dolomites 5","Silene acaulis",49,"cushion",35,39,,,,,1,,,,,,,1,,,,18,,,,,,2,,,6,
94,"Dolomites 5","Silene acaulis",49,"open",35,39,,,,,,,,,,,,2,,,,7,,,,,,,,,,
94,"Dolomites 5","Silene acaulis",50,"cushion",47,22,,,,,4,,,,,,,3,,,,8,,,,,,2,,,,
94,"Dolomites 5","Silene acaulis",50,"open",47,22,,,,,,,,,,,,5,,,,3,,,,,,,,,,
94,"Dolomites 5","Silene acaulis",51,"cushion",26,16,,,,,1,,,,,1,,,,,,,8,,,,,1,,,,
94,"Dolomites 5","Silene acaulis",51,"open",26,16,,,,,1,,,,,,,,,,,1,,,,,,,,1,,
94,"Dolomites 5","Silene acaulis",52,"cushion",28,22,8,,,,1,,,,6,,,,,,,,8,,,,,,,,,
94,"Dolomites 5","Silene acaulis",52,"open",28,22,,,,,3,,,,,,,,,,,,,,,,,2,,1,,
94,"Dolomites 5","Silene acaulis",53,"cushion",50,36,,,,,4,,,,36,4,,,3,,1,5,14,,,,,,,3,,
94,"Dolomites 5","Silene acaulis",53,"open",50,36,,,,,,,,,,,,,,,,5,,,,,,,,1,,
94,"Dolomites 5","Silene acaulis",54,"cushion",17,14,,,,,,,,,,,,,,,,15,,,,,,,,1,,
94,"Dolomites 5","Silene acaulis",54,"open",17,14,,,,,,,,,,,,,,,,3,,,,,,,,,,
94,"Dolomites 5","Silene acaulis",55,"cushion",93,53,,,,,1,,,,25,4,,2,,,,1,,,4,,,,,,,
94,"Dolomites 5","Silene acaulis",55,"open",93,53,,,,,2,,,,,,,,,,,9,,,,,,,,,,
94,"Dolomites 5","Silene acaulis",56,"cushion",23,13,,,,,2,,,,,,,,,,,15,,,,,,3,,,1,
94,"Dolomites 5","Silene acaulis",56,"open",23,13,,,,,,,,,,,,1,,,,5,,,2,,,,,,,
94,"Dolomites 5","Silene acaulis",57,"cushion",80,47,,,,,1,,,,80,45,,4,,,,4,,,,,,3,,,,
94,"Dolomites 5","Silene acaulis",57,"open",80,47,,,,,,,,,,,,7,,,,,,,2,,,,,,,7
