"site","cushion","code","sample","cushion.open","diam1","diam2","area","Arenaria obtusifolia","Artemisia scopulorum","Aster alpigenus","Bupleurum americanum","Carex phaeocephala","Castilleja pallescens","Cerastium arvense","Cetraria aculeata","Cetraria islandica","cf Dactylina madreporiformis","Douglasia montana","Draba paysonii","Draba praealta","Erigeron caespitosum","Erigeron rydbergii","Eritrichium nanum","Festuca ovina","Gentiana algida","Geum rossii","Koeleria crassipes","Lupinus argenteus var depressum","Luzula spicata","Phlox pulvinata","Poa alpina","Polemonium viscosum","Polygonum bistortioides","Polytrichum piliferum","Potentilla diversifolia","Sedum lanceolatum","Selaginella densa","Senecio canus","Smelowskia calicina","Trifolium nanum"
"Beartooth","Silene acaulis",31,58,"open",,,,2,3,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
"Beartooth","Silene acaulis",31,59,"open",,,,,6,,,6,,,,,,,,,,,,,,5,,,,,,,,,,,,,,7
"Beartooth","Silene acaulis",31,60,"open",,,,,4,,,1,,,,,,,,,,,1,,,4,,,,,,,,,,,,,,
"Beartooth","Silene acaulis",31,67,"open",,,,,3,,,2,,,,,,,,,,,,,,5,,,,,,,,,,,,,,
"Beartooth","Silene acaulis",31,68,"open",,,,,9,,,10,,,,,,,,,,,,,,10,,,,1,,,,3,2,,2,,,
"Beartooth","Silene acaulis",31,69,"open",,,,1,,,,5,,,,,,,,,,,,2,,12,,,,,,,,2,,,,,,
"Beartooth","Silene acaulis",31,70,"open",,,,,2,,,12,,,,,,,,,,8,,,,10,,,,1,,,,,,,,,4,
"Beartooth","Silene acaulis",31,71,"open",,,,1,,,,10,,,,,,,1,,,1,,,,7,,,,1,,,,,,,,,8,
"Beartooth","Silene acaulis",31,20,"cushion",,,,4,3,,1,13,,,,5,,,,,,1,,3,,6,,,,,,3,2,,7,,,2,,
"Beartooth","Silene acaulis",31,28,"cushion",,,,,2,,1,6,,,5,2,,,,,,2,,10,,5,,1,,2,,,1,,,,,,1,
"Beartooth","Silene acaulis",31,20,"open",,,,3,4,,1,9,,,10,5,,,,,,,,1,,3,,,,,,,,4,,,,,,
"Beartooth","Silene acaulis",31,22,"open",,,,,10,,1,3,,,,4,,,,,,1,,,,5,,,,,,,,1,,,,,,
"Beartooth","Silene acaulis",31,23,"open",,,,2,6,,1,10,,,,,,,,,,1,,2,,2,,,,1,,,,1,1,1,,,,
"Beartooth","Silene acaulis",31,21,"cushion",,,,,,,2,2,,,,,,,,,,,,2,,8,,,,1,,,2,,,,,2,,
"Beartooth","Silene acaulis",31,4,"open",,,,,9,,2,8,,,,,,,,,,,,,,9,,,,,,,,1,,,6,,,
"Beartooth","Silene acaulis",31,26,"cushion",,,,,4,,3,12,,,4,2,,,,,,,,5,,20,,,,1,,,3,,1,2,2,,,2
"Beartooth","Silene acaulis",31,27,"cushion",,,,,12,,5,12,,,,,,,2,,,,,10,,17,,1,,,,,6,,1,,,,,
"Beartooth","Silene acaulis",31,19,"cushion",,,,6,21,,6,14,,,,6,,,,,,,,11,,32,,2,,,,,5,,,,,,,
"Beartooth","Silene acaulis",31,25,"cushion",,,,1,3,,7,5,,,5,1,,,,,,,,9,,6,,,,,,,5,,1,,,,,3
"Beartooth","Silene acaulis",31,22,"cushion",,,,,11,,8,11,,,3,8,,,,,,,,5,,13,,,,,,,2,,3,,,,,
