site,cushion sp,sample,cushion/open,diam1,diam2,Raoulia hectorii,Kelleria dieffenbachii,Poa colensis,Anisotome capillifolia,Dracophyllum muscoides,Brachyglottis bellidifolia,Luzula pumilia,Aciphyllum congestum,Agrostis mulleriana,Anistome hasstii,Anisotime imbricata,Celmisia bondplanii,Celmisia glandulosa,Celmisia laricifolia,Celmisia sessilflora,Celmisia viscosa,Chianochloa sp,Chianohebe ciliata,Colobanthus buchananii,Epilobium sp,Euphraisia sp,Gaultheria nubicola,Geum uniflorum,Gentiana divisa,Haastia sinclarii,Hebe hectorii,Hectorella caespitosa,Hectorella sp,Kelleria croizatii,Leptinella goyenii,Leptinella pectinata,Luzula crinita,Marsippospermum gracile,Myosotis pulvinasris,Ourisia glandulosa,Raoulia grandiflora,lichen (Hypogymnium),lichen (Thamnolia),moss (Dichrhomalema),moss (Polytrichum),moss (Racomitrum pruinosum),moss (Racomitrum pytchophylla),dataset code
"Mt. Burns","Phyllacne_colensoi",58,"cushion",35,30,2,,,,5,,,,,,,,,2,,,,,,,,10,,1,,,,,,,,,1,,,3,,,,,1,1,43
"Mt. Burns","Phyllacne_colensoi",59,"cushion",52,50,,,14,,,5,,,,,1,,1,32,1,,1,,,,,10,,1,,4,,,2,,,2,,,7,1,,,,,2,,43
"Mt. Burns","Phyllacne_colensoi",60,"cushion",35,45,,,14,1,1,,,,,,,,,6,3,1,,,,,,10,,1,,1,,,,,,,,,4,,,,,,1,1,43
"Mt. Burns","Phyllacne_colensoi",65,"open",38,32,,3,7,,1,,,,,,,,,,,,,1,,,,10,,,,,,,,,,,,,,1,,,,,,,43
"Mt. Burns","Phyllacne_colensoi",66,"cushion",43,23,2,,5,,,,,,,,1,,,12,,,1,1,,2,,10,2,1,,,,,3,,,,,,14,,,,,,,,43
"Mt. Burns","Phyllacne_colensoi",67,"cushion",35,29,,1,5,,,2,,,,,,,,5,3,2,,3,,,,10,,1,,,,,3,,,,,,2,,,,,,1,,43
"Mt. Burns","Phyllacne_colensoi",73,"open",49,35,,,6,,,,18,,,,,,,1,,,,3,,,,10,,,,,,,1,4,,1,,,,3,,,,3,,,43
"Mt. Burns","Phyllacne_colensoi",74,"cushion",46,24,,,4,1,6,1,,2,,,,,,10,,,,,,,,10,,,,,,1,3,1,,2,,,13,4,,,,,1,1,43
"Mt. Burns","Phyllacne_colensoi",1,"cushion",47,29,5,1,2,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43
"Mt. Burns","Phyllacne_colensoi",2,"open",60,45,,1,4,,,,8,,,,,,,,,,,3,,,,4,,,,,,,,4,,,,,,,,,,,,,43
"Mt. Burns","Phyllacne_colensoi",4,"cushion",30,40,1,2,2,2,2,4,,,,,,,,2,,,,5,,,,,,1,,,,,,,,,,,9,,,,,,,,43
"Mt. Burns","Phyllacne_colensoi",5,"cushion",20,22,1,,2,1,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,2,,,1,,,,,,1,,43
"Mt. Burns","Phyllacne_colensoi",6,"open",20,22,,,,,1,,2,,1,,,,,,,,,,,,,4,,,,,,,,,,2,,,,,,,,,,,43
"Mt. Burns","Phyllacne_colensoi",7,"cushion",64,35,1,,2,3,6,4,,3,1,,,,,2,,,3,,,,,3,,3,,,,,,,,2,,,1,,,,,,,,43
"Mt. Burns","Phyllacne_colensoi",7,"open",64,35,,,2,1,1,3,,1,,,,,,,,,,1,,,1,4,,,,,,,,3,,1,,,,1,,,,,1,,43
"Mt. Burns","Phyllacne_colensoi",8,"cushion",27,37,,,2,2,3,2,,,,,,,,1,,,,3,,,,3,,1,,,,,,,,,,,,,,,,,,,43
"Mt. Burns","Phyllacne_colensoi",8,"open",27,37,,,,2,2,1,,2,3,,,,,,,1,,2,,,,3,,,,,,,,,,4,,,,,,,,,,,43
"Mt. Burns","Phyllacne_colensoi",9,"cushion",60,45,,2,,3,4,3,,,,,,,,10,,,,,,,,,,1,,3,,,,,,,5,,,,,1,1,,1,,43
"Mt. Burns","Phyllacne_colensoi",10,"open",97,64,,6,5,5,,,,,,,,,,,,,,5,6,,,,,,2,,,,,2,,5,,,,,,,,,1,,43
"Mt. Burns","Phyllacne_colensoi",12,"cushion",45,48,,,1,1,,1,,,2,,,,,6,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,43
"Mt. Burns","Phyllacne_colensoi",13,"cushion",80,60,1,4,8,7,5,,,,,,,,,,,,,2,,,,,,1,,,,,,,,,,,2,,,,1,,,,43
"Mt. Burns","Phyllacne_colensoi",14,"cushion",30,35,3,3,2,3,,5,,,,,,,,4,,,,,,,,,,3,,1,,,,,,,,,,,,,,,,,43
"Mt. Burns","Phyllacne_colensoi",14,"open",30,35,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,1,,3,,,,,,1,,,,,,,43
"Mt. Burns","Phyllacne_colensoi",15,"cushion",47,36,,5,5,,,4,,3,,,,1,,,,,2,,,,,10,,2,,1,,,,,,,,,,3,,,,,,,43
"Mt. Burns","Phyllacne_colensoi",15,"open",47,36,,2,2,,,,1,,1,,,,,,,,,1,,,,10,,,,,,,,,,,,,,,,,,,,,43
"Mt. Burns","Phyllacne_colensoi",16,"cushion",30,38,,,,,3,,,,,,,,,,,,,2,,,,,,1,,,,,,,,,,,,,,,,,1,,43
"Mt. Burns","Phyllacne_colensoi",16,"open",30,38,,,1,,,,2,,5,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,43
"Mt. Burns","Phyllacne_colensoi",17,"open",35,15,1,,2,,,,1,,,,,,,1,,,,3,2,,,,,,,,,,,,,,,,,1,,,,,,,43
"Mt. Burns","Phyllacne_colensoi",18,"open",37,31,,,2,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,43
"Mt. Burns","Phyllacne_colensoi",20,"cushion",70,70,,,4,1,1,2,,,,,,,,1,,2,,,,,,,,,,,1,,4,,,,,,,3,,,,,,,43
"Mt. Burns","Phyllacne_colensoi",21,"open",24,27,,,1,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,43
"Mt. Burns","Phyllacne_colensoi",22,"open",45,30,,,1,,,2,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,2,,,,,,,43
"Mt. Burns","Phyllacne_colensoi",23,"open",18,18,,1,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,1,,,,,,,,,,,43
"Mt. Burns","Phyllacne_colensoi",24,"cushion",17,24,1,1,,,1,3,,,,,,,,1,,,,,,,,10,,2,,,,,,,,,3,,,1,,,,,,,43
"Mt. Burns","Phyllacne_colensoi",24,"open",17,24,,1,,1,,,,,,,,,,,,,,,,,,10,,,,,,,,1,,,,,,,,,,,,,43
"Mt. Burns","Phyllacne_colensoi",25,"cushion",38,31,,,3,,2,7,,,1,,,,,1,,,,,,,,,,2,,2,,,1,,,,,,,,,,,,,,43
"Mt. Burns","Phyllacne_colensoi",26,"open",52,18,,,,,1,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,43
"Mt. Burns","Phyllacne_colensoi",28,"cushion",58,25,4,3,3,2,,2,,,,1,,,,,,,,4,,,,,,3,,,,,,,,8,,1,,,,,,,,,43
"Mt. Burns","Phyllacne_colensoi",29,"cushion",45,40,,,3,2,,2,,,,,,,,2,,,,,,,,10,,2,,3,,,,,,,,,4,,,,1,,,,43
"Mt. Burns","Phyllacne_colensoi",30,"cushion",104,120,3,1,11,1,5,10,2,,2,,1,,,,,17,,3,,,1,10,,2,,,,10,3,5,,,,,,1,,,1,,,,43
"Mt. Burns","Phyllacne_colensoi",30,"open",104,120,3,1,,,,,5,,,,,,,,,,,3,,,,,,,,,,,,3,,,,,,1,,,,1,,,43
"Mt. Burns","Phyllacne_colensoi",31,"cushion",80,190,10,5,9,2,10,19,,,,,,,,1,,1,1,4,,,,,,3,,2,,7,4,2,,1,,,3,,1,,1,,1,1,43
"Mt. Burns","Phyllacne_colensoi",31,"open",80,190,,,2,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43
"Mt. Burns","Phyllacne_colensoi",32,"cushion",40,60,,4,3,2,4,2,1,,,,,,,4,,,,2,,,,,,,,,,4,,,,1,,,,,,,,,1,,43
"Mt. Burns","Phyllacne_colensoi",32,"open",40,60,1,,,,3,2,,,,,,,,,,,,4,,,,,,,,,,,,6,,,,,,,,,,,,,43
"Mt. Burns","Phyllacne_colensoi",33,"cushion",20,30,1,2,2,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,4,,,,,1,,,,,,43
"Mt. Burns","Phyllacne_colensoi",34,"open",32,27,,,2,,,,5,,,,,,,,,,,1,,,,,,1,,,,,2,10,,,,,,,,,,,1,,43
"Mt. Burns","Phyllacne_colensoi",36,"cushion",30,30,,2,4,1,2,2,,,,,,,,1,,1,2,2,,,,,,,,,,,,,,,,,4,,,,,,2,2,43
"Mt. Burns","Phyllacne_colensoi",37,"open",45,45,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,43
"Mt. Burns","Phyllacne_colensoi",38,"open",40,40,,,3,,3,1,,,,,,,,,,1,,1,,,,,,,,,,,,2,,,,,,1,,,,,,,43
"Mt. Burns","Phyllacne_colensoi",39,"cushion",50,30,,,1,1,3,1,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,43
"Mt. Burns","Phyllacne_colensoi",39,"open",50,30,,1,,,1,,2,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,43
"Mt. Burns","Phyllacne_colensoi",40,"cushion",31,31,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43
"Mt. Burns","Phyllacne_colensoi",40,"open",31,31,,4,,,1,,,,,,,,,2,,,,,,,,,,,,,,,,1,,,,,,,,,,,7,,43
"Mt. Burns","Phyllacne_colensoi",41,"open",50,35,1,,,,5,4,,,,,,,,1,,,,3,,,10,,,4,,1,,,,2,,,,,,,,,,,3,,43
"Mt. Burns","Phyllacne_colensoi",42,"open",50,35,,,,,1,,,,,,,,,,,,,1,,,,10,,,,,,,,,,,3,,,,,,,,1,,43
"Mt. Burns","Phyllacne_colensoi",44,"cushion",35,35,1,,,,4,,,,,,,,,4,,,,,,,,3,,1,,,,,,,,,,,,,,,,,,,43
"Mt. Burns","Phyllacne_colensoi",45,"open",30,30,,,1,,2,,,,,,,,,,,,,,,,,2,,,,,,,,3,,,,,,,,,,,,,43
"Mt. Burns","Phyllacne_colensoi",46,"open",30,30,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,4,,,,,,,,,,,,,43
"Mt. Burns","Phyllacne_colensoi",47,"cushion",30,30,4,2,,,6,,,,,,,,,,,,,5,,,,,,,1,,,,,,,,,,,,,,,,,,43
"Mt. Burns","Phyllacne_colensoi",47,"open",30,30,,2,,1,5,,,,,,,,,,,,,1,,,,,,,,,,,,3,,,,,,,,,,,1,2,43
"Mt. Burns","Phyllacne_colensoi",48,"cushion",45,40,,1,1,3,,1,,,,,,,,2,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,43
"Mt. Burns","Phyllacne_colensoi",48,"open",45,40,,2,,,,,3,,,,,,,,,,,1,,,,,,,,,,,,5,,,,,,,,,,,,,43
"Mt. Burns","Phyllacne_colensoi",49,"open",45,40,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,43
"Mt. Burns","Phyllacne_colensoi",50,"open",32,32,,1,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,43
"Mt. Burns","Phyllacne_colensoi",52,"cushion",50,50,1,,4,,,2,,,2,,,,,4,,,,,1,,,10,,1,,,,4,2,,,,,,,2,,,,,,,43
"Mt. Burns","Phyllacne_colensoi",53,"open",30,30,,,,,,,,,1,,,,,,,,,2,,,,,,,,,,,,4,,,3,,,,,,,,,,43
"Mt. Burns","Phyllacne_colensoi",54,"open",35,25,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43
"Mt. Burns","Phyllacne_colensoi",55,"open",20,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,43
"Mt. Burns","Phyllacne_colensoi",56,"cushion",16,16,1,,,,,1,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,2,,,,,,,43
"Mt. Burns","Phyllacne_colensoi",56,"open",16,16,,,1,,,1,,,,,,,,3,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,43
"Mt. Burns","Phyllacne_colensoi",57,"cushion",70,35,,,,,8,7,,,,,,,,13,,,,,,,,10,,1,,,,4,1,,,,11,,,,,,,,1,1,43
"Mt. Burns","Phyllacne_colensoi",58,"open",35,30,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,43
"Mt. Burns","Phyllacne_colensoi",59,"open",52,50,,,,,,,2,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,43
"Mt. Burns","Phyllacne_colensoi",60,"open",35,45,,,2,1,1,,3,,1,,,,,,,,,,,,,10,,,,,,4,1,,,,,,,,,,,,,,43
"Mt. Burns","Phyllacne_colensoi",61,"cushion",40,40,,,12,,4,35,,,,,,,,13,,,,,,,,10,,2,,,,,2,,,,,,2,4,,,,,,,43
"Mt. Burns","Phyllacne_colensoi",61,"open",40,40,,,,1,,,,,,,,,,,1,,,,,,,10,,,,,,,4,4,,,,,,,,,,2,,,43
"Mt. Burns","Phyllacne_colensoi",62,"cushion",30,23,,,7,8,3,1,,,,,,,,,,,,,,,,7,,,,,,,,2,,,3,,,2,,,,18,1,,43
"Mt. Burns","Phyllacne_colensoi",62,"open",30,23,,,6,,,,6,,,,,,,,,,,,,,,10,,,,,,,,3,,,,,,,,,,,,,43
"Mt. Burns","Phyllacne_colensoi",63,"cushion",30,35,,1,11,,,6,,,,,,,,46,,1,,,,,,10,,,,,,2,4,,,,,,1,,,,,,3,,43
"Mt. Burns","Phyllacne_colensoi",63,"open",30,35,,,6,,,,3,,,,,,,,,,,1,,,,,,,,,,,,3,,,,,,,,,,4,,,43
"Mt. Burns","Phyllacne_colensoi",64,"cushion",25,35,4,,4,,5,4,,,,,,,,10,,,,,,,,10,,,,,,,2,,,,,,4,,,,,,2,,43
"Mt. Burns","Phyllacne_colensoi",64,"open",25,35,,,7,,,,8,,,,,,,,,,,1,,,,10,,,,,,,,,,,,,,,,,,,,,43
"Mt. Burns","Phyllacne_colensoi",65,"cushion",38,32,1,1,11,1,5,,,,,,,,,11,3,,3,,,,,10,,1,,,,,2,,,,,,7,,,,,1,,,43
"Mt. Burns","Phyllacne_colensoi",66,"open",43,23,2,,8,2,1,,7,,,,,,,,,,,1,,,,10,,,,,,,,4,,2,,,,,,,,,,,43
"Mt. Burns","Phyllacne_colensoi",67,"open",35,29,,,12,,,,12,,,,,,,,,,,2,,,,10,,,,,,,,,,,,,,2,,,,,,,43
"Mt. Burns","Phyllacne_colensoi",68,"cushion",39,20,,2,3,7,,,,,,,,,,,,1,,1,,,,10,,1,,,,,,1,,,,,1,11,,,,,1,,43
"Mt. Burns","Phyllacne_colensoi",68,"open",39,20,,,2,,1,,21,,,,,,,,,,,3,1,,,10,,,,,,,1,3,,,,,,,,,,5,,,43
"Mt. Burns","Phyllacne_colensoi",69,"cushion",33,17,1,,7,,,6,,,,,,,,,2,,,,,,,10,,,,,,,,,,,,,,,,,,,1,,43
"Mt. Burns","Phyllacne_colensoi",69,"open",33,17,,,6,,,2,2,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,2,,,,,2,,43
"Mt. Burns","Phyllacne_colensoi",70,"cushion",51,30,,,7,1,6,11,,,,,,,,8,,,,2,,,,10,1,3,,,,,4,,,,,,13,,,,,,,,43
"Mt. Burns","Phyllacne_colensoi",70,"open",51,30,,,2,,,,22,,,,,,,,,,,2,2,,,10,,,,,,,2,6,,,,,,,,,,,,,43
"Mt. Burns","Phyllacne_colensoi",71,"cushion",81,35,8,,11,,4,4,,,,,,,,12,,,3,,,,,10,,,,2,,,3,,,,,,,2,,,,,,2,43
"Mt. Burns","Phyllacne_colensoi",71,"open",81,35,,,10,,,,41,,,,,,,1,,,,5,1,,,10,,,,,,,1,3,,,,,,,,,,,,,43
"Mt. Burns","Phyllacne_colensoi",72,"cushion",36,35,,3,14,,,7,,1,,,,,,90,,,1,,,,,10,,1,,1,,2,,,,,,,13,,,,,,,,43
"Mt. Burns","Phyllacne_colensoi",72,"open",36,35,,,1,,,,6,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,43
"Mt. Burns","Phyllacne_colensoi",73,"cushion",49,35,1,,14,,5,5,,1,,,,,,1,,,,1,,,,10,,,,,,,,,,,,,1,3,,,,,,1,43
"Mt. Burns","Phyllacne_colensoi",74,"open",46,24,,,9,,3,,9,1,,,,,,1,,,,,,,,10,,,,,,,,6,,1,,,,6,,,,,,,43
"Mt. Burns","Phyllacne_colensoi",75,"cushion",89,50,,,28,,1,9,,1,3,,,,,,,3,2,,,,,10,7,,,1,,,6,2,,13,,,19,1,,,,,,,43
"Mt. Burns","Phyllacne_colensoi",75,"open",89,50,,,4,1,,,18,1,,,,,,,,,,2,,,,10,,,,,,1,1,,,,,,,5,,,,,,,43
"Mt. Burns","Phyllacne_colensoi",76,"cushion",72,78,,,7,1,1,,,,1,,,,,22,2,2,1,,,,,10,,,,,,,,,,,,,15,1,,,,17,1,1,43
"Mt. Burns","Phyllacne_colensoi",76,"open",72,78,,,5,,,,9,,,,,,,,,,,4,,,,10,,,,,,,,4,,,,,,1,,,,,,,43
