site,cushion species,sample,cushion/open,diam1 (cm),diam2 (cm),Agrostis,Alchemilla,Anthyllis,Arenaria,Carex 1,Carex 2,Caryophyllaceae,Cerastium,Cirsium,Crepis,Daphne,Draba,Dryas octopetala,Erigeron 1,Erigeron 2,Festuca,Gentiana 1,Gentiana 2 (blue),Gentiana 3 (pointed leaves),Globularia,Helianthemum,Hieracium 1,Hieracium 2,Koeleria,Lamiaceae,Leontodon,Leucanthemum,Linaria,Oreochloa,Polygala,Saponaria caespitosa,Saxifraga 1 (creeping),Saxifraga 2 (pink/leafy),Saxifraga oppositifolia,Teucrium,Veronica,dataset code
"Benasque 1","Saponaria_caespitosa",88,"open",18,18,,,2,,5,,,,,,,,,,,,,,,,2,,,,,,,,1,,,,,,,,73
"Benasque 1","Saponaria_caespitosa",89,"open",35,30,,,,,6,,,,,,,,,,,,,,,,1,,,,1,,,,1,,,,,,,,73
"Benasque 1","Saponaria_caespitosa",90,"open",30,20,,,,,4,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,73
"Benasque 1","Saponaria_caespitosa",91,"open",40,30,,,,,6,,1,,,,,1,,,,,,,,,3,,,1,,,,2,,,,,,,,,73
"Benasque 1","Saponaria_caespitosa",92,"open",60,40,,,4,,12,,,,,,,,,,,,,,,,8,,,3,,,,,,,,1,,,,,73
"Benasque 1","Saponaria_caespitosa",93,"open",45,30,,,1,,5,,2,,,,,,,1,,,,,,,2,,,,,,1,,,,,,,,,,73
"Benasque 1","Saponaria_caespitosa",3,"cushion",27,30,,,1,,3,,,,,,5,,,,,,,,,,,,,,,,,,16,,,,,,,,73
"Benasque 1","Saponaria_caespitosa",4,"cushion",35,20,,,1,,11,,,,,,,,1,,,,,,,,4,,,,,,,3,5,,,,,,,,73
"Benasque 1","Saponaria_caespitosa",5,"cushion",35,35,,,3,,22,,,,,,,,,,,,,,,,8,,,,,,,,7,,,,,,,,73
"Benasque 1","Saponaria_caespitosa",6,"cushion",40,35,,,3,,34,,,,,,,,,,,,1,,,1,10,1,,,,,,,9,,,,,,,,73
"Benasque 1","Saponaria_caespitosa",7,"cushion",30,30,,,2,,30,,,,,,,,,,,,,,,3,7,,,,,,,,16,,,,,,,,73
"Benasque 1","Saponaria_caespitosa",8,"cushion",30,25,,,,,12,,,,,,,,,,,1,,1,,,4,2,,,,,,,6,,,,,,,,73
"Benasque 1","Saponaria_caespitosa",9,"cushion",40,24,,,1,,37,,,,,,,,,,,,,,,,11,,,,,,,,8,,,,,,,,73
"Benasque 1","Saponaria_caespitosa",10,"cushion",30,34,,,4,,26,,,,,,,,,,,4,1,,,,6,,,,,,,,12,,,,,,,,73
"Benasque 1","Saponaria_caespitosa",13,"cushion",31,46,,,5,,33,,,,,,,1,,,,,,,,,11,1,,,,,,,4,,,,,,,,73
"Benasque 1","Saponaria_caespitosa",14,"cushion",26,23,,,2,,10,1,1,,,,,1,,,,,,,,,4,,,1,,,,,22,,,1,,,,,73
"Benasque 1","Saponaria_caespitosa",15,"cushion",31,28,,,2,,8,,,,,,,,,,,,,,,3,6,,,,,,,1,6,,,2,,,,,73
"Benasque 1","Saponaria_caespitosa",16,"cushion",20,24,,,1,,11,,,,,,,,,,,,,,,,5,,3,,,,,2,4,,,,1,,,,73
"Benasque 1","Saponaria_caespitosa",17,"cushion",20,22,,,,,14,,,,,,,,,,,,,,,2,2,,,1,,,,,10,,,,,,,,73
"Benasque 1","Saponaria_caespitosa",18,"cushion",64,40,,,2,,31,,,,,,,,,1,,,1,,,3,11,1,1,,,,,6,48,,,,,,,,73
"Benasque 1","Saponaria_caespitosa",19,"cushion",30,30,,,,,11,2,,,,,1,,,,1,,,,,,5,,,,,,,2,,,,,,,,,73
"Benasque 1","Saponaria_caespitosa",20,"cushion",36,39,,,2,,28,,,,,,4,,,1,1,,,,,,6,,1,,,,,,15,,,,,,,,73
"Benasque 1","Saponaria_caespitosa",23,"cushion",20,21,,,2,,6,,,,,,,,,,,,,,,,3,,,,,,,5,,,,,,,,,73
"Benasque 1","Saponaria_caespitosa",24,"cushion",56,35,,,3,,15,,,,,,,,,,8,2,,,,,5,,,1,,,,,24,,,,,,,,73
"Benasque 1","Saponaria_caespitosa",25,"cushion",45,30,,,1,,21,,,,,,,,,,,,,,,,5,1,,1,,,,8,44,,,,,,,,73
"Benasque 1","Saponaria_caespitosa",26,"cushion",46,42,,,1,,8,,,,,,,,,,,,,,,,4,,,,,,,18,11,,,,,,,,73
"Benasque 1","Saponaria_caespitosa",27,"cushion",46,31,,,1,,28,4,,,,,,,,,,,,,,,3,,,1,,,,7,3,,,,1,,,,73
"Benasque 1","Saponaria_caespitosa",28,"cushion",22,26,,,1,,29,,,,,,,0,,,,,,,,,5,,,,,,,,5,,,,,,,,73
"Benasque 1","Saponaria_caespitosa",29,"cushion",34,33,,,0,,11,,,,,,,0,,,,,,,,,11,,,,,,,,9,,,,,,,,73
"Benasque 1","Saponaria_caespitosa",30,"cushion",25,18,,,0,,21,,,,,,,2,,,,,,,,,8,,,,,,,,15,,,,,,,,73
"Benasque 1","Saponaria_caespitosa",33,"cushion",84,40,,,13,,37,,,,,,6,,,,,7,22,,,,11,,,,,,,,35,,,,,,,,73
"Benasque 1","Saponaria_caespitosa",34,"cushion",57,46,,,6,,70,,,,,,,,,7,,6,0,,,,11,,,,,,,,11,,,,,,,,73
"Benasque 1","Saponaria_caespitosa",35,"cushion",43,25,,,7,,26,,,,,,,,,,,,,,,,10,,,,,,,,8,,,,,,,,73
"Benasque 1","Saponaria_caespitosa",36,"cushion",33,32,,,9,,34,,,,,,,,,,,,,,,,6,,,,,,,,8,,,,,,,,73
"Benasque 1","Saponaria_caespitosa",37,"cushion",40,25,,,0,,40,,,,,,,,,1,,,,,,,9,,,,,,,,2,,,,,,,,73
"Benasque 1","Saponaria_caespitosa",38,"cushion",26,19,,,6,,26,,,,,,,,,,,,,,,,6,,,,,,,,4,,,,,,,,73
"Benasque 1","Saponaria_caespitosa",39,"cushion",22,20,,,2,,9,,,,,,,,,,,,,,,,3,,,,,,,,18,,,,,,,,73
"Benasque 1","Saponaria_caespitosa",40,"cushion",42,40,,,5,,33,,,,,,,,,,,,,,,1,4,,,,,,,1,27,,,,,,,,73
"Benasque 1","Saponaria_caespitosa",43,"cushion",50,30,,,3,,32,,,,,,,,,,,,,,,1,2,1,,2,,,,,6,,,,,,,,73
"Benasque 1","Saponaria_caespitosa",44,"cushion",21,36,,,3,,20,,,,,,,,,,,3,,,,2,2,2,,,,,,,0,,,,,,,,73
"Benasque 1","Saponaria_caespitosa",45,"cushion",16,15,,,0,,12,,,,,,,,,,,,,,,1,1,,,,,,,,8,,,,,,,,73
"Benasque 1","Saponaria_caespitosa",46,"cushion",16,12,,,0,,9,,,,,,,,,,,,,,,,2,,,,,,,1,8,,,,,,,,73
"Benasque 1","Saponaria_caespitosa",47,"cushion",36,26,,,4,,26,,,,1,,1,,,,,1,,,,,7,,,,,,,,16,,,,,,,,73
"Benasque 1","Saponaria_caespitosa",48,"cushion",16,15,,,6,,15,,,,,,,,,,,,,,,1,2,,,,,,,2,0,,,,,,,,73
"Benasque 1","Saponaria_caespitosa",49,"cushion",55,29,,,2,,58,,,,,,3,,,,,5,,,,,3,,,,,,,7,5,,,,,,,,73
"Benasque 1","Saponaria_caespitosa",50,"cushion",29,27,,,6,,29,,,,,,2,,,,,,,,,2,6,,,2,,,,2,0,,,,,,,,73
"Benasque 1","Saponaria_caespitosa",53,"cushion",18,6,,,,,,,,,,,,,,,,,,,,2,2,,,,,,,,2,,,,,,,,73
"Benasque 1","Saponaria_caespitosa",54,"cushion",80,40,,,2,,45,,,,,,,,,,,2,4,,,1,19,,,,,,,,18,,,3,,,,,73
"Benasque 1","Saponaria_caespitosa",55,"cushion",45,35,,,2,,46,,,,1,1,,,,,,,,,,3,7,,,,,,,,8,,,,,,,17,73
"Benasque 1","Saponaria_caespitosa",56,"cushion",52,32,,,,,22,,1,,,,,,,,,,1,,,,18,,,,,,,,6,,,,,,,,73
"Benasque 1","Saponaria_caespitosa",57,"cushion",34,21,,,2,,13,,,,,,,,,2,,,,,,,6,1,,,,,,,2,,,,,1,,,73
"Benasque 1","Saponaria_caespitosa",58,"cushion",25,25,,,,,11,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,73
"Benasque 1","Saponaria_caespitosa",59,"cushion",42,30,,,6,,20,,,,2,,,,,,,,,,,1,10,,,1,,,,1,6,,,5,,,,,73
"Benasque 1","Saponaria_caespitosa",60,"cushion",30,35,,,1,,16,,,,,,,,,,,,,,,,6,1,,,,,,1,2,,,,,1,,,73
"Benasque 1","Saponaria_caespitosa",63,"cushion",25,20,,,,,12,,,,,,,,,,,,,,,2,3,,,,,,,,,,,,,1,2,,73
"Benasque 1","Saponaria_caespitosa",64,"cushion",37,24,4,,1,,,,,,1,,1,,,,,,,,,,4,,,,,,,5,,,,1,,,,,73
"Benasque 1","Saponaria_caespitosa",65,"cushion",19,23,,,5,,,4,,,,,,,,,,,,,,,,,,1,,,,4,5,,,,,,,,73
"Benasque 1","Saponaria_caespitosa",66,"cushion",29,30,,,2,,,,,,,,,,,,,,,,,,4,,,5,,,,,,,,,,2,,,73
"Benasque 1","Saponaria_caespitosa",67,"cushion",23,13,,,,,,,,,,,,,,1,,,,,,,2,,,,,,,2,,,,,1,,,,73
"Benasque 1","Saponaria_caespitosa",68,"cushion",30,30,,,1,,16,,1,1,,,,,,,,,,,,,10,1,,,,,,,1,,,,,,,1,73
"Benasque 1","Saponaria_caespitosa",69,"cushion",18,17,,,1,,4,,,,,,,1,,,,,,,,,,,,4,,,,,,,,,,,,,73
"Benasque 1","Saponaria_caespitosa",70,"cushion",15,15,1,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,73
"Benasque 1","Saponaria_caespitosa",73,"cushion",46,30,10,,3,1,9,,,,,,,,,2,,,,,,,7,,,,,,,1,1,,,,,,,,73
"Benasque 1","Saponaria_caespitosa",74,"cushion",40,32,,,1,,16,,7,,,,,,,,,,,,,1,9,,,1,,,,3,11,,,,,,,,73
"Benasque 1","Saponaria_caespitosa",75,"cushion",28,23,,,3,,17,,,,,,,,,,,,,,,,5,,,,,,,,1,,,,,,,,73
"Benasque 1","Saponaria_caespitosa",76,"cushion",45,43,,,2,,32,,,,,,,,,,,,,,,,16,,,,,,,,2,,,,,,,6,73
"Benasque 1","Saponaria_caespitosa",77,"cushion",30,24,,,,,19,,,,,,,,,,,,,,,,7,2,,,,,,3,1,,,,,,,,73
"Benasque 1","Saponaria_caespitosa",78,"cushion",15,10,,,2,,5,,,,,,,1,,,,,,,,,3,,,,,,,,1,,,,,,,,73
"Benasque 1","Saponaria_caespitosa",79,"cushion",42,40,,,1,,28,,,,,,,,,,,,,,,,10,,,,,,,,5,,,,,,,,73
"Benasque 1","Saponaria_caespitosa",80,"cushion",12,10,,,,,4,,1,,,,,,,,,,,,,,2,,,1,,,,,1,,,,,,,,73
"Benasque 1","Saponaria_caespitosa",83,"cushion",45,40,,,,,15,,,,,,6,,,,,,1,,,,,,,2,1,,,5,4,,,,,,,,73
"Benasque 1","Saponaria_caespitosa",84,"cushion",50,38,,,2,,15,,,,,,,,,,,,,,,,7,,,,,,,1,3,,,,,,,,73
"Benasque 1","Saponaria_caespitosa",85,"cushion",30,20,,,1,,11,,,,,,,,,1,,,,,,1,1,,,,,,,,3,,,,,,,,73
"Benasque 1","Saponaria_caespitosa",86,"cushion",18,18,,,2,,5,,2,,,,,,,,,,,,,,3,,,,,,,,2,,,,,,,,73
"Benasque 1","Saponaria_caespitosa",87,"cushion",35,30,,,3,,5,,1,,,,,,,2,,,,,,,8,,,1,1,,,,10,,,,,,,,73
"Benasque 1","Saponaria_caespitosa",88,"cushion",30,20,,,1,,7,,2,,,,,,,,,,,,,1,9,,,1,,,,,,,,,,,,,73
"Benasque 1","Saponaria_caespitosa",89,"cushion",40,30,,,6,,15,,1,,,,,1,,4,,,,,,,12,,,1,,,,2,2,,,3,,,,,73
"Benasque 1","Saponaria_caespitosa",90,"cushion",60,40,,,6,,14,,,,,,,,,2,,,,,,,13,1,,1,,,,,6,,,,,,5,,73
"Benasque 1","Saponaria_caespitosa",2,"open",30,30,,,,,,,,,,,5,,,,,,1,,,,,,,,,,,,,,,,,,,,73
"Benasque 1","Saponaria_caespitosa",3,"open",27,30,,,,,3,,,,,,,1,,,,,,,,,3,,,,,,,,1,,,1,,,,,73
"Benasque 1","Saponaria_caespitosa",4,"open",35,20,,,,,12,,,,,,,,,,,1,,,,,4,,,,,,,,1,,,2,,,,,73
"Benasque 1","Saponaria_caespitosa",5,"open",35,35,,,,,,,,,,,,,,,,,1,,,,2,,,,,,,,2,,,,,,,,73
"Benasque 1","Saponaria_caespitosa",6,"open",40,35,,,3,,8,,,,,,,,,,,,,,,,8,,,,,,,,2,,,,,,,,73
"Benasque 1","Saponaria_caespitosa",7,"open",30,30,,,,,5,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,73
"Benasque 1","Saponaria_caespitosa",13,"open",31,46,,,2,,45,,,,,,,1,,1,,,,,,,11,,,,,,,,,,,,,,,,73
"Benasque 1","Saponaria_caespitosa",14,"open",26,23,,,1,,8,1,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,73
"Benasque 1","Saponaria_caespitosa",15,"open",31,28,,,1,,16,,,,,,,,,,,,,,,,5,,4,,,,,,,,,,,,,,73
"Benasque 1","Saponaria_caespitosa",16,"open",20,24,,,1,,7,,,,,,,,,,,,,,,,4,,,,,,,,,,,1,,,,,73
"Benasque 1","Saponaria_caespitosa",17,"open",20,22,,,,,2,1,,,,,,,,,,,,,,,4,,,,,,,2,,,,,,,,,73
"Benasque 1","Saponaria_caespitosa",23,"open",20,21,,,2,,6,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,73
"Benasque 1","Saponaria_caespitosa",24,"open",56,35,,,1,1,22,,,,1,,,,,,,1,,,,1,4,,,,,4,,,,,,,,,,,73
"Benasque 1","Saponaria_caespitosa",25,"open",45,30,,,1,,10,,,,,,,,,,,,1,,,,,,,1,,,,2,,,,,,,,,73
"Benasque 1","Saponaria_caespitosa",26,"open",46,42,,,1,,6,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,73
"Benasque 1","Saponaria_caespitosa",27,"open",46,31,,,,,12,,,,,,,,,,,,,,,,1,,,,,,,,4,,,,,,,,73
"Benasque 1","Saponaria_caespitosa",33,"open",84,40,,,0,,28,,,,,,,,,,,1,1,,,,13,,,,,,,,6,,,,,,,,73
"Benasque 1","Saponaria_caespitosa",34,"open",57,46,,,2,,19,,,,,,,2,,5,,,0,,,1,16,,,,,,,,2,,,,,,,,73
"Benasque 1","Saponaria_caespitosa",35,"open",43,25,,,0,,18,,,,,,,,,,,,,,,,6,,,,,,,,0,,,,,,,,73
"Benasque 1","Saponaria_caespitosa",36,"open",33,32,,,17,,26,,,,,,,,,,,,,,,,12,,,,,,,,2,1,,,,,,,73
"Benasque 1","Saponaria_caespitosa",37,"open",40,25,,,6,,33,,,,,,,,,,,,,,,,7,,,,,,,,4,,,,,,,,73
"Benasque 1","Saponaria_caespitosa",43,"open",50,30,,,3,,9,,,,,,,,,,,,,,,,6,,,,,,,,2,,,,,,,,73
"Benasque 1","Saponaria_caespitosa",44,"open",21,36,,,0,,13,,,,,,,,,,,,,,,2,1,,,,,,,,0,,,2,,,,,73
"Benasque 1","Saponaria_caespitosa",45,"open",16,15,,,0,,12,,,,,,,,,,,,,,,2,0,,,,,,,,0,,,,,,,,73
"Benasque 1","Saponaria_caespitosa",46,"open",16,12,,,0,,10,,,,,,,,,,,2,,,,1,0,,,,,,,,0,,,,,,,,73
"Benasque 1","Saponaria_caespitosa",47,"open",36,26,,,2,,16,,,,,,,,,,,,,,,,4,,,,,,,1,0,,,,,,,,73
"Benasque 1","Saponaria_caespitosa",53,"open",18,6,,,,,,,,,,,,,,,,,,,,1,2,,,,,,,,,,,1,,,,,73
"Benasque 1","Saponaria_caespitosa",54,"open",80,40,,,1,1,37,,,,,,1,,,,,,1,,,1,12,,,,,,,,1,,,3,,,,,73
"Benasque 1","Saponaria_caespitosa",55,"open",45,35,,,,,5,,4,,,,,,,,,,,,,,4,,,,,,,,3,,,,,,,,73
"Benasque 1","Saponaria_caespitosa",56,"open",11,10,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73
"Benasque 1","Saponaria_caespitosa",57,"open",52,32,,,1,,24,,,,,,,,,,,,,,,1,9,1,,,,,,,,,,1,,,,1,73
"Benasque 1","Saponaria_caespitosa",63,"open",20,20,,,2,,,,,,,,,,,,,,,,,,3,,,1,,,,2,,,1,,,,,1,73
"Benasque 1","Saponaria_caespitosa",64,"open",25,20,,,,,11,,,,,,,1,,,,,,,,,3,,,,,,,1,,,1,,,,,,73
