"site","cushion","code","sample","cushion.open","diam1","diam2","area","Acaena leptacantha","Adesmia sp4","Barneoudia major","Bromus setifoluis","Carex sp 2","Chaetanthera apiculata","Chaetanthera euphrasioides","Chaetanthera planiseta","Chaetanthera pusilla","Cuscuta chilensis","Erigeron andicola","Haplopappus scrobiculatus","Hordeum comosum","Hypochaeris tenuifolia","Loasa sigmoidea","Nassauvia lagascae","Nassauvia pyramidalis","Nastanthus agglomeratus","Oxalis compacta","Perezia carthamoides","Perezia pilifera","Phacelia secunda","Poa alopecurus","Poa pratensis","Pozoa coriacea","Quinchamalium chilense","Rhodophiala uniflora","Rytidosperma violaceum","Senecio bustillosianus","Senecio looseri","Senecio polygaloides","Taraxacum officinale","Thlaspi magellanicum","Trisetum preslei","Tropaeolum polyphyllum","Viola philippii"
"La Parva","Laretia_acaulis",14,86,"cushion",,,,,,,2,,,,,,,,1,,,,,,1,,,,,,3,,,,2,,,2,,,3,,
"La Parva","Laretia_acaulis",14,87,"cushion",,,,,,,,,,,,,,,,,,,,,1,,,,,3,2,,,,,,,,,,,,
"La Parva","Laretia_acaulis",14,88,"cushion",,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
"La Parva","Laretia_acaulis",14,89,"cushion",,,,,,,1,,,,,,,,,,,,,,,,,,,2,2,,1,,,,,,,,,,
"La Parva","Laretia_acaulis",14,90,"cushion",,,,,,,1,,,,,,,,,1,,,,,,,,,,2,,,,,,,,,,,,,
"La Parva","Laretia_acaulis",14,91,"cushion",,,,,,,,,,,,,,,,,,,,,,,,,,2,2,,,,,,,,,,,,
"La Parva","Laretia_acaulis",14,92,"cushion",,,,,,,,,,,,,,2,,1,,,,,,,,,,,,,,,,,,2,,,,,
"La Parva","Laretia_acaulis",14,93,"cushion",,,,,,,3,5,,,,,,5,,4,,,,,,,1,,,4,3,,2,,2,,,3,1,1,,,
"La Parva","Laretia_acaulis",14,94,"cushion",,,,,,,1,,,,,,,1,,,,,,,,,,,,,1,,,,,,,2,1,,,,
"La Parva","Laretia_acaulis",14,93,"open",,,,,,1,,,,2,,6,,,,,,,,1,,,,,,2,,,,,,,,1,,,,,2
