"site","cushion","code","sample","cushion.open","diam1","diam2","area","Agoseris aurantiaca","Agoseris glauca","Antenaria lanata","Arenaria congesta","Arnica diversifolia","Carex bigelowii","Castilleja miniata","Cirsium etonii","Draba cana","Erigeron tomentosa","Erigeron simplex","Festuca arizonica","Ivesia gordoni","Minuartia macrantha","Poa alpina","Potentilla gracilis","Sedum debile","Senecio amplectum","Silene acaulis","Smelowskia calycina","Solidago multiradiata","Thalictrum fendleri","Thlaspi montanum","Trisetum spicatum","UNKleaf"
"Bald Mt","Eriogonum umbellatum ssp. Porteri",37,22,"cushion",40,50,,,,2,,4,,,,,,,,,,2,,,,,,"5",,,4,
"Bald Mt","Eriogonum umbellatum ssp. Porteri",37,22,"open",,,,,,,,,,,,,,,,1,,1,,,,,,"2",,,1,
"Bald Mt","Eriogonum umbellatum ssp. Porteri",37,23,"cushion",55,30,,,,,,,,,,,,1,,,,,,,,,,,,,2,
"Bald Mt","Eriogonum umbellatum ssp. Porteri",37,23,"open",,,,,,,,,,,,,,,,1,,3,,,,,,"1",,,1,
"Bald Mt","Eriogonum umbellatum ssp. Porteri",37,24,"cushion",60,45,,,,,,,,,,,,1,,9,,9,1,,,,1,,,3,3,
"Bald Mt","Eriogonum umbellatum ssp. Porteri",37,24,"open",,,,,,,,,,,,,,1,,,1,3,,3,,,,,,,3,
"Bald Mt","Eriogonum umbellatum ssp. Porteri",37,25,"cushion",50,30,,2,,,,3,,,2,,,,3,5,,,,,,,,,,,2,
"Bald Mt","Eriogonum umbellatum ssp. Porteri",37,25,"open",,,,,,2,,,,,,,,,,3,,,,,,,,,,,3,
"Bald Mt","Eriogonum umbellatum ssp. Porteri",37,26,"cushion",60,30,,,,,,1,,,,,,,2,4,,,,,,,,,,,,
"Bald Mt","Eriogonum umbellatum ssp. Porteri",37,26,"open",,,,,,,,,,,,,,,,1,,2,,,,,,,,,1,
"Bald Mt","Eriogonum umbellatum ssp. Porteri",37,27,"cushion",15,35,,,,,,,,,,,,,1,1,,,,,,,,,,,1,
"Bald Mt","Eriogonum umbellatum ssp. Porteri",37,27,"open",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bald Mt","Eriogonum umbellatum ssp. Porteri",37,28,"cushion",55,25,,,,,,,,,,,,3,7,,,5,,,,,,,,2,1,
"Bald Mt","Eriogonum umbellatum ssp. Porteri",37,28,"open",,,,,,,,,,,,,,,5,,,,,,,,,,,,,
"Bald Mt","Eriogonum umbellatum ssp. Porteri",37,29,"cushion",45,30,,,,,,9,,,,,,,3,,,5,,,,,,"1",,,,
"Bald Mt","Eriogonum umbellatum ssp. Porteri",37,29,"open",,,,,,,,,,,1,,,,,,,1,,,,,,,,,,
"Bald Mt","Eriogonum umbellatum ssp. Porteri",37,30,"cushion",50,30,,1,,,,,,,,,,,4,4,,1,,,,,,,,1,2,
"Bald Mt","Eriogonum umbellatum ssp. Porteri",37,30,"open",,,,,,,,,,,,,,,,,,5,,,,,,,,,,
"Bald Mt","Eriogonum umbellatum ssp. Porteri",37,31,"cushion",25,35,,,,,,,,,1,,,,4,,,2,,,,,,,,,,
"Bald Mt","Eriogonum umbellatum ssp. Porteri",37,31,"open",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bald Mt","Eriogonum umbellatum ssp. Porteri",37,32,"cushion",20,20,,,,,,,,,,,,,,,,1,,,,,,,,,,
"Bald Mt","Eriogonum umbellatum ssp. Porteri",37,32,"open",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bald Mt","Eriogonum umbellatum ssp. Porteri",37,33,"cushion",25,25,,,,,,,,,,,,,,,,1,,,,,,,,,,
"Bald Mt","Eriogonum umbellatum ssp. Porteri",37,33,"open",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bald Mt","Eriogonum umbellatum ssp. Porteri",37,34,"cushion",25,25,,,,,,,,,1,1,,,3,,,1,,,,,,,,,1,
"Bald Mt","Eriogonum umbellatum ssp. Porteri",37,34,"open",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bald Mt","Eriogonum umbellatum ssp. Porteri",37,35,"cushion",20,30,,2,,,,,,,,,,,2,2,,,,,,,,,,,1,
"Bald Mt","Eriogonum umbellatum ssp. Porteri",37,35,"open",,,,,,,,,,,,,,,,,,1,,,,,,,,,,
"Bald Mt","Eriogonum umbellatum ssp. Porteri",37,36,"cushion",55,30,,4,,,,,,,,,,,5,2,,3,,,,,,"1",,,1,
"Bald Mt","Eriogonum umbellatum ssp. Porteri",37,36,"open",,,,,,,,,,,,,,,1,,,,,1,,,,,,,1,
"Bald Mt","Eriogonum umbellatum ssp. Porteri",37,37,"cushion",30,30,,,,,,,,,,,,,2,,,,,,,,,,,,,
"Bald Mt","Eriogonum umbellatum ssp. Porteri",37,37,"open",,,,,,,,,,,,,,,1,1,,3,,,,,,,,,,
"Bald Mt","Eriogonum umbellatum ssp. Porteri",37,38,"cushion",20,20,,1,,1,,,,,,,,,,,,4,,,,,,,,,3,
"Bald Mt","Eriogonum umbellatum ssp. Porteri",37,38,"open",,,,,,,,,,,,,,,,1,,1,,,,,,,,,2,
"Bald Mt","Eriogonum umbellatum ssp. Porteri",37,39,"cushion",35,20,,3,,2,,,,,,,,,2,,,,,,,,,,,,1,
"Bald Mt","Eriogonum umbellatum ssp. Porteri",37,39,"open",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bald Mt","Eriogonum umbellatum ssp. Porteri",37,40,"cushion",30,20,,,,6,,3,,,,,,,,2,,4,,,,,,,,,,
"Bald Mt","Eriogonum umbellatum ssp. Porteri",37,40,"open",,,,,,2,,,,,,,,,,,,,,,,,,,,,,
"Bald Mt","Eriogonum umbellatum ssp. Porteri",37,41,"cushion",30,30,,,,,,5,,,1,,,,1,1,,,,1,,,,"1",,1,3,
"Bald Mt","Eriogonum umbellatum ssp. Porteri",37,41,"open",,,,,,,,,,,,,,,,1,,1,,,,,,"1",,,1,
"Bald Mt","Eriogonum umbellatum ssp. Porteri",37,42,"cushion",45,40,,,,1,,,,,1,,,,,1,,1,,,,,,,,,3,
"Bald Mt","Eriogonum umbellatum ssp. Porteri",37,42,"open",,,,,,,,,,,,,,,,,,1,,,,,,,,,1,
"Bald Mt","Eriogonum umbellatum ssp. Porteri",37,43,"cushion",40,15,,,,2,,,,,,,,3,1,,,1,,,,1,,,,,,
"Bald Mt","Eriogonum umbellatum ssp. Porteri",37,43,"open",,,,1,,,,,,,,,,,,,,1,,,,,,,,,,
"Bald Mt","Eriogonum umbellatum ssp. Porteri",37,44,"cushion",25,20,,,,3,,,,,,,,,10,1,,,,,,,,,,,2,
"Bald Mt","Eriogonum umbellatum ssp. Porteri",37,44,"open",,,,,,1,,,1,,,,,,,1,,,,,,,,,,,,
"Bald Mt","Eriogonum umbellatum ssp. Porteri",37,45,"cushion",30,40,,,,,,,,,,,,,6,,,,,,,,,,,,,
"Bald Mt","Eriogonum umbellatum ssp. Porteri",37,45,"open",,,,,,,,,,,,,,,1,,,,,,,,,,,,,
"Bald Mt","Eriogonum umbellatum ssp. Porteri",37,46,"cushion",30,50,,,,,,,,,,,,,11,2,,,,,,,,,,1,,
"Bald Mt","Eriogonum umbellatum ssp. Porteri",37,46,"open",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bald Mt","Eriogonum umbellatum ssp. Porteri",37,47,"cushion",25,20,,,,1,,6,,,,,,,3,1,,,,,,,1,"1",,,,
"Bald Mt","Eriogonum umbellatum ssp. Porteri",37,47,"open",,,,,,,,,,,,,,1,2,,,,,,,,,,,,,
"Bald Mt","Eriogonum umbellatum ssp. Porteri",37,48,"cushion",30,30,,,1,,,,,,,,,,14,,,,,,,,,,,1,,
"Bald Mt","Eriogonum umbellatum ssp. Porteri",37,48,"open",,,,,,,,,,,,,,,1,1,,,,,,,,,,,,
"Bald Mt","Eriogonum umbellatum ssp. Porteri",37,49,"cushion",30,10,,,,1,,,,,,,,,,1,,,,,,,,,,,,
"Bald Mt","Eriogonum umbellatum ssp. Porteri",37,49,"open",,,,,,,,,,,,,,,,1,,,,,,,,,,,,
"Bald Mt","Eriogonum umbellatum ssp. Porteri",37,50,"cushion",15,20,,,,,,,,,,,,,,2,,,,,,,,"3",,,,
"Bald Mt","Eriogonum umbellatum ssp. Porteri",37,50,"open",,,,,,,,,,,,,,,,,,,,,,,,"2",,,,
