"site","cushion","code","sample","cushion.open","diam1","diam2","area","Adesmia sp 3","Adesmia sp 4","Adesmia sp 6","Anarthrophyllum gayanum","Barneoudia major","Berberis empetrifolia","Bromus catharticus","Bromus setifolius","Calandrinia caespitosa","Chaetanthera euphrasioides","Chaetanthera pusilla","Chuquiraga oppositifolia","Ephedra chilensis","Erigeron andicola","Euphorbia collina","Haploppappus scrobiculatus","Hordeum comosum","Montiopsis gayana","Nassauvia axillaris","Nassauvia uniflora","Nastanthus agglomeratus","Oxalis squamata","Perezia carthamoides","Perezia pilifera","Phacelia secunda","Poa alopecurus","Polygala salasiana","Quinchamalium chilense","Rhodophiala uniflora","Senecio bustillosianus","Senecio polygaloides","Taraxacum officinale","Thlaspi magellanicum"
"La Parva","Laretia_acaulis",13,93,"cushion",,,,,,,,,2,,5,,,,,,,5,,,,,,2,1,,17,,5,2,,,,1,,1
"La Parva","Laretia_acaulis",13,94,"cushion",,,,2,,,,,1,,,,,,2,,,2,,,,,,3,,,,,,4,,1,,1,,
"La Parva","Laretia_acaulis",13,95,"cushion",,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,1,,,,,,
"La Parva","Laretia_acaulis",13,96,"cushion",,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,2,,,,1,,
"La Parva","Laretia_acaulis",13,97,"cushion",,,,,,,,,1,,3,,,,,,,,,,,,,,,,,,,2,,,,,,
"La Parva","Laretia_acaulis",13,98,"cushion",,,,,,,,,,,8,,,,,,1,,,,,,,,1,,,,3,,,,,,,
"La Parva","Laretia_acaulis",13,99,"cushion",,,,,,,,,,,5,1,,,,,,,,,,,1,,,,,,,,,,,,,
"La Parva","Laretia_acaulis",13,100,"cushion",,,,,,,,,,,3,,,,,,,,,,,,2,,,,,,,,,,,1,,
"La Parva","Laretia_acaulis",13,1,"open",,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"La Parva","Laretia_acaulis",13,9,"open",,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,
"La Parva","Laretia_acaulis",13,10,"open",,,,,,,,,,,,,,,,1,,,2,,,,,,,,,,,,,1,,,,
"La Parva","Laretia_acaulis",13,28,"open",,,,,,,,,,,,,,,,,,,,,,,3,,,,,,1,,1,,,,,
