"site","cushion","code","sample","cushion.open","diam1","diam2","area","Acaena pinnatifida","Agrostis serranoi","Arenaria serpens","Berberis empetrifolia","Chaetanthera lycopodioides","Cyperus reflexus","Epilobium nivale","Erigeron andicola","Gaultheria pumila","Geranium sessiliflorum","Haplopappus diplopappus","Heliotropium geissei","Hypochaeris clarionoides","Hypochaeris radicata","Juncus bufonius","Juncus imbricatus","Juncus stipulatus","Plagiobothrys myosotoides","Plantago lanceolata","Poa sp 1","Poa sp2","Rumex acetosella","Spergularia rubra","Taraxacum officinale","Trifolium dubium","Trifolium repens","Viola subandina"
"Antuco","Azorella_trifurcata",16,26,"open",,,,,,,,,,,,5,,,,,,,,,,,,,,,,1,,
"Antuco","Azorella_trifurcata",16,27,"open",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Antuco","Azorella_trifurcata",16,28,"open",,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,
"Antuco","Azorella_trifurcata",16,29,"open",,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,
"Antuco","Azorella_trifurcata",16,32,"open",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Antuco","Azorella_trifurcata",16,33,"open",,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,
"Antuco","Azorella_trifurcata",16,34,"open",,,,,,,3,,,,,,,,,,,,6,,,,,,1,,1,,,
"Antuco","Azorella_trifurcata",16,35,"open",,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,
"Antuco","Azorella_trifurcata",16,36,"open",,,,,,,,,,,11,,,,,,,,,,,,,,,,,,,
"Antuco","Azorella_trifurcata",16,37,"open",,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,
"Antuco","Azorella_trifurcata",16,38,"open",,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
"Antuco","Azorella_trifurcata",16,39,"open",,,,,,12,,,,,,10,,,,,,,,,11,,4,,,,,,,
"Antuco","Azorella_trifurcata",16,40,"open",,,,,,1,,,,,,,,,,,,3,,,,,1,,,,3,1,,
"Antuco","Azorella_trifurcata",16,41,"open",,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
"Antuco","Azorella_trifurcata",16,42,"open",,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,
"Antuco","Azorella_trifurcata",16,43,"open",,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
"Antuco","Azorella_trifurcata",16,44,"open",,,,3,,,,1,,,,,,,,,,,,,,1,,,11,,13,,,
"Antuco","Azorella_trifurcata",16,45,"open",,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,
"Antuco","Azorella_trifurcata",16,46,"open",,,,,1,,,,,,,,,,,,,,8,,,,,,,,3,,1,
"Antuco","Azorella_trifurcata",16,47,"open",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Antuco","Azorella_trifurcata",16,48,"open",,,,,,23,,,,,1,,,37,,,,,,,,,,,,,,,,
"Antuco","Azorella_trifurcata",16,49,"open",,,,,,55,,,,,,,,,,85,,,11,,1,,,,2,,1,,,
"Antuco","Azorella_trifurcata",16,50,"open",,,,,,20,,,,,,,,,,,,30,15,,,,,,,1,,,,
