site,cushion species,sample,cushion/open,diam1 (cm),diam2 (cm),Androsace chamaejasme,Antennaria lanata,Astragalus alpinum,Carex geyeri,Claytonia megarhriza,Dryas octopetala,Erigeron canus,Erigeron compositus,Festuca idahoensis,Geum rossii,Hulsia algida,Oxytropis campestris,Phacelia sericea,Phlox hoodii,Picea glauca,Poa alpina,Dasiphora fruticosa,Potentilla nivea,Saxifraga bronchialis,Saxifraga lyallii,Saxifraga occidentalis,Saxifraga oppositifolia,Sedum lanceolatum,Sedum rosea,Smelowskia calycia,Solidago multiradiata,Stellaria americana,UNKNOWN,dataset code
"Swiftcurrent Low","Silene_acaulis",12,"cushion",23,17,"",,"",,"","","",,,,"","","","","","",,,"","","","",,"",,,,"",86
"Swiftcurrent Low","Silene_acaulis",12,"open",23,17,"",,"",,"","","",,,,"","","","","","",,,"","","","",,"",,,,"",86
"Swiftcurrent Low","Silene_acaulis",13,"cushion",58,50,"",,"",4,"","","",,,,"","","","","","",2,2,"","","","",1,"",,4,,"",86
"Swiftcurrent Low","Silene_acaulis",13,"open",58,50,"",,"",,"","","",,,,"","1","","","","",,1,"","","","",,"",,,,"",86
"Swiftcurrent Low","Silene_acaulis",14,"cushion",40,39,"",,"",1,"","","",,,,"","1","","","","",,4,"","","","",,"",4,,,"",86
"Swiftcurrent Low","Silene_acaulis",14,"open",40,39,"",,"",,"","","",,,,"","","","","","",1,,"","1","","",,"",1,,,"",86
"Swiftcurrent Low","Silene_acaulis",15,"cushion",53,36,"",,"",10,"","","",,,,"","","","","","",,,"","","","",,"",1,2,,"",86
"Swiftcurrent Low","Silene_acaulis",15,"open",53,36,"",,"",,"","","",,,,"","","","","","",,,"","","","",,"",,,,"",86
"Swiftcurrent Low","Silene_acaulis",16,"cushion",42,25,"",,"",3,"","","",,,,"","7","","","","",1,,"","","","",,"",,7,,"",86
"Swiftcurrent Low","Silene_acaulis",16,"open",42,25,"",,"",,"","","",,3,,"","4","","","","",1,4,"","","","",,"",,5,,"",86
"Swiftcurrent Low","Silene_acaulis",17,"cushion",72,66,"",,"",5,"","4","",,,,"","2","","","","",,4,"","","","",,"",3,3,,"",86
"Swiftcurrent Low","Silene_acaulis",17,"open",72,66,"",,"",,"","","",,,,"","","","","","",,,"","","","",,"",,,,"",86
"Swiftcurrent Low","Silene_acaulis",20,"open",14,12,"",,"",,"","","",,,,"","","","","","",,3,"","","","",,"",,8,,"",86
"Swiftcurrent Low","Silene_acaulis",21,"cushion",15,14,"",,"",2,"","3","",,,,"1","","","","","",,1,"","","","",,"",,5,,"",86
"Swiftcurrent Low","Silene_acaulis",21,"open",15,14,"",,"",,"","","",,,,"","","","","","",,1,"","","","",,"",,3,,"",86
"Swiftcurrent Low","Silene_acaulis",22,"cushion",31,27,"",,"",2,"","1","",,,,"","","","","","",,1,"","","","",1,"",2,11,,"",86
"Swiftcurrent Low","Silene_acaulis",22,"open",31,27,"",,"",,"","","",,2,,"","","","","","",,1,"","","1","",,"",,4,,"",86
"Swiftcurrent Low","Silene_acaulis",23,"cushion",54,35,"",,"",4,"","","",1,4,,"","","","","","",,4,"","","","",1,"",,14,,"",86
"Swiftcurrent Low","Silene_acaulis",23,"open",54,35,"",,"",,"","","",,,,"","","","","","",,2,"","","","",,"",,,,"",86
"Swiftcurrent Low","Silene_acaulis",24,"cushion",40,39,"",,"",,"","","",1,1,,"","","","","","",,,"","","","",,"",,,,"2",86
"Swiftcurrent Low","Silene_acaulis",24,"open",40,39,"",,"",,"","","",,,,"","","","","","",,,"","","","",,"",,,,"",86
"Swiftcurrent Low","Silene_acaulis",25,"cushion",32,26,"",,"",,"","","",,1,,"","","","","","",,1,"","","","",,"",,5,,"",86
"Swiftcurrent Low","Silene_acaulis",25,"open",32,26,"",,"",,"","","",,,,"","","","","","",,,"","","","",,"",,,,"",86
"Swiftcurrent Low","Silene_acaulis",26,"cushion",,,"",,"",,"","","",,,,"","","","","","",,4,"","","","",,"",,1,,"",86
"Swiftcurrent Low","Silene_acaulis",29,"cushion",39,28,"",,"",6,"","","",6,,,"1","","","","","",,,"","","","",,"",,,1,"",86
"Swiftcurrent Low","Silene_acaulis",29,"open",39,28,"",,"",2,"","","",,1,,"","","","","","",,,"","","","",,"",,,1,"",86
"Swiftcurrent Low","Silene_acaulis",30,"cushion",37,25,"",,"",3,"","","",1,,,"","","","","","",,,"","","","",,"",,,,"",86
"Swiftcurrent Low","Silene_acaulis",30,"open",37,25,"",,"",,"","","",,,,"","","","","","",,,"","","","",,"",,,,"",86
"Swiftcurrent Low","Silene_acaulis",31,"cushion",52,24,"",,"",3,"","","",3,,,"","","","","","",,2,"","","","",,"",,1,5,"",86
"Swiftcurrent Low","Silene_acaulis",31,"open",52,24,"",,"",,"","","",,,,"","","","","","",,,"","","","",,"",,,,"",86
"Swiftcurrent Low","Silene_acaulis",32,"cushion",47,54,"",,"",2,"","","",2,1,,"","3","","","","",1,5,"","","","",1,"",,,,"",86
"Swiftcurrent Low","Silene_acaulis",32,"open",47,54,"",,"",,"","","",,,,"","","","","","",,,"","","","",,"",,,,"",86
"Swiftcurrent Low","Silene_acaulis",33,"cushion",45,46,"",,"",11,"1","","",12,6,,"","","","","","",,,"","","","",,"",,,,"",86
"Swiftcurrent Low","Silene_acaulis",33,"open",45,46,"",,"",,"","","",,,,"","","","","","",,,"","","","",,"",,,,"",86
"Swiftcurrent Low","Silene_acaulis",34,"cushion",45,19,"",,"",,"1","","",5,4,,"","","","","","",,,"","","","",,"",,,,"",86
"Swiftcurrent Low","Silene_acaulis",34,"open",45,19,"",,"",,"","1","",,,,"","","","","","",,,"","","","",,"",,,,"",86
"Swiftcurrent Low","Silene_acaulis",37,"open",45,36,"",,"",11,"","","",,,,"","","","","","",,,"","","","",,"",,,,"",86
"Swiftcurrent Low","Silene_acaulis",38,"cushion",40,43,"",,"",7,"","","2",,,,"1","15","","","","",,3,"","","","",,"",,8,,"",86
"Swiftcurrent Low","Silene_acaulis",38,"open",40,43,"",,"",,"","","",,,,"","","","","","",,2,"","","","",,"",,,,"",86
"Swiftcurrent Low","Silene_acaulis",39,"cushion",38,33,"",4,"",1,"","1","",2,,,"","","","","","",,1,"","","","",,"",,,,"",86
"Swiftcurrent Low","Silene_acaulis",39,"open",38,33,"",,"",,"","","",,,,"","","","","","",,,"","","","",,"",,,1,"",86
"Swiftcurrent Low","Silene_acaulis",40,"cushion",51,32,"",,"",5,"","","",12,1,,"","","","","","",,4,"","","","",3,"",,3,1,"",86
"Swiftcurrent Low","Silene_acaulis",40,"open",51,32,"",,"",,"","","",,,,"","","","","","",,,"","","","",,"",,,,"",86
"Swiftcurrent Low","Silene_acaulis",41,"open",26,22,"",,"",,"","","",,,,"","","","","","",,,"","","","",,"",,,,"",86
"Swiftcurrent Low","Silene_acaulis",42,"cushion",47,43,"",,"",16,"","","",6,,,"","10","","","","",,2,"","","","",1,"",,,,"",86
"Swiftcurrent Low","Silene_acaulis",43,"cushion",41,35,"",1,"",3,"","","",4,,,"","4","","","","",,,"","","","",,"",,2,,"",86
"Swiftcurrent Low","Silene_acaulis",46,"cushion",16,18,"",1,"",1,"","","",,,,"","","","","","",,,"","","","",,"",,,,"",86
"Swiftcurrent Low","Silene_acaulis",46,"open",16,18,"",,"",,"","","",,,,"","","","","","",,,"","","","",,"",,,,"",86
"Swiftcurrent Low","Silene_acaulis",47,"cushion",20,16,"",,"",,"","","",1,,,"","","","","","",,1,"","","","",,"",,,,"",86
"Swiftcurrent Low","Silene_acaulis",47,"open",20,16,"",,"",,"","","",,,,"","","","","","",,,"","","","",,"",,,,"",86
"Swiftcurrent Low","Silene_acaulis",48,"cushion",33,28,"",,"",7,"","","",2,,,"","","","","","",,,"","1","","",,"",,,,"",86
"Swiftcurrent Low","Silene_acaulis",48,"open",33,28,"",,"",,"","","",,,,"","","","","","",,,"","","","",,"",,,,"",86
"Swiftcurrent Low","Silene_acaulis",49,"cushion",26,13,"",,"",,"","","",2,,,"","","","","","",,,"","","","",,"",,,,"",86
"Swiftcurrent Low","Silene_acaulis",49,"open",26,13,"",,"",,"","1","",,,,"","","","","","",,,"","","","",,"",,,,"",86
"Swiftcurrent Low","Silene_acaulis",50,"cushion",28,15,"",1,"",,"","","",,,3,"","","","","","",,,"","","","",,"",,,,"",86
"Swiftcurrent Low","Silene_acaulis",50,"open",28,15,"",1,"",,"","","",,,,"","","","","","",,,"","","","",,"",,,,"",86
"Swiftcurrent Low","Silene_acaulis",51,"cushion",36,39,"",,"",2,"","","",1,,,"","","","","","",,1,"","","","",,"",,,,"",86
"Swiftcurrent Low","Silene_acaulis",51,"open",36,39,"",,"",1,"","","",1,,,"","","1","","","",,,"","","","",,"",,,,"",86
"Swiftcurrent Low","Silene_acaulis",54,"open",33,28,"",,"",,"","","",,,,"","","","","","",,,"","","","",,"",,,,"",86
"Swiftcurrent Low","Silene_acaulis",55,"cushion",43,38,"",,"",1,"","","",,,2,"","","2","","","1",,2,"","","","",1,"",3,,,"",86
"Swiftcurrent Low","Silene_acaulis",55,"open",43,38,"",1,"",,"","","",,,,"","","","","","",,,"","","","",,"",,,,"",86
"Swiftcurrent Low","Silene_acaulis",56,"cushion",14,19,"",,"",,"","","",,,1,"","","","","","",,1,"","","","",,"",,,,"",86
"Swiftcurrent Low","Silene_acaulis",56,"open",14,19,"",,"",,"","","",,,,"","","","","","",,,"","","","",,"",,,,"",86
"Swiftcurrent Low","Silene_acaulis",57,"cushion",13,14,"",,"",,"","","",,1,,"","","","","","1",,,"","","","",,"",,,2,"",86
"Swiftcurrent Low","Silene_acaulis",57,"open",13,14,"",,"",,"","","",,,,"","","1","","","",,,"","","","",,"",,,,"",86
"Swiftcurrent Low","Silene_acaulis",58,"cushion",11,11,"",,"",,"","","",,,3,"","","","","","",,,"","","","",,"",,,,"",86
"Swiftcurrent Low","Silene_acaulis",58,"open",11,11,"",,"",1,"","","",,,,"","","","","","",,,"","","","",,"",,,,"",86
"Swiftcurrent Low","Silene_acaulis",59,"cushion",17,9,"",,"",,"","","",,,6,"","","2","","","",,1,"","","","",,"",,1,,"",86
"Swiftcurrent Low","Silene_acaulis",59,"open",17,9,"",,"",,"","","",,,1,"","","","","","",,,"","","","",,"",,,,"",86
"Swiftcurrent Low","Silene_acaulis",60,"cushion",17,14,"",,"",,"","","",,,,"","","","","","",,,"","","","",,"",,,,"",86
"Swiftcurrent Low","Silene_acaulis",63,"cushion",13,8,"",,"",,"","","",,1,,"","","","","","",,,"","","","",,"",,,,"",86
"Swiftcurrent Low","Silene_acaulis",63,"open",13,8,"",,"",,"","","",,,,"","","","","","",,1,"","","","",,"",,,,"",86
"Swiftcurrent Low","Silene_acaulis",64,"cushion",11,12,"",,"",,"","","",1,,,"","","","","","",,,"","","","",,"",,,,"",86
"Swiftcurrent Low","Silene_acaulis",64,"open",11,12,"",,"",,"","","",,,1,"","","","","","",,,"","","","",,"",,,,"",86
"Swiftcurrent Low","Silene_acaulis",65,"cushion",21,20,"",,"",,"","","",,,,"","","","","","",,,"","","","",,"",,,,"",86
"Swiftcurrent Low","Silene_acaulis",65,"open",21,20,"",,"",,"","","",,,,"","","","","","",,,"","","","",,"",,,,"",86
"Swiftcurrent Low","Silene_acaulis",66,"cushion",35,28,"",,"",2,"","","",,,,"","1","","","","1",,,"","","","",,"",,,,"",86
"Swiftcurrent Low","Silene_acaulis",66,"open",35,28,"",,"",,"","","",,,,"","","","","","",,,"","","","",,"",,,,"",86
"Swiftcurrent Low","Silene_acaulis",67,"cushion",14,14,"",,"",,"","","",,,,"","","","","","",,,"","","","",,"",,1,,"",86
"Swiftcurrent Low","Silene_acaulis",67,"open",14,14,"",,"",,"","","",,,,"","","","","","",,,"","","","",,"",,,,"",86
"Swiftcurrent Low","Silene_acaulis",68,"cushion",7,5,"3",1,"",1,"","","",,,,"","","","","","",,1,"","","","",,"",,1,,"",86
"Swiftcurrent Low","Silene_acaulis",68,"open",7,5,"",,"",,"","","",,,,"","","","1","","",,,"","","","",,"",,,,"",86
"Swiftcurrent Low","Silene_acaulis",71,"open",21,13,"",,"",,"","","",,,,"","","","","","",,,"","","","",,"",1,,,"",86
"Swiftcurrent Low","Silene_acaulis",72,"cushion",24,17,"",,"",3,"","","",1,1,,"","","","","","",,,"","","","",,"",1,,,"",86
"Swiftcurrent Low","Silene_acaulis",72,"open",24,17,"",,"",1,"","","",,,,"","","","","","",,,"","","","",,"",2,,,"",86
"Swiftcurrent Low","Silene_acaulis",73,"cushion",32,34,"",1,"",,"","1","",1,,,"","","","","","",,1,"","","","",,"",14,1,,"",86
"Swiftcurrent Low","Silene_acaulis",73,"open",32,34,"",,"",1,"","","",,,,"","","","","","",,,"","","","1",,"",,,1,"",86
"Swiftcurrent Low","Silene_acaulis",74,"cushion",15,16,"",,"",3,"","","",1,2,,"","","","","","",,,"","","","",1,"",1,,,"",86
"Swiftcurrent Low","Silene_acaulis",74,"open",15,16,"",,"",,"","","",,,,"","","","","","",,,"","","","",,"",,,,"",86
"Swiftcurrent Low","Silene_acaulis",75,"cushion",23,12,"",,"",3,"","","",1,,,"","","","","","",,,"","","","",,"",1,,,"",86
"Swiftcurrent Low","Silene_acaulis",75,"open",23,12,"",,"",,"","","",,,,"","","","","","",,,"","","","1",,"",,,,"",86
"Swiftcurrent Low","Silene_acaulis",76,"cushion",41,43,"",,"",3,"","","",,1,14,"","","","","","",,2,"","","1","",,"",2,,1,"",86
"Swiftcurrent Low","Silene_acaulis",76,"open",41,43,"",,"",,"","","",,,,"","","","","","",,,"","","","",,"",1,,,"",86
"Swiftcurrent Low","Silene_acaulis",36,"open",19,16,"",1,"1",,"","","",,,,"","","","","","",,,"","","","",,"",,,,"",86
"Swiftcurrent Low","Silene_acaulis",41,"cushion",26,22,"",,"1",6,"","","",,2,,"","","","","1","",,,"","","","",1,"",,,,"",86
"Swiftcurrent Low","Silene_acaulis",42,"open",47,43,"",1,"1",,"","","",,,,"","","","","","",,,"","","","",,"",,,,"",86
"Swiftcurrent Low","Silene_acaulis",77,"cushion",29,22,"",,"1",,"","","",,1,,"","","","","","",,1,"","","","",,"",,2,,"",86
