Dataset code,site name,cushion species,sample,cushion/open,diam 1 (cm),diam 2 (cm),Saussurea gnaphalodes (Royle) Sch-Bip,Barbarea orthoceras Ledeb,Aster alpinus L,Elymus nutans Griseb,Leontopodium nanum(HookfetThoms)HandMazz,Potentilla sericea L,Poa pratensis L,Capsella Bursa-pastoris (L) Medic,Androsace tapete Maxim,Pedicularis pilostachya Maxim,Astragalus suleatus L,Ephedra gerardiana Wall,Comastoma pulmonarium(Turez) Toyohuni,Carex Stenophylloides V Krecz,Festuca ovina L
84,"Qilian Shan","Rhodiola juparensis (Frod.) S.H.Fu ",43,"open",33,37,57,11,,,,,2,,2,,,,,,
84,"Qilian Shan","Rhodiola juparensis (Frod.) S.H.Fu ",44,"cushion",29,27,29,2,,,,,,,1,,,,,,
84,"Qilian Shan","Rhodiola juparensis (Frod.) S.H.Fu ",44,"open",29,27,96,8,,,,,1,7,2,,,,,,
84,"Qilian Shan","Rhodiola juparensis (Frod.) S.H.Fu ",45,"cushion",22,24,9,6,,,,,,,2,,,,,,
84,"Qilian Shan","Rhodiola juparensis (Frod.) S.H.Fu ",45,"open",22,24,14,11,,,,,,,,,,,,,
84,"Qilian Shan","Rhodiola juparensis (Frod.) S.H.Fu ",46,"cushion",24,25,22,5,,5,,,,,,,,2,,,
84,"Qilian Shan","Rhodiola juparensis (Frod.) S.H.Fu ",46,"open",24,25,31,6,,,,,,,3,,,,,,
84,"Qilian Shan","Rhodiola juparensis (Frod.) S.H.Fu ",47,"cushion",38,20,20,11,,,,2,,,,,,1,,,
84,"Qilian Shan","Rhodiola juparensis (Frod.) S.H.Fu ",47,"open",38,20,6,6,10,,,,,,2,,,,,,
84,"Qilian Shan","Rhodiola juparensis (Frod.) S.H.Fu ",48,"cushion",22,26,20,11,,,,2,,,,,,1,,,
84,"Qilian Shan","Rhodiola juparensis (Frod.) S.H.Fu ",48,"open",22,26,6,6,10,,,,,,2,,,,,,
84,"Qilian Shan","Rhodiola juparensis (Frod.) S.H.Fu ",49,"cushion",32,38,,15,,7,,5,2,,,,,,,,
84,"Qilian Shan","Rhodiola juparensis (Frod.) S.H.Fu ",49,"open",32,38,3,13,,,,,,,2,,,,,,
84,"Qilian Shan","Rhodiola juparensis (Frod.) S.H.Fu ",50,"cushion",38,49,20,10,,,,4,3,,,,1,1,,,
84,"Qilian Shan","Rhodiola juparensis (Frod.) S.H.Fu ",50,"open",38,49,40,35,26,,,,,2,1,,,1,,,
84,"Qilian Shan","Rhodiola juparensis (Frod.) S.H.Fu ",51,"cushion",28,21,7,7,1,3,,5,,,1,,,,,,
84,"Qilian Shan","Rhodiola juparensis (Frod.) S.H.Fu ",51,"open",28,21,18,10,,,1,,,,,,,,,,
84,"Qilian Shan","Rhodiola juparensis (Frod.) S.H.Fu ",52,"cushion",31,34,41,3,3,,,,2,,1,,,1,,,
84,"Qilian Shan","Rhodiola juparensis (Frod.) S.H.Fu ",52,"open",31,34,7,17,11,,,,1,,,,,,,,
84,"Qilian Shan","Rhodiola juparensis (Frod.) S.H.Fu ",53,"cushion",27,32,37,1,3,,,,,,,,,,,,
84,"Qilian Shan","Rhodiola juparensis (Frod.) S.H.Fu ",53,"open",27,32,13,2,,,,,1,,1,,,,,,
84,"Qilian Shan","Rhodiola juparensis (Frod.) S.H.Fu ",54,"cushion",49,51,36,10,38,,,,,4,,,,,,,
84,"Qilian Shan","Rhodiola juparensis (Frod.) S.H.Fu ",54,"open",49,51,,27,122,,2,,2,3,3,,,,,,
84,"Qilian Shan","Rhodiola juparensis (Frod.) S.H.Fu ",55,"cushion",29,27,25,,1,,9,,,,,3,,,1,,
84,"Qilian Shan","Rhodiola juparensis (Frod.) S.H.Fu ",55,"open",29,27,85,10,,,,,,,1,,,,,,
84,"Qilian Shan","Rhodiola juparensis (Frod.) S.H.Fu ",56,"cushion",36,35,60,5,,,10,1,3,,,,,4,,,
84,"Qilian Shan","Rhodiola juparensis (Frod.) S.H.Fu ",56,"open",36,35,75,4,,,5,,,,3,,,1,,,
84,"Qilian Shan","Rhodiola juparensis (Frod.) S.H.Fu ",57,"cushion",34,36,46,7,,,12,4,,,1,,,3,,,
84,"Qilian Shan","Rhodiola juparensis (Frod.) S.H.Fu ",57,"open",34,36,66,15,,,,,,,2,,,1,,,
84,"Qilian Shan","Rhodiola juparensis (Frod.) S.H.Fu ",58,"cushion",26,26,35,,,2,,,,,,,,,,,
84,"Qilian Shan","Rhodiola juparensis (Frod.) S.H.Fu ",58,"open",26,26,25,2,,,,,1,,2,,,,,,
84,"Qilian Shan","Rhodiola juparensis (Frod.) S.H.Fu ",59,"cushion",36,21,36,7,,,,,,,3,,1,1,,,
84,"Qilian Shan","Rhodiola juparensis (Frod.) S.H.Fu ",59,"open",36,21,14,7,,,2,,,,3,,1,,,,
84,"Qilian Shan","Rhodiola juparensis (Frod.) S.H.Fu ",60,"cushion",24,27,18,7,,,,1,1,,,,2,,1,,
84,"Qilian Shan","Rhodiola juparensis (Frod.) S.H.Fu ",60,"open",24,27,26,3,,,,,,,,,,,,,
84,"Qilian Shan","Rhodiola juparensis (Frod.) S.H.Fu ",61,"cushion",26,28,25,5,,1,,,,,1,,,2,,,
84,"Qilian Shan","Rhodiola juparensis (Frod.) S.H.Fu ",61,"open",26,28,14,1,,,,,,,,,,,,,
84,"Qilian Shan","Rhodiola juparensis (Frod.) S.H.Fu ",62,"cushion",27,30,11,6,2,,,,4,,,1,,1,,,
84,"Qilian Shan","Rhodiola juparensis (Frod.) S.H.Fu ",62,"open",27,30,23,9,,,,,,,,,,,,,
84,"Qilian Shan","Rhodiola juparensis (Frod.) S.H.Fu ",63,"cushion",24,26,4,7,,,37,,,,,,2,1,,,
84,"Qilian Shan","Rhodiola juparensis (Frod.) S.H.Fu ",63,"open",24,26,3,2,,,,,,,2,,,,,,
84,"Qilian Shan","Rhodiola juparensis (Frod.) S.H.Fu ",64,"cushion",32,20,8,12,,,,,1,1,,,,1,,,
84,"Qilian Shan","Rhodiola juparensis (Frod.) S.H.Fu ",64,"open",32,20,8,7,,,1,,,,,,,,1,,
84,"Qilian Shan","Rhodiola juparensis (Frod.) S.H.Fu ",65,"cushion",29,34,12,13,,3,,,3,,,,,1,,,
84,"Qilian Shan","Rhodiola juparensis (Frod.) S.H.Fu ",65,"open",29,34,12,5,,,,,1,1,,,,,,,
84,"Qilian Shan","Rhodiola juparensis (Frod.) S.H.Fu ",66,"cushion",29,28,12,1,,,,1,1,2,,,,,,,
84,"Qilian Shan","Rhodiola juparensis (Frod.) S.H.Fu ",66,"open",29,28,9,1,1,,,,,,,,,,,,
84,"Qilian Shan","Rhodiola juparensis (Frod.) S.H.Fu ",67,"cushion",29,25,19,3,,,8,,1,,,,1,1,,,
84,"Qilian Shan","Rhodiola juparensis (Frod.) S.H.Fu ",67,"open",29,25,18,,2,,,,,,,,,,,,
84,"Qilian Shan","Rhodiola juparensis (Frod.) S.H.Fu ",68,"cushion",29,22,5,4,,,,,5,1,,,,,,,
84,"Qilian Shan","Rhodiola juparensis (Frod.) S.H.Fu ",68,"open",29,22,31,1,,,,,,2,,,,,,,
84,"Qilian Shan","Rhodiola juparensis (Frod.) S.H.Fu ",69,"cushion",21,25,19,4,2,2,9,,4,,1,,,3,,17,
84,"Qilian Shan","Rhodiola juparensis (Frod.) S.H.Fu ",69,"open",21,25,12,,,,1,,2,,3,,,,1,,
84,"Qilian Shan","Rhodiola juparensis (Frod.) S.H.Fu ",70,"cushion",44,19,26,2,,,,5,2,,2,,,4,,,2
84,"Qilian Shan","Rhodiola juparensis (Frod.) S.H.Fu ",70,"open",44,19,15,1,,,1,,,1,2,,,,,,
