"site","cushion","code","sample","cushion.open","diam1","diam2","area","Agrostis","Apiacees","Arabis","Carex","Cerastium","Crucif Jaune","Elymus","Grass cap","Grosse Rosette","Koel","Mertensia","Rubiacee","Saxifraga","Senecio","Silene","Solidago","Thlaspi"
"San Francisco Mt.","Geum_rossii",38,31,"open",21,20,,,,,,,,,,,,,2,,8,,,
"San Francisco Mt.","Geum_rossii",38,32,"open",23,19,,,,,,,,,,,,,,,,,,
"San Francisco Mt.","Geum_rossii",38,41,"open",33,18,,,,,,,,,,,,,,,,,,
"San Francisco Mt.","Geum_rossii",38,42,"open",26,23,,,,,,,,,,,,,1,,,,,
"San Francisco Mt.","Geum_rossii",38,43,"open",40,15,,,,,,,,1,,,,,,,5,,,
"San Francisco Mt.","Geum_rossii",38,44,"open",40,15,,,,,,,,,,,,,,,,,,
"San Francisco Mt.","Geum_rossii",38,45,"open",30,20,,,,,,,,,,,,,,,,,,
"San Francisco Mt.","Geum_rossii",38,46,"open",28,23,,,,,,,,,,,,,,,4,,,
"San Francisco Mt.","Geum_rossii",38,47,"open",26,25,,,,,,,,3,,,,,,,,,,
"San Francisco Mt.","Geum_rossii",38,48,"open",30,22,,,,,,,,,,,,,,,,,,
"San Francisco Mt.","Geum_rossii",38,57,"open",33,30,,,,,,,,,,,,,,,4,,,
"San Francisco Mt.","Geum_rossii",38,58,"open",38,27,,,,,,,,,,,,,,,,,,
"San Francisco Mt.","Geum_rossii",38,59,"open",42,25,,,,,,,,,,,,,,,,,,
"San Francisco Mt.","Geum_rossii",38,60,"open",44,24,,,,,,,,,,,,,,,,,,
"San Francisco Mt.","Geum_rossii",38,61,"open",50,27,,,,,,,,1,,,,,,,15,,,
"San Francisco Mt.","Geum_rossii",38,62,"open",50,28,,,,,,,,,,,,,,,3,,,
"San Francisco Mt.","Geum_rossii",38,63,"open",46,32,,,,,,,,,,,,,,,,,,
"San Francisco Mt.","Geum_rossii",38,64,"open",50,30,,1,,,,,,1,,,,,,,,,,
"San Francisco Mt.","Geum_rossii",38,73,"open",55,38,,,,,,,,,,,,,,,,,,
"San Francisco Mt.","Geum_rossii",38,74,"open",70,30,,,,,,,,,,,,,,,8,,,
"San Francisco Mt.","Geum_rossii",38,75,"open",54,40,,,,,,,,,,,,,,,6,,,
"San Francisco Mt.","Geum_rossii",38,76,"open",58,39,,,,,,,,,,,,,,,3,,,
"San Francisco Mt.","Geum_rossii",38,77,"open",60,45,,,,,,,,,,,,,,,,,,
"San Francisco Mt.","Geum_rossii",38,78,"open",72,42,,,,,,,,,,,,,,,1,,,
"San Francisco Mt.","Geum_rossii",38,79,"open",72,65,,,,,,,,,,,,,,,,,,
"San Francisco Mt.","Geum_rossii",38,80,"open",110,45,,,,,,,,,,,,,,,,,,
