"site","cushion species","sample","cushion/open","diam1 (cm)","diam2 (cm)","Apiacees","Asperula","Astragalus blanc","Bromus","Caryophyllacees","Centaurea","Cerastium","Chardon dor","Chardon gris","Crocus","Festuca","Galium","Marrubium","Prunus","Renoncule glauque","Scilla","Scrophulariacees","Senecio","Taraxacum","Veronica","dataset code"
"Lebanon","Onobrychis_cornuta",37,"open",53,50,8,,,,,,,,3,,,,,,1,2,,,,,44
"Lebanon","Onobrychis_cornuta",38,"open",60,45,2,,,20,,,,,1,,,,,,,,,,,,44
"Lebanon","Onobrychis_cornuta",39,"open",65,45,10,,,,,,,,2,,,,,,,,,,,,44
"Lebanon","Onobrychis_cornuta",40,"open",65,50,2,10,,,,,,,,1,,,,,,,,,,,44
"Lebanon","Onobrychis_cornuta",41,"open",65,55,5,,,,,,,,1,1,,,,,,,,,,,44
"Lebanon","Onobrychis_cornuta",42,"open",75,50,8,,,,,,,,8,,,,,,,,,,,,44
"Lebanon","Onobrychis_cornuta",43,"open",95,40,15,,,,,,,1,15,,20,,5,,,,,,,,44
"Lebanon","Onobrychis_cornuta",44,"open",65,60,10,,1,,,2,,,2,,,,,,,,,,,,44
"Lebanon","Onobrychis_cornuta",45,"open",65,60,5,1,,10,,1,,,,,,,,,,,,,,,44
"Lebanon","Onobrychis_cornuta",46,"open",85,50,10,,,8,,,,,1,,,,,,,,,,,,44
"Lebanon","Onobrychis_cornuta",47,"open",95,45,20,,,5,,,,,3,,,,,,,,,,,,44
"Lebanon","Onobrychis_cornuta",48,"open",75,60,18,,,20,,2,,,1,,,,,,,,,,,,44
"Lebanon","Onobrychis_cornuta",49,"open",75,60,10,1,,,,,,,,2,,,,,,,,,,,44
"Lebanon","Onobrychis_cornuta",50,"open",75,60,1,,,15,,,,,9,,,,,,,1,,,,,44
"Lebanon","Onobrychis_cornuta",51,"open",70,65,10,,,,,1,,,,,,,,,,,,,,,44
"Lebanon","Onobrychis_cornuta",52,"open",75,65,12,,,30,,,,,,,3,,,,,,,,,,44
"Lebanon","Onobrychis_cornuta",53,"open",80,65,1,,,,,1,,,1,,,,,,,,,,,,44
"Lebanon","Onobrychis_cornuta",54,"open",90,65,10,5,,5,,6,,,1,,5,,,,,2,,,,,44
"Lebanon","Onobrychis_cornuta",55,"open",85,70,15,,,15,,1,,,6,,,,,,,,,,,,44
"Lebanon","Onobrychis_cornuta",56,"open",80,75,8,1,,,,,,,5,,,,,,,3,,,,,44
"Lebanon","Onobrychis_cornuta",57,"open",82,75,10,1,,1,,,,,,,,,,,,,,,,,44
