Dataset code,site name,cushion species,sample,cushion/open,diam 1 (cm),diam 2 (cm),Alyssum nevadense,Anthyllis vulneraria ssp pseudoarundana,Avenella flexuosa ssp iberica,Cytisus galianoi,Erigeron frigidus,Eryngium glaciale,Galium pyrenaicum,Hormathophylla spinosa,Jasione amethystina,Leontodon boryi,Leucanthemopsis pectinata,Lotus corniculatus ssp glacialis,Nevadensia purpurea,Ranunculus demissus,Sideritis glacialis,Thymus serpylloides ssp serpylloides,Vaccinium uliginosum var nana,Viola crassiuscula
78,"Sierra Nevada2","Arenaria_tetraquetra_amabilis",24,"open",22,19,1,,,,,,2,,,,,,,,,1,,
78,"Sierra Nevada2","Arenaria_tetraquetra_amabilis",25,"cushion",21,18,,,,,,,7,,,,,,3,,,2,,
78,"Sierra Nevada2","Arenaria_tetraquetra_amabilis",25,"open",21,18,,,,,,,,,2,,,,2,,,1,,
78,"Sierra Nevada2","Arenaria_tetraquetra_amabilis",26,"cushion",18,15,,,,,,,1,,4,,,,4,,1,,,
78,"Sierra Nevada2","Arenaria_tetraquetra_amabilis",26,"open",18,15,,,,,,,2,,,,,,3,,,,,
78,"Sierra Nevada2","Arenaria_tetraquetra_amabilis",27,"cushion",22,21,,,,,,,13,,3,,,,6,,,,,
78,"Sierra Nevada2","Arenaria_tetraquetra_amabilis",27,"open",22,21,,,,,,,18,,1,,,,1,,,,,
78,"Sierra Nevada2","Arenaria_tetraquetra_amabilis",28,"cushion",19,22,,,,,,,3,,5,,,,7,,,,,
78,"Sierra Nevada2","Arenaria_tetraquetra_amabilis",28,"open",19,22,,,,,,,4,,,,,,,,,,,
78,"Sierra Nevada2","Arenaria_tetraquetra_amabilis",29,"cushion",23,21,,,,,,,11,,,,,,9,,,,,
78,"Sierra Nevada2","Arenaria_tetraquetra_amabilis",29,"open",23,21,,,,,,,1,,,,,,5,,,,,
78,"Sierra Nevada2","Arenaria_tetraquetra_amabilis",30,"cushion",21,11,,,,,,,,,3,,,,8,,,,,
78,"Sierra Nevada2","Arenaria_tetraquetra_amabilis",30,"open",21,11,,,,,,,,,,,,,,,,,,
78,"Sierra Nevada2","Arenaria_tetraquetra_amabilis",31,"cushion",15,11,,,,,,,,,,,,,6,,,,,
78,"Sierra Nevada2","Arenaria_tetraquetra_amabilis",31,"open",15,11,,,,,,,,,,,,,5,,,,,
78,"Sierra Nevada2","Arenaria_tetraquetra_amabilis",32,"cushion",22,13,,,,,,2,14,2,4,,,,5,,,,,
78,"Sierra Nevada2","Arenaria_tetraquetra_amabilis",32,"open",22,13,,,,,,,4,,,,,,3,,,,,
78,"Sierra Nevada2","Arenaria_tetraquetra_amabilis",33,"cushion",14,13,,,,,,,,,,,,,8,,,,,
78,"Sierra Nevada2","Arenaria_tetraquetra_amabilis",33,"open",14,13,,,,,,,,,1,,,,4,,,,,
78,"Sierra Nevada2","Arenaria_tetraquetra_amabilis",34,"cushion",15,18,,,,,,,,4,,,,,3,1,,,,
78,"Sierra Nevada2","Arenaria_tetraquetra_amabilis",34,"open",15,18,,,,,,,,4,,,,,1,1,,,,
78,"Sierra Nevada2","Arenaria_tetraquetra_amabilis",35,"cushion",32,26,,,,,,,18,,4,,,,11,,,,,
78,"Sierra Nevada2","Arenaria_tetraquetra_amabilis",35,"open",32,26,,,,,,,2,,,,,,6,,,,,
78,"Sierra Nevada2","Arenaria_tetraquetra_amabilis",36,"cushion",26,30,,,,,,,9,,2,,,,15,,,,,
78,"Sierra Nevada2","Arenaria_tetraquetra_amabilis",36,"open",26,30,,,,,,,,,,,,,5,,,,,
78,"Sierra Nevada2","Arenaria_tetraquetra_amabilis",37,"cushion",26,28,,,,,,,10,,4,,,,6,,,,,
78,"Sierra Nevada2","Arenaria_tetraquetra_amabilis",37,"open",26,28,,,,,,,5,,,,,,4,,,,,
78,"Sierra Nevada2","Arenaria_tetraquetra_amabilis",38,"cushion",29,30,,,,,,,10,,2,,,,10,,,,,
78,"Sierra Nevada2","Arenaria_tetraquetra_amabilis",38,"open",29,30,,,,,,,16,,,,,,5,,,,,
78,"Sierra Nevada2","Arenaria_tetraquetra_amabilis",39,"cushion",21,18,,,,,,,,,,,,,3,,,,,
78,"Sierra Nevada2","Arenaria_tetraquetra_amabilis",39,"open",21,18,,,,,,,,,,,,,7,,,,,
78,"Sierra Nevada2","Arenaria_tetraquetra_amabilis",40,"cushion",20,17,,,,,,,,,,,,,2,,,,,
78,"Sierra Nevada2","Arenaria_tetraquetra_amabilis",40,"open",20,17,,,,,,,,,,,,,5,,,,,
78,"Sierra Nevada2","Arenaria_tetraquetra_amabilis",41,"cushion",23,18,,,,,,,,1,1,,,,5,,,,,
78,"Sierra Nevada2","Arenaria_tetraquetra_amabilis",41,"open",23,18,,,,,,,,,,,,,4,,,,,
78,"Sierra Nevada2","Arenaria_tetraquetra_amabilis",42,"cushion",33,22,,,,,,,3,1,5,,,,11,,,3,,
78,"Sierra Nevada2","Arenaria_tetraquetra_amabilis",42,"open",33,22,,,,,,,1,1,,,,,6,,,1,,
78,"Sierra Nevada2","Arenaria_tetraquetra_amabilis",43,"cushion",20,16,,,,,,,,,,,,,,,,,,
78,"Sierra Nevada2","Arenaria_tetraquetra_amabilis",43,"open",20,16,,,,,,,,,,,,,,,,1,,
78,"Sierra Nevada2","Arenaria_tetraquetra_amabilis",44,"cushion",33,23,,,,,,,,,8,,,,1,,,,,
78,"Sierra Nevada2","Arenaria_tetraquetra_amabilis",44,"open",33,23,,,,,,,,,,,,,,,,,,
78,"Sierra Nevada2","Arenaria_tetraquetra_amabilis",45,"cushion",19,16,,,,,,,,2,,,,7,,,,1,,
78,"Sierra Nevada2","Arenaria_tetraquetra_amabilis",45,"open",19,16,,,,,,,,,,,,2,,,,,,
78,"Sierra Nevada2","Arenaria_tetraquetra_amabilis",46,"cushion",27,11,,,,,,,,1,6,,,17,,,,,,
78,"Sierra Nevada2","Arenaria_tetraquetra_amabilis",46,"open",27,11,,,,,,,,,,,,14,,,,,,
78,"Sierra Nevada2","Arenaria_tetraquetra_amabilis",47,"cushion",16,16,,,,,,,8,1,4,,,,2,,,,,
78,"Sierra Nevada2","Arenaria_tetraquetra_amabilis",47,"open",16,16,,,,,,,,3,1,,,,2,,,,,
78,"Sierra Nevada2","Arenaria_tetraquetra_amabilis",48,"cushion",19,10,,,,,,,,,,,,,1,,,,,
78,"Sierra Nevada2","Arenaria_tetraquetra_amabilis",48,"open",19,10,,,,,,,,,,,,,1,,,,,
78,"Sierra Nevada2","Arenaria_tetraquetra_amabilis",49,"cushion",34,30,,,,,,,32,,7,,,,1,,,,,
78,"Sierra Nevada2","Arenaria_tetraquetra_amabilis",49,"open",34,30,,,,,,,,,,,,,,,,,,
78,"Sierra Nevada2","Arenaria_tetraquetra_amabilis",50,"cushion",16,15,,,,,,,,,,,,,6,,,4,,
78,"Sierra Nevada2","Arenaria_tetraquetra_amabilis",50,"open",16,15,,,,,,,,1,,,,,3,,,,,
78,"Sierra Nevada2","Arenaria_tetraquetra_amabilis",51,"cushion",16,13,,,,,,,11,1,,,,,4,,,,,
78,"Sierra Nevada2","Arenaria_tetraquetra_amabilis",51,"open",16,13,,,,,,,,1,1,,,,,,,,,
78,"Sierra Nevada2","Arenaria_tetraquetra_amabilis",52,"cushion",49,21,,,,,,,,3,3,,,,4,,,,13,
78,"Sierra Nevada2","Arenaria_tetraquetra_amabilis",52,"open",49,21,,,,,,,2,,4,,,,3,,,,,
78,"Sierra Nevada2","Arenaria_tetraquetra_amabilis",53,"cushion",14,14,,,,,,,8,,,,,,2,,,,,
78,"Sierra Nevada2","Arenaria_tetraquetra_amabilis",53,"open",14,14,,,,,,,1,,,,,,10,,,,,
78,"Sierra Nevada2","Arenaria_tetraquetra_amabilis",54,"cushion",21,19,,,,,,,7,,5,,,,14,,,,,3
78,"Sierra Nevada2","Arenaria_tetraquetra_amabilis",54,"open",21,19,,,,,,,,,,,,,5,,,,,
78,"Sierra Nevada2","Arenaria_tetraquetra_amabilis",55,"cushion",43,13,,,,,,,,,11,,,,20,,,,,
78,"Sierra Nevada2","Arenaria_tetraquetra_amabilis",55,"open",43,13,,,,1,,,,,,,,,13,,,,,
78,"Sierra Nevada2","Arenaria_tetraquetra_amabilis",56,"cushion",29,12,,,,,,,16,,5,,,,1,,,,,
78,"Sierra Nevada2","Arenaria_tetraquetra_amabilis",56,"open",29,12,,,,,,,15,,,,,,3,,,,,
78,"Sierra Nevada2","Arenaria_tetraquetra_amabilis",57,"cushion",18,19,,,,,,,3,1,5,,,,4,,,,,
78,"Sierra Nevada2","Arenaria_tetraquetra_amabilis",57,"open",18,19,1,,,,,,,,1,,,,,,,,,
78,"Sierra Nevada2","Arenaria_tetraquetra_amabilis",58,"cushion",16,9,,,,,,,1,,1,,,,3,,,,,
78,"Sierra Nevada2","Arenaria_tetraquetra_amabilis",58,"open",16,9,,,,,,,1,,,,,,3,,,,,
78,"Sierra Nevada2","Arenaria_tetraquetra_amabilis",59,"cushion",24,18,,1,,,,,3,,,,,,8,,,,,
78,"Sierra Nevada2","Arenaria_tetraquetra_amabilis",59,"open",24,18,,,,,,,8,2,,,,,3,,1,,,
78,"Sierra Nevada2","Arenaria_tetraquetra_amabilis",60,"cushion",16,15,,,,,,,30,,5,,,,14,,,,,
78,"Sierra Nevada2","Arenaria_tetraquetra_amabilis",60,"open",16,15,,,,,,,3,,,,,,,,,,,
78,"Sierra Nevada2","Arenaria_tetraquetra_amabilis",61,"cushion",22,18,,,,,,,11,,,,,,1,,,,,
78,"Sierra Nevada2","Arenaria_tetraquetra_amabilis",61,"open",22,18,,,,,,,,,,,,,,,,,,
78,"Sierra Nevada2","Arenaria_tetraquetra_amabilis",62,"cushion",22,13,,,,,,,17,1,3,,,,5,,3,,,
78,"Sierra Nevada2","Arenaria_tetraquetra_amabilis",62,"open",22,13,,,,,,1,7,,,,,,7,,,,1,
78,"Sierra Nevada2","Arenaria_tetraquetra_amabilis",63,"cushion",13,10,,,,,,,,,,,,,3,,,1,,
78,"Sierra Nevada2","Arenaria_tetraquetra_amabilis",63,"open",13,10,,,,,,,,,,,,,3,,,,,
78,"Sierra Nevada2","Arenaria_tetraquetra_amabilis",64,"cushion",11,12,,,,,,,,,1,,,,4,,,,,
78,"Sierra Nevada2","Arenaria_tetraquetra_amabilis",64,"open",11,12,,,,,,,,,,,,,1,,,,,
78,"Sierra Nevada2","Arenaria_tetraquetra_amabilis",65,"cushion",21,13,,,,,8,,3,,,,,,4,,1,,,
78,"Sierra Nevada2","Arenaria_tetraquetra_amabilis",65,"open",21,13,,,,,,,4,1,,,,,3,,,1,,
78,"Sierra Nevada2","Arenaria_tetraquetra_amabilis",66,"cushion",25,20,,,,,,,9,,12,,,,4,,,,,
78,"Sierra Nevada2","Arenaria_tetraquetra_amabilis",66,"open",25,20,,,,,,,,1,,,,,3,,1,,,
78,"Sierra Nevada2","Arenaria_tetraquetra_amabilis",67,"cushion",9,10,,,,,,,4,,3,,,,5,,,,4,
78,"Sierra Nevada2","Arenaria_tetraquetra_amabilis",67,"open",9,10,,,,,,,,,,,,,,,,,,
78,"Sierra Nevada2","Arenaria_tetraquetra_amabilis",68,"cushion",12,15,,,,,,,11,,4,,,,1,,,,,
78,"Sierra Nevada2","Arenaria_tetraquetra_amabilis",68,"open",12,15,,,,,,,12,,,,,,5,,,,,
78,"Sierra Nevada2","Arenaria_tetraquetra_amabilis",69,"cushion",26,22,,,,,,,29,,3,,,,8,,,,,
78,"Sierra Nevada2","Arenaria_tetraquetra_amabilis",69,"open",26,22,,2,,,,,12,,,,,,4,,,,,
78,"Sierra Nevada2","Arenaria_tetraquetra_amabilis",70,"cushion",15,12,,,,,,,12,,,,,,3,,,,,
78,"Sierra Nevada2","Arenaria_tetraquetra_amabilis",70,"open",15,12,,,,,,,5,,,,,,,,,,,
78,"Sierra Nevada2","Arenaria_tetraquetra_amabilis",71,"cushion",11,10,,,,,,,5,,,,,,9,,,,,
78,"Sierra Nevada2","Arenaria_tetraquetra_amabilis",71,"open",11,10,,,,,,,,,,,,,1,,,,,
78,"Sierra Nevada2","Arenaria_tetraquetra_amabilis",72,"cushion",15,13,,,,,,,1,,,,,,,,,1,,
78,"Sierra Nevada2","Arenaria_tetraquetra_amabilis",72,"open",15,13,,,,,,,,,,,,,3,,,1,,
78,"Sierra Nevada2","Arenaria_tetraquetra_amabilis",73,"cushion",11,12,,,,,,,,,3,,,,5,,,1,,
78,"Sierra Nevada2","Arenaria_tetraquetra_amabilis",73,"open",11,12,,,,,,,,,,,,,,,,,,
78,"Sierra Nevada2","Arenaria_tetraquetra_amabilis",74,"cushion",17,15,,,,,,,10,,,,,,,,,,,
78,"Sierra Nevada2","Arenaria_tetraquetra_amabilis",74,"open",17,15,,,,,,,,,,,,,,,,,,
78,"Sierra Nevada2","Arenaria_tetraquetra_amabilis",75,"cushion",21,18,,,,,,1,,,2,,,,4,,,,,
78,"Sierra Nevada2","Arenaria_tetraquetra_amabilis",75,"open",21,18,,,,,,,,,,,,,8,,,,,
78,"Sierra Nevada2","Arenaria_tetraquetra_amabilis",76,"cushion",15,18,,,,,,,,,,,,,3,,,,,
78,"Sierra Nevada2","Arenaria_tetraquetra_amabilis",76,"open",15,18,,,,,,,,,,,,,2,,,,,
78,"Sierra Nevada2","Arenaria_tetraquetra_amabilis",77,"cushion",26,20,,,,,,,,,,,,,2,,,,,
78,"Sierra Nevada2","Arenaria_tetraquetra_amabilis",77,"open",26,20,,,,,,,,,,,,,1,,,,,
78,"Sierra Nevada2","Arenaria_tetraquetra_amabilis",78,"cushion",22,22,,,,,,,,1,3,,,,3,,1,,,
78,"Sierra Nevada2","Arenaria_tetraquetra_amabilis",78,"open",22,22,,,,,,,,,,,,,1,,,,,
78,"Sierra Nevada2","Arenaria_tetraquetra_amabilis",79,"cushion",22,19,,,18,,,,,,8,,,,,,,,,
78,"Sierra Nevada2","Arenaria_tetraquetra_amabilis",79,"open",22,19,,,,,,1,2,,3,,,,3,,,,,
78,"Sierra Nevada2","Arenaria_tetraquetra_amabilis",80,"cushion",15,15,,,,,,,,,3,,,,2,,,,,
78,"Sierra Nevada2","Arenaria_tetraquetra_amabilis",80,"open",15,15,,,,,,,,,4,,,,,,,,,
78,"Sierra Nevada2","Arenaria_tetraquetra_amabilis",81,"cushion",30,27,,,23,,,,,1,6,,,,5,,,,,
78,"Sierra Nevada2","Arenaria_tetraquetra_amabilis",81,"open",30,27,,,3,,,,,,,,,,4,,,,,
78,"Sierra Nevada2","Arenaria_tetraquetra_amabilis",82,"cushion",15,11,,,4,,,,,,2,,,,4,,,,,
78,"Sierra Nevada2","Arenaria_tetraquetra_amabilis",82,"open",15,11,,,6,,,,8,,,,,,1,1,,,,
78,"Sierra Nevada2","Arenaria_tetraquetra_amabilis",83,"cushion",21,16,,,2,,,,,,,5,,,,,,,,
78,"Sierra Nevada2","Arenaria_tetraquetra_amabilis",83,"open",21,16,,,,,,,,1,,,,,,,,,,
78,"Sierra Nevada2","Arenaria_tetraquetra_amabilis",84,"cushion",17,15,,,22,,,,10,1,,,,,,2,,,,
78,"Sierra Nevada2","Arenaria_tetraquetra_amabilis",84,"open",17,15,,,4,,,,,,,,,,,,,,,
78,"Sierra Nevada2","Arenaria_tetraquetra_amabilis",85,"cushion",26,24,,,,,,,,,3,,,,12,1,,,,1
78,"Sierra Nevada2","Arenaria_tetraquetra_amabilis",85,"open",26,24,,,,,,,,,,,,,4,2,,,,
78,"Sierra Nevada2","Arenaria_tetraquetra_amabilis",86,"cushion",31,32,,,34,,,1,22,6,5,,,,4,,,,,
78,"Sierra Nevada2","Arenaria_tetraquetra_amabilis",86,"open",31,32,,,,,,,,9,,,,,,,,,,1
78,"Sierra Nevada2","Arenaria_tetraquetra_amabilis",87,"cushion",18,12,,,,,,,,,14,,,,8,,,,,
78,"Sierra Nevada2","Arenaria_tetraquetra_amabilis",87,"open",18,12,,,,,,,,,1,,,,2,,,,,
78,"Sierra Nevada2","Arenaria_tetraquetra_amabilis",88,"cushion",28,20,,,,,,,11,,6,,,,2,,,,,
78,"Sierra Nevada2","Arenaria_tetraquetra_amabilis",88,"open",28,20,,,2,,,,,,,,,,7,,,,,
78,"Sierra Nevada2","Arenaria_tetraquetra_amabilis",89,"cushion",23,28,,,,,,,,3,,,,11,,5,,,,
78,"Sierra Nevada2","Arenaria_tetraquetra_amabilis",89,"open",23,28,,,,,,,,1,,,,2,,2,,,,
78,"Sierra Nevada2","Arenaria_tetraquetra_amabilis",90,"cushion",26,24,,,,,,,,,,,,,,,,,,
78,"Sierra Nevada2","Arenaria_tetraquetra_amabilis",90,"open",26,24,,,,,,,,1,,,,,,,,,,
78,"Sierra Nevada2","Arenaria_tetraquetra_amabilis",91,"cushion",17,17,,,,,,,,2,,,,,,,,,,
78,"Sierra Nevada2","Arenaria_tetraquetra_amabilis",91,"open",17,17,,,,,,,,1,,,,,,,,,,
78,"Sierra Nevada2","Arenaria_tetraquetra_amabilis",92,"cushion",31,24,,,,,,,,6,,,,,,,,,,
78,"Sierra Nevada2","Arenaria_tetraquetra_amabilis",92,"open",31,24,,,,,,,,9,,,,,,,,,,
78,"Sierra Nevada2","Arenaria_tetraquetra_amabilis",93,"cushion",14,16,,,,,,,,2,,,1,,1,9,,,,
78,"Sierra Nevada2","Arenaria_tetraquetra_amabilis",93,"open",14,16,,,,,,,,3,,,,,1,,,,,
78,"Sierra Nevada2","Arenaria_tetraquetra_amabilis",94,"cushion",29,21,,,8,,,,,3,,,,,3,12,,1,,
78,"Sierra Nevada2","Arenaria_tetraquetra_amabilis",94,"open",29,21,,,8,,,,,,,,,,6,8,,,,
78,"Sierra Nevada2","Arenaria_tetraquetra_amabilis",95,"cushion",17,14,,,19,,3,,,2,,,,,,3,,,,
78,"Sierra Nevada2","Arenaria_tetraquetra_amabilis",95,"open",17,14,,,4,,,1,,2,,,,,,2,,,,
78,"Sierra Nevada2","Arenaria_tetraquetra_amabilis",96,"cushion",14,15,,,,,,,3,,,,,,17,,,,,
78,"Sierra Nevada2","Arenaria_tetraquetra_amabilis",96,"open",14,15,,,,,,,,,,,,,8,,,,,
78,"Sierra Nevada2","Arenaria_tetraquetra_amabilis",97,"cushion",18,12,,,,,,,2,2,,,,,7,,,,,
78,"Sierra Nevada2","Arenaria_tetraquetra_amabilis",97,"open",18,12,,,,,,,1,,,,,,2,,,,,
78,"Sierra Nevada2","Arenaria_tetraquetra_amabilis",98,"cushion",11,11,,,,,,,1,,7,,,,4,,,,,
78,"Sierra Nevada2","Arenaria_tetraquetra_amabilis",98,"open",11,11,,,,,,,2,,,,,,10,,,,,
78,"Sierra Nevada2","Arenaria_tetraquetra_amabilis",99,"cushion",14,13,,,,,,,1,,,,,,9,,,,,
78,"Sierra Nevada2","Arenaria_tetraquetra_amabilis",99,"open",14,13,,,,,,,,,,,,,2,,,,,
78,"Sierra Nevada2","Arenaria_tetraquetra_amabilis",100,"cushion",14,16,,,,,,,,3,,,,,5,,,,,
78,"Sierra Nevada2","Arenaria_tetraquetra_amabilis",100,"open",14,16,,,,,,,,,,,,,2,,,,,
