site,cushion species,sample,cushion/open,diam1 (cm),diam2 (cm),Achillea millefolium var alpina,Agoseris aurantica,Agoseris glauca,Agrostis spp,Anenome drummondii,Antenaria lanata,Arabis lyallii,Arabis nuttalii,Artemisia michauxiana,Astragulus kentrophyta,Besseya alpina,Bromus carinatus,Bupleurum americanum,Carex geyeri,Cerastrium arvense,Cryptantha celosioides,Danthonia intermedia,Draba aurea,Draba oligosperma,Erigeron lanatus,Eriophylum lantanum,Galium boreale,Gallardia aristata,Geum rossi,Heuchera parvifolia,Linum lewisii,Lomatium sandbergii,Mertensia longiflora,Minuartia obtusiloba,Myosotis sylvatica,Oxyria digyna,Oxytropis campestris,Phacelia sericea,Phlox diffusa,Poa alpina,Polygonum bistortoides,Potentilla diversifolia,Saussaurea weberi,Saxifraga lyallii,Sedum lanceolata,Sedum roseum,Senecio  spp,Senecio canus,Smelowskia calycina,Taraxacum vulgare,Tofieldia glutinosa,Trifolium parryi,UNKNOWN1,UNKNOWNgrass,dataset code
"Windy Pass","Dasiphora_fruticosa",36,"cushion",99,39,,"","",18,"",,,"",1,,8,"",,,"",4,"","1","",2,"","","","",,"","","","","",,,,"",1,"",4,"","","",4,"",1,,,"1","","","",88
"Windy Pass","Dasiphora_fruticosa",36,"open",99,39,,"","",,"",,,"",,,,"",,,"",,"","","",,"","","","",,"","","","","",,,,"",,"",,"","","",,"",,,,"","","","",88
"Windy Pass","Dasiphora_fruticosa",1,"cushion",70,35,13,"","",5,"1",,,"",,3,,"",1,,"",,"","","",,"","","","",,"","","3","","",,,,"",1,"",,"","","",,"",4,,,"","","","",88
"Windy Pass","Dasiphora_fruticosa",17,"cushion",35,16,,"","",21,"",,,"",,,,"",1,,"",,"","","1",,"","","","",5,"","","","","",,,,"",1,"",,"","","",,"",,,,"","","","",88
"Windy Pass","Dasiphora_fruticosa",22,"cushion",70,29,1,"","",8,"",,,"",,,3,"",1,,"1",,"","","",,"","","","3",,"","","","","",,1,,"",1,"",1,"","","",,"",,,,"","","","",88
"Windy Pass","Dasiphora_fruticosa",27,"cushion",64,25,1,"","",1,"",,,"",,,1,"",1,,"",,"","","",,"","","","",,"","","","","",,,,"",2,"",,"","","",,"",2,,,"","","","",88
"Windy Pass","Dasiphora_fruticosa",2,"open",102,49,,"","",,"",,,"",,,,"",2,,"",,"","","",,"","","","",,"","","","","",,,,"",,"",,"","","",,"",,,,"","","","",88
"Windy Pass","Dasiphora_fruticosa",14,"cushion",,,,"","",,"5",,,"",,,,"",2,,"",3,"","","",,"","","","",,"","","3","","",,,,"",,"",,"","","",,"",,,,"","","","",88
"Windy Pass","Dasiphora_fruticosa",23,"cushion",100,36,7,"","",3,"2",,,"",,,3,"",2,4,"",,"","","",,"","","","10",1,"","","1","","",7,5,,"",,"",2,"","","",,"",1,,,"1","","","",88
"Windy Pass","Dasiphora_fruticosa",24,"cushion",86,63,,"","",,"",,,"",,,,"",2,,"",,"","","",,"","","","",,"2","","","","",1,,2,"",,"",1,"","","",,"",1,2,,"","","","",88
"Windy Pass","Dasiphora_fruticosa",32,"cushion",73,35,3,"","",,"",,,"",,,,"",2,,"",1,"","","1",,"","","","",1,"","","","","1",,,,"",8,"",,"","","",,"",6,,,"","","6","",88
"Windy Pass","Dasiphora_fruticosa",22,"open",70,29,,"","",,"",,,"",,,,"",3,,"",,"","","",,"","","","",,"","","","","",,,,"",,"",,"","","",,"",,,,"","","","",88
"Windy Pass","Dasiphora_fruticosa",26,"cushion",86,50,1,"","",5,"",,,"",,,,"",3,2,"",,"","","",,"","","","",1,"","1","4","","",,2,,"",1,"",1,"","","2",4,"",3,3,,"","","","",88
"Windy Pass","Dasiphora_fruticosa",4,"cushion",97,29,,"","",,"4",,,"",,,2,"",4,,"",,"","","",,"","","","",,"","","1","","",,3,,"",4,"",,"","","",,"",4,,,"2","","","",88
"Windy Pass","Dasiphora_fruticosa",7,"cushion",92,29,,"","",18,"",,,"",5,,,"",4,7,"",,"","","",,"","","","",,"","","2","","",,2,7,"",,"",1,"","","",,"",8,,1,"","","","",88
"Windy Pass","Dasiphora_fruticosa",11,"cushion",56,21,,"","",,"5",,,"",,,,"",4,,"",1,"","","",,"","","","",,"","","6","","",,,,"",,"",,"","","",,"",,,,"1","","","",88
"Windy Pass","Dasiphora_fruticosa",5,"cushion",117,27,,"","",3,"",,,"",2,,,"",5,7,"",,"","","",,"","","","",,"","","","","",,3,5,"",,"",,"","","",,"",3,,,"","","","",88
"Windy Pass","Dasiphora_fruticosa",3,"cushion",55,42,,"","",2,"",,,"",,,1,"",6,,"",,"","","",,"","","","",,"","","1","","",,,,"",,"",,"","","",,"",2,,,"","","","",88
"Windy Pass","Dasiphora_fruticosa",19,"cushion",68,35,3,"","",,"",,,"",3,,4,"",13,,"",,"","","",,"","","","",5,"","","","","",,2,,"",,"",,"","","",,"",3,3,,"2","","","",88
"Windy Pass","Dasiphora_fruticosa",21,"cushion",58,33,6,"","",12,"",,,"",,,5,"",15,,"",,"","","",,"","13","","",,"","","","","",,6,1,"",2,"",3,"","","",,"",3,,,"","","","",88
