Site,Cushion species,Sample,cushion/open,Flower gender,Diam 1 (cm),Diam 2 (cm),Sphagnum spp (y= yes),Moss (y= yes),Notes,Flower #,Aconitum delphinifolium,Anenome spp,Bistorta vivipara,Brown lichen,Carex spp,Cetraria cuc,Cladina,Cladonia spp,Cloud lichen,Cordalis possiflora,Dryas octapedala,Gentiana prostrata,Grass spp,Lupinus arcticus,Thamnolia spp (worm lichen),Peltigera spp,Polytrichum spp,Pulmonium,Rock,Rock lichen,Rumex spp,Salix spp,Saxifraga spp,Saxifraga tricuspidata,Woody potentilla,dataset code
"Pink Mountains 3","Silene acaulis",73,"cushion","",0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000513828271674896,34,"","","","",,,,,,,,,,,,,20,5,,,,,,4,,,,,,72
"Pink Mountains 3","Silene acaulis",73,"open","",,,"","","","",,8,,,,20,1,2,,,,,20,,,,,,,,,,,,,72
"Pink Mountains 3","Silene acaulis",74,"cushion","",,26,"","","","",,,3,,,,,,,,,,10,5,,,6,,,,1,,,,4,72
"Pink Mountains 3","Silene acaulis",74,"open","",,,"","","","",,,,,,,,,,,,,,5,,,,,1,3,,,,,,72
"Pink Mountains 3","Silene acaulis",75,"cushion","",,35.1,"","","","",,3,,,,,,,,,,,7,,,,,,,,,,3,,,72
"Pink Mountains 3","Silene acaulis",75,"open","",,,"","","","",,15,,,,,,,,,,,,,,,5,,,,1,5,,,,72
"Pink Mountains 3","Silene acaulis",76,"cushion","",190359856624740950438973133097154577076201388812670809165272761058689189058973173106691450830376465779741702913458347253530987492026244119291648375148836929370692238410043405936682336256,13.2,"","","","",,,,,,,,,,,,,,,,,,,,,,,,,,72
"Pink Mountains 3","Silene acaulis",76,"open","",,,"","","","",,,,,,,,,,,,,,,,,,,1,3,,,,,,72
"Pink Mountains 3","Silene acaulis",77,"cushion","",-4230758200273042329798585297599342336696126698208207156479275017017567401943200169678342467224569845104856988734266896547840,35.7,"","","","",,8,,,,,,,,,,,7,,,,4,,,,,5,,,,72
"Pink Mountains 3","Silene acaulis",77,"open","",,,"","","","",,20,,,,4,,,,,,,,,,3,,,,,,,,,,72
"Pink Mountains 3","Silene acaulis",78,"cushion","",,24.5,"","","","",,6,,,,,,,,,,,10,,,,,,,,,10,4,,,72
"Pink Mountains 3","Silene acaulis",78,"open","",,,"","","","",,,,,,,,,,,,,1,,,,,,,,,,,,,72
"Pink Mountains 3","Silene acaulis",79,"cushion","",0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000513828271674896,10,"","","","",,7,,,,,,,,,,,4,,,,,,,,,,,,,72
"Pink Mountains 3","Silene acaulis",79,"open","",,,"","","","",,,,,,4,,,,,,,,,,,7,,1,3,,,,,,72
"Pink Mountains 3","Silene acaulis",80,"cushion","",0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000235343736827313,18.1,"","","","",,8,,,,,,,,,,,,,,,,,,,,,,,,72
"Pink Mountains 3","Silene acaulis",80,"open","",,,"","","","",,,,,,,,,,,,,5,,,,,,,,,,,,,72
"Pink Mountains 3","Silene acaulis",81,"open","",,,"","","","",,,,,,,,,,,,,,,,,,,1,3,,,,,,72
