"site","cushion","code","sample","cushion.open","diam1","diam2","area","Adesmia sp 1","Adesmia sp 2","Barneoudia major","Bromus setifoluis","Carex sp 1","Chaetanthera euphrasioides","Chaetanthera pusilla","Erigeron andicola","Hordeum comosum","Montiopsis andicola","Nassauvia lagascae","Nassauvia pyramidalis","Nastanthus agglomeratus","Oxalis compacta","Pozoa coriacea","Rytidosperma pictum","Senecio looseri","Taraxacum officinale","Thlaspi magellanicum","Trisetum preslei"
"Tres Puntas","Azorella madreporica",12,17,"cushion",,,,,,1,,,,,,,,,,,,,,,,1,
"Tres Puntas","Azorella madreporica",12,18,"cushion",,,,,,,,,,,1,7,2,,,,,,,,1,6,
"Tres Puntas","Azorella madreporica",12,19,"cushion",,,,,,,,,,,,4,4,,,1,,,,,1,3,4
"Tres Puntas","Azorella madreporica",12,20,"cushion",,,,,,,,1,,,,6,7,,,,,,,,2,3,
"Tres Puntas","Azorella madreporica",12,21,"cushion",,,,,,,,,,,,,2,,,,,,,,,1,
"Tres Puntas","Azorella madreporica",12,22,"cushion",,,,,,,1,,,,4,10,2,,,1,,,,1,1,6,8
"Tres Puntas","Azorella madreporica",12,27,"cushion",,,,,,,,,,,,,,,,,,,,,,,
"Tres Puntas","Azorella madreporica",12,28,"cushion",,,,,,,,,,,,,,,,,,,,,,1,
"Tres Puntas","Azorella madreporica",12,29,"cushion",,,,,,,,,,,1,3,4,,,,,,,,,6,
"Tres Puntas","Azorella madreporica",12,30,"cushion",,,,,,,,,,,1,6,3,,,,,,,,2,8,
"Tres Puntas","Azorella madreporica",12,31,"cushion",,,,,,,,,,,,6,4,,,,,,,,,2,
"Tres Puntas","Azorella madreporica",12,32,"cushion",,,,,,,,,,,1,,,,,,,,,,,2,
"Tres Puntas","Azorella madreporica",12,33,"cushion",,,,,,,,,,,1,10,15,,,1,,,2,,1,17,3
"Tres Puntas","Azorella madreporica",12,34,"cushion",,,,,,,,,,,,,,,,,,,,,,2,
"Tres Puntas","Azorella madreporica",12,35,"cushion",,,,,,,,,,,,,,,,,,,,,,,
"Tres Puntas","Azorella madreporica",12,36,"cushion",,,,,,,1,,,,,6,4,,,,,,1,,2,1,
"Tres Puntas","Azorella madreporica",12,37,"cushion",,,,,1,,,1,,,,3,,,,,,,,,,2,
"Tres Puntas","Azorella madreporica",12,38,"cushion",,,,,,,,,,,,2,,,,,,,,1,,3,
"Tres Puntas","Azorella madreporica",12,39,"cushion",,,,,2,,,1,,,,7,,,,,,,,,1,,
"Tres Puntas","Azorella madreporica",12,40,"cushion",,,,,,,,,,,,2,,,,,,,,,,1,
"Tres Puntas","Azorella madreporica",12,41,"cushion",,,,,,,,,,,,5,3,,,,1,,1,,,,
"Tres Puntas","Azorella madreporica",12,42,"cushion",,,,,,1,,,,,,,,,,,,,,,,,
"Tres Puntas","Azorella madreporica",12,43,"cushion",,,,,,,,,,,,,,,,,,,,,,,
"Tres Puntas","Azorella madreporica",12,44,"cushion",,,,,,,,,,,,1,,,,,,,,,,,
"Tres Puntas","Azorella madreporica",12,49,"cushion",,,,,,,,,,,,4,1,,,,,,,,,3,
"Tres Puntas","Azorella madreporica",12,50,"cushion",,,,,,,,,,,1,6,1,,,,,,,,,4,
