"site","cushion","code","sample","cushion.open","diam1","diam2","area","Acaena macrocephala","Acaena pinnatifida","Anemone multifida","Armeria maritima","Azorella monantha","Berberis empetrifolia","Calandrinia gayana","Carex aphylla","Carex caduca var ortegae","Cerastium arvense","Chuquiraga avellanae","Discaria nana","Drava gilliesii","Erigeron sp","Gamocarpa selliana","Gaultheria pumila","Geranium sessiliflorum","Hordeum comosum","Hypochaeris tenuifolia var eurylepis","Leucheria millefolium","Luzula chilensis","Montiopsis gayana","Mulinum leptacanthum","Nastanthus caespitosum","Oreopolus glacialis","Plantago barbata subsp barbata","Polygala salasiana","Senecio pachyphyllos","Senecio portalesianus","Sisysrinchium patagonicum","Trisetum barbinode","Tristagma nivale","Viola cotyledon"
"Bariloche Mulinum leptacanthum","Mulinum leptacanthum",17,85,"cushion",,,,1,,10,10,,,,,,,,,,,,,,3,,,,,,,2,2,,,4,,,,5
"Bariloche Mulinum leptacanthum","Mulinum leptacanthum",17,86,"cushion",,,,,,4,,,,,,,,,,,,,,,3,,,,,,,,,,,12,,,,
"Bariloche Mulinum leptacanthum","Mulinum leptacanthum",17,87,"cushion",,,,2,,,,,,,,,11,,,,,,,,1,,,,,,,,,,,6,,,,
"Bariloche Mulinum leptacanthum","Mulinum leptacanthum",17,88,"cushion",,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,2,,,,1
"Bariloche Mulinum leptacanthum","Mulinum leptacanthum",17,89,"cushion",,,,,,,3,,,,,,,,,3,,,,,3,,,,,,,,9,1,,5,,,,
"Bariloche Mulinum leptacanthum","Mulinum leptacanthum",17,90,"cushion",,,,15,,1,4,,,,,,,,,3,3,,,,3,,,,4,,,2,1,34,6,25,,,8,
"Bariloche Mulinum leptacanthum","Mulinum leptacanthum",17,99,"cushion",,,,2,,23,27,,,,,,,,,1,,,,,,,,2,,,,1,,22,15,6,,,,5
"Bariloche Mulinum leptacanthum","Mulinum leptacanthum",17,14,"open",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
"Bariloche Mulinum leptacanthum","Mulinum leptacanthum",17,29,"open",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
"Bariloche Mulinum leptacanthum","Mulinum leptacanthum",17,44,"open",,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,1,2
"Bariloche Mulinum leptacanthum","Mulinum leptacanthum",17,59,"open",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bariloche Mulinum leptacanthum","Mulinum leptacanthum",17,74,"open",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bariloche Mulinum leptacanthum","Mulinum leptacanthum",17,89,"open",,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
"Bariloche Mulinum leptacanthum","Mulinum leptacanthum",17,90,"open",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bariloche Mulinum leptacanthum","Mulinum leptacanthum",17,91,"open",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
"Bariloche Mulinum leptacanthum","Mulinum leptacanthum",17,92,"open",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
"Bariloche Mulinum leptacanthum","Mulinum leptacanthum",17,93,"open",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bariloche Mulinum leptacanthum","Mulinum leptacanthum",17,94,"open",,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,1,2
"Bariloche Mulinum leptacanthum","Mulinum leptacanthum",17,95,"open",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
"Bariloche Mulinum leptacanthum","Mulinum leptacanthum",17,96,"open",,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,1,2
"Bariloche Mulinum leptacanthum","Mulinum leptacanthum",17,97,"open",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12
"Bariloche Mulinum leptacanthum","Mulinum leptacanthum",17,98,"open",,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,4
"Bariloche Mulinum leptacanthum","Mulinum leptacanthum",17,99,"open",,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,2
