"site","cushion","code","sample","cushion.open","diam1","diam2","area","Acaena macrocephala","Acaena pinnatifida","Anemone multifida","Armeria maritima","Azorella monantha","Berberis empetrifolia","Calandrinia gayana","Carex aphylla","Carex caduca var ortegae","Cerastium arvense","Chuquiraga avellanae","Discaria nana","Drava gilliesii","Erigeron sp","Gamocarpa selliana","Gaultheria pumila","Geranium sessiliflorum","Hordeum comosum","Hypochaeris tenuifolia var eurylepis","Leucheria millefolium","Luzula chilensis","Montiopsis gayana","Mulinum leptacanthum","Nastanthus caespitosum","Oreopolus glacialis","Plantago barbata subsp barbata","Polygala salasiana","Senecio pachyphyllos","Senecio portalesianus","Sisysrinchium patagonicum","Trisetum barbinode","Tristagma nivale","Viola cotyledon"
"Bariloche Mulinum leptacanthum","Mulinum leptacanthum",17,38,"open",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
"Bariloche Mulinum leptacanthum","Mulinum leptacanthum",17,39,"open",,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
"Bariloche Mulinum leptacanthum","Mulinum leptacanthum",17,40,"open",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bariloche Mulinum leptacanthum","Mulinum leptacanthum",17,41,"open",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
"Bariloche Mulinum leptacanthum","Mulinum leptacanthum",17,42,"open",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
"Bariloche Mulinum leptacanthum","Mulinum leptacanthum",17,43,"open",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bariloche Mulinum leptacanthum","Mulinum leptacanthum",17,45,"open",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
"Bariloche Mulinum leptacanthum","Mulinum leptacanthum",17,46,"open",,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,1,2
"Bariloche Mulinum leptacanthum","Mulinum leptacanthum",17,47,"open",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12
"Bariloche Mulinum leptacanthum","Mulinum leptacanthum",17,48,"open",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
"Bariloche Mulinum leptacanthum","Mulinum leptacanthum",17,49,"open",,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,2
"Bariloche Mulinum leptacanthum","Mulinum leptacanthum",17,50,"open",,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,9
"Bariloche Mulinum leptacanthum","Mulinum leptacanthum",17,51,"open",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bariloche Mulinum leptacanthum","Mulinum leptacanthum",17,52,"open",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bariloche Mulinum leptacanthum","Mulinum leptacanthum",17,53,"open",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bariloche Mulinum leptacanthum","Mulinum leptacanthum",17,54,"open",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bariloche Mulinum leptacanthum","Mulinum leptacanthum",17,55,"open",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bariloche Mulinum leptacanthum","Mulinum leptacanthum",17,56,"open",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bariloche Mulinum leptacanthum","Mulinum leptacanthum",17,57,"open",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bariloche Mulinum leptacanthum","Mulinum leptacanthum",17,58,"open",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
"Bariloche Mulinum leptacanthum","Mulinum leptacanthum",17,60,"open",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bariloche Mulinum leptacanthum","Mulinum leptacanthum",17,61,"open",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bariloche Mulinum leptacanthum","Mulinum leptacanthum",17,62,"open",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bariloche Mulinum leptacanthum","Mulinum leptacanthum",17,63,"open",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bariloche Mulinum leptacanthum","Mulinum leptacanthum",17,64,"open",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
"Bariloche Mulinum leptacanthum","Mulinum leptacanthum",17,65,"open",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bariloche Mulinum leptacanthum","Mulinum leptacanthum",17,66,"open",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
"Bariloche Mulinum leptacanthum","Mulinum leptacanthum",17,67,"open",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
"Bariloche Mulinum leptacanthum","Mulinum leptacanthum",17,68,"open",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bariloche Mulinum leptacanthum","Mulinum leptacanthum",17,69,"open",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bariloche Mulinum leptacanthum","Mulinum leptacanthum",17,70,"open",,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
"Bariloche Mulinum leptacanthum","Mulinum leptacanthum",17,71,"open",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bariloche Mulinum leptacanthum","Mulinum leptacanthum",17,72,"open",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bariloche Mulinum leptacanthum","Mulinum leptacanthum",17,73,"open",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bariloche Mulinum leptacanthum","Mulinum leptacanthum",17,75,"open",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bariloche Mulinum leptacanthum","Mulinum leptacanthum",17,76,"open",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
"Bariloche Mulinum leptacanthum","Mulinum leptacanthum",17,77,"open",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bariloche Mulinum leptacanthum","Mulinum leptacanthum",17,78,"open",,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1
"Bariloche Mulinum leptacanthum","Mulinum leptacanthum",17,79,"open",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
"Bariloche Mulinum leptacanthum","Mulinum leptacanthum",17,80,"open",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8
"Bariloche Mulinum leptacanthum","Mulinum leptacanthum",17,81,"open",,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
"Bariloche Mulinum leptacanthum","Mulinum leptacanthum",17,82,"open",,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
"Bariloche Mulinum leptacanthum","Mulinum leptacanthum",17,83,"open",,,,,,,,,,,,,2,,,,,,,,,,,,,1,,,,,,,,,,
"Bariloche Mulinum leptacanthum","Mulinum leptacanthum",17,84,"open",,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
"Bariloche Mulinum leptacanthum","Mulinum leptacanthum",17,85,"open",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
"Bariloche Mulinum leptacanthum","Mulinum leptacanthum",17,86,"open",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
"Bariloche Mulinum leptacanthum","Mulinum leptacanthum",17,87,"open",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bariloche Mulinum leptacanthum","Mulinum leptacanthum",17,88,"open",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
