Dataset code,site name,cushion species,sample,cushion/open,diam 1 (cm),diam 2 (cm),Androsace chamaejasme,Arenaria ciliata,Artemisia eriantha,Astragalus frigidus,Bartsia alpina,Botrychium lunaria,Campanula alpina,Campanula cochleariifolia,Campanula tatrae,Carex atrata,Carex capillaris,Carex firma,Carex fuliginosa,Carex sempervirens,Cerastium lanatum,Comastoma tenellum,Crepis jacquinii,Delphinium oxysepalum,Doronicum clusii,Draba aizoides,Draba tomentosa,Dryas octopetala,Erigeron alpinus,Erigeron uniflorus,Euphrasia salisburgensis,Euphrasia tatrae,Festuca versicolor,Galium anisophyllon,Gentianella lutescens,Hedysarum hedysaroides,Helianthemum alpestre,Helianthemum grandiflorum,Chamorchis alpina,Ligusticum mutellinoides,Lloydia serotina,Luzula spicata,Minuartia gerardii,Minuartia sedoides,Myosotis alpestris,Oxytropis campestris,Oxytropis carpatica,Oxytropis halleri,Parnassia palustris,Pedicularis oederi,Pedicularis verticillata,Persicaria bistorta,Persicaria vivipara,Phyteuma orbiculare,Poa alpina,Pseudorchis albida,Ranunculus alpestris,Ranunculus breyninus,Ranunculus pseudomontanus,Rhodiola rosea,Salix alpina,Salix herbacea,Salix reticulata,Salix retusa,Saussurea alpina,Saxifraga aizoides,Saxifraga paniculata,Scabiosa lucida,Sedum atratum,Sesleria tatrae,Silene acaulis,Thymus alpestris,Trisetum alpestre,Trisetum flavescens
47,"The Hlupy peak","Silene acaulis",11,"cushion",52,22,7,,,,,,,,,,,,,2,3,,2,,,,,,,,1,,21,,,,,,,,,,,,,,3,,,,,,17,,,,,3,,4,,,,,,,,,,,,,,
47,"The Hlupy peak","Silene acaulis",11,"open",52,22,8,,,,,,,,,2,,,,5,3,,5,,,,,,,,1,,20,1,,,,,,,,,,,,,6,,,,3,,9,,,,,1,,3,,,,,,,,,,,,4,,
47,"The Hlupy peak","Silene acaulis",12,"cushion",20,10,11,,,,8,,,,,,,,,,,,,,,,,,,,,,13,,,,,,,,,,,,,,2,,,,,,11,,,,,,,,,,1,,,,,1,,,,2,,
47,"The Hlupy peak","Silene acaulis",12,"open",20,10,6,5,,,1,,,,,,,,,,5,1,,,,,,,,,2,,83,1,,,,,,,,,,,,,1,,,,5,,5,,,,,1,,2,,,,,,,13,1,,11,,2,,
47,"The Hlupy peak","Silene acaulis",13,"cushion",38,20,12,,,,,,,,,,,,,,2,,1,,,,,,,,,,,,,,,,,,,,,,,,4,,,,4,,21,,,,,1,,1,,,,,,,,,,15,,,,
47,"The Hlupy peak","Silene acaulis",13,"open",38,20,14,3,,,,,,,,,,,,,,,,,,,,,,,,,110,2,,,,,,,,,,,,,6,,,,3,,12,,3,,,,,2,,,,,,,,,,12,,4,,
47,"The Hlupy peak","Silene acaulis",14,"cushion",32,30,17,,,,,,,,,,,,,,,,3,,,,,,,,,,80,1,,,,,,,,,5,,,,,,,,2,,8,,,,,,,4,,,,,1,,,,,,,3,,
47,"The Hlupy peak","Silene acaulis",14,"open",32,30,13,,,,,,,,,4,,,,,,,,,,,,,,,,,50,15,,,,,,,2,,4,,,,2,,,10,,,10,,,,,,,,,,,,,,,,,,,5,,
47,"The Hlupy peak","Silene acaulis",15,"cushion",41,25,22,,,,,,,,,,,,,,,,3,,,,,,,,,,6,11,,,,,,,,,,,,,3,,1,,6,,10,,,,,1,,,,,,,1,,,,,5,,,,
47,"The Hlupy peak","Silene acaulis",15,"open",41,25,11,3,,,,,,,,,,,,,,,1,,,,,,,,,,157,,,,,,,,,,,,,,2,,,,2,,15,,,,,1,,16,,,,,,,,,,,,6,,
47,"The Hlupy peak","Silene acaulis",16,"cushion",29,20,5,,,,,,,,,,,,,,,,,,,,,,,,,,30,2,,,,,,,2,,,,,,,,,,2,,4,,,,,2,,,,,,,1,,,,,,,5,,
47,"The Hlupy peak","Silene acaulis",16,"open",29,20,12,,,,,,,,,4,,,,,,,,,,,,,,,,,30,6,,,,,,,1,,4,,,,,,,9,,,8,,,,,,,,,,,,,,,,,,,,,
47,"The Hlupy peak","Silene acaulis",17,"cushion",54,23,19,,,,,,,,,,,,,,1,,,,,,,,,,,,100,9,,,,,,,3,,,,,,,,,,11,,13,,,,,1,,,,,,,1,,,,,,,21,,
47,"The Hlupy peak","Silene acaulis",17,"open",54,23,36,,,,,,,,,,,,,,9,,,,,,,,,,,,190,2,,,,,,,4,,,,,,1,,,,,,9,,,,,1,,1,,,,,1,,,,,,,,,
47,"The Hlupy peak","Silene acaulis",18,"cushion",31,24,10,,,,,,,,,,,,,,,,,,,,,,,,,,113,,,,,,,,4,,,,,,1,,,,12,,11,,,,,2,,,,,,,,,,,,,,,,
47,"The Hlupy peak","Silene acaulis",18,"open",31,24,10,,,1,,1,,,,,,4,,,,,,,,,,,,,1,,120,3,,,,,,,,,,,,,,,,,13,,,,,,,,,,,,,,,,,,,5,,6,,
47,"The Hlupy peak","Silene acaulis",19,"cushion",47,30,5,5,,,,,,,,,,,,3,,,,,,,,,,,1,,70,29,,,10,,,,2,,,,,,7,,,,2,,13,,,,,4,,1,,,,,,,,,,,,,,
47,"The Hlupy peak","Silene acaulis",19,"open",47,30,5,6,,,,,,,,,,30,,,,,,,,,,,,,,,100,3,,,9,,,,,,,,,3,,,,,,,7,,,,,,,,,,,,,,5,,,5,,5,,
47,"The Hlupy peak","Silene acaulis",20,"cushion",26,12,4,2,,,,,,,,,,6,,,,,,,,,,,,,,,140,,,,3,,,,,,,,,,,,,,,,11,,,,,2,,1,,,,,,,,,,,,9,,
47,"The Hlupy peak","Silene acaulis",20,"open",26,12,,,,,,,,,1,,,,,,3,,,,,,,,,,,,205,,,,,,,,,,,,,,,,,,1,,4,,,,,4,,,,,,,,,,,,12,,,,
47,"The Hlupy peak","Silene acaulis",21,"cushion",33,29,,2,,,,,,,,,,17,,,5,,,,,,,,,,,,15,36,,,,,,,,,,,,,2,,,,10,,,,,,,4,,,,,,,,,,,,2,,8,,
47,"The Hlupy peak","Silene acaulis",21,"open",33,29,1,,,,,,,,,,,,,,3,,,,,,,,,,,,200,,,,4,,,,,,5,,,,,,,,1,,7,,,,,,,1,,,,,,,5,,,11,,14,,
47,"The Hlupy peak","Silene acaulis",22,"cushion",38,24,8,5,,,,,,,,,,,,,42,,,,,,,,,,,,94,,,,,,,,,,,,,,1,,,,,,16,,,,,1,,,,,,,,,,,,,,6,,
47,"The Hlupy peak","Silene acaulis",22,"open",38,24,3,4,,,,,,,,,,,,2,,,,,,,,,,,1,,250,,,,,,,,,,,,,,4,,,,3,,,,,,,,,,,,,,,,,,,6,,5,,
47,"The Hlupy peak","Silene acaulis",23,"cushion",34,15,,,,,,,,,,,,,,4,7,,,,,,,,,,,,50,3,,,2,,,,,,,,,,2,,,,,,12,,,,,,,,,,,,,,,,,,,8,,
47,"The Hlupy peak","Silene acaulis",23,"open",34,15,,,,,,,,,,,,,,10,,,,,,,,,,,,,110,,,,4,,,,,,,,,,3,,,,1,,3,,,,,,,1,,,,,,,7,,,,,7,,
47,"The Hlupy peak","Silene acaulis",24,"cushion",31.2,29,,,,,,,,,,,,16,,,,,,,,,,,,,,,55,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,"The Hlupy peak","Silene acaulis",24,"open",31.2,29,2,,,,,,,,,,,,,,,,1,,,,,,,,,,250,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,6,,
47,"The Hlupy peak","Silene acaulis",25,"cushion",21,16,,,,,,,,,,,,,,1,,,,,,,,,,,,,49,,,,,,,,,,,,,,2,,,,,,4,,,,,1,,,,,,,,,,,,,,,7,
47,"The Hlupy peak","Silene acaulis",25,"open",21,16,3,10,1,,,,,,,,,,,,,,,,,,,,,,,,250,2,,,,,,,,,,,,,5,,,,,,6,,,,,1,,1,,,,,,,4,,,,,,,
47,"The Hlupy peak","Silene acaulis",26,"cushion",40,31,11,8,,,,,,,,,,,,,,,,,,,,,,,,,101,,,,,,,,1,,,,,,6,,,,,,9,,,,,,,1,,,,,,,,,,,,,,
47,"The Hlupy peak","Silene acaulis",26,"open",40,31,,,,,,,,,,,,,,,,,,,,,,,,,2,,220,,,,12,,,,,,,,,,3,2,,,1,,5,,,,,,,,,,,,,,,,,,,6,,
47,"The Hlupy peak","Silene acaulis",27,"cushion",28,20,18,7,,,,,,,,,,,,,,,3,,,,,,,,,,10,,,,8,,,,2,,,,,,2,,,,,,,,,,,1,,,,,,,,,,,,,,,,
47,"The Hlupy peak","Silene acaulis",27,"open",28,20,8,7,,,,,,,,,,,,,4,,2,,,,,,,,,,100,,,,,,,,4,,,,,,12,,,,,,,,,,,,,,,,,,,,5,,,,,,,
47,"The Hlupy peak","Silene acaulis",28,"cushion",18,17,,,,,,,,,,,,,,,9,,,,,,,,,,,,50,,,,,,,,,,,,,,1,,,,,,8,,,,,1,,,,,,,,,,,,1,,3,,
47,"The Hlupy peak","Silene acaulis",28,"open",18,17,1,1,,,,,,,,,,,,1,,,,,,,,,,,,,30,1,,,,,,,,,,,,,1,,,,,,,,1,,,1,,1,,,,,,,2,,,,,13,,
47,"The Hlupy peak","Silene acaulis",29,"cushion",21,19,,,,,,,,,,,,,,1,,,,,,,,,,,,,20,2,,,,,,,,,,,,,,,,,,,5,,,,,1,,,,,,,,,,,,,,,,
47,"The Hlupy peak","Silene acaulis",29,"open",21,19,1,1,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,4,,4,,,1,,1,,,,,,21,,,,2,,,,
47,"The Hlupy peak","Silene acaulis",30,"cushion",20,15,4,,,,,,,,,,,,,,,,1,,,,,,,,1,,10,,,,,,,,,,,,,,1,,,,1,,10,,,,,,,,,,,,,,,,,10,,,,
47,"The Hlupy peak","Silene acaulis",30,"open",20,15,4,7,,,,,,,,,,,,,,,,,,,,,,,,,200,,,,,,,,,,10,,,,3,,,,,,,,1,,,,,2,,,,,,23,,,,3,,4,,
47,"The Hlupy peak","Silene acaulis",31,"cushion",22,21,1,,,,,,,,,,,,,3,2,,,,,,,,,,,,60,4,,,7,,,,,,,,,,5,,,,1,,,,,,,1,,,,,,,,,4,,,,,,,
47,"The Hlupy peak","Silene acaulis",31,"open",22,21,1,2,,,,,,,,,,,,,1,,1,,,,,,,,,,110,,,,,,,,,,,,,,1,,,,3,,11,,1,,,,,,,,,,,,3,,,,,5,,
47,"The Hlupy peak","Silene acaulis",32,"cushion",46.8,43.1,6,,,,,,,,,,,,,,,,,,,,,,,,,,18,10,,,,,,,2,,,,,,2,,,,1,,20,,,,,4,,,,,,,,,,,,,,12,,
47,"The Hlupy peak","Silene acaulis",32,"open",46.8,43.1,12,2,,,,,,,,,,,,,,,,,,,,,,,,,45,,,,1,,,,4,,,,,,7,,,,5,,5,,,,,1,,,,,,,,,,,,17,,4,,
47,"The Hlupy peak","Silene acaulis",33,"cushion",40.7,27.3,32,,,,,,,,,,,,,,,,,,,,,,,,,,13,3,,,,,,,25,,,,,,1,,,,3,,17,,,,,3,,,,,,,,,,,,,,,,
47,"The Hlupy peak","Silene acaulis",33,"open",40.7,27.3,10,11,,,,,,,,,,,,,,,,,,,,,,,,,30,8,,,,,,,,,,,,,4,,,,1,,3,,,,,2,,15,,,,,,,,,,12,,4,,
47,"The Hlupy peak","Silene acaulis",34,"cushion",27.3,17.6,7,,,,,,,,,,,,,,1,,,,,,,,,,,,18,8,,,,,,,,,,,,,5,,,,,,4,,,,,,,,,,,,,,,,,,,,,
47,"The Hlupy peak","Silene acaulis",34,"open",27.3,17.6,21,14,,,,,,,,,,,,,,,7,,,,,,,,1,,13,,,,,,,,,,,,,,7,,,,1,,10,,,,,,,3,,,,,,,2,,,,,,,
47,"The Hlupy peak","Silene acaulis",35,"cushion",24.3,23.5,14,,,,,,,,,,,,,,4,,,,,,,,,,,,,8,,,,,,,12,,,,,,1,,,,,,7,,,,,5,,,,,,,,,,,,,,,,
47,"The Hlupy peak","Silene acaulis",35,"open",24.3,23.5,13,,,,,2,,,1,,,,,,,,,,1,,,,,,3,,8,5,,,,,,,3,,,,,,,,,,5,,8,,,,,2,,1,,,,,,,,,,28,,4,,
47,"The Hlupy peak","Silene acaulis",36,"cushion",68,30,14,,,,,,,,,,,,,1,10,,1,,,,,,,,,,35,,,,3,,,,7,,,,,,,,1,1,13,,60,,,,,6,,4,,,,,,,,,,,,2,,
47,"The Hlupy peak","Silene acaulis",36,"open",68,30,4,,,,,,,,,,,,,,1,,2,,,,,,,,,,125,,,,,,,,,,2,,,,8,,3,,,,21,,2,,,3,,12,,,,,,,,,,,,5,,
47,"The Hlupy peak","Silene acaulis",37,"cushion",39.9,32.6,4,,,,,,,,,,,,,,,,,,,,,,,,,,41,,,,,,,,6,,,,,,2,,1,,,,15,,,,,2,,9,,,,,,,,,,,,9,,
47,"The Hlupy peak","Silene acaulis",37,"open",39.9,32.6,7,,,,,,,,,2,,,,,9,,,,,,,,1,,,,68,2,,,3,,,,,,,,,,2,,5,1,5,,15,,,,,,,,,,,,,,,,,,,15,,
47,"The Hlupy peak","Silene acaulis",38,"cushion",45.7,24.6,4,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,2,,,,,,6,,,,7,,,,,,,3,,1,,,,,,,,,,,,2,,
47,"The Hlupy peak","Silene acaulis",38,"open",45.7,24.6,26,3,,,,,,,,,,,,,,,,,,2,,,,,2,,21,,,,,,,,,,1,,,,12,,,,6,,24,,5,,,,,16,,,,,,,1,,,,,7,,
47,"The Hlupy peak","Silene acaulis",39,"cushion",58.1,16.3,15,,,,,,,,,,1,,,,,,1,,,,,,,,,,7,7,,,,,1,,6,,,,,,1,,,,3,,10,,,,,1,,1,,,,,,,,,,,,1,,
47,"The Hlupy peak","Silene acaulis",39,"open",58.1,16.3,20,,,,,,,,,,,3,,,,,1,,,,,,,,,,18,7,,,,,1,,,,,,,,4,,,2,7,,3,,,,,,,5,,,,,,,,,,12,,7,,
47,"The Hlupy peak","Silene acaulis",40,"cushion",51.3,48.2,20,,,,,,,,,,,,,,,,1,,,,,,,,,,20,14,,,,,1,,,,2,,,,1,,,,5,,15,,,,,2,,,,,,,,,,,,,,5,,
47,"The Hlupy peak","Silene acaulis",40,"open",51.3,48.2,20,7,,,,,,,1,,,,,,5,,5,,,,,,,,,,60,15,,,,,,,,,,,,,3,,1,,,,10,,7,,,4,,7,,,,,,,14,,,25,,10,,
47,"The Hlupy peak","Silene acaulis",41,"cushion",54.5,50.4,15,,,,,,,,2,,,,,,,,2,,,,,,,,,,42,15,,,3,,1,,7,,,,,,5,,,,5,,21,,,,,9,,2,,,,,,,,,,,,4,,
47,"The Hlupy peak","Silene acaulis",41,"open",54.5,50.4,8,,,,,,,,2,,,,,,,,10,,,,,,,,,,30,,,,5,,,,,,,,1,,8,,,3,10,,13,,,,,,,7,,,,,,,,,,39,,5,,
47,"The Hlupy peak","Silene acaulis",42,"cushion",58.2,55.7,24,3,,,,,,,,,,,,,,,2,,,2,,,,,,,13,8,,,,,,,2,,,,,,,,,1,7,,20,,,1,,4,,,,,,,,,,,,,,6,,
47,"The Hlupy peak","Silene acaulis",42,"open",58.2,55.7,,3,,,,,,,,,,,,,,2,5,,,,,,,,,,92,3,1,,,,,,,,,,,,10,,,2,6,,8,,4,,,2,,6,,,,,,,2,,,,,15,,
47,"The Hlupy peak","Silene acaulis",43,"cushion",37.2,34.8,1,,,,,,,,,,,8,,,,,,,,,,,,,,,5,,,,5,,,,,,,,,,2,,,,2,,3,,,,,,,,,,,,,,,,,,,,,
47,"The Hlupy peak","Silene acaulis",43,"open",37.2,34.8,1,,,,,,,,,,,56,,,,,,,,,,,,,,,60,2,,,12,,,,,,,,,,,,,,6,,9,,,,,1,,,,,,,,,,,,10,,,,
47,"The Hlupy peak","Silene acaulis",44,"cushion",35.3,23.6,2,7,,,,,,,,,,,,,,,,,,,,,,,,,15,7,,,14,,,,,,,,,,6,,,,,,13,,,,,2,,2,,,,,,8,,2,,2,,1,,
47,"The Hlupy peak","Silene acaulis",44,"open",35.3,23.6,2,7,,,,,,,,,4,,,,25,,,,,,,,,,,,135,2,,,5,,,,,,,,,,6,,,,3,,18,,,,,1,,,,,,,,,,,,,,12,,
47,"The Hlupy peak","Silene acaulis",45,"cushion",53.5,27.3,4,,,,,,,,,,,,,,,,,,,,,,,,1,,25,35,,,7,,,,9,,,,,,5,,,1,,,30,,,,,2,,1,,,,,,,,,,,,2,,
47,"The Hlupy peak","Silene acaulis",45,"open",53.5,27.3,3,15,,,,,,,,,,,,,4,,,,,,,,,,2,,30,1,,,5,,,,,,,,,,10,,,,,,15,,,,2,,,,,,,,,,,,,,,15,,
47,"The Hlupy peak","Silene acaulis",46,"cushion",31.2,26.5,7,,,,,,,,,,,,,,,,1,,,,,,,,,,12,1,,,8,,,,,,,,,,3,,,,2,,4,,,,,2,,,,,,,,,,,,,,5,,
47,"The Hlupy peak","Silene acaulis",46,"open",31.2,26.5,5,,,,,1,,,,,,,,,4,,,,,,,,,,,,135,1,,,7,,,,,,,,,,,,,,1,,5,,,,,3,,,,,,,,,,,,,,,,
47,"The Hlupy peak","Silene acaulis",47,"cushion",66.1,59.8,11,8,,,,,,,,,,9,2,,,,,,,,,,,,,,29,24,,,9,,,,,,,,,,4,,,,9,,15,,,,,4,,,,,,,,,,,,2,,2,,
47,"The Hlupy peak","Silene acaulis",47,"open",66.1,59.8,28,8,,,,,,,,,,10,,7,3,,4,,,,,,,,3,,100,15,,,12,,,,,,,,,,17,,,,3,,15,,3,,,7,,,,,,,,,13,,,,,10,,
47,"The Hlupy peak","Silene acaulis",48,"cushion",37.2,27.3,2,,,,,,,,,,,,,4,1,,12,,,,,,,,,,4,,,,7,,,,5,,,,,,,,,,4,,9,,,,,,,,,,,,,,18,,,,,,,
47,"The Hlupy peak","Silene acaulis",48,"open",37.2,27.3,11,11,,,,,,,,,,,,,,,27,,,,,,,,,,25,7,,,,13,,,,,,,,,2,,,,4,,,,,,,,,,,,,,,,,,,,,5,,
47,"The Hlupy peak","Silene acaulis",49,"cushion",58.5,34.2,20,,,,,,,,,,,5,,4,,,2,,,,,,,,1,,50,3,,,12,,,,5,,,,,,2,,,,1,,10,,,,,2,,,,,,,,,10,,,,,1,,
47,"The Hlupy peak","Silene acaulis",49,"open",58.5,34.2,5,5,,,,,,,,,7,,,,2,,1,,,,,,,,,,50,5,,,3,,,,,,,,,,1,5,,,,,9,,,,,1,,,,,,,,,7,,,4,,,,
47,"The Hlupy peak","Silene acaulis",50,"cushion",33.8,20.9,9,,,,,,,,,,,,,,,,,,,,,,,,,,8,25,,,,,,,,,,,,,2,,,,,,10,,,,,,,,,,,,,,,,,,,,,
47,"The Hlupy peak","Silene acaulis",50,"open",33.8,20.9,7,5,,,,,,,,,,10,,5,,,,,,,,,,,2,,10,12,,,,,,,,,,,,,5,,,,,,17,,,,,,,,,,,,,,,,,,,9,,
47,"The Hlupy peak","Silene acaulis",51,"cushion",77.8,29.2,,,,,,,,,,,,10,,1,,,,,,,,,,,,,11,8,,,9,,,,3,,,,,,,,,,,,16,,,,,2,,1,,,,,,,,,,,,5,,
47,"The Hlupy peak","Silene acaulis",51,"open",77.8,29.2,12,2,,,,,,,,,,1,,3,,,,,,,,,,,5,,120,3,,,17,,,,,,,,,,11,,,,,,27,,,,,9,,,,,,,,,2,,,,,15,,
47,"The Hlupy peak","Silene acaulis",52,"cushion",42.3,34.6,4,,,,,,,,,,,,,,15,,,,,,,,,,,,5,27,,,5,,,,,,,,,,,,,,,,18,,,,,1,,,,,,,,,,,,,,,,
47,"The Hlupy peak","Silene acaulis",52,"open",42.3,34.6,4,5,,,,,,,,,,20,,,1,,7,,,,,,,,,,69,5,,,3,,,,,,,,,,4,,,,3,,12,,,,,2,,1,,,,,,,,,,,,,,
47,"The Hlupy peak","Silene acaulis",53,"cushion",29.5,28,3,4,,,,,,,,,,,,,,,,,,,,,,,,,30,3,,,10,,,,,,,,,,3,,,,2,,13,,,,,4,,,,,,,,,,,,,,12,,
47,"The Hlupy peak","Silene acaulis",53,"open",29.5,28,1,,,,,,,,,,,12,,,2,,,,,,,,,,,,10,1,,,7,,,,,,,,,,2,,,,,,9,,,,,2,,,,,,,,,2,,,,,,,
47,"The Hlupy peak","Silene acaulis",54,"cushion",28.5,26.5,31,,,,,,,,,,,,,,,,,,,,,,,,,,25,,,,,,,,9,,,,,,,,,,,,43,,,,,2,,,,,,,,,,,,,,,,
