"site","cushion","code","sample","cushion.open","diam1","diam2","area","Poaceae sp","Agrostis foliata","Bromus lanatus","Pentacalia microdon"
"Ecuador1","Pentacalia_microdon",1,35,"cushion",24,24,,18,,6,
"Ecuador1","Pentacalia_microdon",1,36,"cushion",26,26,,5,,,
"Ecuador1","Pentacalia_microdon",1,37,"cushion",31,31,,8,,,
"Ecuador1","Pentacalia_microdon",1,38,"cushion",50,50,,,,,
"Ecuador1","Pentacalia_microdon",1,39,"cushion",37,37,,,,,
"Ecuador1","Pentacalia_microdon",1,40,"cushion",53,53,,,,,
"Ecuador1","Pentacalia_microdon",1,41,"cushion",28,28,,,,,
"Ecuador1","Pentacalia_microdon",1,42,"cushion",30,30,,17,,,
"Ecuador1","Pentacalia_microdon",1,43,"cushion",30,30,,,,,
"Ecuador1","Pentacalia_microdon",1,44,"cushion",29,29,,,,,
"Ecuador1","Pentacalia_microdon",1,45,"cushion",30,30,,,,,
"Ecuador1","Pentacalia_microdon",1,46,"cushion",32,32,,,,,
"Ecuador1","Pentacalia_microdon",1,47,"cushion",23,23,,,,,
"Ecuador1","Pentacalia_microdon",1,48,"cushion",26,26,,,,6,
"Ecuador1","Pentacalia_microdon",1,49,"cushion",27,27,,1,,,
"Ecuador1","Pentacalia_microdon",1,50,"cushion",36,36,,,,,
"Ecuador1","Pentacalia_microdon",1,51,"cushion",43,43,,1,,2,
"Ecuador1","Pentacalia_microdon",1,52,"cushion",37,37,,1,,,
"Ecuador1","Pentacalia_microdon",1,53,"cushion",33,33,,,,,
"Ecuador1","Pentacalia_microdon",1,54,"cushion",49,49,,,,,
"Ecuador1","Pentacalia_microdon",1,55,"cushion",35,35,,5,,,
"Ecuador1","Pentacalia_microdon",1,56,"cushion",38,38,,6,,,
"Ecuador1","Pentacalia_microdon",1,57,"cushion",25,25,,,,,
"Ecuador1","Pentacalia_microdon",1,58,"cushion",32,32,,,,,
"Ecuador1","Pentacalia_microdon",1,63,"cushion",27,27,,,7,,
"Ecuador1","Pentacalia_microdon",1,64,"cushion",25,25,,4,,,
