site,cushion species,sample,cushion/open,diam1 (cm),diam2 (cm),Anthyllis,Carex 1,Carex 2,Caryophyllaceae,Cerastium,Cirsium,Daphne,Draba,Erigeron,Festuca,Gentiana 1,Gentiana 2 (blue),Globularia,Gnaphalium,Gregoria vitaliana,Helianthemum,Hieracium 1,Hieracium 2,Koeleria,Lamiaceae,Leontodon,Oreochloa,Oxytropis,Plantago,Pritzelago alpina,Saponaria caespitosa,Saxifraga 1,unk-folded leaf,Agrostis,Alchemilla,Arenaria,Gentiana 3 (pointed leaves),Linaria,Poa,Potentilla,Saxifraga 2,Sedum,Stellaria,Taraxicum,Teucrium,dataset code
"Benasque 2","Silene_acaulis",60,"open",27,20,2,1,,,"",,,,,,,,,,,3,2,,2,,,,,,,,2,,,1,,,,1,,,,,,,74
"Benasque 2","Silene_acaulis",65,"open",5,4,,1,,,"",,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,74
"Benasque 2","Silene_acaulis",66,"open",30,25,,,,,"",,,,3,,,,3,,,4,,,1,1,,,,,,,1,,,,,2,10,,,,,,,,74
"Benasque 2","Silene_acaulis",67,"open",30,20,2,4,,,"",1,2,,1,,,,1,,,1,,,,,,,,,,,1,,5,,,,,,,,,,,,74
"Benasque 2","Silene_acaulis",68,"open",55,50,1,,,,"",,,,,,,,3,,,6,,,2,,,1,,,,,,,,,,,2,,,,,,,,74
"Benasque 2","Silene_acaulis",69,"open",25,15,,3,,,"",,,,,,,,,,,1,,,1,,,,,,,,,,,,,,1,,,,,,,,74
"Benasque 2","Silene_acaulis",70,"open",25,25,4,4,,,"",,,,,,,,1,,,4,,,,,,,,,,,1,,,,,,3,,,,,,,,74
"Benasque 2","Silene_acaulis",72,"open",10,10,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74
"Benasque 2","Silene_acaulis",73,"open",12,10,,5,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74
"Benasque 2","Silene_acaulis",76,"open",40,35,3,6,,2,"",,,,1,,,,,,,8,,,3,,,,,,,,1,,1,,,,,,,,,,,,74
"Benasque 2","Silene_acaulis",77,"open",30,20,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74
"Benasque 2","Silene_acaulis",78,"open",8,4,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74
"Benasque 2","Silene_acaulis",79,"open",15,10,,,,,"",,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,74
"Benasque 2","Silene_acaulis",80,"open",18,10,,6,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74
"Benasque 2","Silene_acaulis",81,"open",25,20,,,,,"",,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,74
"Benasque 2","Silene_acaulis",83,"open",15,10,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74
"Benasque 2","Silene_acaulis",84,"open",20,10,,,,,"",,,,1,1,,,,,,1,,,,,,,,,,,,,,,,,,,2,,,,,,74
"Benasque 2","Silene_acaulis",6,"cushion",15,21,2,12,,,"",,,,,,1,,1,,,3,,,,,,,,,,,1,,,,,,,,,,,,,,74
"Benasque 2","Silene_acaulis",8,"cushion",43,35,1,16,,,"",,,,,1,,,,,,8,,,,,,26,,,,,,,,,,,,,,,,,,,74
"Benasque 2","Silene_acaulis",9,"cushion",36,30,1,41,,1,"",,,2,,,,,,,,,,,,,,12,,,1,,,,,,,,,,,,,,,,74
"Benasque 2","Silene_acaulis",10,"cushion",21,24,2,11,,,"",,,,,,,,,,,3,1,,,,,13,,,,1,,,,,,,,,,,,,,,74
"Benasque 2","Silene_acaulis",11,"cushion",30,30,3,17,,,"",,,,,,,,,,,11,6,,,,,8,,,,1,,,,,,,,,,,,,,,74
"Benasque 2","Silene_acaulis",17,"cushion",41,38,6,30,,,"",,,,1,,,,,,,7,2,,,1,,20,4,,,,,,,,,,,,,,,,,,74
"Benasque 2","Silene_acaulis",19,"cushion",13,9,0,0,,,"",,,,,,,,1,,,0,,,,,,0,,,,,,,,,,,,,,,,,,,74
"Benasque 2","Silene_acaulis",20,"cushion",20,8,1,0,,,"",,,,2,,,,,,,4,,,,,,10,,,,,,,,,,,,,,,,,,,74
"Benasque 2","Silene_acaulis",21,"cushion",16,4,2,16,,,"",,,,,,,,,,,3,,,,,,0,,,,,,,,,,,,,,,,,,,74
"Benasque 2","Silene_acaulis",22,"cushion",30,15,3,24,,,"",,,,,,,,,3,,6,,,,,,5,,1,,,,,,,,,,,,,,,,,74
"Benasque 2","Silene_acaulis",28,"cushion",22,16,0,,,3,"",,,,,,,,1,,,3,,,,,,,,,,,,,,,,,,,0,,,,,,74
"Benasque 2","Silene_acaulis",29,"cushion",31,27,,,,,"",,,,,,,,1,,,4,,,,,,,,,,,,,,,,,,,,,,,,,74
"Benasque 2","Silene_acaulis",30,"cushion",15,8,,,,,"",,,,,,,,,,,0,,,,,,,,,,,,,,,,,,3,,,,,,,74
"Benasque 2","Silene_acaulis",31,"cushion",40,37,,,,,"",,,,,,,,,,,4,,,,,,,,,,,,,,,,,6,,,,,,,,74
"Benasque 2","Silene_acaulis",32,"cushion",24,16,2,26,,,"",,,,0,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,74
"Benasque 2","Silene_acaulis",33,"cushion",39,27,6,39,,,"",,,,28,3,,,,,,22,,,,,,,,,,,,,,,,,,,,,,,,,74
"Benasque 2","Silene_acaulis",39,"cushion",32,21,7,22,,,"",,,,,,,,4,,,17,,,,,,0,,,,,,,,,,,,,,,,,,,74
"Benasque 2","Silene_acaulis",40,"cushion",39,22,6,8,,,"",,,,,,,,,,,10,1,,,,,12,8,,,,,,,,,,,,,,,,,,74
"Benasque 2","Silene_acaulis",41,"cushion",60,45,0,7,,,"",,2,1,1,,,,,,,11,,,,,,0,,,,,,,,,,,,12,,,,,,,74
"Benasque 2","Silene_acaulis",42,"cushion",50,50,4,45,,,"",,,,,,,,7,,,13,4,,,,,6,,,,,,,,6,,,,,,,,,,,74
"Benasque 2","Silene_acaulis",43,"cushion",30,25,3,22,,,"",,,,,,,,,,,11,,,,,,1,,,,,,,,2,,,,,,,,,,,74
"Benasque 2","Silene_acaulis",44,"cushion",20,20,1,4,,,"",,,1,,,,,,3,,8,,,,,,2,,1,,,,,,1,,,,,,,,,,,74
"Benasque 2","Silene_acaulis",50,"cushion",35,30,2,20,,,"",,,,,1,,,,,,2,,,,,,5,,,,,,,,,,,,,,,,,,,74
"Benasque 2","Silene_acaulis",51,"cushion",30,20,4,20,,,"",,,,,1,,,,,,6,,,,,,2,,,,,,,,,,,1,,,,,,,,74
"Benasque 2","Silene_acaulis",52,"cushion",23,14,1,9,,,"",,,,,2,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,74
"Benasque 2","Silene_acaulis",53,"cushion",20,17,5,,,,"",,,1,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,74
"Benasque 2","Silene_acaulis",54,"cushion",32,23,3,57,,,"1",,,1,,,,,1,,,,8,,2,,,2,2,,,,,,1,,,,,,,,,,,,74
"Benasque 2","Silene_acaulis",55,"cushion",21,14,5,23,,,"",,,,,,,,2,,,,5,,,,,,,,,,,,,,,,,,,,,,,,74
"Benasque 2","Silene_acaulis",61,"cushion",27,21,4,,,,"",,,,,,,,,,,6,,,3,,,,,,,,,,5,,,,,6,,,,3,,,74
"Benasque 2","Silene_acaulis",62,"cushion",40,30,3,25,,5,"",1,,,,,,,2,,,20,,,,,,5,,,,,,,,,,,,,,,,,,,74
"Benasque 2","Silene_acaulis",63,"cushion",40,35,6,14,,,"",,1,,,,,,,,,10,,,,2,,12,,,,,,,2,,,,1,,,,,,,,74
"Benasque 2","Silene_acaulis",64,"cushion",30,15,2,8,,,"",,1,,,,,,1,,,12,,,,,,,,,,,,,,,,,,,,,,,,,74
"Benasque 2","Silene_acaulis",65,"cushion",5,4,,1,,,"",,,,,,,,,,,3,,,,,,1,,,,,,,,,,,,,,,,,,,74
"Benasque 2","Silene_acaulis",66,"cushion",30,25,3,11,,,"",1,,,,2,,,3,,,10,,,,,,,,,,,,,,,,,6,,,,,,,,74
"Benasque 2","Silene_acaulis",72,"cushion",10,10,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74
"Benasque 2","Silene_acaulis",73,"cushion",12,10,,5,,,"",,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,74
"Benasque 2","Silene_acaulis",74,"cushion",18,12,3,8,,,"",,,,,,,,1,,,5,,,4,,,,,,,,,,,,,,,,,,,,,,74
"Benasque 2","Silene_acaulis",75,"cushion",20,15,2,10,,,"",,,,3,,,,,,,2,,,1,,,,,,,,,,,,,,,,,,,,,,74
"Benasque 2","Silene_acaulis",76,"cushion",40,35,3,5,,,"",,,,2,,,,,,,1,,,1,,,3,,,,,,,1,,,,,,,,,,3,,74
"Benasque 2","Silene_acaulis",77,"cushion",30,20,,,,,"",,,,,,,,1,,,3,,,,,,,,,,,,,,,,,,,,,,,,,74
"Benasque 2","Silene_acaulis",84,"cushion",20,10,,,,,"",,,1,1,,,,,,,2,,,,,,1,,,,,,,,,,,,,3,,,,,,74
"Benasque 2","Silene_acaulis",85,"cushion",20,15,,,,2,"",,,,,,,,,,,1,,,,,,,,,,,,,7,,,,,,4,,,,,,74
"Benasque 2","Silene_acaulis",1,"open",35,34,,29,,,"",,,,,,,,3,,,5,,,,,,,,,,,,,,,,,,,,,,,,,74
"Benasque 2","Silene_acaulis",2,"open",32,38,1,11,,,"",,2,,,,,,2,,,5,,,,,,,,,,,,,,,,,,,,,,,,,74
"Benasque 2","Silene_acaulis",3,"open",22,40,2,18,,,"",,,,,,,,,,,5,,,,,,,,,,1,,,,,,,,,,,,,,,74
"Benasque 2","Silene_acaulis",4,"open",14,18,,4,,,"",,,,,,,,,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,74
"Benasque 2","Silene_acaulis",12,"open",13,17,,10,,,"",,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,74
"Benasque 2","Silene_acaulis",14,"open",43,42,6,17,,,"",,,,,,1,,,,,8,,,,,,,,,,,2,,,,,,,,,,1,,,,74
"Benasque 2","Silene_acaulis",15,"open",29,34,4,28,,,"",,,1,1,1,,,,,,6,,,,,,1,,,,,,,,,,,,,,,1,,,,74
"Benasque 2","Silene_acaulis",16,"open",21,28,,10,,,"",,,,,,,,,,,3,,,,,,,,,,,1,,,,,,,,,,,,,,74
"Benasque 2","Silene_acaulis",23,"open",35,30,0,30,,2,"",,,1,5,,,,,,,9,,,,2,,0,2,,,,4,,,,,,,,,,,,,,74
"Benasque 2","Silene_acaulis",26,"open",30,21,1,9,,,"",,,,,,,,,12,,5,,,,,,0,,21,,,2,,,,,,,,,,,,,,74
"Benasque 2","Silene_acaulis",27,"open",46,40,3,10,,,"",,,,,,,,,,,9,,,,,,0,,,,,,,,,,,,3,,,,,,,74
"Benasque 2","Silene_acaulis",28,"open",22,16,1,,,,"",,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,4,,,,,,74
"Benasque 2","Silene_acaulis",35,"open",14,7,,10,,,"",,,,6,,,,,,,0,,,,1,,,,,,,,,,,,,,,,,,,,,74
"Benasque 2","Silene_acaulis",37,"open",16,9,,13,,,"",,,,,,,,1,,,4,,,,,,,,,,,,,,,,,,,,,1,,,,74
"Benasque 2","Silene_acaulis",38,"open",13,12,0,16,,,"",,,6,5,,,,,,,2,,,,,,0,,,,,,,,,,,,2,,,,,,,74
"Benasque 2","Silene_acaulis",39,"open",32,21,7,17,,,"",,1,,4,,,,,,,11,,,,,,0,,,,,1,,,,2,,,,,,,,,,74
"Benasque 2","Silene_acaulis",40,"open",39,22,5,21,,,"",,4,2,4,,,,,,,13,,,,,,0,5,,,,,,,,,,,,,,5,,,,74
"Benasque 2","Silene_acaulis",47,"open",25,20,,3,,,"",,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,74
"Benasque 2","Silene_acaulis",50,"open",35,30,,8,,,"",,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,74
"Benasque 2","Silene_acaulis",51,"open",30,20,1,4,,,"",,,,,,,,2,,,7,,,2,,,4,,,,,,,,,,,,,,,,,,,74
"Benasque 2","Silene_acaulis",52,"open",23,14,4,9,,,"",,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,74
"Benasque 2","Silene_acaulis",59,"open",38,21,1,10,,2,"",,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,74
"Benasque 2","Silene_acaulis",61,"open",27,21,4,,,,"",,,,,,,,,1,,12,,,,,,,,,,,4,,12,,,,,,,1,,,,,74
"Benasque 2","Silene_acaulis",62,"open",40,30,1,,,2,"",2,,,,,,,,,,3,1,,,,,13,,,,,,,,,,,,,,,,,,,74
"Benasque 2","Silene_acaulis",63,"open",40,35,,14,,,"",1,3,,,,,,,,,4,,,,3,,,,,,,,,2,,,,2,,,,,,,,74
"Benasque 2","Silene_acaulis",64,"open",30,15,,5,,,"",,,,,,,,4,,,1,,,1,1,,,,,,,4,,,,,,,,,,,,,,74
"Benasque 2","Silene_acaulis",71,"open",40,40,3,15,,,"",,,,,,,,,,,5,,,2,,,,,,,,,,,,,,2,,,,,,,,74
"Benasque 2","Silene_acaulis",74,"open",18,12,1,3,,,"",,,,,,,,1,,,2,,,2,,,,,,,,1,,,,,,,,,,,,,,74
"Benasque 2","Silene_acaulis",75,"open",20,15,1,5,,,"",,,,2,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,74
"Benasque 2","Silene_acaulis",82,"open",25,25,,,,,"",,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,74
"Benasque 2","Silene_acaulis",85,"open",20,15,,,,2,"",,,,,,,,,,,1,,,,,,,,,,,,,2,,,,,,4,,,,,,74
