dataset code,site name,cushion species,sample,cushion/open,diam 1 (cm),diam 2 (cm),Arabis,Brassicaceae,Draba,Draba red,Festuca,Poa alpina,Polygonum,Ranunculus,Saxifraga,Silene,Hutchinsia alpina,Minuartia
93,"Dolomites 4","Cerastium alpinum",43,"open",19,17,,,2,,,5,,,,,,
93,"Dolomites 4","Cerastium alpinum",45,"open",30,30,,,,,,3,,,,,,
93,"Dolomites 4","Cerastium alpinum",46,"open",19,18,,,,,,,,,1,,,
93,"Dolomites 4","Cerastium alpinum",47,"open",36,22,,,,,,3,,,,,,
93,"Dolomites 4","Cerastium alpinum",48,"open",25,25,,,,,,,,,,,,
93,"Dolomites 4","Cerastium alpinum",49,"open",21,20,,,,,,4,,,,,,
93,"Dolomites 4","Cerastium alpinum",50,"open",22,23,,,,,3,4,,,,,1,
93,"Dolomites 4","Cerastium alpinum",51,"open",18,14,,,,,,2,,,,,1,
93,"Dolomites 4","Cerastium alpinum",52,"open",27,22,,,,,,,,,,,,
93,"Dolomites 4","Cerastium alpinum",53,"open",28,27,,,,,,5,,,,,,
93,"Dolomites 4","Cerastium alpinum",54,"open",23,26,,,,,,,,,1,,,
93,"Dolomites 4","Cerastium alpinum",55,"open",48,20,,,,,,,,,,,,
93,"Dolomites 4","Cerastium alpinum",56,"open",23,19,,,,,,1,,,1,,3,
93,"Dolomites 4","Cerastium alpinum",57,"open",26,23,,,4,,,1,,,,,,
93,"Dolomites 4","Cerastium alpinum",58,"open",28,18,,,,,,9,,,2,,1,
93,"Dolomites 4","Cerastium alpinum",59,"open",27,27,,,,,,2,,,,,,
93,"Dolomites 4","Cerastium alpinum",60,"open",15,32,,,1,,,1,,,,,,
93,"Dolomites 4","Cerastium alpinum",61,"open",30,21,,,2,,,9,,,,,,
93,"Dolomites 4","Cerastium alpinum",62,"open",23,19,,,1,,,6,,,,,,
93,"Dolomites 4","Cerastium alpinum",63,"open",16,15,,,,,,3,,,,,1,
93,"Dolomites 4","Cerastium alpinum",65,"open",16,14,,,2,,,4,,,,,,
93,"Dolomites 4","Cerastium alpinum",66,"open",27,20,,,,,,2,,,,,,
93,"Dolomites 4","Cerastium alpinum",67,"open",20,24,,,,,,,,,,,,
93,"Dolomites 4","Cerastium alpinum",68,"open",18,19,,,,,,,,,,,,
93,"Dolomites 4","Cerastium alpinum",69,"open",20,16,,,,,,,,,,,,
93,"Dolomites 4","Cerastium alpinum",70,"open",16,14,,,,,,2,,,,,,
93,"Dolomites 4","Cerastium alpinum",71,"open",30,23,,,,,,5,,,1,,,
93,"Dolomites 4","Cerastium alpinum",72,"open",25,17,,,,,,1,,,,,,
93,"Dolomites 4","Cerastium alpinum",73,"open",40,20,,,,,,2,,,,,,
93,"Dolomites 4","Cerastium alpinum",74,"open",20,17,,,,,,2,,,,,,
93,"Dolomites 4","Cerastium alpinum",75,"open",25,21,,,,,,,,,1,,,
93,"Dolomites 4","Cerastium alpinum",76,"open",20,28,,,,,,,,,,,,
93,"Dolomites 4","Cerastium alpinum",77,"open",22,18,,,,,,,,,,,,
93,"Dolomites 4","Cerastium alpinum",78,"open",23,18,,,,,,,,,,,,
93,"Dolomites 4","Cerastium alpinum",79,"open",31,24,,,,,,,,,,,1,
93,"Dolomites 4","Cerastium alpinum",80,"open",21,15,,,,,,3,,,,,,
93,"Dolomites 4","Cerastium alpinum",81,"open",18,15,,,2,,,,,,,,,
93,"Dolomites 4","Cerastium alpinum",82,"open",35,19,,,,,,,,,2,,,
93,"Dolomites 4","Cerastium alpinum",83,"open",20,12,,,,,,,,,,,,
93,"Dolomites 4","Cerastium alpinum",84,"open",30,35,,,,,,1,,,,,,
93,"Dolomites 4","Cerastium alpinum",85,"open",26,14,,,,,,1,,,,,,
93,"Dolomites 4","Cerastium alpinum",87,"open",20,16,,,,,,1,,,2,,,
93,"Dolomites 4","Cerastium alpinum",88,"open",20,16,,,,,,,,,,,,
93,"Dolomites 4","Cerastium alpinum",89,"open",30,33,,,,,,,,,,,,
93,"Dolomites 4","Cerastium alpinum",90,"open",22,20,,,,,,2,,,,,,
93,"Dolomites 4","Cerastium alpinum",91,"open",28,21,,,,,,1,,,,,,
93,"Dolomites 4","Cerastium alpinum",21,"cushion",23,26,,,,,,,,,,,,
93,"Dolomites 4","Cerastium alpinum",42,"cushion",22,22,,,,,,3,,,,,,
93,"Dolomites 4","Cerastium alpinum",61,"cushion",30,21,,,2,,2,9,,,,,,
93,"Dolomites 4","Cerastium alpinum",87,"cushion",20,16,,,1,,,,,,1,,,
93,"Dolomites 4","Cerastium alpinum",25,"open",11,13,,,,,,2,,,,,,
93,"Dolomites 4","Cerastium alpinum",44,"open",25,21,,,,,,7,,,,,,
93,"Dolomites 4","Cerastium alpinum",64,"open",23,20,,,,,,1,,,,,,
93,"Dolomites 4","Cerastium alpinum",86,"open",19,16,,,1,,,,,,,,,
93,"Dolomites 4","Cerastium alpinum",40,"cushion",18,19,,,,,,2,,,1,,1,1
