dataset code,site name,cushion species,sample,cushion/open,diam 1 (cm),diam 2 (cm),Achillea,Ajuga,Androsacaea,Anthyllis,Arabis alpina,Arabis hirsuta,Arenaria,Asteracaea,Bartsia alpina,Bellis,Botrychium lunaria,Brassicacaea,Campanula,Carex curvula,Carex firma,Caryophyllacaea,Draba,Dryas octopetala,Elyna,Festuca dark,Festuca sp,Gentiana sp,Helianthemum,Leontopodium,Papaver,Pedicularis,Poa sp,Polygonum vivparum,Salix,Salix retusa,Saxifraga caesia,Saxifraga oppositifolia,Saxifraga with tooth,Sesleria,Silene acaulis,Thlaspi,Viola
91,"Dolomites 2","Silene acaulis",29,"open",12,11,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,
91,"Dolomites 2","Silene acaulis",30,"cushion",31,22,,,,,,,,,,,,,,,,,,,,,25,,,,,,,,,,,,,4,,,
91,"Dolomites 2","Silene acaulis",30,"open",31,22,,,,,,,1,,,,,,2,,,,,,,5,,,,,,,,,,,,,,3,,,
91,"Dolomites 2","Silene acaulis",31,"cushion",16,12,,,,,1,,,,,,,,1,,,,,,,2,18,,,,,,,,,,,,,,,,
91,"Dolomites 2","Silene acaulis",31,"open",16,12,,,,,,,,,,,,,2,,,,,,,4,,,,,,,1,,,,,,,,,,
91,"Dolomites 2","Silene acaulis",32,"cushion",45,34,,,,,,,,,,,,,35,,,,,,,,17,1,,,,,2,,,,,,,,,,
91,"Dolomites 2","Silene acaulis",32,"open",45,34,,,,,2,1,,,,,,,,,,,,,,5,4,1,,,,,,,,,,,,,,,
91,"Dolomites 2","Silene acaulis",33,"cushion",30,23,,,,,1,,,,,,,,,,,,,,,,18,,,,,,,,,,,,,12,,,
91,"Dolomites 2","Silene acaulis",33,"open",30,23,,,,,,,,,,,,,1,,,,,,,3,,,,,,,,,,,,,,2,,,
91,"Dolomites 2","Silene acaulis",34,"cushion",14,16,,,,,,,,,,,,,4,,,,,,,2,,,,,,,,,,,,,,7,,,
91,"Dolomites 2","Silene acaulis",34,"open",14,16,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,
91,"Dolomites 2","Silene acaulis",35,"cushion",14,12,,,,,,,,,,,,,,,,,,,,,15,,,,,,,,,,,,,,,,
91,"Dolomites 2","Silene acaulis",35,"open",14,12,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,
91,"Dolomites 2","Silene acaulis",36,"cushion",23,13,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,
91,"Dolomites 2","Silene acaulis",36,"open",23,13,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
91,"Dolomites 2","Silene acaulis",37,"cushion",26,18,,,,,2,,,,,,,,,,,,,,,2,6,,,,,,,,,,,,,3,,,
91,"Dolomites 2","Silene acaulis",37,"open",26,18,,,,,,,1,,,,,,,,,,,,,3,,,,,,,,,,,,,,3,,,
91,"Dolomites 2","Silene acaulis",38,"cushion",10,11,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,2,,,
91,"Dolomites 2","Silene acaulis",38,"open",10,11,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,
91,"Dolomites 2","Silene acaulis",39,"cushion",41,26,,,,,,,,,,,,,,,1,,,1,,,7,,,,,,,,,,1,,,3,,,
91,"Dolomites 2","Silene acaulis",39,"open",41,26,,,,,,,1,,,,,,,,,,,,,3,,,,,,,,,,,4,,,8,,,
91,"Dolomites 2","Silene acaulis",40,"cushion",36,26,,,,,,2,,,,,,,,,5,,,,,,,,,,,,,,,,2,,,6,,,
91,"Dolomites 2","Silene acaulis",40,"open",36,26,,,,,,,,,,,,,11,,,,,,,2,,,,,,,,,,,,,,5,,,
91,"Dolomites 2","Silene acaulis",41,"cushion",16,11,,,,,,,,,,,,,,,1,,,1,,,1,,,,,,,,,,,,,7,,,
91,"Dolomites 2","Silene acaulis",41,"open",16,11,,,,,,,,,,,,,,,,,,1,,,2,,,,,,,,,,,,,,,,
91,"Dolomites 2","Silene acaulis",42,"cushion",32,19,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,
91,"Dolomites 2","Silene acaulis",42,"open",32,19,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,2,,,
91,"Dolomites 2","Silene acaulis",43,"cushion",34,25,,,,,,,,,,,,,,,,,,,,,12,,,,,,,,,,,,,10,,,
91,"Dolomites 2","Silene acaulis",43,"open",34,25,,,,,,,3,,,,,,,,,,,1,,,2,,,,,,,,,,,,,,,,
91,"Dolomites 2","Silene acaulis",44,"cushion",15,13,,,,,,,1,,,,,,,,,,,,,1,1,,,,,,,,,,,,,4,,,
91,"Dolomites 2","Silene acaulis",44,"open",15,13,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,"Dolomites 2","Silene acaulis",45,"cushion",12,9,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,4,,,
91,"Dolomites 2","Silene acaulis",45,"open",12,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,
91,"Dolomites 2","Silene acaulis",46,"cushion",11,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,
91,"Dolomites 2","Silene acaulis",46,"open",11,10,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
91,"Dolomites 2","Silene acaulis",47,"cushion",24,24,,,,,,1,1,,,,1,,,,,,,,,,24,,,,,,3,12,1,,,,,3,,,
91,"Dolomites 2","Silene acaulis",47,"open",24,24,,,,,,1,,,,,,,,,,,,1,,,3,,,,,,3,,1,,,,,,,,
91,"Dolomites 2","Silene acaulis",48,"cushion",24,16,,,,,,,,,,,,,,,,,,5,,,25,,,,,,,6,1,,,,,6,,,
91,"Dolomites 2","Silene acaulis",48,"open",24,16,,,,,,,,,,,,,,,,,,,,,10,,,,,,7,12,,,,,,2,,,
91,"Dolomites 2","Silene acaulis",49,"cushion",24,17,,,,,4,,1,,,,,,,,,,,,,,19,1,,,,,,,,,,,,6,,,
91,"Dolomites 2","Silene acaulis",49,"open",24,17,,,,,,,1,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,
91,"Dolomites 2","Silene acaulis",50,"cushion",29,39,,,1,,,,,,,,,,,,6,,,3,,,,,,,,,,5,,,,,,,,,
91,"Dolomites 2","Silene acaulis",50,"open",29,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,
91,"Dolomites 2","Silene acaulis",51,"cushion",15,18,,,,,,,,,,,,,,,2,,,3,,,,,,,,,,4,,,,,,2,,,
91,"Dolomites 2","Silene acaulis",51,"open",15,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,
91,"Dolomites 2","Silene acaulis",52,"cushion",57,30,,,,,,,,,,,,,,,,6,,,,,,,,,,,,10,2,,,,,8,,,
91,"Dolomites 2","Silene acaulis",52,"open",57,30,,,,,,,,,,,,,,,,7,,,,,,,,,,,,4,,,,,,2,,,
91,"Dolomites 2","Silene acaulis",53,"cushion",48,31,,,,,,,,,,,,,,,7,,,2,,,,,,,,,,3,4,,,,,4,,,
91,"Dolomites 2","Silene acaulis",53,"open",48,31,,,,,,,,,,,,,,,4,,,1,,,,,,,,,,,2,,,,,3,,,
91,"Dolomites 2","Silene acaulis",54,"cushion",14,13,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,1,,,
91,"Dolomites 2","Silene acaulis",54,"open",14,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,"Dolomites 2","Silene acaulis",55,"cushion",17,10,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,8,,,
91,"Dolomites 2","Silene acaulis",55,"open",17,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
91,"Dolomites 2","Silene acaulis",56,"cushion",19,11,,,1,,,1,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,9,,,
91,"Dolomites 2","Silene acaulis",56,"open",19,11,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,2,,,,,,,,
91,"Dolomites 2","Silene acaulis",57,"cushion",14,18,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,2,,,,,3,,,
91,"Dolomites 2","Silene acaulis",57,"open",14,18,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,
91,"Dolomites 2","Silene acaulis",58,"cushion",22,34,,3,,2,1,,,,,,,,,,15,,,,,,,,5,,,,,,,,,,,4,,,
91,"Dolomites 2","Silene acaulis",58,"open",22,34,,,,,,,,,,,,,,,1,,,,,,,,2,,,,,1,,,,,,2,,,
91,"Dolomites 2","Silene acaulis",59,"cushion",33,29,,,,,,,,,,,,,,,7,,,,,,,,4,,,,,,,,,,,2,,,
91,"Dolomites 2","Silene acaulis",59,"open",33,29,,,,,1,,,,,,,,,,6,,,,,,,,1,,,,,,,,,,,1,,,
91,"Dolomites 2","Silene acaulis",60,"cushion",45,36,,,1,4,3,,,,,,,,,,11,,,,,,,,7,,,,,3,,,,,,7,,,
91,"Dolomites 2","Silene acaulis",60,"open",45,36,,,,,,,,,,,,,,,6,,,,,,,,2,,,,,,,,1,,,2,,,
91,"Dolomites 2","Silene acaulis",61,"cushion",21,17,,,3,,,,,,,,,,,,5,,,2,,,,,2,,,,,,,,,,,1,,,
91,"Dolomites 2","Silene acaulis",61,"open",21,17,,,1,,,,,,,,,,,,5,,,,,,,,2,,,,,1,,,,,,,,,
91,"Dolomites 2","Silene acaulis",62,"cushion",17,17,,,1,,,,,,,,,,,,3,,,,,,,,,,,,,,2,,,,,2,,,
91,"Dolomites 2","Silene acaulis",62,"open",17,17,,,,1,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,
91,"Dolomites 2","Silene acaulis",63,"cushion",57,26,,,2,,,,,,,,,,,,15,,,,,,,,1,,,3,,1,1,,,,,12,,,
91,"Dolomites 2","Silene acaulis",63,"open",57,26,,,,,1,,,,,,,,,,4,,,,,,,,,,,,,1,,,,,,11,,,
91,"Dolomites 2","Silene acaulis",64,"cushion",40,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,6,,1,
91,"Dolomites 2","Silene acaulis",64,"open",40,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,1,
91,"Dolomites 2","Silene acaulis",65,"cushion",18,19,,,3,,,,1,,,,,,,,2,,,1,,,,,,,,,,,,,,,,6,,,
91,"Dolomites 2","Silene acaulis",65,"open",18,19,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
91,"Dolomites 2","Silene acaulis",66,"cushion",21,20,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,6,,,
91,"Dolomites 2","Silene acaulis",66,"open",21,20,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,2,,,
91,"Dolomites 2","Silene acaulis",67,"cushion",35,23,,,,,2,,1,,,,,,,,15,,,,,,,,,,,,,1,,,,,,10,,,
91,"Dolomites 2","Silene acaulis",67,"open",35,23,,,,,1,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,6,,,
91,"Dolomites 2","Silene acaulis",68,"cushion",11,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,
91,"Dolomites 2","Silene acaulis",68,"open",11,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,
91,"Dolomites 2","Silene acaulis",69,"cushion",22,20,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,5,,,
91,"Dolomites 2","Silene acaulis",69,"open",22,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,
91,"Dolomites 2","Silene acaulis",70,"cushion",24,17,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,2,,,,,11,,,
91,"Dolomites 2","Silene acaulis",70,"open",24,17,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,1,,,,,4,,,
91,"Dolomites 2","Silene acaulis",71,"cushion",19,20,,,,,,,,,,,,,,6,1,,,1,,,,,,,,,,,1,,,,,4,,,
91,"Dolomites 2","Silene acaulis",71,"open",19,20,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,4,,,
91,"Dolomites 2","Silene acaulis",72,"cushion",26,15,,,,,,,,,,,,,,,16,,,,,,,,,,,,,,,,,,,3,,,
91,"Dolomites 2","Silene acaulis",72,"open",26,15,,,,,,2,,,,,,,,,4,,,,,,,,,,,,,,,,,,,2,,,
91,"Dolomites 2","Silene acaulis",73,"cushion",20,30,,,1,2,,,,,,,,,,,4,,,1,,,,,2,,,,,,,,,,,5,,,
91,"Dolomites 2","Silene acaulis",73,"open",20,30,,,1,,,,,,,,,,,,5,,,,,,,,1,,,,,,1,,,,,3,,,
91,"Dolomites 2","Silene acaulis",74,"cushion",17,9,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,2,,,
91,"Dolomites 2","Silene acaulis",74,"open",17,9,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,
91,"Dolomites 2","Silene acaulis",75,"cushion",32,23,,,,3,,,,,1,1,,,,4,15,,,2,,,,,6,,,,,3,,,,,,11,,,
91,"Dolomites 2","Silene acaulis",75,"open",32,23,,,,2,,,,,,,,,,,9,,,,,,,,3,,,,,1,,,,,,4,,,
91,"Dolomites 2","Silene acaulis",76,"cushion",16,12,,,,,,,,,,,,,,,5,,,9,,,,,,,,,,9,1,,,,,2,,,
91,"Dolomites 2","Silene acaulis",76,"open",16,12,,,,2,,,,,,,,,,,3,,,1,,,,,,,,,,1,1,,,,,,,,
91,"Dolomites 2","Silene acaulis",77,"cushion",28,24,,,,,,,,,,,,,,,10,,,3,,,,,,,,,,2,,,,,,6,,,
91,"Dolomites 2","Silene acaulis",77,"open",28,24,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,1,,,,4,,,
91,"Dolomites 2","Silene acaulis",78,"cushion",10,8,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,2,,,
91,"Dolomites 2","Silene acaulis",78,"open",10,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,
91,"Dolomites 2","Silene acaulis",79,"cushion",30,34,,,,,,,,,,,,,,20,3,,,8,,,,,,,,,,,,,,,,1,,,
91,"Dolomites 2","Silene acaulis",79,"open",30,34,,,,,,,,,,,,1,,,5,,,2,,,,,,,,,,,,,,,,2,,,
91,"Dolomites 2","Silene acaulis",80,"cushion",40,32,,,,,,,,,,,,,,,5,,,,3,,,,4,,,,,,,2,,,,3,,,
91,"Dolomites 2","Silene acaulis",80,"open",40,32,,,,,,,,,,,,,1,,5,,,,,,,,,,,,,,,,,,,2,,,
91,"Dolomites 2","Silene acaulis",81,"cushion",40,24,,,,,,,,,,,,,,,4,,,,,,,,1,,,,,,,2,,,,10,,,
91,"Dolomites 2","Silene acaulis",81,"open",40,24,,,,,,,,,,,,,,,1,,,,,,,,2,,,,,,,,,,,,,,
91,"Dolomites 2","Silene acaulis",82,"cushion",40,20,,,,,,,,,,,,,,,7,,,,,,,,6,,,,,,,2,,,1,3,,,
91,"Dolomites 2","Silene acaulis",82,"open",40,20,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,,,
91,"Dolomites 2","Silene acaulis",83,"cushion",35,20,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,1,,,,3,,,
91,"Dolomites 2","Silene acaulis",83,"open",35,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
91,"Dolomites 2","Silene acaulis",84,"cushion",30,10,,,1,,,,,,,,,,1,,,,,,,,,1,1,,,,,,,,,,,8,,,
91,"Dolomites 2","Silene acaulis",84,"open",30,10,,,,,,,,,,,,,3,,,,,,,,,,1,,,,,,,,,,,2,,,
91,"Dolomites 2","Silene acaulis",85,"cushion",28,12,,,2,,,,,,,,,,,,4,,,,,,,,2,,,,,,,,,,1,3,,,
91,"Dolomites 2","Silene acaulis",85,"open",28,12,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,3,,,
91,"Dolomites 2","Silene acaulis",86,"cushion",20,13,,,1,,,,,,,,,,,,3,,,,,,,,1,,,,,,,,,,,3,,,
91,"Dolomites 2","Silene acaulis",86,"open",20,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
91,"Dolomites 2","Silene acaulis",87,"cushion",20,16,,,,,,,,,,,,,,,4,,,,1,,,,,,,,,,,,,,,4,,,
91,"Dolomites 2","Silene acaulis",87,"open",20,16,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,
91,"Dolomites 2","Silene acaulis",88,"cushion",45,30,,,,,,,,,,,,,1,,8,,,,2,,,,5,,,,,,,,,,,5,,,
91,"Dolomites 2","Silene acaulis",88,"open",45,30,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,2,3,,1,1
91,"Dolomites 2","Silene acaulis",89,"cushion",45,20,,,,,,,,,,,,,,,7,,,,1,,,,5,,,,,,,,,,,9,,,
91,"Dolomites 2","Silene acaulis",89,"open",45,20,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,1,,,,,
91,"Dolomites 2","Silene acaulis",90,"cushion",16,14,,,,,,,,,,,,,,,2,,,,,,,,2,,,,,,,1,,,,3,,,
91,"Dolomites 2","Silene acaulis",90,"open",16,14,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,2,,,
91,"Dolomites 2","Silene acaulis",91,"cushion",36,20,,,1,,,,,,,,,,,,6,,,,,,,,2,,,,,,,,,,,6,,,
91,"Dolomites 2","Silene acaulis",91,"open",36,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,
91,"Dolomites 2","Silene acaulis",92,"cushion",55,45,,,,,,,,,,,,,,,14,,,1,,,,1,4,,,,,,,4,,,,13,,,
91,"Dolomites 2","Silene acaulis",92,"open",55,45,,,,,,,,,,,,,,,2,,,,,,,1,3,,,,,,,5,,,,10,,,
91,"Dolomites 2","Silene acaulis",93,"cushion",45,28,,,,,,,,,,,,,,,10,,,,,,,,4,,,,,,,,,,3,12,,,
91,"Dolomites 2","Silene acaulis",93,"open",45,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,,,1
91,"Dolomites 2","Silene acaulis",94,"cushion",60,20,,,,,,,,,,,,,,,3,,,,,,,,2,,,,,3,,,,,5,17,,,
91,"Dolomites 2","Silene acaulis",94,"open",60,20,,,,,,,1,,,,,,,,1,,,,,,,,4,,,,,,,,,,3,6,,,
