"site","cushion","code","sample","cushion.open","diam1","diam2","Acaena pinnatifida","Acaena splendens","Adesmia sp 1","Adesmia sp 2","Bromus setifolius","Euphorbia collina","Juncus sp","Mulinum spinosum","Olsynium frigidum","Perezia recurvata","Perezia sp","Poa sp","Senecio francisci","Senecio sp","Sisyrinchium arenarium","Tarasa humilis","Viola cotyledon","Unidentified Poaceae"
"Antuco","Oreopolus glacialis",15,53,"cushion",,,,1,,,,,,,,,1,1,,9,,,1,
"Antuco","Oreopolus glacialis",15,54,"cushion",,,,1,,1,,,,,1,,,,,1,,,,
"Antuco","Oreopolus glacialis",15,55,"cushion",,,,,,,1,,,,,,1,,,4,,,,
"Antuco","Oreopolus glacialis",15,1,"open",,,,,,,,,,,,,,,,1,,,,
"Antuco","Oreopolus glacialis",15,2,"open",,,,,,,,,,,,,,,,,,,,
"Antuco","Oreopolus glacialis",15,3,"open",,,,,,,,,,,,,,,,,,,,
"Antuco","Oreopolus glacialis",15,4,"open",,,,,,,,,,,,,,,,,,,,
"Antuco","Oreopolus glacialis",15,5,"open",,,,,,,,,,,,,,,,,,,,
"Antuco","Oreopolus glacialis",15,6,"open",,,,,,,,,,,,,,,,,,,,
"Antuco","Oreopolus glacialis",15,7,"open",,,,,,,,,,,,,,,,,,,,
"Antuco","Oreopolus glacialis",15,8,"open",,,,,,,,,,,,,,,,,,,,
"Antuco","Oreopolus glacialis",15,9,"open",,,,,,,,,,,,,,,,,,,,
"Antuco","Oreopolus glacialis",15,10,"open",,,,,,,,,,,,,,,,,,,,
"Antuco","Oreopolus glacialis",15,11,"open",,,,,,,,1,,,,,,,,,,,,
"Antuco","Oreopolus glacialis",15,12,"open",,,,,,,,,,,,,,,,,,,,
"Antuco","Oreopolus glacialis",15,13,"open",,,,,,,,,,,,,,,,,,,,
"Antuco","Oreopolus glacialis",15,14,"open",,,,,,,,,,,,,,,,,,,,
"Antuco","Oreopolus glacialis",15,15,"open",,,,,,,,,,,,,,,,,,,,
"Antuco","Oreopolus glacialis",15,16,"open",,,,1,,,,,,,,,,,,,,,,
"Antuco","Oreopolus glacialis",15,17,"open",,,,,,,,,,,,,,,,,,,,
"Antuco","Oreopolus glacialis",15,18,"open",,,,,,,,,,,,,,,,,,,,
"Antuco","Oreopolus glacialis",15,19,"open",,,,,,,,,,,,,,,,,,,,
"Antuco","Oreopolus glacialis",15,20,"open",,,,1,,,,,,,,,,,,,,,,
"Antuco","Oreopolus glacialis",15,21,"open",,,,,,,,,,,,,,,,,,,,
"Antuco","Oreopolus glacialis",15,25,"open",,,,,,,,,,,,,,,,,,,,
"Antuco","Oreopolus glacialis",15,26,"open",,,,,,,,,,,,,,,,,,,,
"Antuco","Oreopolus glacialis",15,27,"open",,,,,,,,,,,,,,,,,,,,
"Antuco","Oreopolus glacialis",15,28,"open",,,,,,,,,,,,,,,,,,,,
"Antuco","Oreopolus glacialis",15,29,"open",,,,,,,,,,,,,,,,,,,,
"Antuco","Oreopolus glacialis",15,30,"open",,,,,,,,,,,,,,,,,,,,
"Antuco","Oreopolus glacialis",15,31,"open",,,,,,,,,,,,,,,,,,,,
"Antuco","Oreopolus glacialis",15,32,"open",,,,,,,,,,,,,,,,,,,1,
"Antuco","Oreopolus glacialis",15,33,"open",,,,,,,,,,,,,,,,,,,,
"Antuco","Oreopolus glacialis",15,34,"open",,,,,,,1,,,,,,,,,,,,,
"Antuco","Oreopolus glacialis",15,35,"open",,,,,,,,2,,,,,,,,,,,,
"Antuco","Oreopolus glacialis",15,36,"open",,,,,,,,,,,,,,,,,,,,
"Antuco","Oreopolus glacialis",15,37,"open",,,,,,,,1,,,,,,,,,,,,
"Antuco","Oreopolus glacialis",15,38,"open",,,,,,,,,,,,,,,,,,,,
"Antuco","Oreopolus glacialis",15,39,"open",,,1,,,,1,,,,,,,,,,,,,
"Antuco","Oreopolus glacialis",15,40,"open",,,,,,,,,,,,,,,,,,,,
"Antuco","Oreopolus glacialis",15,41,"open",,,,,,,,,,,,,,,,,,,,
"Antuco","Oreopolus glacialis",15,42,"open",,,,,,1,,,,,,1,,,,,,,,
"Antuco","Oreopolus glacialis",15,43,"open",,,,,,,,,,,,,,,,,,,,
"Antuco","Oreopolus glacialis",15,44,"open",,,,,,,,,,,,,,,,,,,,
"Antuco","Oreopolus glacialis",15,45,"open",,,1,,,1,5,,,,,,,,,,,,,
"Antuco","Oreopolus glacialis",15,46,"open",,,,,,,,,,,,,,,,,,,,
"Antuco","Oreopolus glacialis",15,47,"open",,,,,,,1,1,,,,,,,,,,,,
