dataset code,site name,cushion species,sample,cushion/open,diam 1 (cm),diam 2 (cm),Androaceae,Arabis,Arenaria,Astragulus,Carex spp1,Caryo1,Cerastium alpina,Draba,Eretrichium,Festuca,Gentiana,Hutchinsia alpina,Oxytropis,Poa,Polygonom,Primula,Pritzelago,Salix,Salix serpellyfolia,Saxafraga THIN,Saxifraga oppositifolia,Saxifraga ROUND,Seselaria,Silene,Carex curvula,Carex firma
253,"Senecio sp","",,"Asteraceae","Senecio",,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000044506188068797,,,,,,,,,,,,,,,,,,,,,,,,,
851,"Senecio","",,"Asteraceae","Senecio",,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000189150121567724,,,,,,,,,,,,,,,,,,,,,,,,,
876,"Senecio dents","",,"Asteraceae","Senecio",,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000044506188068797,,,,,,,,,,,,,,,,,,,,,,,,,
875,"Senecio","",,"Asteraceae","Senecio",,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000189150121567724,,,,,,,,,,,,,,,,,,,,,,,,,
1232,"Senecio sp","",,"Asteraceae","Senecio",,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000044506188068797,,,,,,,,,,,,,,,,,,,,,,,,,
1259,"Senecio sp","",,"Asteraceae","Senecio",,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000044506188068797,,,,,,,,,,,,,,,,,,,,,,,,,
1365,"Senecio falso","",,"Asteraceae","Senecio",,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000044506188068797,,,,,,,,,,,,,,,,,,,,,,,,,
1646,"Sibbaldia","",,"Rosaceae","Sibbaldia",,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000111260483423795,,,,,,,,,,,,,,,,,,,,,,,,,
1692,"Sibbaldia","",,"Rosaceae","Sibbaldia",,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000111260483423795,,,,,,,,,,,,,,,,,,,,,,,,,
717,"Silene","",,"Caryophyllaceae","Silene",,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000756570608528716,,,,,,,,,,,,,,,,,,,,,,,,,
790,"lichen (Siphula)","Lichen",42,"","Siphula",,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000667535739037572,,,,,,,,,,,,,,,,,,,,,,,,,
718,"Solidago","",,"Asteraceae","Solidago",,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000013796157342608,,,,,,,,,,,,,,,,,,,,,,,,,
1643,"Solidago","",,"Asteraceae","Solidago",,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000013796157342608,,,,,,,,,,,,,,,,,,,,,,,,,
1693,"Solidago","",,"Asteraceae","Solidago",,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000013796157342608,,,,,,,,,,,,,,,,,,,,,,,,,
1496,"Sphagnum spp (y= yes)","Bryophyta",70,"Sphagnaceae","Sphagnum",,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000129062228659635,,,,,,,,,,,,,,,,,,,,,,,,,
1518,"Sphagnum spp (y= yes)","",,"Sphagnaceae","Sphagnum",,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000129062228659635,,,,,,,,,,,,,,,,,,,,,,,,,
1543,"Sphagnum spp (y= yes)","",,"Sphagnaceae","Sphagnum",,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000129062228659635,,,,,,,,,,,,,,,,,,,,,,,,,
1638,"Stellaria","",,"Caryophyllaceae","Stellaria",,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000111261434066512,,,,,,,,,,,,,,,,,,,,,,,,,
