"site","cusion","code","sample","cushion.open","diam1","diam2","area","Azorella aretioides","Azorella pedunculata / corymbosa","Baccharis caespitosa","Bartsia stricta","Bromus lanatus","Carex tristicha","Castilleja nubigena","Cerastium floccosum","Cerastium imbricatum","Cerastium trianae Briq","Chuqiragua jussieui","Draba aretioides","Ephedra americana","Erigeron ecuadoriensis","Floscaldasia hypsophila","Gentiana sedifolia","Gentianella rupicola","Geranium ecuadoriensis","Geranium multipartitum","Halenia weddeliana","Huperzia crassa","Hypochaeris sessiliflora","Lachemilla hispidulata","Lachemilla orbiculata","Lasiocephalus ovatus","Lucilia kunthiana","Lupinus microphyllus","Luzula racemosa","Lysipomia acaulis","Myrosmodes sp","Nototriche hartwegii","Oreomyrrhis andicola","Oritrophium peruvianium","Ourisia muscoides","Pernettya prostata","Plantago nubigena","Plantago rigida","Ranunculus guzmanii","Ranunculus peruvianus","Senecio canescens","Senecio nivalis","Poaceae spp","Valeriana alypifolia","Valeriana aretioides","Valeriana rigida","Viola bangii","Werneria nubigena","Werneria pumila","Werneria pygmaea","Xenophyllum rigidum","Moss spp"
"Ecuador2","Azorella aretioides",3,57,"cushion",,,,,,4,,,5,,,,,,,,,,,,,16,,,16,,,,6,,,,1,,,,,,,,,,,,82,,,,,8,,,,
"Ecuador2","Azorella aretioides",3,58,"cushion",,,,,,1,3,,2,,,,1,,,,,,3,,,16,,,9,,,,3,,,,1,2,,,,,,,,,,,67,,,,,,,,,
"Ecuador2","Azorella aretioides",3,59,"cushion",,,,,,4,1,,22,,,,,,,,,,,,,11,,,8,,,,,,3,,,,,,,,2,1,,,,,56,,,,1,,,,,
"Ecuador2","Azorella aretioides",3,60,"cushion",,,,,,1,1,1,1,,,1,,,,,,,4,,,19,,,7,,,,,,,,,1,,,,,,,,,,,106,,,2,4,5,,,,
"Ecuador2","Azorella aretioides",3,61,"cushion",,,,,,1,,,14,,,,,,,,2,,1,,,11,,1,3,,,,8,,1,,,,,,,,1,,,,,,47,,,,,4,,,,
"Ecuador2","Azorella aretioides",3,62,"cushion",,,,,,1,4,,6,,,,,,,,1,,1,,,10,,,11,,,,1,,,,,,,,,,1,1,,,,,41,,,,2,5,,,,
"Ecuador2","Azorella aretioides",3,63,"cushion",,,,,,1,,,1,,,,1,,,,,,2,,,16,,,13,,,,,,,,1,1,,,,,,,,,,,66,,,,,2,,,,1
"Ecuador2","Azorella aretioides",3,64,"cushion",,,,,,,,,2,,,,,,,,1,,,,,5,,,5,,,,2,1,,,,,,,,,3,,,,,,42,,,,,6,,2,,
"Ecuador2","Azorella aretioides",3,65,"cushion",,,,,,,3,,6,,,,,,,,3,,,,,13,,,11,,,,,1,,,,,,,,,,,,,,,51,,,,,14,,2,,
"Ecuador2","Azorella aretioides",3,66,"cushion",,,,,,2,1,,5,,,,,,,,2,,2,,,23,,2,9,,,,2,,,,,,,,,,,,,,,,42,,,,,5,,1,,1
"Ecuador2","Azorella aretioides",3,67,"cushion",,,,,,2,1,,23,2,,,,,,,,,1,,,0,,,9,,,,2,,,,,,,,,,2,,,,,,44,,,,1,1,,3,,
"Ecuador2","Azorella aretioides",3,68,"cushion",,,,,,9,5,,,,,,,,,,,,1,,,11,,,12,2,,,,,,,,,,,,,,1,,,,,68,,,1,,10,,1,,
"Ecuador2","Azorella aretioides",3,69,"cushion",,,,,,,1,,,,,,,,,,1,,2,,,17,,,7,,,,,1,,,1,,,,,,1,9,,,,,60,,,,3,3,,,,1
"Ecuador2","Azorella aretioides",3,70,"cushion",,,,,,1,2,1,,,,1,,,,,,,,,,7,,,6,,,,6,1,1,,1,,4,,,,,,,,,,45,,,,7,4,,,,
"Ecuador2","Azorella aretioides",3,71,"cushion",,,,,,,6,,17,,,,,,,,1,,,2,,23,,,,,,,,,,,,3,3,,,2,,,,,,,43,,,,,1,,,,1
"Ecuador2","Azorella aretioides",3,72,"cushion",,,,,,,,,1,,,,,,,,,,,,,20,,,9,,,,3,3,,,,,,,,,2,,,,,,50,,,1,,1,,,,1
"Ecuador2","Azorella aretioides",3,73,"cushion",,,,,,2,1,,3,,,,,,,,4,,,2,,25,,,9,,,,10,1,,,,,,,,,,,,,,,113,,,2,,7,,,,1
"Ecuador2","Azorella aretioides",3,74,"cushion",,,,,,1,1,,2,,,,,,,,6,,,4,,8,,,7,,,,2,1,,,,,,,,,1,,,,,,85,,,2,,,,,,1
"Ecuador2","Azorella aretioides",3,75,"cushion",,,,,,,,,7,,,,1,,,,,,,1,,19,,,6,,,,6,1,,,,,3,,,,,,,,,,22,,,1,,3,,2,,1
"Ecuador2","Azorella aretioides",3,76,"cushion",,,,,,,,,1,,,,2,,,,,,,,,15,,,13,,,,15,1,2,,,1,4,,,,1,,,,,,43,,,,,10,,7,,1
"Ecuador2","Azorella aretioides",3,77,"cushion",,,,,,,,2,8,3,,,,,,,,,,3,,6,,,11,,,,6,,,3,1,,1,,,,,,,,,,34,,,,7,3,,17,,1
"Ecuador2","Azorella aretioides",3,78,"cushion",,,,,,,1,,7,1,,,,,,,2,,8,1,,10,,,6,,,,,,1,,,,,,,,,,,,,,10,,,,1,7,,1,,
"Ecuador2","Azorella aretioides",3,79,"cushion",,,,,,6,,,8,,,1,,,,,1,,1,,,3,,,9,,,,4,1,2,,,,,3,,,,2,,,,,12,,,,,,,,,1
"Ecuador2","Azorella aretioides",3,80,"cushion",,,,,2,,,,5,,,1,,,,,5,,3,,,18,,,5,,,,4,,,,1,,,3,,,,2,,,,,43,,,,,2,,2,,
"Ecuador2","Azorella aretioides",3,81,"cushion",,,,,,4,2,,,2,,,,,,,,,,1,,8,,,10,,,,,1,,1,,,3,,,,,3,,,,,33,,,,,3,,,,1
"Ecuador2","Azorella aretioides",3,82,"cushion",,,,,,4,,3,7,2,,,,,,,,,,1,,9,,,3,,,,,2,,,,,4,3,,,2,2,,,,,29,,3,,,2,,,,1
"Ecuador2","Azorella aretioides",3,83,"cushion",,,,,,7,1,,4,1,,,,,,,1,,,2,,11,,,8,,,,,2,,,,,1,,,,2,,,,,,28,,,,5,,,,,
"Ecuador2","Azorella aretioides",3,84,"cushion",,,,,,,,,8,,,,1,,,,1,,,2,,1,,,5,,,,,3,3,,,,,,,,,,,,,,11,,3,,,2,,2,,
"Ecuador2","Azorella aretioides",3,85,"cushion",,,,,,5,,,,1,,,,,,,,,,,,7,,,3,,,,3,,31,1,,,1,,,,,,,,,,58,,,,,3,,,,1
"Ecuador2","Azorella aretioides",3,86,"cushion",,,,,,3,,,,,,1,,,,,,,,1,,6,,,1,,,,,,,,,,1,,,,,3,,,,,13,,,,,,,,,
"Ecuador2","Azorella aretioides",3,87,"cushion",,,,,,10,1,,5,,,,,,,,,,4,,,9,,,8,,,,,,,,,,,,,,,6,,,,,37,,3,,,2,,,,
"Ecuador2","Azorella aretioides",3,88,"cushion",,,,,,,,4,5,,,,,,,,,,,,,1,,,,,,,,,5,,,3,,,,,1,,,,,,3,,,,,1,,,,
"Ecuador2","Azorella aretioides",3,89,"cushion",,,,,,6,,,9,2,,,,,,,,,,,,1,,,5,,,,,,4,,,,,,,,,2,,,,,29,,,,,,,,,1
"Ecuador2","Azorella aretioides",3,90,"cushion",,,,,,1,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,25,,,,,,,,,
"Ecuador2","Azorella aretioides",3,1,"open",,,,,,4,,6,8,4,,,2,,,,,,,,,9,,,5,,,,,,,,,,,1,1,,1,,,,,,0,,,,,,,,,
"Ecuador2","Azorella aretioides",3,2,"open",,,,,,12,15,,75,,,,,,,,8,,,2,,16,,,25,,,,16,2,,,,3,,,,,7,,,,,,8,,,3,3,37,,,,
"Ecuador2","Azorella aretioides",3,3,"open",,,,,,,,,34,,,,1,,,,6,,,,,36,,,10,7,,,,7,,3,,1,,,,,9,,,,,,9,,,,45,12,,,,
"Ecuador2","Azorella aretioides",3,4,"open",,,,,,,2,,21,,,,,,,,7,,,,,12,,,6,,,,5,3,,1,,,,,,,3,,,1,,,8,,,,13,19,,,,
"Ecuador2","Azorella aretioides",3,5,"open",,,,,,,,,23,,,,,,,,3,,1,,,7,,,7,,,,8,,1,,,,,,,,7,,,,,,4,,,3,2,8,,,,
"Ecuador2","Azorella aretioides",3,6,"open",,,,,,10,2,,11,1,,,,,,,,,2,,,12,,,7,,,,3,,,4,,,,,,6,1,,,,,,4,,,,4,7,,,,
"Ecuador2","Azorella aretioides",3,7,"open",,,,2,,2,,,,,,,,,,,4,,,,,6,,,4,,,,,,,,,,,,,,,,,,,,4,,,1,2,4,,,,
"Ecuador2","Azorella aretioides",3,8,"open",,,,,,2,,,14,2,,,,,,,,,1,,,11,,,6,,5,,4,6,,,,5,,,,,6,,,,,,0,,,5,9,6,,,,
"Ecuador2","Azorella aretioides",3,9,"open",,,,,,9,1,,25,,,,,,,,,,1,,,5,,,4,,4,,5,6,,,,,,,,,1,1,,3,,,0,,,,5,6,,,,
"Ecuador2","Azorella aretioides",3,10,"open",,,,,,1,,,7,,,,,,,,,,,,,5,,,4,,9,,,4,,1,,,,,,,2,,,,,,1,,,5,3,4,,1,,
"Ecuador2","Azorella aretioides",3,11,"open",,,,,,1,,,,,,,,,,,,,,,,10,,,7,,,,2,,,,,,,,,,1,,1,,,,0,,,2,1,3,,,,
"Ecuador2","Azorella aretioides",3,12,"open",,,,,,1,1,8,3,2,,,3,,,,3,,3,,,11,,,9,,,,8,,,,,,,,,,3,,,,,,3,,,3,1,8,,1,,
"Ecuador2","Azorella aretioides",3,13,"open",,,,,,1,,,6,1,,,,,,,,,,,,11,,,5,,,,6,3,,,,1,,1,,,5,,,,,,0,,,1,7,6,,1,,
"Ecuador2","Azorella aretioides",3,14,"open",,,,2,,6,3,2,3,,,,,,,,6,,,,,11,,,7,,,,7,,,,,,,,,,1,,,,,,6,,,,1,4,,,,
"Ecuador2","Azorella aretioides",3,15,"open",,,,,,,,6,30,,,,,,,,2,,,,,12,3,,13,,,,3,2,,,1,9,,,,,8,,,,,,2,,,,4,23,,1,,
"Ecuador2","Azorella aretioides",3,16,"open",,,,,,3,9,,61,,,3,,,,,,,,,,14,1,,11,,,,6,5,,,,,,,,,,,,,,,0,,,,4,21,,,,
"Ecuador2","Azorella aretioides",3,17,"open",,,,,,4,2,,14,,,1,,,,,2,,,,,6,2,12,14,,,,4,3,,2,,,,,,,1,,,,,,4,,2,,,9,,,,
"Ecuador2","Azorella aretioides",3,18,"open",,,,2,,7,2,,20,,,3,,,,,5,,1,,,12,,,8,,,,,,,,2,,,,,,6,,,,,,5,,,,10,17,,1,,
"Ecuador2","Azorella aretioides",3,19,"open",,,,,,1,,,10,,,1,2,1,2,,5,,,,,21,,,6,,,,1,4,,,,1,,,,,9,,,,,,5,,,1,13,31,,12,,
"Ecuador2","Azorella aretioides",3,20,"open",,,,,,1,,1,6,,,12,,,,,,,,,,13,,,8,,,,,2,,,,,,,,,7,,,,,,0,,,,9,7,,,,
"Ecuador2","Azorella aretioides",3,21,"open",,,,,,3,,,1,,,,,,,,1,,,,,15,,,7,7,,,,1,,2,,3,,,,,3,1,,,,,3,,,8,5,7,,1,,
"Ecuador2","Azorella aretioides",3,22,"open",,,,,,1,,,41,,,,,,,,,,2,,,14,,,6,1,,,3,1,,,,,,,,,3,,,,,,0,,,2,17,33,,,,
"Ecuador2","Azorella aretioides",3,23,"open",,,,,,2,,1,47,,,,,,,,,,,,,17,,,8,,7,,,3,,,,3,,,,,,,,,,,0,,,3,2,28,,,,
"Ecuador2","Azorella aretioides",3,24,"open",,,,,,1,,,,,,,,,,,,,,,,1,,,2,,,,,,,,,2,,,,,6,,,,,,30,,,6,,9,,,,
"Ecuador2","Azorella aretioides",3,25,"open",,,,,,2,2,8,12,,,,,,3,,,,,,,16,,,9,,,,,5,,,,1,,,,,9,,,5,,,129,,,1,13,27,,,,
"Ecuador2","Azorella aretioides",3,26,"open",,,,,,,,,12,,,,,,1,,,,,,,20,,,7,,,,,3,,,,,,,,,12,,,,,,40,,,4,5,11,,,,
"Ecuador2","Azorella aretioides",3,27,"open",,,,,,,2,2,34,,,,,,,,,,,,,14,,,9,,,,3,4,,,,3,,,,1,8,,,,,,31,,,6,14,11,,,,
"Ecuador2","Azorella aretioides",3,28,"open",,,,,,5,8,,,,,,,,,,2,,1,,,25,,,20,,,,16,,1,11,,,,,,,15,,,,,,36,,,,12,11,,11,,
"Ecuador2","Azorella aretioides",3,29,"open",,,,,,3,,1,2,,,,,,,,,,1,,,4,,,7,,,,4,3,1,,,1,,,,,1,,,,,,30,,,1,1,3,,,,
"Ecuador2","Azorella aretioides",3,30,"open",,,,,,10,4,,15,1,,,,,,,8,,1,,,15,,,17,,,,,2,,,2,1,,,,,8,2,,,,,15,,,9,9,10,,,,
"Ecuador2","Azorella aretioides",3,31,"open",,,,3,,5,1,,11,,,,1,,,,3,,4,,,14,,,9,,,,,2,,1,,,,,,,11,1,,,,,47,,,4,25,3,,3,,
"Ecuador2","Azorella aretioides",3,32,"open",,,,,,3,,10,,,,,,,3,,,,,,,17,,,10,,,,2,3,,1,,,,2,,,2,,,,,,43,,,4,4,12,,,,
"Ecuador2","Azorella aretioides",3,33,"open",,,,,,7,,,3,,,,,,,,3,,1,,,9,,,7,,,,6,2,3,,,5,,2,,,8,39,,,,,32,,,,12,5,,,,
"Ecuador2","Azorella aretioides",3,34,"open",,,,,,1,1,8,29,,,,,,,,4,,2,,,11,,,2,,,,,,,,,,,1,,,4,,,,,,47,,,,5,8,,,,
"Ecuador2","Azorella aretioides",3,35,"open",,,,1,,1,3,1,10,3,,,,,,,,,4,,,10,,,4,,,,,,2,1,,,,1,,,6,2,,,,,61,,,1,5,3,,,,
"Ecuador2","Azorella aretioides",3,36,"open",,,,,,7,,,27,,,,,,,,,,8,1,,18,,,12,,,,10,1,,4,,,,,17,,,3,,,,,48,,,,16,28,,3,,
"Ecuador2","Azorella aretioides",3,37,"open",,,,,,4,,,20,,,,,,,,,,4,1,,7,,,5,,,,6,,2,,2,,,,1,,,4,,,,,30,,,,2,4,,6,,
"Ecuador2","Azorella aretioides",3,38,"open",,,,2,,6,3,,23,1,,,,,,,2,,7,,,12,,,13,,,,5,3,1,,,,1,,1,,1,,,,,,88,,,,10,17,,7,,
"Ecuador2","Azorella aretioides",3,39,"open",,,,5,,3,4,,11,,,,,,,,2,,1,,,7,,,17,,,,5,6,2,7,,,,,,,18,2,,,,,57,,,2,12,28,,27,,
"Ecuador2","Azorella aretioides",3,40,"open",,,,2,,3,,,,,,,,,,,,,,,,5,,,12,,,,7,,,8,,,,,,,,1,,,,,45,,,,,23,,42,,
"Ecuador2","Azorella aretioides",3,41,"open",,,,1,,,1,1,11,,,,,,,,3,,,,,14,,,11,,,,2,3,,,,,,,,,6,,,,,,30,,,7,6,23,,,,
"Ecuador2","Azorella aretioides",3,42,"open",,,,2,,6,,10,30,,,,,,3,,1,,1,,,22,,,14,9,,,,4,,,1,10,,,,,16,,,,,,55,,,5,15,24,,4,,
"Ecuador2","Azorella aretioides",3,43,"open",,,,1,,1,3,,33,1,,,,,,,,,,1,,11,,,9,,,,2,,,2,,,,,,,2,,,,,,80,,,,3,28,,3,,
"Ecuador2","Azorella aretioides",3,44,"open",,,,,,3,1,,4,,,,,,,,,,1,,,4,,,6,,,,,,,1,,,,,,,2,,,,,,20,,,,2,2,,35,,
"Ecuador2","Azorella aretioides",3,45,"open",,,,3,,1,7,,2,,,,,,,,,,,,,6,,,11,,,,6,2,,2,,,,,2,,,,,,,,36,,,,4,14,,2,,
