site,cushion species,sample,cushion/open,diam1 (cm),diam2 (cm),Acaena leptacantha,Acaena pinnatifida,Adesmia sp4,Barneoudia major,Bromus catharticus,Bromus setifoluis,Calandrinia affinis,Calandrinia caespitosa,Calandrinia sp,Carex sp 1,Carex sp 2,Cerastium arvense,Chaetanthera apiculata,Chaetanthera euphrasioides,Chaetanthera lycopodioides,Chaetanthera pentacaenoides,Chaetanthera planiseta,Chaetanthera pusilla,Draba sp 2,Erigeron andicola,Festuca magellanica,Galium gilliesii,Gayophytum humile,Geranium sessiliflorum,Haplopappus scrobiculatus,Hordeum comosum,Hypochaeris tenuifolia,Jaborosa caulescens,Junellia uniflora,Loasa sigmoidea,Microsteris gracilis,Montiopsis potentilloides,Nassauvia lagascae,Nassauvia pyramidalis,Nastanthus agglomeratus,Olsynium scirpoideum,Oreopolus glacialis,Oxalis compacta,Perezia carthamoides,Perezia pilifera,Phacelia secunda,Poa alopecurus,Poa pratensis,Pozoa coriacea,Quinchamalium chilense,Rhodophiala uniflora,Rytidosperma violaceum,Sanicula graveolens,Senecio bustillosianus,Senecio looseri,Senecio polygaloides,Taraxacum officinale,Thlaspi magellanicum,Trisetum preslei,Tropaeolum polyphyllum,Viola philippii,dataset code
"Valle Nevado","Laretia_acaulis",23,"open","","",,,,,,,,,,,,,,,1,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61
"Valle Nevado","Laretia_acaulis",24,"open","","",,,,1,,,1,,21,2,,5,,6,,2,,,,1,,2,27,,,3,,,,2,168,17,3,,,,,1,,1,,3,3,,3,,,1,,,,3,1,,1,,61
"Valle Nevado","Laretia_acaulis",25,"open","","",,,,,,,,1,,,,,,6,1,,,,,,,,,,,2,,1,,,,11,,,,,,1,,,,,,,,,,,,,,2,,2,,,61
"Valle Nevado","Laretia_acaulis",26,"open","","",,,,2,,,,2,,,,,,,2,1,,,,,,,9,,,2,,,,,11,11,1,,1,,,,,,,,,,,,,,,,,3,,,,1,61
"Valle Nevado","Laretia_acaulis",27,"open","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,1,,,,,,,,,,61
"Valle Nevado","Laretia_acaulis",28,"open","","",,,,,,,,,,,,,,,3,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,61
"Valle Nevado","Laretia_acaulis",29,"open","","",,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,1,,,,,,,,,1,,2,,1,,,61
"Valle Nevado","Laretia_acaulis",30,"open","","",,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,61
"Valle Nevado","Laretia_acaulis",31,"open","","",,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,2,,,,,,,,,,,,,,,,61
"Valle Nevado","Laretia_acaulis",32,"open","","",,,,,,,,,,,,5,,,2,2,,,,,,,7,,1,,,,,,,,1,,1,,,,,,1,1,,,,,,,,,,,1,,,,61
"Valle Nevado","Laretia_acaulis",33,"open","","",,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,61
"Valle Nevado","Laretia_acaulis",34,"open","","",,,,,,,,5,,1,,,,,,,,,,,1,,,,1,,,1,,1,,11,6,,,,,2,,,2,1,,1,,,,1,,,,2,,,,,61
"Valle Nevado","Laretia_acaulis",35,"open","","",,,,,,,2,,,,,5,,6,,,,,,,,,,,,3,,,,,,,3,1,1,,,1,2,,,1,,,2,,,,,2,,,,,,1,61
"Valle Nevado","Laretia_acaulis",36,"open","","",,,,,,,1,,,,1,,,,28,,,,,,,,,,,2,,,,,,14,3,,,3,,,,3,1,,,,,1,,,,,,3,,,,,61
"Valle Nevado","Laretia_acaulis",37,"open","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,61
"Valle Nevado","Laretia_acaulis",38,"open","","",,,,,,,,2,,,,2,,3,,,9,,,,,,,,,2,1,,,3,2,,,,,,,5,,,1,1,,1,,,,1,,,,,,,,,61
"Valle Nevado","Laretia_acaulis",39,"open","","",,,,,,,,,,1,,,,3,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,1,,,,,,,,,,,,,,61
"Valle Nevado","Laretia_acaulis",40,"open","","",,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,61
"Valle Nevado","Laretia_acaulis",41,"open","","",,,,,,,,,,,,,,2,2,1,,,,,,,,,,,,,,,,2,,,,2,,,,,1,,,,,,,1,,1,,2,,,,1,61
"Valle Nevado","Laretia_acaulis",42,"open","","",,,,,,,1,,,,,,,,,,,1,,,,,,,,,,1,,,6,,,1,,,,,1,,,,,1,,,,,,,,,,,,1,61
"Valle Nevado","Laretia_acaulis",43,"open","","",,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,61
"Valle Nevado","Laretia_acaulis",44,"open","","",,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,61
"Valle Nevado","Laretia_acaulis",45,"open","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,2,,,,,,,,,,,,61
"Valle Nevado","Laretia_acaulis",46,"open","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,61
"Valle Nevado","Laretia_acaulis",47,"open","","",,,,,,,,,,,,,,2,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,61
"Valle Nevado","Laretia_acaulis",48,"open","","",,,,,,,2,1,53,1,,,,6,,,,,,,,,2,1,,,,,,,12,,2,,,,,1,2,,,1,,,3,,,1,,,,1,,,,,61
"Valle Nevado","Laretia_acaulis",49,"open","","",,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,61
"Valle Nevado","Laretia_acaulis",50,"open","","",,1,1,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61
"Valle Nevado","Laretia_acaulis",51,"open","","",,,,,,,,1,,,,5,,,1,,,,,,1,,,1,,1,1,1,,,,3,,,,,,1,,,2,4,,,2,,,,,,,3,,,,1,61
"Valle Nevado","Laretia_acaulis",52,"open","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,4,,,,,,,,,,,,,,,,,,,,,,,,,61
"Valle Nevado","Laretia_acaulis",53,"open","","",,,,,,,,1,,,,,,3,2,,5,,,,,,,,,,,,,,13,13,,,,,,,,1,1,2,,,1,,,,,,,2,,3,,1,61
"Valle Nevado","Laretia_acaulis",54,"open","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2,,,,,,,,,1,,,,,,,,,,,,,,,,61
"Valle Nevado","Laretia_acaulis",55,"open","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,61
"Valle Nevado","Laretia_acaulis",56,"open","","",1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61
"Valle Nevado","Laretia_acaulis",57,"open","","",,,,,,,,,,,,,,,,,32,,,,,,,,,,,,,,,,,,,,,5,,,1,,,,,,,,,,,1,,,,,61
"Valle Nevado","Laretia_acaulis",58,"open","","",,,,,,,,,,,,,,,,,18,,,,,,,,,,,,,,,4,,,,,,,,,3,,,1,,,,,,1,,,,,,1,61
"Valle Nevado","Laretia_acaulis",59,"open","","",,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61
"Valle Nevado","Laretia_acaulis",60,"open","","",,,,,,,,1,,,,,,,1,,,,,,,,,,,1,,,,,14,13,,,,,,,,,2,,1,,1,,,1,,2,,,,,,,61
"Valle Nevado","Laretia_acaulis",61,"open","","",,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,12,8,,,,3,,,,,1,2,,,,,,,,,,,,2,,,61
"Valle Nevado","Laretia_acaulis",62,"open","","",,,,,,,,,,,,2,,,,,,,,,,,6,1,,1,,,,,,6,,,,,,,,,1,,,,,,,,,,,,,,,,61
"Valle Nevado","Laretia_acaulis",63,"open","","",2,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61
"Valle Nevado","Laretia_acaulis",64,"open","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,,,,,,,,,,,,1,,,,,,,,,,,,,61
"Valle Nevado","Laretia_acaulis",65,"open","","",,,,,,,,,,,,,,,,,9,,,2,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,61
"Valle Nevado","Laretia_acaulis",66,"open","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,1,,,,,,,,2,,,,,,,,1,,,,1,,4,,,61
"Valle Nevado","Laretia_acaulis",67,"open","","",,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,11,2,,,,,,,,,,,,,,,,,,,,,,,,,61
"Valle Nevado","Laretia_acaulis",68,"open","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,61
"Valle Nevado","Laretia_acaulis",69,"open","","",,,,,,,,,,,,3,,,1,,,,,,,,,,,,,,,1,17,11,,,,2,,,,,1,,,,,,,,,,,,,,,,61
"Valle Nevado","Laretia_acaulis",70,"open","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,2,,,,,,,,,,,,,,2,,,61
"Valle Nevado","Laretia_acaulis",71,"open","","",,,,,,,,3,,3,,5,,,,1,81,,,1,1,1,,,,,,,,,,3,,1,,,,1,,1,1,1,,2,,,,2,,,,2,,3,,1,61
"Valle Nevado","Laretia_acaulis",72,"open","","",,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,61
"Valle Nevado","Laretia_acaulis",73,"open","","",,,,,,,,,,,,,,,1,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61
"Valle Nevado","Laretia_acaulis",74,"open","","",1,,,,,,2,,21,2,,5,,6,,2,,2,,1,,,,,,3,1,,,,63,15,,,1,1,,1,,1,,3,,,,,,1,,,,2,,,,,61
"Valle Nevado","Laretia_acaulis",75,"open","","",,,,,,,,2,,,,,,6,1,,,,,,,,,,,2,,1,,,7,7,,,,,,1,,,,,,,,,,,,,,1,,2,,1,61
"Valle Nevado","Laretia_acaulis",76,"open","","",,,1,,,,,2,,,,,,,2,1,,,,2,,,15,,,2,,,,,47,6,1,,,1,,,,1,,,,,,,,,,1,,1,,,,1,61
"Valle Nevado","Laretia_acaulis",77,"open","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,61
"Valle Nevado","Laretia_acaulis",78,"open","","",,,,,,,,,,,,,,,3,,,,,,,,,,,1,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,61
"Valle Nevado","Laretia_acaulis",79,"open","","",,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,1,,,,,,,,,,,2,,1,,,61
"Valle Nevado","Laretia_acaulis",80,"open","","",,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,61
"Valle Nevado","Laretia_acaulis",81,"open","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,2,,,,,,,,,,,,,,,,61
"Valle Nevado","Laretia_acaulis",82,"open","","",,,,,,,,,,,,3,,,2,2,,,,,,,22,,,1,,,,,,,1,,,,,,1,1,1,1,,,,,,,,,,,,,,,61
"Valle Nevado","Laretia_acaulis",83,"open","","",,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,61
"Valle Nevado","Laretia_acaulis",84,"open","","",,,1,,,,,2,,,,,,,,,,3,,2,,,,,,2,1,,,1,72,11,6,,,1,1,2,,,3,1,,2,,,,1,,1,,2,,,,,61
"Valle Nevado","Laretia_acaulis",85,"open","","",1,,,,,,,,,,,3,,6,,,,,1,,1,,,1,,3,,,,2,,,,1,1,,,1,1,,1,1,,,,,,,,,,,,,1,,61
"Valle Nevado","Laretia_acaulis",86,"open","","",,,,,,,,,,,,,,,28,,,,,,,,,,,2,,,,1,28,14,3,,,2,,,,3,1,,,,3,,,,,,,3,,,,1,61
"Valle Nevado","Laretia_acaulis",87,"open","","",,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,61
"Valle Nevado","Laretia_acaulis",88,"open","","",,,,,,,,1,,,,2,,3,,,9,,,1,,,,,,2,,,1,3,22,,,,,,,5,,,1,1,,2,,,,1,,,,2,,,,,61
"Valle Nevado","Laretia_acaulis",89,"open","","",,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,7,2,,,,,,,,,,,,,,,,,,,,,,,,,61
"Valle Nevado","Laretia_acaulis",90,"open","","",,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,3,,,,,,,,,,,,,,,,61
"Valle Nevado","Laretia_acaulis",91,"open","","",1,,,,,,,,,,1,,,2,2,1,,,,,,,,,,,,,,1,12,2,,,,,,,,,1,,,,,,,1,1,,,3,,,,1,61
"Valle Nevado","Laretia_acaulis",92,"open","","",,,,,,,,,,,,,,,,,,,,,,,3,,,,2,,1,,,,,1,,,,,1,,,,,1,,,,,,,,,,,,,61
"Valle Nevado","Laretia_acaulis",93,"open","","",,,,,,1,,,,,,,,,,,,,,,,,,,,2,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,61
"Valle Nevado","Laretia_acaulis",94,"open","","",,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,61
"Valle Nevado","Laretia_acaulis",95,"open","","",,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,61
"Valle Nevado","Laretia_acaulis",96,"open","","",,,,,,1,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61
"Valle Nevado","Laretia_acaulis",97,"open","","",,,,,,,,,,,1,,,2,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61
"Valle Nevado","Laretia_acaulis",98,"open","","",,,,,,,1,,53,1,,,,6,,,,,,,,,,1,,,,,,,12,,,,,,,1,1,,,1,,,4,,,2,,,,1,,,,,61
"Valle Nevado","Laretia_acaulis",99,"open","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,61
"Valle Nevado","Laretia_acaulis",100,"open","","",2,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61
"Valle Nevado","Laretia_acaulis",11,"cushion","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,1,1,1,,,61
"Valle Nevado","Laretia_acaulis",12,"cushion","","",,,,,,,,,,,,13,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,2,,,,,,,,,,,,,,2,,,61
"Valle Nevado","Laretia_acaulis",23,"cushion","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,61
"Valle Nevado","Laretia_acaulis",24,"cushion","","",,,,,,,,,,,,18,,,,,,,,2,,,,,,,2,,,,,8,,,1,3,,,,4,,,,,,,1,,,,,4,1,1,,,61
"Valle Nevado","Laretia_acaulis",35,"cushion","","",,1,,,,,,1,,,,8,,,,,,,,,,2,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,4,1,,,,61
"Valle Nevado","Laretia_acaulis",36,"cushion","","",,,,,,,,,,,,6,,,,,,,,,,1,,,,2,1,,,,,1,,,,1,,,,,,,,,,,,,,,,1,2,,,,61
"Valle Nevado","Laretia_acaulis",47,"cushion","","",1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,61
"Valle Nevado","Laretia_acaulis",48,"cushion","","",,,,,,,,1,,,,9,,,,,,,,,,1,,,,2,,,,,,,,,,,,,,1,,,,,,,,,,,,2,,3,,,61
"Valle Nevado","Laretia_acaulis",59,"cushion","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61
"Valle Nevado","Laretia_acaulis",60,"cushion","","",,,,,,,,,,,,4,,,,,,,,2,4,,,,,,,,,,7,3,,,,3,,,,3,,,,,,,,,,,,3,2,1,,,61
"Valle Nevado","Laretia_acaulis",71,"cushion","","",,,,,,,,,,,,11,,,,,,,,,2,,,,,,,,,,,12,,,,2,,,,1,1,,,,1,,,,,,,2,1,1,,,61
"Valle Nevado","Laretia_acaulis",72,"cushion","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,61
"Valle Nevado","Laretia_acaulis",83,"cushion","","",,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61
"Valle Nevado","Laretia_acaulis",84,"cushion","","",1,,,,,,,,,,,,,,,,,,,,,,,,,2,2,,,,,3,,,,,,,,2,1,,,,1,,,,,1,,2,2,1,,,61
"Valle Nevado","Laretia_acaulis",95,"cushion","","",,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61
"Valle Nevado","Laretia_acaulis",96,"cushion","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,61
