site,cushion species,sample,cushion/open,diam1 (cm),diam2 (cm),Acaena leptacantha,Acaena pinnatifida,Adesmia sp4,Barneoudia major,Bromus catharticus,Bromus setifoluis,Calandrinia affinis,Calandrinia caespitosa,Calandrinia sp,Carex sp 1,Carex sp 2,Cerastium arvense,Chaetanthera apiculata,Chaetanthera euphrasioides,Chaetanthera lycopodioides,Chaetanthera pentacaenoides,Chaetanthera planiseta,Chaetanthera pusilla,Draba sp 2,Erigeron andicola,Festuca magellanica,Galium gilliesii,Gayophytum humile,Geranium sessiliflorum,Haplopappus scrobiculatus,Hordeum comosum,Hypochaeris tenuifolia,Jaborosa caulescens,Junellia uniflora,Loasa sigmoidea,Microsteris gracilis,Montiopsis potentilloides,Nassauvia lagascae,Nassauvia pyramidalis,Nastanthus agglomeratus,Olsynium scirpoideum,Oreopolus glacialis,Oxalis compacta,Perezia carthamoides,Perezia pilifera,Phacelia secunda,Poa alopecurus,Poa pratensis,Pozoa coriacea,Quinchamalium chilense,Rhodophiala uniflora,Rytidosperma violaceum,Sanicula graveolens,Senecio bustillosianus,Senecio looseri,Senecio polygaloides,Taraxacum officinale,Thlaspi magellanicum,Trisetum preslei,Tropaeolum polyphyllum,Viola philippii,dataset code
"Valle Nevado","Laretia_acaulis",33,"cushion","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61
"Valle Nevado","Laretia_acaulis",34,"cushion","","",,,,,,,,2,,,,,,,,,,,,,,,,,,2,3,,,,,3,,,,,,,,3,1,,,,1,,,,,1,,3,2,1,,,61
"Valle Nevado","Laretia_acaulis",37,"cushion","","",,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61
"Valle Nevado","Laretia_acaulis",38,"cushion","","",,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,1,,,,1,,,,,,,,,,,,,,,,1,,1,,,61
"Valle Nevado","Laretia_acaulis",39,"cushion","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,61
"Valle Nevado","Laretia_acaulis",40,"cushion","","",,,,,,,,,,,,,,,,,,,,1,,,,,,2,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,61
"Valle Nevado","Laretia_acaulis",41,"cushion","","",,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,3,,,,,,,,,,,,2,,,,4,,2,,,61
"Valle Nevado","Laretia_acaulis",42,"cushion","","",,,,,,,,,,,,22,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,,,61
"Valle Nevado","Laretia_acaulis",43,"cushion","","",,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61
"Valle Nevado","Laretia_acaulis",44,"cushion","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61
"Valle Nevado","Laretia_acaulis",45,"cushion","","",,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61
"Valle Nevado","Laretia_acaulis",46,"cushion","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,61
"Valle Nevado","Laretia_acaulis",49,"cushion","","",,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,61
"Valle Nevado","Laretia_acaulis",50,"cushion","","",,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,1,,,61
"Valle Nevado","Laretia_acaulis",51,"cushion","","",,,,,,,,,,,,3,,,,,,,,,,,,,,2,,,,,6,15,,,,4,,,,2,,1,,,,,,,,3,,4,1,,,,61
"Valle Nevado","Laretia_acaulis",52,"cushion","","",,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,61
"Valle Nevado","Laretia_acaulis",53,"cushion","","",,,,,,,,,,,,,,,,,,,,,1,,,,,1,1,,,,5,,,,,2,,,,1,,,,,,,,,,,,2,2,,,,61
"Valle Nevado","Laretia_acaulis",54,"cushion","","",,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,7,,,,1,,,,,,,,,,,,1,2,1,,,61
"Valle Nevado","Laretia_acaulis",55,"cushion","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,1,,,61
