site,cushion sp,sample,cushion/open,diam1 (cm),diam2 (cm),Carex nardina,Arnica,Solidago,Festuca,Sibbaldia,Antennaria alpina,Carex Sp,Luzula,Koeleria,Poa alpina,Saxifraga bronchialis,Agrostis,Potentilla heptaphylla,Phyllodoce glandulosa,Phlox,Draba,Taraxacum,Luzula glabra,Lycopodium,Carex yellow,Penstemon,Festuca green,Doronicum,Achillea,Leutkea,Potentilla villosa,Caryophyllaceae,Erigeron,Antennaria long leaf,dataset code
"Whistler North","Silene_acaulis",95,"cushion",35,27,,3,6,7,,3,1,,,,,,1,,,,,,,,,,,,,,,,1,75
"Whistler North","Silene_acaulis",96,"cushion",13,17,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,75
"Whistler North","Silene_acaulis",98,"cushion",37,25,2,8,3,,,,,,5,,,,3,,,,,,,,,,,,,,,,,75
"Whistler North","Silene_acaulis",99,"cushion",35,37,,8,18,1,1,,10,,,3,,,,,,,,,,,,,,,,,,,,75
"Whistler North","Silene_acaulis",100,"cushion",44,44,3,,8,2,,,,,6,3,,,,,,,,,,,,,,,,,1,5,,75
"Whistler North","Silene_acaulis",1,"open",14,11,,,,1,,,,,2,,,,,,,,,,,,,,,,,,,,,75
"Whistler North","Silene_acaulis",3,"open",29,22,,,3,,,,3,,,,,,,,,,,,,,,,,,,,,,,75
"Whistler North","Silene_acaulis",4,"open",20,18,,,10,8,2,,3,,1,,,,,,,,,,,,,,,,,,,,,75
"Whistler North","Silene_acaulis",5,"open",12,9,,2,,,,,1,,,,3,,,,,,,,,,,,,,,,,,,75
"Whistler North","Silene_acaulis",6,"open",20,17,,5,,2,,,2,,1,,,,,,,,,,,,,,,,,,,,,75
"Whistler North","Silene_acaulis",1,"cushion",14,11,,6,,2,,,,,,,,,,,,,,,,,,,,,,,,,,75
"Whistler North","Silene_acaulis",6,"cushion",20,17,,7,3,1,,,1,,,,,,,,,,,,,,,,,,,,,,,75
"Whistler North","Silene_acaulis",11,"cushion",15,14,,6,,4,1,,,,1,,,,,,,,,,,,,,,,,,,,,75
"Whistler North","Silene_acaulis",15,"cushion",26,18,,,8,2,,,,,3,,3,,2,,,,,,,,,,,,,,,,,75
"Whistler North","Silene_acaulis",16,"cushion",38,29,,20,,5,1,,,,3,,,,,,,,,,,,,,,,,,,,,75
"Whistler North","Silene_acaulis",21,"cushion",120,55,,35,80,35,2,4,5,2,4,,,3,3,1,,,,,,,,,,,,,,,,75
"Whistler North","Silene_acaulis",26,"cushion",23,22,,7,,3,,,1,,1,,1,,,,,,,,,,,,,,,,,,,75
"Whistler North","Silene_acaulis",30,"cushion",21,16,,4,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,75
"Whistler North","Silene_acaulis",31,"cushion",22,12,,8,,3,3,,1,,,,,,,,,,,,,,,,,,,,,,,75
"Whistler North","Silene_acaulis",35,"cushion",15,15,3,4,,1,,,,,,,,,,,,,,,,,,,,,,,,,,75
"Whistler North","Silene_acaulis",40,"cushion",18,18,,,6,4,,1,,1,,2,,,,,1,,,,,,,,,,,,,,,75
"Whistler North","Silene_acaulis",45,"cushion",23,18,,,4,2,,,1,,,,,,2,,,,,,,,,,,,,,,,,75
"Whistler North","Silene_acaulis",46,"cushion",26,21,,,10,1,,1,,1,4,,,,,,,,,,,,,,,,,,,,,75
"Whistler North","Silene_acaulis",50,"cushion",65,32,,12,35,18,2,2,,,3,,,,,1,,,,,,,,3,,,,,,,,75
"Whistler North","Silene_acaulis",55,"cushion",22,16,,,,,,,2,,3,,,,,,2,,,,,,,,,,,,,,,75
"Whistler North","Silene_acaulis",60,"cushion",10,8,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,75
"Whistler North","Silene_acaulis",61,"cushion",11,10,,1,,,,,,1,1,,,,,,2,,,,,2,,,,,,,,,,75
"Whistler North","Silene_acaulis",65,"cushion",14,14,,,1,2,,4,,,,,,,,,,1,,,,,,,,,,,,,,75
"Whistler North","Silene_acaulis",70,"cushion",15,12,,5,,,1,1,,1,,1,,,,,1,,,,,,,,,,,,,,,75
"Whistler North","Silene_acaulis",75,"cushion",6,7,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,75
"Whistler North","Silene_acaulis",76,"cushion",13,8,,2,1,1,,,,,,,,,,,,,,,,,,,,,,,1,,,75
"Whistler North","Silene_acaulis",80,"cushion",22,19,4,,10,5,3,,,,2,5,,,,,,1,,,,,,,,,,,,,,75
"Whistler North","Silene_acaulis",85,"cushion",19,11,,5,,1,,,1,,1,1,,,,,,,,,,,,,,,,,,,,75
"Whistler North","Silene_acaulis",89,"cushion",31,21,4,,,2,,4,,,,,,,,,,,,,,,,,,,,1,,,,75
"Whistler North","Silene_acaulis",90,"cushion",22,14,,,4,4,1,,1,,,,,,2,,,,,,,,,,,,,,,,2,75
"Whistler North","Silene_acaulis",91,"cushion",31,15,1,,8,1,2,,1,,,2,,,,,,,,,,2,,,,,,,,,,75
"Whistler North","Silene_acaulis",92,"cushion",20,18,,,,3,3,,,,1,2,,,1,,,,1,,,,,,,,,,,,,75
"Whistler North","Silene_acaulis",97,"cushion",22,27,,2,1,1,,,2,,,,,,1,,,,,,,,,,,,,,,,,75
"Whistler North","Silene_acaulis",2,"open",21,19,3,8,,3,1,1,,,,,,,,,,,,,,,,,,,,,,,,75
"Whistler North","Silene_acaulis",7,"open",12,9,,,13,,,,,,,,,2,,,,,,,,,,,,,,,,,,75
"Whistler North","Silene_acaulis",8,"open",34,26,,6,25,4,6,,1,,3,,,3,,,,,,,,,,,,,,,,,,75
"Whistler North","Silene_acaulis",9,"open",11,8,,1,,,1,1,,,1,,,,,,,,,,,,,,,,,,,,,75
"Whistler North","Silene_acaulis",10,"open",13,10,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,75
"Whistler North","Silene_acaulis",11,"open",15,14,,1,,2,3,,,1,,,,,,,,,,,,,,,,,,,,,,75
"Whistler North","Silene_acaulis",12,"open",23,17,2,4,,3,2,,,1,,,,,,,,,,,,,,,,,,,,,,75
"Whistler North","Silene_acaulis",13,"open",22,19,,3,5,2,,1,,,,,,,,,,,,,,,,,,,,,,,,75
"Whistler North","Silene_acaulis",14,"open",30,19,,3,3,1,,3,,,2,,,,,,,,,,,,,,,,,,,,,75
"Whistler North","Silene_acaulis",15,"open",26,28,,7,,2,,,,,1,,3,,,,,,,,,,,,,,,,,,,75
"Whistler North","Silene_acaulis",16,"open",38,29,,,,2,6,,,,4,,,,,,,,,,,,,,,,,,,,,75
"Whistler North","Silene_acaulis",17,"open",15,12,,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,75
"Whistler North","Silene_acaulis",18,"open",15,15,1,3,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,75
"Whistler North","Silene_acaulis",19,"open",35,25,,,,1,,,,,,,,,,,,,,3,,,,,,,,,,,,75
"Whistler North","Silene_acaulis",20,"open",22,20,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,75
"Whistler North","Silene_acaulis",21,"open",120,55,,1,,4,,,3,1,1,,,1,,,,,,,,,,,,,,,,,,75
"Whistler North","Silene_acaulis",22,"open",30,22,,,15,5,1,7,,1,,,,,2,,,,,,,,,,,,,,,,,75
"Whistler North","Silene_acaulis",23,"open",18,13,,,6,2,,,,,,,,,,1,,,,,,,,,,,,,,,,75
"Whistler North","Silene_acaulis",24,"open",14,8,,,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,75
"Whistler North","Silene_acaulis",25,"open",35,15,,2,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,75
"Whistler North","Silene_acaulis",26,"open",23,22,,,6,3,,,,,,,,,,,,,,,,,,,,,,,,,,75
"Whistler North","Silene_acaulis",27,"open",20,13,,5,,1,,,,,2,,2,,,,,,,,,,,,,,,,,,,75
"Whistler North","Silene_acaulis",28,"open",44,10,,1,,2,1,,,,2,,,,,,,,,,6,,,,,,,,,,,75
"Whistler North","Silene_acaulis",29,"open",24,14,,,3,3,,3,,,,,,,,,,,,,,,,,,,,,,,,75
"Whistler North","Silene_acaulis",30,"open",21,16,3,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,75
"Whistler North","Silene_acaulis",31,"open",22,12,,1,,2,,1,,2,,,,,,,,,,,,,,,,,,,,,,75
"Whistler North","Silene_acaulis",32,"open",25,15,,,,2,,,,1,,,1,,,,,,,,,,,,,,,,,,,75
"Whistler North","Silene_acaulis",33,"open",15,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75
"Whistler North","Silene_acaulis",34,"open",15,9,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,75
"Whistler North","Silene_acaulis",35,"open",15,15,,1,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,75
"Whistler North","Silene_acaulis",36,"open",21,14,,1,8,3,,,1,,,,,,,,,,,,,,,,,,,,,,,75
"Whistler North","Silene_acaulis",37,"open",20,15,,,2,1,,,,,,,,,2,,,,,,,1,,,,,,,,,,75
"Whistler North","Silene_acaulis",38,"open",9,5,,,4,1,,,,,,,,,,,,,,,,1,,,,,,,,,,75
"Whistler North","Silene_acaulis",39,"open",25,19,,10,5,,1,,,,,,,,,,2,,,,,1,1,,,,,,,,,75
"Whistler North","Silene_acaulis",40,"open",18,18,,1,,,,,,,,,,,,,2,,,,,,,,,,,,,,,75
"Whistler North","Silene_acaulis",41,"open",16,18,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,75
"Whistler North","Silene_acaulis",42,"open",18,15,,3,,,1,,2,,,,,,,,1,,,,,,,,,,,,,,,75
"Whistler North","Silene_acaulis",43,"open",17,13,,3,,,,,,,,,,,,,,,,,,,,,1,,,,,,,75
"Whistler North","Silene_acaulis",44,"open",16,17,,2,10,3,1,,,1,,,,,1,1,,,,,3,,,,,,,,,,,75
"Whistler North","Silene_acaulis",45,"open",23,18,2,,3,,,2,,,,,,,,,1,,,,,,,,,,,,,,,75
"Whistler North","Silene_acaulis",46,"open",26,21,,,4,2,,4,,2,,,,,,,,,,,,,,,,,,,,,,75
"Whistler North","Silene_acaulis",47,"open",15,10,,,3,,,4,,,,,,,,,1,,,,,,,,,,,,,,,75
"Whistler North","Silene_acaulis",48,"open",11,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75
"Whistler North","Silene_acaulis",49,"open",11,11,,,1,,,,,1,,,,1,,,1,,,,,,,,,1,1,,,,,75
"Whistler North","Silene_acaulis",50,"open",65,32,,4,6,2,1,3,,,,,,,,1,,,,,,,,,,,,,,,,75
"Whistler North","Silene_acaulis",51,"open",8,11,,4,,1,1,1,,,1,,,,,,,,,,,,,,,,,,,,,75
"Whistler North","Silene_acaulis",52,"open",17,9,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,75
"Whistler North","Silene_acaulis",53,"open",27,15,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,75
"Whistler North","Silene_acaulis",54,"open",31,22,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,75
"Whistler North","Silene_acaulis",55,"open",22,16,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,75
"Whistler North","Silene_acaulis",56,"open",20,16,,,,,1,,,,3,,,,,,1,,,,,,,,,,,,,,,75
"Whistler North","Silene_acaulis",57,"open",12,11,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,75
"Whistler North","Silene_acaulis",58,"open",31,12,,,3,,,4,2,,1,,,,,,,,,,,,,,,,,,,,,75
"Whistler North","Silene_acaulis",59,"open",14,12,,3,,,1,2,3,,,,,,,,,,,,,,,,,,,,,,,75
"Whistler North","Silene_acaulis",60,"open",10,8,,,1,,,,,,2,,,,,,,,,,,3,,,,1,,,,,,75
"Whistler North","Silene_acaulis",61,"open",11,10,,,,,,2,,,,,,,,,,,,,,5,,,,,,,,,,75
"Whistler North","Silene_acaulis",62,"open",12,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75
"Whistler North","Silene_acaulis",63,"open",11,9,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,75
"Whistler North","Silene_acaulis",64,"open",12,14,,4,,,,,,,,,,,,,,,,,,3,,,,,,,,,,75
"Whistler North","Silene_acaulis",65,"open",14,14,,,,1,1,2,1,,,,,,,,,,,,,,,,,,,,,,,75
"Whistler North","Silene_acaulis",66,"open",16,9,,,,,,5,1,,,,,,,,,,,,,,,,,,,,,,,75
"Whistler North","Silene_acaulis",67,"open",23,11,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,75
"Whistler North","Silene_acaulis",68,"open",14,8,,1,,,,,4,,,,,,,,,,,,,,,,,,,,,,,75
"Whistler North","Silene_acaulis",69,"open",16,15,,1,3,,,,4,,,,,,,,,,,,,,,,,,,,,,,75
"Whistler North","Silene_acaulis",70,"open",15,12,,3,,,,,,1,,,,,,,,,,,,,,,,,,,,,,75
"Whistler North","Silene_acaulis",71,"open",9,8,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,75
"Whistler North","Silene_acaulis",72,"open",22,21,,10,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,75
"Whistler North","Silene_acaulis",73,"open",13,9,,1,3,,1,,,,,1,,,,,,,,,,,,,,,,,,,,75
"Whistler North","Silene_acaulis",74,"open",8,6,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,75
"Whistler North","Silene_acaulis",75,"open",6,7,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,75
"Whistler North","Silene_acaulis",76,"open",13,8,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,75
"Whistler North","Silene_acaulis",77,"open",12,12,2,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,75
"Whistler North","Silene_acaulis",78,"open",11,9,1,2,,1,,,,,,,,,,,,,,,,,,,,,,,2,,,75
"Whistler North","Silene_acaulis",79,"open",16,19,3,,,1,3,,1,,,,,,,,,,,,,,,,,,,,,,,75
"Whistler North","Silene_acaulis",80,"open",22,19,3,8,,,,1,,3,,,,,,,,,1,,,,,,,,,,,,,75
"Whistler North","Silene_acaulis",81,"open",29,22,4,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,75
"Whistler North","Silene_acaulis",82,"open",25,24,5,3,,,,,,,,2,,,,,,,,,,,,,,,,,,1,,75
"Whistler North","Silene_acaulis",83,"open",28,22,,2,1,,3,,,,2,,,,,,,,,,,,,,,,,,,,,75
"Whistler North","Silene_acaulis",84,"open",32,15,,,,,1,1,,,2,1,,,,,1,,,,,,,,,,,,,,3,75
"Whistler North","Silene_acaulis",85,"open",19,11,,3,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,75
"Whistler North","Silene_acaulis",86,"open",25,27,,3,6,,2,,6,,,1,,,,,,,,,,,,,,,,,,,,75
"Whistler North","Silene_acaulis",87,"open",14,12,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,75
"Whistler North","Silene_acaulis",88,"open",29,19,,6,,,,1,,,,,,,,,,,,,,,,,,,,,,,,75
"Whistler North","Silene_acaulis",89,"open",31,21,3,,1,,,1,,,,,,,,,,,,,,,,,,,,1,,,,75
"Whistler North","Silene_acaulis",90,"open",22,14,,,5,2,1,,,,,,,,,,,,,,,2,,,,,,,,,,75
"Whistler North","Silene_acaulis",91,"open",31,15,,,5,1,,,,1,,,,,,,1,,,,,4,,,,,,,,,,75
"Whistler North","Silene_acaulis",92,"open",20,18,,,2,3,2,,,1,,1,,,1,,,,,,,,,,,,,,,,,75
"Whistler North","Silene_acaulis",93,"open",29,20,,,,1,,,3,,,,,,,,,,,,,,,,,,,,,,,75
"Whistler North","Silene_acaulis",94,"open",12,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75
"Whistler North","Silene_acaulis",95,"open",35,27,,5,5,4,2,,1,,,,,,,,,,,,,,,,,,,,,,,75
"Whistler North","Silene_acaulis",96,"open",13,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75
"Whistler North","Silene_acaulis",97,"open",22,27,,,3,,,,,,,,,,1,,,,,,,,,,,,,,,,,75
"Whistler North","Silene_acaulis",98,"open",37,27,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,75
"Whistler North","Silene_acaulis",99,"open",35,37,,8,8,1,3,,2,,,,,,,,,,,,,,,,,,,,,,3,75
"Whistler North","Silene_acaulis",100,"open",44,44,8,,3,,,,,,3,,,,,,,1,,,,,,,,,,,2,2,,75
