"site","cushion","code","sample","cushion.open","diam1","diam2","area","Abrotonella","Acaena antarctica","Acaena diminuta","Acaena magellanica","Acaena pinnatifida","Adesmia lotoides","Adesmia parviflora","Adesmia pumila","Adesmia solicornioides","Astragalus nivicola","Azorella coespitosa","Azorella fuegiana","Azorella licopodioidea","Calceolaria uniflora","Cerastium sp","Colobantus lycopodioides","Colobanthus subulatus","Draba funiculosa","Draba magellanica","Elymus sp","Empetrum rubrum","Erigeron sp","Eudema","Festuca magellanica","Hamadryas sp","Hypochaeris incana","Leucheria candidissima","Luzula sp 1","Luzula sp 2","Nassauvia aculeata","Nassauvia revoluta","Oxalis enneaphylla","Oxalis patagonica","Perecia magellantha","Perezia pilifera","Pernettya mucronata","Pernettya pumila","Phleum sp","Plantago sp","Poa alopecurus","Poa fuegiana","Poa pratensis","Poa pusilla","Senecio magellanicus","Trisetum sp","Vicia bijuga"
"Torres del Paine Bolax gummifera 900","Bolax gummifera",26,1,"cushion",,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,
"Torres del Paine Bolax gummifera 900","Bolax gummifera",26,2,"cushion",,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,1,,,,,,,,,,,,,1,,,,
"Torres del Paine Bolax gummifera 900","Bolax gummifera",26,3,"cushion",,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,
"Torres del Paine Bolax gummifera 900","Bolax gummifera",26,4,"cushion",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,
"Torres del Paine Bolax gummifera 900","Bolax gummifera",26,5,"cushion",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Torres del Paine Bolax gummifera 900","Bolax gummifera",26,13,"cushion",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Torres del Paine Bolax gummifera 900","Bolax gummifera",26,14,"cushion",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
"Torres del Paine Bolax gummifera 900","Bolax gummifera",26,15,"cushion",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Torres del Paine Bolax gummifera 900","Bolax gummifera",26,16,"cushion",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Torres del Paine Bolax gummifera 900","Bolax gummifera",26,17,"cushion",,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
"Torres del Paine Bolax gummifera 900","Bolax gummifera",26,25,"cushion",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
"Torres del Paine Bolax gummifera 900","Bolax gummifera",26,26,"cushion",,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,1,,,,,,,,1,
"Torres del Paine Bolax gummifera 900","Bolax gummifera",26,27,"cushion",,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,
"Torres del Paine Bolax gummifera 900","Bolax gummifera",26,28,"cushion",,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,
"Torres del Paine Bolax gummifera 900","Bolax gummifera",26,29,"cushion",,,,1,,,,,,,,,,,1,1,,,,,,,,,,,,,1,,,1,,,,,,1,,,,,,,1,1,,,
"Torres del Paine Bolax gummifera 900","Bolax gummifera",26,37,"cushion",,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Torres del Paine Bolax gummifera 900","Bolax gummifera",26,38,"cushion",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
"Torres del Paine Bolax gummifera 900","Bolax gummifera",26,39,"cushion",,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Torres del Paine Bolax gummifera 900","Bolax gummifera",26,40,"cushion",,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,
