Site,site name,cushion spp (Genus_species),Hemisphere,Gams winter,TMAX JUNE,TMIN Jan,P/TSUMMER,June Soil Temp,EVAP SUMMER,NDVI SUMMER,RH SUMMER,SOIL WETNESS SUMMER,siten,sitespecies,sitehabscoremean,scorese,nmdsmeaneffectsize,nmdscveffectsize,diveffectsize,divalleffectsize,opendivmean,alldivmean,denseffectsize,densalleffectsize,opendensmean,alldensmean
23,"Torres del Paine","Azorella_monantha","S",45.3767133393605,15.9366667,-7.641111,18.9606737563394,4.20888890000003,73.4072963,0.643077778,85.7437407433333,678.2566667,47,35,-0.139456,0.08161951,2.10161967,0.49453727,-13.534344,23.28534972,3.92765957,5.71595745,-13.561013,33.98260022,3.90617021,7.08170213
24,"Torres del Paine","Bolax_gummiferia","S",45.5659392019084,15.9366667,-7.641111,18.9606737563394,4.20888890000003,73.4072963,0.643077778,85.7437407433333,678.2566667,50,40,0.07888548,0.10538964,4.51036558,-3.502423,13.91861812,54.50532464,3.2836,6.6616,16.80340466,58.49461106,3.2146,7.2634
25,"Torres del Paine","Azorella_monantha","S",46.1008379189146,15.9366667,-7.641111,18.9606737563394,4.20888890000003,73.4072963,0.643077778,85.7437407433333,678.2566667,53,35,0.63148304,0.07312822,5.36769616,-0.412961,64.11313499,75.94151326,1.37056604,5.67962264,66.99686114,81.54422002,1.36603774,5.94773585
26,"Torres del Paine","Bolax_gummiferia","S",46.7618171858522,15.9366667,-7.641111,18.9606737563394,4.20888890000003,73.4072963,0.643077778,85.7437407433333,678.2566667,50,28,0.5031888,0.1013748,1.6084951,-1.35567,57.5205504,77.6968207,0.8238,3.116,59.1048211,71.229703,0.8166,3.1632
31,"Beartooth","Silene_acaulis","N",85.8704038013661,26.2211111,-25.488889,3.92195773370804,1.08222220000005,68.32551852,0.391911111,54.1858518533333,345.471111133333,72,29,0.5189307,0.04301716,2.00729554,-1.008306,88.11367695,121.6287501,5.46222222,8.96541667,95.19599406,150.61719724,22.02694444,65.68180556
32,"Beartooth","Trifolium_nanum","N",85.8659530203384,26.2211111,-25.488889,3.92195773370804,1.08222220000005,68.32551852,0.391911111,54.1858518533333,345.471111133333,28,22,0.3123412,0.0886655,0.9389891,-0.775073,46.9581946,72.1437969,5.1175,8.3310714,61.4218925,94.2530665,25.9160714,71.3285714
33,"Rogers Pass","Antennaria_umbrinella","N",85.4379263677337,29.0077778,-22.983333,3.40422731962109,3.72222220000003,62.46937037,0.662918518333333,53.9319259233333,257.613703733333,30,29,0.40547425,0.07224353,0.53454553,1.19287383,17.27445896,40.68219062,4.951,6.98166667,45.44529509,75.95916354,9.40833333,26.16533333
34,"Waterworks","Eriogonum_ovalium","N",77.0023443035275,30.5977778,-22.451111,2.187161192467,4.96333330000004,63.9814074066667,0.496562962666667,54.70962963,258.715925933333,30,26,0.45291912,0.09753535,0.32295762,1.31910801,45.95515003,64.11129355,3.396,5.36066667,56.09323913,85.07224486,11.56666667,33.65966667
36,"Mt. Jumbo","Eriogonum_ovalium","N",78.1797964204933,30.5977778,-22.451111,2.187161192467,4.96333330000004,63.9814074066667,0.496562962666667,54.70962963,258.715925933333,30,16,0.01906122,0.12984456,0.19466647,-0.183219,15.62653017,44.38883695,3.63,5.33733333,45.77426382,118.20030542,13.28733333,32.52166667
38,"San Francisco Mt.","Geum_rossii","N",83.3762962417845,32.0866667,-16.92,1.44675902434013,10.4055556,24.36411852,0.597625926,36.4296666666667,188.906296333333,80,15,0.7962354,0.0544902,4.1440731,2.4061149,100.7612689,109.6185466,0.476375,3.00175,51.9115261,56.5929148,1.8965,10.207875
